Date,Accommodations,Accounting and other business services,Admissions to specified spectator amusements,Air transportation,Alcoholic beverages purchased for off-premises consumption,"Amusements parks, campgrounds, and related recreational services",Children's and infants' clothing,"Cleaning, repair, and rental of clothing",Clothing,"Clothing repair, rental, and alterations","Clothing, footwear, and related services",Commercial and vocational schools,Communication,Dental services,Education,Educational books,Electricity,"Electricity, gas, and other fuels",Final consumption expenditures of nonprofit institutions serving households (NPISHs),"Financial service charges, fees, and commissions",Financial services,Financial services and insurance,Financial services furnished without payment,First-class postal service by U.S. Postal Service (USPS),Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption,Food furnished to employees (including military),Food produced and consumed on farms,Food services,Food services and accommodations,Footwear,Foreign travel by U.S. residents,Fuel oil and other fuels,Funeral and burial services,"Furnishings, household equipment, and routine household maintenance","Furniture, furnishings, and floor coverings",Gambling,Garments,"Glassware, tableware, and household utensils",Gross output of nonprofit institutions,Ground transportation,Group housing,Health,Higher education,Home health care,Hospital and nursing home services,Hospitals,Household appliances,Household consumption expenditures,Household textiles,Household utilities and fuels,Housing,"Housing, utilities, and fuels",Imputed rental of owner-occupied nonfarm housing,Income loss,Information processing equipment,Insurance,Internet access,Labor organization dues,Laundry and dry cleaning services,Legal services,Less: Expenditures in the United States by nonresidents,Less: Receipts from sales of goods and services by nonprofit institutions,Life insurance,"Live entertainment, excluding sports","Magazines, newspapers, books, and stationery",Maintenance and repair of recreational vehicles and sports equipment,Medical care and hospitalization,Medical laboratories,"Medical products, appliances, and equipment",Membership clubs and participant sports centers,"Membership clubs, sports centers, parks, theaters, and museums",Men's and boys' clothing,Motion picture theaters,"Motor vehicle fuels, lubricants, and fluids",Motor vehicle maintenance and repair,Motor vehicle operation,Motor vehicle parts and accessories,Motor vehicles,Museums and libraries,Natural gas,Net expenditures abroad by U.S. residents,Net foreign travel and expenditures abroad by U.S. residents,Net health insurance,Net household insurance,Net motor vehicle and other transportation insurance,Net purchases of used motor vehicles,New motor vehicles,"Nursery, elementary, and secondary schools",Nursing homes,Other clothing materials,Other delivery services (by non-USPS facilities),Other goods and services,Other household goods and services,Other medical products,Other motor vehicle services,Other professional medical services,Other sporting and recreational goods,Outpatient services,Package tours,Paramedical services,Personal care,Personal consumption expenditures,Personal items,"Pets, pet products, and related services",Pharmaceutical and other medical products,Pharmaceutical products,Photographic goods and services,Physician services,Postal and delivery services,Professional and other services,Professional association dues,Public transportation,Purchased meals and beverages,Recreation,Rental of tenant-occupied nonfarm housing,Rental value of farm dwellings,Services related to video and audio goods and computers,Social services and religious activities,Spectator sports,Sports and recreational goods and related services,Sports and recreational vehicles,Telecommunication services,Telephone and related communication equipment,Therapeutic appliances and equipment,Tobacco,Tools and equipment for house and garden,Transportation,Video and audio equipment,"Video and audio equipment, computers, and related services",Water supply and sanitation,Water transportation,Women's and girls' clothing,Workers' compensation
1929-01-01,254.0,,,3.0,,,,1035.0,8390.0,,10140.0,180.0,677.0,482.0,618.0,78.0,616.0,2766.0,1279.0,873.0,1728.0,2906.0,855.0,,16252.0,14539.0,257.0,1713.0,3168.0,3422.0,1750.0,632.0,1593.0,,6671.0,2106.0,36.0,7084.0,640.0,,1599.0,95.0,2955.0,235.0,,572.0,543.0,727.0,76102.0,747.0,3051.0,11418.0,14469.0,5868.0,,,1178.0,,,,,142.0,,870.0,,963.0,,,,705.0,,1314.0,,,1814.0,721.0,3257.0,648.0,2683.0,,557.0,21.0,511.0,175.0,20.0,113.0,44.0,2638.0,125.0,29.0,270.0,,5449.0,2290.0,,74.0,,,1678.0,54.0,235.0,1306.0,77382.0,926.0,166.0,540.0,,175.0,962.0,105.0,1166.0,,1604.0,2911.0,4490.0,4542.0,913.0,,356.0,,757.0,97.0,569.0,3.0,165.0,1695.0,160.0,7544.0,,1024.0,285.0,2.0,,
1930-01-01,240.0,,,2.0,,,,949.0,7327.0,,8772.0,172.0,681.0,463.0,630.0,67.0,660.0,2762.0,1290.0,611.0,1386.0,2594.0,775.0,,14830.0,13278.0,245.0,1552.0,3033.0,3273.0,1444.0,611.0,1527.0,,5537.0,1667.0,35.0,6141.0,452.0,,1452.0,90.0,2878.0,259.0,,597.0,567.0,638.0,68844.0,604.0,3065.0,10961.0,14026.0,5552.0,,,1209.0,,,,,132.0,,897.0,,885.0,,,,673.0,,1287.0,,,1749.0,580.0,2915.0,523.0,1710.0,,575.0,20.0,499.0,177.0,19.0,116.0,38.0,1672.0,132.0,30.0,238.0,,4925.0,2038.0,,63.0,,,1608.0,36.0,219.0,1211.0,70136.0,828.0,153.0,508.0,,155.0,926.0,101.0,1081.0,,1456.0,2788.0,4119.0,4454.0,865.0,,356.0,,634.0,75.0,577.0,2.0,165.0,1450.0,137.0,6081.0,,935.0,303.0,1.0,,
1931-01-01,215.0,,,2.0,,,,799.0,6282.0,,7547.0,146.0,651.0,408.0,622.0,64.0,674.0,2548.0,1207.0,429.0,1043.0,2203.0,614.0,,11911.0,10646.0,198.0,1265.0,2739.0,2954.0,1265.0,445.0,1306.0,,4681.0,1441.0,30.0,5279.0,437.0,,1229.0,81.0,2620.0,266.0,,594.0,564.0,540.0,59464.0,518.0,2851.0,10237.0,13088.0,5101.0,,,1161.0,,,,,98.0,,879.0,,804.0,,,,608.0,,1209.0,,,1540.0,473.0,2501.0,433.0,1192.0,,568.0,20.0,367.0,147.0,18.0,116.0,34.0,1158.0,147.0,30.0,205.0,,4522.0,1643.0,,55.0,,,1418.0,29.0,189.0,1113.0,60672.0,586.0,126.0,462.0,,140.0,821.0,95.0,1007.0,,1232.0,2541.0,3372.0,4280.0,775.0,,327.0,,521.0,67.0,554.0,2.0,146.0,1489.0,102.0,4925.0,,513.0,303.0,1.0,,
1932-01-01,177.0,,,3.0,,,,616.0,4481.0,,5548.0,118.0,567.0,312.0,520.0,39.0,662.0,2337.0,1037.0,325.0,790.0,1877.0,465.0,,9034.0,8041.0,160.0,993.0,2262.0,2439.0,1067.0,334.0,1127.0,,3424.0,981.0,22.0,3719.0,412.0,,1014.0,67.0,2194.0,238.0,,556.0,528.0,335.0,47678.0,390.0,2621.0,9005.0,11626.0,4416.0,,,1087.0,,,,,69.0,,849.0,,635.0,,,,519.0,,922.0,,,1476.0,358.0,2193.0,314.0,661.0,,548.0,20.0,285.0,112.0,16.0,110.0,28.0,633.0,125.0,28.0,146.0,,3798.0,1231.0,,45.0,,,1120.0,32.0,145.0,919.0,48714.0,434.0,97.0,401.0,,109.0,663.0,83.0,846.0,,1019.0,2102.0,2492.0,3858.0,664.0,,278.0,,371.0,45.0,482.0,1.0,118.0,1322.0,74.0,3873.0,,304.0,284.0,1.0,,
1933-01-01,156.0,,,3.0,178.0,,,540.0,4135.0,,5062.0,99.0,516.0,276.0,447.0,38.0,645.0,2292.0,912.0,443.0,841.0,1921.0,398.0,,9488.0,8280.0,155.0,1030.0,1971.0,2127.0,926.0,258.0,1141.0,,3221.0,863.0,22.0,3459.0,369.0,,928.0,59.0,2027.0,213.0,,506.0,480.0,392.0,45033.0,397.0,2566.0,7932.0,10498.0,3844.0,,,1079.0,,,,,70.0,,843.0,,620.0,,,,497.0,,836.0,,,1466.0,364.0,2157.0,280.0,809.0,,506.0,18.0,206.0,107.0,15.0,115.0,29.0,780.0,97.0,25.0,137.0,,3365.0,1129.0,,47.0,,,1025.0,23.0,130.0,743.0,45945.0,332.0,97.0,382.0,,99.0,619.0,78.0,807.0,,932.0,1816.0,2258.0,3415.0,614.0,,250.0,,333.0,40.0,436.0,1.0,115.0,1233.0,70.0,3899.0,,228.0,274.0,1.0,,
1934-01-01,169.0,,,4.0,1461.0,,,585.0,5003.0,,6117.0,95.0,529.0,295.0,452.0,42.0,671.0,2428.0,907.0,310.0,689.0,1825.0,379.0,,11706.0,9120.0,185.0,1125.0,2433.0,2602.0,1115.0,276.0,1251.0,,3747.0,996.0,37.0,4254.0,410.0,,984.0,63.0,2197.0,220.0,,518.0,492.0,494.0,50554.0,457.0,2734.0,7623.0,10357.0,3643.0,,,1136.0,,,,,85.0,,870.0,,672.0,,,,568.0,,905.0,,,1640.0,413.0,2450.0,346.0,1074.0,,506.0,16.0,207.0,132.0,16.0,118.0,33.0,1041.0,96.0,26.0,163.0,,3771.0,1306.0,,51.0,,,1111.0,28.0,136.0,860.0,51461.0,388.0,109.0,418.0,,115.0,680.0,84.0,899.0,,989.0,2248.0,2531.0,3277.0,640.0,,258.0,,400.0,52.0,443.0,1.0,149.0,1367.0,84.0,4513.0,,266.0,306.0,1.0,,
1935-01-01,182.0,,,6.0,1953.0,,,633.0,5430.0,,6507.0,100.0,564.0,302.0,471.0,46.0,697.0,2481.0,903.0,348.0,802.0,2068.0,454.0,,13280.0,10007.0,214.0,1320.0,2824.0,3006.0,1077.0,303.0,1269.0,,4145.0,1188.0,45.0,4617.0,413.0,,1035.0,68.0,2313.0,228.0,,556.0,528.0,583.0,55029.0,483.0,2797.0,7720.0,10517.0,3646.0,,,1265.0,,,,,106.0,,969.0,,719.0,,,,580.0,,966.0,,,1743.0,424.0,2589.0,368.0,1570.0,,515.0,20.0,217.0,150.0,17.0,129.0,36.0,1534.0,96.0,28.0,180.0,,3998.0,1389.0,,54.0,,,1177.0,27.0,142.0,906.0,55932.0,442.0,120.0,424.0,,129.0,733.0,91.0,952.0,,1042.0,2610.0,2742.0,3323.0,683.0,,263.0,,445.0,61.0,472.0,1.0,157.0,1434.0,89.0,5201.0,,292.0,316.0,1.0,,
1936-01-01,201.0,,,8.0,2472.0,,,704.0,5903.0,,7099.0,104.0,612.0,331.0,505.0,52.0,726.0,2653.0,942.0,421.0,935.0,2245.0,514.0,,15124.0,11257.0,236.0,1394.0,3221.0,3422.0,1196.0,368.0,1398.0,,4960.0,1543.0,51.0,5007.0,464.0,,1140.0,76.0,2506.0,238.0,,575.0,546.0,693.0,61245.0,601.0,2984.0,8018.0,11002.0,3759.0,,,1310.0,,,,,122.0,,976.0,,787.0,,,,623.0,,1086.0,,,1945.0,483.0,2890.0,402.0,2002.0,,529.0,18.0,264.0,178.0,19.0,138.0,40.0,1961.0,110.0,29.0,192.0,,4314.0,1548.0,,59.0,,,1308.0,31.0,155.0,976.0,62188.0,500.0,136.0,455.0,,152.0,822.0,99.0,1020.0,,1149.0,2985.0,3153.0,3490.0,693.0,,284.0,,533.0,77.0,511.0,2.0,168.0,1535.0,110.0,6041.0,,377.0,331.0,1.0,,
1937-01-01,221.0,,,8.0,2587.0,,,771.0,6099.0,,7434.0,113.0,653.0,350.0,556.0,61.0,766.0,2711.0,960.0,415.0,974.0,2380.0,559.0,,16017.0,11997.0,271.0,1434.0,3799.0,4020.0,1335.0,433.0,1404.0,,5521.0,1651.0,64.0,5132.0,524.0,,1195.0,83.0,2675.0,247.0,,617.0,586.0,798.0,65879.0,653.0,3047.0,8529.0,11576.0,3950.0,,,1407.0,,,,,140.0,,1019.0,,863.0,,,,694.0,,1189.0,,,2143.0,504.0,3144.0,433.0,2071.0,,541.0,17.0,310.0,214.0,21.0,153.0,45.0,2027.0,135.0,31.0,196.0,,4790.0,1766.0,,64.0,,,1364.0,31.0,158.0,1089.0,66839.0,585.0,150.0,499.0,,179.0,856.0,108.0,1144.0,,1204.0,3528.0,3527.0,3763.0,733.0,,299.0,,618.0,92.0,542.0,2.0,195.0,1673.0,128.0,6420.0,,433.0,336.0,1.0,,
1938-01-01,225.0,,,8.0,2376.0,,,760.0,6039.0,,7351.0,109.0,655.0,356.0,567.0,56.0,810.0,2644.0,982.0,340.0,854.0,2250.0,513.0,,15120.0,11508.0,247.0,1235.0,3639.0,3864.0,1312.0,379.0,1299.0,,4947.0,1486.0,66.0,5079.0,481.0,,1150.0,85.0,2684.0,252.0,,635.0,603.0,677.0,63290.0,587.0,2976.0,8937.0,11913.0,4104.0,,,1397.0,,,,,135.0,,996.0,,839.0,,,,704.0,,1150.0,,,2145.0,480.0,3085.0,398.0,1286.0,,535.0,17.0,261.0,225.0,21.0,155.0,42.0,1244.0,150.0,32.0,199.0,,4765.0,1599.0,,62.0,,,1344.0,26.0,153.0,1072.0,64272.0,574.0,142.0,517.0,,169.0,835.0,111.0,1126.0,,1159.0,3392.0,3382.0,4003.0,745.0,,296.0,,599.0,88.0,542.0,2.0,188.0,1697.0,117.0,5531.0,,390.0,332.0,1.0,,
