Date,Accommodations,Accounting and other business services,Admissions to specified spectator amusements,Air transportation,Alcoholic beverages purchased for off-premises consumption,"Amusements parks, campgrounds, and related recreational services",Children's and infants' clothing,"Cleaning, repair, and rental of clothing",Clothing,"Clothing repair, rental, and alterations","Clothing, footwear, and related services",Commercial and vocational schools,Communication,Dental services,Education,Educational books,Electricity,"Electricity, gas, and other fuels",Final consumption expenditures of nonprofit institutions serving households (NPISHs),"Financial service charges, fees, and commissions",Financial services,Financial services and insurance,Financial services furnished without payment,First-class postal service by U.S. Postal Service (USPS),Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption,Food furnished to employees (including military),Food produced and consumed on farms,Food services,Food services and accommodations,Footwear,Foreign travel by U.S. residents,Fuel oil and other fuels,Funeral and burial services,"Furnishings, household equipment, and routine household maintenance","Furniture, furnishings, and floor coverings",Gambling,Garments,"Glassware, tableware, and household utensils",Gross output of nonprofit institutions,Ground transportation,Group housing,Health,Higher education,Home health care,Hospital and nursing home services,Hospitals,Household appliances,Household consumption expenditures,Household textiles,Household utilities and fuels,Housing,"Housing, utilities, and fuels",Imputed rental of owner-occupied nonfarm housing,Income loss,Information processing equipment,Insurance,Internet access,Labor organization dues,Laundry and dry cleaning services,Legal services,Less: Expenditures in the United States by nonresidents,Less: Receipts from sales of goods and services by nonprofit institutions,Life insurance,"Live entertainment, excluding sports","Magazines, newspapers, books, and stationery",Maintenance and repair of recreational vehicles and sports equipment,Medical care and hospitalization,Medical laboratories,"Medical products, appliances, and equipment",Membership clubs and participant sports centers,"Membership clubs, sports centers, parks, theaters, and museums",Men's and boys' clothing,Motion picture theaters,"Motor vehicle fuels, lubricants, and fluids",Motor vehicle maintenance and repair,Motor vehicle operation,Motor vehicle parts and accessories,Motor vehicles,Museums and libraries,Natural gas,Net expenditures abroad by U.S. residents,Net foreign travel and expenditures abroad by U.S. residents,Net health insurance,Net household insurance,Net motor vehicle and other transportation insurance,Net purchases of used motor vehicles,New motor vehicles,"Nursery, elementary, and secondary schools",Nursing homes,Other clothing materials,Other delivery services (by non-USPS facilities),Other goods and services,Other household goods and services,Other medical products,Other motor vehicle services,Other professional medical services,Other sporting and recreational goods,Outpatient services,Package tours,Paramedical services,Personal care,Personal consumption expenditures,Personal items,"Pets, pet products, and related services",Pharmaceutical and other medical products,Pharmaceutical products,Photographic goods and services,Physician services,Postal and delivery services,Professional and other services,Professional association dues,Public transportation,Purchased meals and beverages,Recreation,Rental of tenant-occupied nonfarm housing,Rental value of farm dwellings,Residual,Services related to video and audio goods and computers,Social services and religious activities,Spectator sports,Sports and recreational goods and related services,Sports and recreational vehicles,Telecommunication services,Telephone and related communication equipment,Therapeutic appliances and equipment,Tobacco,Tools and equipment for house and garden,Transportation,Video and audio equipment,"Video and audio equipment, computers, and related services",Water supply and sanitation,Water transportation,Women's and girls' clothing,Workers' compensation
2007-01-01,107580.0,42106.0,67758.0,75577.0,114354.0,43375.0,17784.0,20164.0,287459.0,5597.0,356104.0,49097.0,157626.0,127882.0,307933.0,15457.0,178391.0,252518.0,272998.0,338430.0,649166.0,1013558.0,308290.0,13464.0,869689.0,754796.0,19992.0,458.0,663789.0,770774.0,68475.0,114414.0,24530.0,30954.0,411572.0,127806.0,129158.0,263653.0,36800.0,1186531.0,44184.0,1585.0,2197270.0,196037.0,70722.0,974785.0,808349.0,45533.0,10982295.0,32135.0,359506.0,1858416.0,2220897.0,1428628.0,3093.0,45153.0,362885.0,28413.0,14548.0,14615.0,120463.0,130430.0,917633.0,103706.0,28706.0,95045.0,4830.0,140684.0,28690.0,445201.0,44542.0,162937.0,89018.0,13214.0,289628.0,180601.0,610319.0,66500.0,357416.0,7472.0,49287.0,7267.0,-8749.0,164838.0,9519.0,86142.0,104224.0,254550.0,47522.0,166713.0,4223.0,6176.0,841287.0,152674.0,3768.0,72224.0,156224.0,104012.0,779598.0,9950.0,255138.0,219726.0,11253852.0,103031.0,87550.0,390601.0,386928.0,15746.0,399183.0,19617.0,218126.0,10045.0,122313.0,643801.0,806373.0,405450.0,21426.0,-114138.0,101392.0,154245.0,25908.0,160640.0,56458.0,116490.0,2917.0,54237.0,155478.0,19548.0,1094891.0,35449.0,172520.0,107908.0,2548.0,156896.0,21826.0
2008-01-01,111266.0,41986.0,67637.0,72889.0,111570.0,44460.0,18440.0,18851.0,283703.0,5173.0,351260.0,49386.0,164829.0,127597.0,305634.0,14700.0,175815.0,244252.0,313087.0,360651.0,684043.0,1038228.0,320927.0,14329.0,855070.0,743011.0,19597.0,449.0,653780.0,764889.0,67378.0,109339.0,21249.0,29664.0,394703.0,117638.0,126090.0,261104.0,33733.0,1232367.0,43507.0,1621.0,2243037.0,194589.0,74170.0,992381.0,822887.0,44280.0,10957470.0,32759.0,350723.0,1925486.0,2277479.0,1482923.0,3098.0,50142.0,354442.0,33482.0,15144.0,13719.0,116384.0,136023.0,919881.0,103230.0,29185.0,88731.0,4383.0,132355.0,31135.0,447421.0,44571.0,164010.0,87069.0,13193.0,280577.0,168799.0,587068.0,62239.0,308235.0,7535.0,47853.0,7280.0,-19404.0,157009.0,9976.0,85610.0,102355.0,205318.0,47040.0,169776.0,4123.0,5997.0,823092.0,150420.0,3819.0,72834.0,157893.0,104310.0,804551.0,10905.0,263066.0,220329.0,11270736.0,94642.0,85912.0,394048.0,390318.0,15758.0,415887.0,20335.0,212594.0,9410.0,118934.0,634183.0,810759.0,418129.0,21376.0,-120273.0,106625.0,156593.0,25274.0,155233.0,49396.0,117178.0,3637.0,53317.0,146276.0,19745.0,1019364.0,37531.0,185134.0,108461.0,2568.0,155610.0,21835.0
2009-01-01,111991.0,37110.0,67836.0,74020.0,109001.0,43347.0,17740.0,17476.0,269465.0,4599.0,333191.0,47181.0,162781.0,124265.0,302317.0,13612.0,172276.0,249824.0,324593.0,370800.0,710738.0,1028028.0,337387.0,12798.0,849254.0,739841.0,19546.0,442.0,627157.0,739164.0,63539.0,112154.0,23944.0,27612.0,363639.0,104429.0,122505.0,248236.0,30292.0,1263287.0,41108.0,1667.0,2285843.0,195773.0,78260.0,1023824.0,852442.0,40896.0,10798602.0,32650.0,355046.0,1932032.0,2288662.0,1479163.0,3078.0,52743.0,323190.0,36155.0,14929.0,12907.0,109051.0,132072.0,939030.0,91372.0,29839.0,80603.0,3921.0,120874.0,32921.0,450334.0,43300.0,161542.0,83077.0,13823.0,279505.0,154493.0,559425.0,57127.0,287129.0,7356.0,52232.0,8667.0,-11251.0,143824.0,8700.0,80899.0,104225.0,181644.0,45935.0,171660.0,4047.0,6238.0,783943.0,140659.0,3725.0,63306.0,160368.0,100970.0,813177.0,9927.0,271636.0,213114.0,11123597.0,86727.0,81605.0,398461.0,394867.0,14615.0,418823.0,18990.0,198170.0,9306.0,117751.0,607642.0,788765.0,428874.0,21291.0,-123936.0,111411.0,158631.0,24092.0,142774.0,38421.0,111245.0,4566.0,52171.0,132586.0,18598.0,968940.0,38020.0,191813.0,106056.0,2512.0,147430.0,20078.0
2010-01-01,117333.0,36003.0,69236.0,74130.0,113261.0,45282.0,18087.0,17052.0,281412.0,4397.0,348026.0,48826.0,170397.0,123792.0,306957.0,13390.0,182623.0,254648.0,335119.0,354804.0,690999.0,1026493.0,334162.0,12140.0,861990.0,748188.0,18682.0,439.0,639097.0,756442.0,66420.0,114750.0,21658.0,27286.0,378402.0,109875.0,122929.0,260484.0,30218.0,1288255.0,40286.0,1711.0,2315689.0,199864.0,81013.0,1041770.0,865676.0,43533.0,11000142.0,36442.0,359060.0,1977092.0,2337508.0,1507318.0,2975.0,61060.0,337431.0,40226.0,14345.0,12682.0,105015.0,150260.0,953376.0,89925.0,30733.0,79669.0,4145.0,137147.0,33441.0,451710.0,44828.0,166538.0,87717.0,14143.0,280322.0,154839.0,564519.0,59997.0,297515.0,7452.0,50056.0,8350.0,-27161.0,161668.0,8719.0,77955.0,100922.0,195939.0,45023.0,176389.0,4037.0,5995.0,785835.0,141014.0,4017.0,64383.0,163981.0,107537.0,823484.0,11080.0,278525.0,221245.0,11335603.0,88893.0,83930.0,397347.0,393385.0,14757.0,422588.0,18087.0,192025.0,9202.0,117258.0,620406.0,827669.0,446110.0,21178.0,-96907.0,117980.0,162671.0,24254.0,149462.0,37654.0,113213.0,5758.0,54274.0,124028.0,20065.0,984149.0,41757.0,211759.0,104620.0,2686.0,154710.0,21953.0
2011-01-01,122048.0,35817.0,66874.0,80759.0,115063.0,46727.0,18239.0,16166.0,287829.0,3747.0,358296.0,48312.0,178847.0,122532.0,302625.0,12657.0,179184.0,246550.0,351034.0,364663.0,709030.0,1053202.0,342233.0,10409.0,863311.0,747745.0,19809.0,356.0,654787.0,776851.0,70327.0,115088.0,18695.0,26985.0,393226.0,113834.0,121463.0,267726.0,29874.0,1313210.0,41559.0,1847.0,2351692.0,197878.0,85941.0,1052481.0,877379.0,45470.0,11177484.0,40030.0,349356.0,1992262.0,2341963.0,1509380.0,3009.0,71421.0,346168.0,45591.0,13731.0,12440.0,105998.0,155811.0,962438.0,93305.0,28649.0,77876.0,4462.0,142482.0,34252.0,459175.0,46245.0,167859.0,90215.0,12949.0,276386.0,160702.0,567623.0,62091.0,305495.0,8140.0,49158.0,9088.0,-31636.0,167943.0,8737.0,76650.0,89304.0,217353.0,43889.0,175371.0,3972.0,5531.0,794692.0,144906.0,4222.0,65414.0,166775.0,115122.0,841089.0,10250.0,287139.0,229162.0,11528484.0,92274.0,85674.0,403092.0,398897.0,14094.0,432486.0,15896.0,191997.0,9310.0,125099.0,634984.0,857730.0,459566.0,21056.0,-85446.0,118289.0,164111.0,25307.0,158465.0,38405.0,117019.0,6539.0,55878.0,118911.0,21608.0,1002049.0,45599.0,229884.0,103344.0,2544.0,159308.0,22867.0
2012-01-01,128153.0,34622.0,66617.0,80518.0,118348.0,48925.0,16756.0,15592.0,285995.0,3453.0,358371.0,46141.0,184175.0,121310.0,292150.0,11711.0,175548.0,236919.0,383011.0,379037.0,715383.0,1040167.0,333040.0,8524.0,870729.0,751875.0,19633.0,357.0,667175.0,795349.0,72320.0,120375.0,16467.0,26454.0,405280.0,117645.0,123282.0,266421.0,29549.0,1358075.0,42322.0,2096.0,2389021.0,191173.0,90126.0,1068262.0,892031.0,45621.0,11304546.0,44141.0,338153.0,1995645.0,2333188.0,1499793.0,3046.0,81306.0,329482.0,51345.0,13586.0,12160.0,103960.0,163890.0,975698.0,91327.0,27826.0,73452.0,4703.0,130074.0,34325.0,461696.0,47213.0,171042.0,90262.0,13812.0,274636.0,161945.0,571077.0,63085.0,330748.0,8359.0,46297.0,8996.0,-34519.0,156571.0,8359.0,73864.0,89320.0,243569.0,43235.0,176483.0,3963.0,5735.0,795369.0,147335.0,4499.0,69884.0,172473.0,122881.0,859670.0,10752.0,297028.0,233398.0,11686118.0,94204.0,88303.0,405507.0,400993.0,14097.0,442125.0,14251.0,188425.0,9616.0,125785.0,647539.0,895666.0,472748.0,20975.0,-70781.0,123291.0,166302.0,24995.0,169293.0,41232.0,114394.0,8639.0,56008.0,113827.0,23173.0,1029575.0,49226.0,249836.0,102137.0,2761.0,159461.0,23555.0
2013-01-01,132395.0,35949.0,67456.0,86518.0,120202.0,51696.0,17995.0,16090.0,290099.0,3603.0,364484.0,45954.0,195870.0,119012.0,287149.0,10549.0,178117.0,245627.0,386077.0,366765.0,704732.0,1037172.0,335555.0,7890.0,887030.0,766232.0,19790.0,433.0,677190.0,809598.0,74361.0,115690.0,17918.0,26595.0,424276.0,123422.0,126538.0,270248.0,30352.0,1372915.0,44461.0,2271.0,2417975.0,187327.0,93319.0,1080052.0,902202.0,49413.0,11505094.0,47175.0,346376.0,2013759.0,2359896.0,1514866.0,3099.0,92139.0,335850.0,55467.0,13461.0,12509.0,100661.0,179817.0,987441.0,88607.0,27708.0,73129.0,4797.0,136297.0,34650.0,473017.0,48561.0,177032.0,91720.0,13964.0,280938.0,161806.0,588163.0,66907.0,348361.0,9361.0,50460.0,8387.0,-55740.0,164749.0,9087.0,73828.0,96651.0,253690.0,43378.0,178096.0,3780.0,5811.0,800819.0,149853.0,4531.0,77458.0,174303.0,131799.0,865955.0,10757.0,302390.0,236756.0,11889925.0,94822.0,91361.0,416035.0,411502.0,13867.0,445184.0,13705.0,186492.0,9718.0,134110.0,657395.0,940750.0,475870.0,20716.0,-50596.0,124875.0,170839.0,25831.0,183799.0,47023.0,119100.0,10760.0,56861.0,112399.0,25688.0,1071576.0,52047.0,266796.0,101181.0,2873.0,160580.0,25401.0
2014-01-01,136994.0,37478.0,69651.0,88995.0,126611.0,55073.0,18872.0,16760.0,300006.0,3897.0,378012.0,47802.0,221664.0,120166.0,284411.0,9929.0,179104.0,249994.0,385308.0,351495.0,684497.0,1047888.0,331367.0,7900.0,910277.0,783061.0,20726.0,474.0,699252.0,836259.0,78010.0,121562.0,19247.0,26416.0,452664.0,133102.0,128994.0,279700.0,32172.0,1395234.0,47924.0,2495.0,2499406.0,183472.0,96549.0,1110309.0,928577.0,54151.0,11841712.0,50061.0,350765.0,2009345.0,2360285.0,1507045.0,3119.0,102228.0,364002.0,60872.0,13629.0,12881.0,100832.0,185493.0,1010267.0,90921.0,29438.0,73857.0,5053.0,156028.0,35317.0,492132.0,49892.0,184669.0,96837.0,13783.0,282728.0,165357.0,603224.0,70195.0,373385.0,10102.0,51977.0,8256.0,-55675.0,187027.0,10555.0,75566.0,108099.0,266960.0,43194.0,181947.0,3586.0,6047.0,819275.0,155653.0,4600.0,86003.0,182518.0,143099.0,898138.0,11567.0,314462.0,243899.0,12226446.0,97991.0,96244.0,434779.0,430195.0,13923.0,463944.0,13953.0,188159.0,9761.0,140213.0,678523.0,990528.0,479209.0,20645.0,-29337.0,126777.0,178203.0,26469.0,200530.0,52303.0,132365.0,15514.0,57421.0,111107.0,28785.0,1116466.0,54397.0,282215.0,101011.0,3153.0,164029.0,28023.0
2015-01-01,142722.0,39418.0,70692.0,88551.0,134439.0,59565.0,19624.0,16991.0,313740.0,4246.0,394700.0,49386.0,239578.0,122669.0,283850.0,9107.0,179502.0,250479.0,383721.0,343336.0,698188.0,1073612.0,355198.0,7725.0,931379.0,796349.0,22162.0,568.0,730194.0,872927.0,80955.0,134416.0,20577.0,26913.0,479609.0,144705.0,134258.0,293275.0,34143.0,1434287.0,50091.0,2402.0,2619327.0,181377.0,100518.0,1161303.0,977064.0,58941.0,12255038.0,54665.0,348316.0,2008944.0,2357301.0,1506050.0,3283.0,106909.0,375840.0,69450.0,13743.0,12753.0,102347.0,199851.0,1050575.0,91840.0,31770.0,75187.0,5207.0,161396.0,36383.0,505655.0,52504.0,192974.0,101333.0,14247.0,298229.0,165296.0,632113.0,74984.0,406280.0,10217.0,50449.0,8177.0,-57258.0,196476.0,11388.0,76074.0,129746.0,277363.0,43951.0,184295.0,3481.0,6402.0,844739.0,155939.0,4812.0,94098.0,194059.0,157345.0,953007.0,12363.0,330998.0,251047.0,12638789.0,101775.0,101028.0,446496.0,441692.0,14007.0,499457.0,14135.0,192036.0,9605.0,142239.0,708034.0,1045267.0,479944.0,20608.0,-16663.0,133158.0,185472.0,24677.0,220844.0,58255.0,136583.0,19908.0,59212.0,114465.0,31730.0,1180152.0,56731.0,295450.0,97835.0,3590.0,172362.0,31754.0
2016-01-01,143024.0,40492.0,72686.0,90239.0,141030.0,63134.0,21007.0,17186.0,322337.0,4627.0,407331.0,50495.0,259602.0,125806.0,285675.0,8709.0,180879.0,249302.0,397905.0,338556.0,677213.0,1046499.0,338608.0,7692.0,968334.0,826788.0,23410.0,517.0,745743.0,888751.0,84994.0,144243.0,21038.0,26837.0,502079.0,154926.0,138046.0,301923.0,35727.0,1485079.0,51512.0,2347.0,2696595.0,180823.0,103051.0,1196422.0,1009512.0,63903.0,12551155.0,57636.0,347507.0,2020537.0,2368045.0,1519318.0,3298.0,122412.0,369552.0,76378.0,13828.0,12561.0,100881.0,199068.0,1087188.0,75826.0,33218.0,79166.0,5297.0,170965.0,37241.0,500300.0,54819.0,200921.0,105293.0,14237.0,302753.0,170991.0,652088.0,78806.0,419308.0,10280.0,47315.0,7510.0,-47315.0,206119.0,12132.0,75612.0,146139.0,273356.0,45643.0,186923.0,3228.0,7058.0,853202.0,154560.0,4927.0,99797.0,204973.0,171208.0,999981.0,13263.0,345260.0,255767.0,12949012.0,97427.0,105136.0,440696.0,435769.0,13266.0,528932.0,14756.0,191808.0,9768.0,145272.0,722336.0,1108266.0,478334.0,20568.0,-4797.0,136496.0,191883.0,25233.0,239853.0,63300.0,145510.0,23291.0,59613.0,116388.0,35429.0,1216165.0,60433.0,318756.0,98216.0,3520.0,175634.0,31915.0
