Date,"Disposable personal income, chained (2017) dollars","Personal income excluding current transfer receipts, Billions of chained (2017) dollars","Total, Billions of chained (2017) dollars"
1959-01-01,,2426011.0,2318350.0
1959-02-01,0.3,2434767.0,2325355.0
1959-03-01,0.6,2452719.0,2338688.0
1959-04-01,0.6,2470031.0,2353802.0
1959-05-01,0.5,2486433.0,2366639.0
1959-06-01,0.3,2493927.0,2374513.0
1959-07-01,-0.2,2491998.0,2370782.0
1959-08-01,-0.6,2477720.0,2356842.0
1959-09-01,0.0,2477660.0,2357810.0
1959-10-01,0.1,2480603.0,2359548.0
1959-11-01,0.7,2497233.0,2376562.0
1959-12-01,1.0,2525804.0,2399665.0
1960-01-01,0.2,2537566.0,2404854.0
1960-02-01,0.0,2539911.0,2405281.0
1960-03-01,0.1,2542226.0,2408073.0
1960-04-01,0.4,2551436.0,2417325.0
1960-05-01,0.2,2557633.0,2422632.0
1960-06-01,0.1,2557007.0,2424858.0
1960-07-01,0.2,2561891.0,2428795.0
1960-08-01,-0.2,2555378.0,2423251.0
1960-09-01,0.1,2556129.0,2426673.0
1960-10-01,0.4,2564110.0,2435596.0
1960-11-01,-0.4,2549436.0,2425520.0
1960-12-01,-0.5,2534518.0,2414558.0
1961-01-01,1.0,2556587.0,2437891.0
1961-02-01,0.4,2556845.0,2448122.0
1961-03-01,0.4,2569427.0,2458406.0
1961-04-01,0.2,2578265.0,2463427.0
1961-05-01,0.8,2593664.0,2483514.0
1961-06-01,1.0,2614452.0,2509056.0
1961-07-01,0.3,2620710.0,2517571.0
1961-08-01,0.0,2631856.0,2517685.0
1961-09-01,0.1,2637036.0,2519934.0
1961-10-01,1.1,2665241.0,2546571.0
1961-11-01,0.9,2689737.0,2570103.0
1961-12-01,0.6,2704516.0,2585791.0
1962-01-01,-0.2,2700800.0,2579354.0
1962-02-01,0.4,2713862.0,2590937.0
1962-03-01,0.7,2731882.0,2608106.0
1962-04-01,0.4,2748963.0,2619643.0
1962-05-01,0.1,2752865.0,2621146.0
1962-06-01,0.0,2756302.0,2621567.0
1962-07-01,0.4,2769372.0,2633001.0
1962-08-01,0.1,2772487.0,2635491.0
1962-09-01,0.0,2775772.0,2636259.0
1962-10-01,0.5,2785037.0,2649298.0
1962-11-01,0.3,2798287.0,2656539.0
1962-12-01,0.5,2813044.0,2668982.0
1963-01-01,0.7,2806331.0,2688184.0
1963-02-01,-0.6,2813660.0,2672319.0
1963-03-01,0.4,2826292.0,2683627.0
1963-04-01,0.4,2834258.0,2694579.0
1963-05-01,0.4,2846324.0,2704959.0
1963-06-01,0.5,2860982.0,2718601.0
1963-07-01,0.1,2862684.0,2721573.0
1963-08-01,0.4,2872946.0,2732479.0
1963-09-01,0.7,2892955.0,2752949.0
1963-10-01,0.6,2908853.0,2768866.0
1963-11-01,0.2,2915793.0,2774715.0
1963-12-01,0.8,2936605.0,2797087.0
1964-01-01,0.3,2936254.0,2806407.0
1964-02-01,0.3,2962650.0,2815271.0
1964-03-01,2.4,2977780.0,2882110.0
1964-04-01,0.5,2995974.0,2897668.0
1964-05-01,0.5,3014945.0,2912941.0
1964-06-01,0.3,3026584.0,2922514.0
1964-07-01,0.5,3042991.0,2936400.0
1964-08-01,0.4,3061513.0,2949444.0
1964-09-01,0.4,3074406.0,2961101.0
1964-10-01,0.0,3076396.0,2960233.0
1964-11-01,0.6,3099129.0,2979391.0
1964-12-01,1.0,3128908.0,3008006.0
1965-01-01,0.2,3134462.0,3013837.0
1965-02-01,0.0,3151637.0,3014535.0
1965-03-01,0.3,3167186.0,3024641.0
1965-04-01,0.1,3178826.0,3027845.0
1965-05-01,1.1,3199240.0,3061366.0
1965-06-01,0.1,3208722.0,3065815.0
1965-07-01,1.0,3230433.0,3097789.0
1965-08-01,0.5,3247559.0,3113130.0
1965-09-01,2.6,3268731.0,3194472.0
1965-10-01,-0.5,3305261.0,3178859.0
1965-11-01,0.7,3328600.0,3201408.0
1965-12-01,0.4,3346452.0,3214572.0
1966-01-01,0.1,3353636.0,3216791.0
1966-02-01,0.4,3370747.0,3230208.0
1966-03-01,0.4,3389295.0,3242834.0
1966-04-01,-0.4,3388042.0,3230538.0
1966-05-01,0.2,3399552.0,3235680.0
1966-06-01,0.4,3419311.0,3249171.0
1966-07-01,0.3,3434571.0,3260363.0
1966-08-01,0.5,3444072.0,3277180.0
1966-09-01,0.6,3453382.0,3296618.0
1966-10-01,0.3,3468456.0,3307304.0
1966-11-01,0.5,3482423.0,3322491.0
1966-12-01,-0.1,3477967.0,3319620.0
1967-01-01,1.0,3508210.0,3353691.0
1967-02-01,0.2,3507561.0,3360240.0
1967-03-01,0.8,3521053.0,3385462.0
1967-04-01,0.0,3522197.0,3384456.0
1967-05-01,0.2,3527550.0,3391322.0
1967-06-01,0.4,3541359.0,3403802.0
1967-07-01,0.4,3557557.0,3417440.0
1967-08-01,0.4,3572899.0,3429691.0
