Date,Compensation of employees,"Disposable personal income, current dollars",Employer contributions for employee pension and insurance funds,Employer contributions for government social insurance,Equals: Disposable personal income,Equals: Personal saving,Farm,Government,Government social benefits to persons,"Less: Contributions for government social insurance, domestic",Less: Personal current taxes,Less: Personal outlays,Medicaid,Medicare,Nonfarm,Other,"Other current transfer receipts, from business (net)",Personal consumption expenditures,Personal current transfer payments,Personal current transfer receipts,Personal dividend income,Personal income,Personal income receipts on assets,Personal interest income,Personal interest payments,"Personal outlays, current dollars",Private industries,Proprietors' income with inventory valuation and capital consumption adjustments,Rental income of persons with capital consumption adjustment,Social security,Supplements to wages and salaries,To government,To the rest of the world (net),Unemployment insurance,Veterans' benefits,Wages and salaries
1959-01-01,277993.0,,17979.0,7716.0,351542.0,39604.0,11146.0,45463.0,22656.0,13596.0,40229.0,311938.0,,,38905.0,5218.0,1248.0,306091.0,792.0,23904.0,11844.0,391771.0,38449.0,26605.0,5054.0,,206835.0,50052.0,14969.0,9456.0,25695.0,336.0,456.0,3443.0,4539.0,252298.0
1959-02-01,279327.0,0.4,17966.0,7740.0,352932.0,37477.0,10872.0,45437.0,22860.0,13632.0,40750.0,315456.0,,,39130.0,5326.0,1284.0,309554.0,792.0,24144.0,12156.0,393682.0,38871.0,26715.0,5109.0,1.1,208185.0,50002.0,14970.0,9792.0,25706.0,336.0,456.0,3141.0,4601.0,253622.0
1959-03-01,281917.0,0.6,18004.0,7800.0,355198.0,36538.0,10589.0,45468.0,22692.0,13740.0,41295.0,318660.0,,,39604.0,5356.0,1284.0,312702.0,789.0,23976.0,12252.0,396493.0,39175.0,26923.0,5169.0,1.0,210645.0,50193.0,14971.0,9864.0,25804.0,333.0,456.0,2932.0,4540.0,256113.0
1959-04-01,284413.0,0.8,17989.0,7836.0,358207.0,39987.0,10057.0,45738.0,22668.0,13800.0,41664.0,318220.0,,,40116.0,5436.0,1308.0,312193.0,796.0,23976.0,12348.0,399871.0,39679.0,27331.0,5231.0,-0.1,212850.0,50173.0,15430.0,9888.0,25825.0,324.0,472.0,2808.0,4536.0,258588.0
1959-05-01,286642.0,0.6,17978.0,7872.0,360347.0,38125.0,9864.0,45840.0,22500.0,13884.0,42060.0,322222.0,,,40448.0,5332.0,1320.0,316130.0,792.0,23820.0,12444.0,402407.0,40084.0,27640.0,5300.0,1.3,214953.0,50313.0,15432.0,10068.0,25850.0,320.0,472.0,2600.0,4500.0,260792.0
1959-06-01,288320.0,0.6,18076.0,7956.0,362576.0,38219.0,9661.0,45954.0,22668.0,14028.0,42234.0,324357.0,,,40872.0,5312.0,1332.0,318193.0,788.0,24000.0,12600.0,404810.0,40553.0,27953.0,5376.0,0.7,216334.0,50533.0,15433.0,10128.0,26032.0,316.0,472.0,2704.0,4524.0,262288.0
1959-07-01,288168.0,0.1,18095.0,7980.0,362767.0,38718.0,9427.0,46071.0,22776.0,14016.0,42656.0,324049.0,,,41059.0,5441.0,1332.0,317787.0,794.0,24108.0,12636.0,405423.0,40893.0,28257.0,5468.0,-0.1,216023.0,50486.0,15784.0,10248.0,26075.0,314.0,480.0,2582.0,4505.0,262094.0
1959-08-01,286166.0,-0.4,18128.0,7836.0,361158.0,34656.0,9282.0,46227.0,22692.0,13800.0,42559.0,326503.0,,,40850.0,5383.0,1344.0,320161.0,793.0,24036.0,12816.0,403717.0,41400.0,28584.0,5548.0,0.8,213976.0,50132.0,15784.0,10356.0,25964.0,313.0,480.0,2582.0,4371.0,260202.0
1959-09-01,286443.0,0.3,18231.0,7812.0,362258.0,31611.0,9371.0,46411.0,23064.0,13764.0,42822.0,330647.0,,,41076.0,5508.0,1344.0,324228.0,792.0,24408.0,12840.0,405080.0,41762.0,28922.0,5627.0,1.3,213990.0,50447.0,15783.0,10428.0,26043.0,312.0,480.0,2684.0,4444.0,260401.0
1959-10-01,287161.0,0.3,18279.0,7824.0,363400.0,34105.0,9918.0,46344.0,23172.0,13788.0,43172.0,329295.0,,,40504.0,5548.0,1356.0,322794.0,792.0,24528.0,12900.0,406572.0,42204.0,29304.0,5709.0,-0.4,214714.0,50422.0,16045.0,10572.0,26103.0,312.0,480.0,2680.0,4372.0,261058.0
