Date,Chained (2017) dollars,Current dollars,Personal saving as a percentage of disposable personal income
1959-01-01,13186.0,1999.0,11.3
1959-02-01,13209.0,2005.0,10.6
1959-03-01,13267.0,2015.0,10.3
1959-04-01,13336.0,2029.0,11.2
1959-05-01,13392.0,2039.0,10.6
1959-06-01,13419.0,2049.0,10.5
1959-07-01,13379.0,2047.0,10.7
1959-08-01,13280.0,2035.0,9.6
1959-09-01,13264.0,2038.0,8.7
1959-10-01,13254.0,2041.0,9.4
1959-11-01,13331.0,2054.0,10.1
1959-12-01,13443.0,2074.0,11.0
1960-01-01,13441.0,2073.0,10.9
1960-02-01,13413.0,2070.0,10.6
1960-03-01,13400.0,2070.0,9.4
1960-04-01,13425.0,2081.0,8.4
1960-05-01,13429.0,2084.0,10.4
1960-06-01,13417.0,2083.0,10.4
1960-07-01,13417.0,2087.0,10.4
1960-08-01,13365.0,2082.0,10.3
1960-09-01,13365.0,2083.0,10.0
1960-10-01,13397.0,2091.0,9.8
1960-11-01,13325.0,2087.0,9.8
1960-12-01,13250.0,2075.0,10.4
1961-01-01,13365.0,2094.0,11.1
1961-02-01,13405.0,2102.0,11.1
1961-03-01,13444.0,2107.0,10.4
1961-04-01,13454.0,2107.0,10.6
1961-05-01,13546.0,2123.0,10.8
1961-06-01,13668.0,2143.0,11.5
1961-07-01,13695.0,2152.0,12.0
1961-08-01,13676.0,2150.0,11.7
1961-09-01,13667.0,2151.0,11.3
1961-10-01,13791.0,2171.0,11.7
1961-11-01,13900.0,2188.0,11.6
1961-12-01,13968.0,2199.0,11.6
1962-01-01,13916.0,2195.0,11.3
1962-02-01,13963.0,2209.0,11.8
1962-03-01,14040.0,2224.0,11.6
1962-04-01,14086.0,2234.0,11.7
1962-05-01,14077.0,2234.0,11.1
1962-06-01,14062.0,2233.0,11.5
1962-07-01,14106.0,2238.0,11.6
1962-08-01,14099.0,2240.0,11.4
1962-09-01,14083.0,2249.0,10.4
1962-10-01,14133.0,2255.0,11.3
1962-11-01,14154.0,2260.0,10.4
1962-12-01,14204.0,2267.0,10.3
1963-01-01,14290.0,2286.0,10.9
1963-02-01,14192.0,2273.0,10.7
1963-03-01,14238.0,2278.0,10.6
1963-04-01,14281.0,2285.0,10.7
1963-05-01,14319.0,2295.0,10.9
1963-06-01,14374.0,2309.0,10.5
1963-07-01,14372.0,2313.0,10.1
1963-08-01,14410.0,2322.0,10.2
1963-09-01,14497.0,2336.0,11.0
1963-10-01,14562.0,2351.0,11.5
1963-11-01,14575.0,2356.0,11.0
1963-12-01,14677.0,2376.0,10.7
1964-01-01,14711.0,2387.0,10.7
1964-02-01,14743.0,2395.0,10.4
1964-03-01,15078.0,2451.0,12.1
1964-04-01,15144.0,2464.0,12.4
1964-05-01,15207.0,2474.0,11.7
1964-06-01,15239.0,2483.0,11.5
1964-07-01,15293.0,2495.0,11.2
1964-08-01,15341.0,2505.0,11.1
1964-09-01,15382.0,2515.0,11.8
1964-10-01,15359.0,2513.0,11.2
1964-11-01,15442.0,2530.0,12.5
1964-12-01,15575.0,2555.0,12.5
1965-01-01,15591.0,2561.0,12.1
1965-02-01,15582.0,2560.0,10.7
1965-03-01,15621.0,2570.0,10.8
1965-04-01,15624.0,2575.0,10.2
1965-05-01,15781.0,2607.0,11.2
1965-06-01,15787.0,2615.0,12.1
1965-07-01,15934.0,2641.0,11.9
1965-08-01,15994.0,2652.0,11.7
1965-09-01,16392.0,2719.0,12.5
1965-10-01,16294.0,2704.0,10.9
1965-11-01,16394.0,2725.0,11.5
1965-12-01,16447.0,2744.0,11.7
1966-01-01,16445.0,2746.0,11.2
1966-02-01,16501.0,2767.0,11.0
1966-03-01,16552.0,2783.0,10.7
1966-04-01,16475.0,2779.0,10.3
1966-05-01,16485.0,2785.0,11.2
1966-06-01,16538.0,2800.0,11.4
1966-07-01,16579.0,2813.0,10.9
1966-08-01,16646.0,2835.0,11.2
1966-09-01,16726.0,2858.0,11.0
1966-10-01,16763.0,2871.0,11.6
1966-11-01,16824.0,2886.0,11.8
1966-12-01,16795.0,2887.0,11.6
1967-01-01,16954.0,2915.0,12.1
1967-02-01,16974.0,2922.0,12.6
1967-03-01,17088.0,2943.0,12.8
1967-04-01,17068.0,2944.0,11.9
1967-05-01,17089.0,2953.0,12.0
1967-06-01,17137.0,2971.0,11.9
1967-07-01,17189.0,2990.0,12.6
1967-08-01,17234.0,3007.0,12.6
1967-09-01,17214.0,3013.0,11.9
1967-10-01,17224.0,3023.0,12.9
1967-11-01,17313.0,3049.0,12.8
1967-12-01,17331.0,3057.0,11.8
1968-01-01,17413.0,3085.0,11.7
1968-02-01,17528.0,3118.0,12.3
1968-03-01,17680.0,3156.0,11.7
1968-04-01,17728.0,3174.0,12.3
1968-05-01,17786.0,3196.0,12.0
1968-06-01,17851.0,3218.0,11.7
1968-07-01,17798.0,3219.0,10.7
1968-08-01,17804.0,3233.0,10.5
1968-09-01,17789.0,3241.0,10.6
1968-10-01,17835.0,3264.0,10.8
1968-11-01,17887.0,3285.0,10.6
1968-12-01,17936.0,3300.0,11.1
1969-01-01,17892.0,3305.0,10.3
1969-02-01,17885.0,3312.0,9.7
1969-03-01,17904.0,3332.0,10.2
1969-04-01,17864.0,3339.0,9.7
1969-05-01,18052.0,3388.0,10.1
1969-06-01,18164.0,3425.0,11.1
1969-07-01,18274.0,3461.0,11.8
1969-08-01,18367.0,3488.0,11.5
1969-09-01,18389.0,3507.0,11.6
1969-10-01,18414.0,3524.0,11.4
1969-11-01,18429.0,3542.0,11.6
1969-12-01,18446.0,3561.0,11.8
1970-01-01,18529.0,3590.0,11.8
1970-02-01,18573.0,3613.0,11.7
1970-03-01,18629.0,3633.0,12.4
1970-04-01,18806.0,3686.0,13.3
1970-05-01,18710.0,3679.0,12.4
1970-06-01,18728.0,3692.0,12.3
1970-07-01,18972.0,3754.0,13.5
1970-08-01,19010.0,3771.0,13.4
1970-09-01,18967.0,3779.0,12.9
1970-10-01,18883.0,3781.0,13.1
1970-11-01,18834.0,3786.0,13.6
1970-12-01,18900.0,3816.0,13.2
1971-01-01,19170.0,3879.0,13.3
1971-02-01,19177.0,3892.0,13.3
1971-03-01,19222.0,3914.0,13.5
1971-04-01,19243.0,3933.0,13.2
1971-05-01,19302.0,3962.0,13.6
1971-06-01,19692.0,4060.0,14.7
1971-07-01,19392.0,4010.0,13.8
1971-08-01,19439.0,4031.0,13.6
1971-09-01,19533.0,4057.0,13.3
1971-10-01,19575.0,4072.0,13.3
1971-11-01,19603.0,4086.0,13.1
1971-12-01,19685.0,4119.0,13.0
1972-01-01,19571.0,4112.0,12.5
1972-02-01,19677.0,4150.0,12.8
1972-03-01,19744.0,4170.0,11.8
1972-04-01,19719.0,4172.0,11.5
1972-05-01,19849.0,4208.0,11.7
1972-06-01,19895.0,4225.0,11.7
1972-07-01,20023.0,4267.0,11.7
1972-08-01,20190.0,4315.0,12.0
1972-09-01,20249.0,4347.0,12.2
1972-10-01,20739.0,4457.0,13.0
1972-11-01,20952.0,4517.0,13.6
1972-12-01,21029.0,4548.0,13.7
1973-01-01,20904.0,4535.0,12.4
1973-02-01,21046.0,4590.0,12.5
1973-03-01,21108.0,4636.0,12.7
