Date,Distributive industries,Goods-producing industries,Government,Manufacturing,Private industries,Service industries,Wages and salaries
1959-01-01,63431.0,106446.0,45463.0,83750.0,206835.0,36958.0,252298.0
1959-02-01,63797.0,107134.0,45437.0,84651.0,208185.0,37254.0,253622.0
1959-03-01,64224.0,108821.0,45468.0,86128.0,210645.0,37600.0,256113.0
1959-04-01,64736.0,110102.0,45738.0,87100.0,212850.0,38011.0,258588.0
1959-05-01,65325.0,111453.0,45840.0,88337.0,214953.0,38174.0,260792.0
1959-06-01,65606.0,112298.0,45954.0,88998.0,216334.0,38429.0,262288.0
1959-07-01,65246.0,111785.0,46071.0,88902.0,216023.0,38992.0,262094.0
1959-08-01,65670.0,109086.0,46227.0,86235.0,213976.0,39219.0,260202.0
1959-09-01,65383.0,109110.0,46411.0,86475.0,213990.0,39497.0,260401.0
1959-10-01,65757.0,108788.0,46344.0,86018.0,214714.0,40169.0,261058.0
1959-11-01,66076.0,110183.0,46649.0,86823.0,216595.0,40336.0,263244.0
1959-12-01,66512.0,113234.0,47047.0,89826.0,220357.0,40611.0,267404.0
1960-01-01,67399.0,114767.0,47303.0,91437.0,222779.0,40613.0,270082.0
1960-02-01,67409.0,115076.0,47732.0,91485.0,223107.0,40622.0,270839.0
1960-03-01,68196.0,114516.0,48101.0,91425.0,223225.0,40514.0,271326.0
1960-04-01,68879.0,114588.0,48427.0,90861.0,224561.0,41094.0,272989.0
1960-05-01,68824.0,114913.0,48661.0,91053.0,225042.0,41305.0,273702.0
1960-06-01,69008.0,114095.0,48820.0,90393.0,224683.0,41579.0,273503.0
1960-07-01,69058.0,113737.0,49716.0,89949.0,224640.0,41845.0,274356.0
1960-08-01,68884.0,112982.0,49855.0,89253.0,223912.0,42046.0,273766.0
1960-09-01,68834.0,112348.0,50045.0,88641.0,223724.0,42543.0,273770.0
1960-10-01,69514.0,112579.0,50228.0,88786.0,224631.0,42538.0,274858.0
1960-11-01,68805.0,111658.0,50499.0,87861.0,223205.0,42742.0,273703.0
1960-12-01,68151.0,109483.0,50798.0,86168.0,220565.0,42930.0,271362.0
1961-01-01,68725.0,110617.0,50837.0,86949.0,222610.0,43268.0,273448.0
