Date,Civic and social organizations,Compensation of employees,Education,Equals: Disposable household income,Equals: Disposable personal income,Equals: Household saving,Equals: Nonprofit institution saving,Equals: Personal saving,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Foundations and grantmaking and giving establishments,From business (net),From government,From households,From nonprofit institutions,Government social benefits,Government social benefits to persons,Gross output of nonprofit institutions,Health,Household consumption expenditures,Household current transfer receipts,Household dividend income,Household income,Household income receipts on assets,Household interest income,Household interest payments,Household transfer payments,"Less: Contributions for government social insurance, domestic",Less: Household current taxes,Less: Household outlays,Less: Nonprofit institution outlays,Less: Personal current taxes,Less: Personal outlays,Less: Receipts from sales of goods and services by nonprofit institutions,Nonprofit institution current transfer payments,Nonprofit institution dividend income,Nonprofit institution income,Nonprofit institution income and receipts from sales,Nonprofit institution income included in personal income,Nonprofit institution income receipts on assets,Nonprofit institution interest income,Nonprofit institution transfer receipts,"Other current transfer receipts, from business (net)",Personal consumption expenditures,Personal current transfer payments,Personal current transfer receipts,Personal dividend income,Personal income,Personal income receipts on assets,Personal interest income,Personal interest payments,Professional advocacy,Proprietors' income with inventory valuation and capital consumption adjustments,Purchases from business and government,Purchases from nonprofit institutions,Recreation,Religious organizations,Rental income of households with capital consumption adjustment,Rental income of nonprofit institutions with capital consumption adjustment,Rental income of persons with capital consumption adjustment,Social advocacy establishments,Social services,To government,To households,To nonprofit institutions,To the rest of the world (net),Transfer payments between nonprofit institutions
1992-01-01,4557.0,3668246.0,42852.5,4778685.0,4804692.0,428402.0,22095.0,450497.0,87935.0,4823.0,8143.5,8172.0,85955.0,21220.0,723578.0,731750.0,396390.0,228300.0,4109625.0,755236.0,178975.0,5391487.0,963716.0,784741.0,116149.0,124509.0,454951.0,612802.0,4350283.0,111087.0,612802.0,4354195.0,308456.0,23153.0,10293.0,133182.0,441638.0,47227.0,31717.0,21425.0,99976.0,16287.0,4197559.0,40487.0,748037.0,189268.0,5417494.0,995434.0,806166.0,116149.0,18479.5,400155.0,3801169.0,308456.0,10997.5,17364.0,59085.0,1489.0,60573.0,2372.5,22676.5,17330.0,21220.0,85955.0,9661.333333333334,25439.0
1993-01-01,4833.5,3817290.0,45461.5,4979025.0,5004111.0,372934.0,19655.0,392588.0,90065.0,5049.0,7027.0,9176.0,87078.0,23793.0,769759.0,778935.0,418746.0,243167.5,4361919.0,801509.0,193628.0,5627779.0,970039.0,776411.0,113900.0,130272.0,477425.0,648754.0,4606091.0,116303.0,648754.0,4611522.0,328681.0,26237.0,11492.0,135957.0,464638.0,48879.0,31908.0,20417.0,102351.0,14054.0,4451984.0,45639.0,792989.0,205120.0,5652865.0,1001948.0,796828.0,113900.0,17984.0,427984.0,4033238.0,328681.0,11826.0,18253.5,88382.0,1697.0,90079.0,2567.5,24570.5,19046.0,23793.0,87078.0,11379.666666666666,26898.0
1994-01-01,4999.5,4006192.0,48111.0,5220843.0,5247849.0,339128.0,18072.0,357200.0,97762.0,4741.0,6627.0,9525.0,91424.0,25972.0,806183.0,815708.0,440076.0,252381.0,4623203.0,838811.0,224795.0,5913916.0,1008793.0,783998.0,119862.0,138651.0,508180.0,693073.0,4881715.0,126329.0,693073.0,4890649.0,342314.0,28567.0,12536.0,144401.0,486716.0,52978.0,34842.0,22306.0,107547.0,13255.0,4720965.0,49822.0,828963.0,237331.0,5940921.0,1043635.0,806304.0,119862.0,19402.5,456644.0,4280889.0,342314.0,12354.0,20212.5,111655.0,2012.0,113667.0,2723.5,26270.5,20594.666666666668,25972.0,91424.0,12620.0,26315.0
1995-01-01,5251.5,4198088.0,51109.0,5501279.0,5534953.0,358956.0,20085.0,379040.0,102328.0,4682.0,9364.0,9920.0,91559.0,25850.0,854807.0,864727.0,458544.0,261101.5,4860263.0,892310.0,244394.0,6249685.0,1088511.0,844117.0,140419.0,141641.0,532800.0,748407.0,5142323.0,130999.0,748407.0,5155913.0,356216.0,28671.0,14800.0,151084.0,507300.0,59524.0,40038.0,25238.0,108554.0,18728.0,4962590.0,52903.0,883455.0,259194.0,6283359.0,1128549.0,869355.0,140419.0,19347.0,481186.0,4504046.0,356216.0,12943.5,21298.0,122390.0,2492.0,124882.0,2958.0,28692.0,21765.333333333332,25850.0,91559.0,13503.0,27970.0
1996-01-01,5376.0,4416942.0,54845.5,5796182.0,5829114.0,341666.0,28271.0,369937.0,110044.0,4514.0,11439.0,10207.0,108829.0,30043.0,896118.0,906325.0,483135.0,271461.5,5134551.0,941363.0,286159.0,6633266.0,1146474.0,860315.0,157015.0,162950.0,555078.0,837084.0,5454516.0,143532.0,837084.0,5459177.0,373091.0,33488.0,16257.0,171804.0,544895.0,62975.0,42345.0,26088.0,126712.0,22878.0,5244596.0,57566.0,929203.0,302416.0,6666199.0,1188819.0,886403.0,157015.0,21214.0,543784.0,4761460.0,373091.0,13289.0,23497.0,139782.0,2747.0,142528.0,3130.0,30786.5,23287.333333333332,30043.0,108829.0,15090.0,32466.0
1997-01-01,5407.5,4708818.0,57241.0,6108057.0,6142153.0,321657.0,50105.0,371763.0,105588.0,4237.5,9723.0,10188.0,126051.0,32263.0,925230.0,935418.0,502624.0,286809.0,5431202.0,968999.0,322852.0,7039877.0,1221330.0,898479.0,169739.0,185458.0,587241.0,931821.0,5786399.0,142305.0,931821.0,5770391.0,397036.0,36717.0,14901.0,192411.0,589447.0,66360.0,45185.0,30284.0,144179.0,19446.0,5536790.0,63862.0,954864.0,337753.0,7073974.0,1266516.0,928763.0,169739.0,20604.5,583958.0,5034166.0,397036.0,13890.0,24396.0,144013.0,3046.0,147059.0,3273.0,33971.5,25466.0,32263.0,126051.0,17108.666666666668,34436.0
1998-01-01,5947.0,5071138.0,61579.0,6530833.0,6555937.0,391249.0,33339.0,424588.0,123807.0,4755.5,12998.0,10932.0,138485.0,37211.0,946983.0,957915.0,542521.0,304469.5,5753441.0,1001275.0,345376.0,7563254.0,1313469.0,968094.0,184572.0,201570.0,624651.0,1032421.0,6139583.0,167462.0,1032421.0,6131349.0,418714.0,43655.0,13064.0,200801.0,619515.0,62316.0,39008.0,25944.0,158332.0,25996.0,5877248.0,69529.0,983911.0,358440.0,7588358.0,1352478.0,994038.0,184572.0,22007.0,640276.0,5334727.0,418714.0,14600.0,26231.0,161746.0,3460.0,165206.0,3463.5,37566.5,26575.333333333332,37211.0,138485.0,19777.333333333332,42169.0
1999-01-01,6297.0,5402682.0,65726.5,6840399.0,6866685.0,279283.0,36536.0,315819.0,138229.0,5702.0,16987.0,11633.0,158376.0,41524.0,980569.0,992202.0,576319.0,318983.5,6145529.0,1044943.0,336701.0,7952313.0,1294723.0,958022.0,190777.0,224811.0,661285.0,1111914.0,6561117.0,189650.0,1111914.0,6550866.0,438090.0,51420.0,11760.0,226185.0,664275.0,67809.0,41454.0,29694.0,181133.0,33973.0,6283758.0,76331.0,1026175.0,348461.0,7978599.0,1336177.0,987717.0,190777.0,21916.5,696352.0,5707439.0,438090.0,15938.0,27271.0,174899.0,3599.0,178497.0,3788.0,41582.5,29374.666666666668,41524.0,158376.0,21512.666666666668,47494.0
2000-01-01,6831.5,5847146.0,71267.0,7357521.0,7384970.0,276894.0,39929.0,316823.0,158041.0,6672.5,21217.5,12290.0,180797.0,44118.0,1032586.0,1044876.0,621641.0,336156.0,6609139.0,1107973.0,376329.0,8593850.0,1411085.0,1034756.0,217745.0,253743.0,705840.0,1236329.0,7080627.0,212435.0,1236329.0,7068147.0,463600.0,54395.0,10041.0,252364.0,715964.0,71567.0,44563.0,34521.0,204253.0,42435.0,6767179.0,83222.0,1087311.0,386370.0,8621299.0,1455648.0,1069278.0,217745.0,23545.0,753559.0,6145539.0,463600.0,17304.0,29231.5,179928.0,3548.0,183476.0,4174.5,47439.0,32500.0,44118.0,180797.0,22981.666666666668,55075.0
2001-01-01,7223.5,6038348.0,78078.5,7736436.0,7754096.0,357623.0,5533.0,363156.0,179083.0,8222.0,23383.5,14078.0,177456.0,51200.0,1131752.0,1145830.0,676441.0,361514.5,6894718.0,1216972.0,364530.0,8975483.0,1423883.0,1059352.0,225645.0,258449.0,733197.0,1239047.0,7378812.0,240783.0,1239047.0,7390940.0,497359.0,61700.0,9880.0,246316.0,743675.0,68860.0,38052.0,28173.0,204281.0,46767.0,7073801.0,91494.0,1192597.0,374410.0,8993143.0,1461935.0,1087525.0,225645.0,23115.0,831057.0,6397360.0,497359.0,18610.0,31515.5,198420.0,3983.0,202403.0,4578.5,54042.0,35280.666666666664,51200.0,177456.0,25715.0,59263.0
