Date,Household saving as a percentage of household disposable income,Nonprofit institution saving as a percentage of nonprofit income and receipts from sales,Personal saving as a percentage of disposable personal income
1992-01-01,9.0,5.0,9.4
1993-01-01,7.5,4.2,7.8
1994-01-01,6.5,3.7,6.8
1995-01-01,6.5,4.0,6.8
1996-01-01,5.9,5.2,6.3
1997-01-01,5.3,8.5,6.1
1998-01-01,6.0,5.4,6.5
1999-01-01,4.1,5.5,4.6
2000-01-01,3.8,5.6,4.3
2001-01-01,4.6,0.7,4.7
2002-01-01,5.8,-2.1,5.6
2003-01-01,5.5,-3.1,5.2
2004-01-01,4.7,-0.2,4.7
2005-01-01,2.1,1.7,2.2
2006-01-01,2.8,-0.6,2.8
2007-01-01,2.6,-0.8,2.5
2008-01-01,4.8,-6.5,4.1
2009-01-01,6.7,-9.7,5.7
2010-01-01,6.7,-7.8,5.9
2011-01-01,7.5,-9.5,6.5
2012-01-01,8.7,-8.0,7.9
2013-01-01,5.9,-9.1,5.0
2014-01-01,6.3,-7.9,5.5
2015-01-01,6.7,-8.0,5.8
2016-01-01,6.2,-7.8,5.4
2017-01-01,6.5,-6.9,5.8
2018-01-01,7.2,-6.8,6.4
2019-01-01,8.1,-7.6,7.3
2020-01-01,15.7,-2.7,15.3
2021-01-01,11.3,-1.1,11.2
2022-01-01,3.8,-7.4,3.0
2023-01-01,5.7,-9.6,4.7
