Date,0-10% Share,10-20% Share,20-30% Share,30-40% Share,40-50% Share,50-60% Share,60-70% Share,70-80% Share,80-90% Share,90-100% Share
2000-01-01,0.019,0.035500000000000004,0.0445,0.0535,0.0645,0.077,0.0915,0.1095,0.14,0.365
2001-01-01,0.018500000000000003,0.035500000000000004,0.0445,0.055,0.065,0.0785,0.093,0.112,0.143,0.355
2002-01-01,0.018000000000000002,0.035500000000000004,0.045,0.055,0.066,0.08,0.094,0.114,0.1455,0.347
2003-01-01,0.0175,0.035,0.044,0.054,0.0655,0.079,0.0945,0.115,0.146,0.34950000000000003
2004-01-01,0.017,0.035,0.044,0.054,0.065,0.077,0.0935,0.113,0.145,0.3575
2005-01-01,0.017,0.0345,0.044,0.054,0.064,0.077,0.092,0.1115,0.1425,0.363
2006-01-01,0.018000000000000002,0.036000000000000004,0.0445,0.0535,0.063,0.075,0.089,0.11,0.14,0.3705
2007-01-01,0.018000000000000002,0.036000000000000004,0.0445,0.053,0.0635,0.075,0.09,0.1095,0.1385,0.3725
2008-01-01,0.018000000000000002,0.036000000000000004,0.044,0.0535,0.0645,0.077,0.0915,0.111,0.1425,0.362
2009-01-01,0.0185,0.0375,0.0465,0.0555,0.0655,0.077,0.0935,0.114,0.145,0.347
2010-01-01,0.018000000000000002,0.0375,0.047,0.056,0.066,0.077,0.0915,0.111,0.14,0.357
2011-01-01,0.018000000000000002,0.036500000000000005,0.045,0.054,0.064,0.076,0.091,0.1105,0.14,0.3655
2012-01-01,0.017,0.036500000000000005,0.0445,0.053,0.063,0.074,0.089,0.1085,0.137,0.3765
2013-01-01,0.018000000000000002,0.036000000000000004,0.0445,0.0545,0.0645,0.076,0.091,0.109,0.1385,0.3675
2014-01-01,0.017,0.035500000000000004,0.045,0.0535,0.0635,0.0755,0.09,0.1095,0.1395,0.372
2015-01-01,0.018000000000000002,0.036500000000000005,0.0455,0.0535,0.0635,0.0755,0.09,0.1095,0.1375,0.3695
2016-01-01,0.018000000000000002,0.037000000000000005,0.0465,0.0545,0.0635,0.0765,0.0905,0.11,0.139,0.3655
2017-01-01,0.018000000000000002,0.036000000000000004,0.0455,0.0535,0.0635,0.0755,0.09,0.1085,0.1395,0.37
2018-01-01,0.0185,0.036000000000000004,0.045,0.0545,0.0635,0.0755,0.0895,0.108,0.138,0.371
2019-01-01,0.019,0.036000000000000004,0.045,0.0545,0.0645,0.0765,0.09,0.1095,0.1395,0.3655
2020-01-01,0.020499999999999997,0.037000000000000005,0.047,0.056499999999999995,0.067,0.078,0.092,0.1095,0.139,0.35450000000000004
2021-01-01,0.020999999999999998,0.036500000000000005,0.047,0.057499999999999996,0.0665,0.0775,0.091,0.107,0.1355,0.361
2022-01-01,0.018500000000000003,0.035500000000000004,0.0455,0.055999999999999994,0.066,0.077,0.09,0.1085,0.1365,0.367
2023-01-01,0.02,0.037000000000000005,0.046,0.055,0.0645,0.075,0.088,0.1055,0.1355,0.3745
