Date,Capital transfer payments,Capital transfer receipts,Consumption expenditures,Contributions for government social insurance,Current expenditures,Current receipts,Current surplus of government enterprises,Current tax receipts,Current transfer payments,Current transfer receipts,Dividends,From business (net),From persons,From the rest of the world,Government social benefits,Gross government investment,Income receipts on assets,Interest and miscellaneous receipts,Interest payments,Interest receipts,Less: Consumption of fixed capital,Net government saving,Net lending or net borrowing (-),Net purchases of nonproduced assets,Other,Other current transfer payments to the rest of the world,Personal current taxes,Rents and royalties,Social insurance funds,Subsidies,Taxes from the rest of the world,Taxes on corporate income,Taxes on production and imports,To persons,To persons and business,To the rest of the world,Total expenditures,Total receipts
1947-01-01,0.0,1039.0,35326.0,6348.0,52814.0,55397.0,,48340.0,11076.0,517.0,64.0,315.0,3275.0,,9352.0,4947.0,192.0,128.0,5901.0,,11780.0,2583.0,,,,1724.0,19165.0,128.0,,511.0,,11496.0,17679.0,9352.0,,24.0,,56436.0
1947-04-01,0.0,915.0,35020.0,5964.0,52448.0,54771.0,,48095.0,11096.0,530.0,56.0,319.0,3087.5,,9196.0,5117.0,182.0,126.0,5915.0,,11401.0,2323.0,,,,1900.0,19475.0,126.0,,417.0,,10880.0,17740.0,9196.0,,12.0,,55686.0
1947-07-01,0.0,1040.0,33269.0,5160.0,54729.0,54382.0,,48476.0,15180.0,551.0,72.0,327.0,2692.0,,13052.0,6092.0,195.0,123.0,5917.0,,11273.0,-348.0,,,,2128.0,19721.0,123.0,,364.0,,10724.0,18031.0,13052.0,,12.0,,55422.0
1947-10-01,0.0,990.0,32949.0,4784.0,51482.0,57031.0,,51445.0,12220.0,570.0,108.0,331.0,2511.5,,10112.0,6585.0,232.0,124.0,6011.0,,11088.0,5548.0,,,,2108.0,20799.0,124.0,,302.0,,11672.0,18974.0,10112.0,,16.0,,58021.0
1948-01-01,0.0,1052.0,33338.0,4848.0,53113.0,57912.0,,52169.0,13324.0,602.0,136.0,350.0,2550.0,,10308.0,7537.0,293.0,157.0,6066.0,,10728.0,4799.0,,,,3016.0,21198.0,157.0,,384.0,,12008.0,18963.0,10308.0,,12.0,,58964.0
1948-04-01,0.0,1208.0,34638.0,4552.0,54088.0,56740.0,,51262.0,13040.0,609.0,148.0,342.0,2409.5,,10072.0,8246.0,317.0,169.0,6118.0,,10511.0,2651.0,,,,2968.0,18949.0,169.0,,292.0,,12648.0,19665.0,10072.0,,16.0,,57948.0
1948-07-01,0.0,1035.0,35881.0,4580.0,57271.0,56214.0,,50659.0,14600.0,618.0,172.0,332.0,2433.0,,9744.0,8778.0,357.0,185.0,6175.0,,10484.0,-1057.0,,,,4856.0,18245.0,185.0,,615.0,,12408.0,20006.0,9744.0,,24.0,,57249.0
1948-10-01,0.0,977.0,37237.0,4484.0,58377.0,56164.0,,50650.0,13952.0,623.0,212.0,324.0,2391.5,,9400.0,9366.0,407.0,195.0,6318.0,,10298.0,-2213.0,,,,4552.0,18428.0,195.0,,869.0,,11952.0,20270.0,9400.0,,16.0,,57141.0
1949-01-01,0.0,918.0,38333.0,5176.0,60633.0,55236.0,,49008.0,15268.0,630.0,208.0,319.0,2743.5,,10140.0,10252.0,422.0,214.0,6447.0,,10188.0,-5397.0,,,,5128.0,17803.0,214.0,,585.0,,10836.0,20369.0,10140.0,,28.0,,56154.0
1949-04-01,0.0,900.0,39086.0,5072.0,62114.0,53464.0,,47340.0,16092.0,645.0,196.0,326.0,2695.5,,10712.0,11295.0,407.0,211.0,6536.0,,9824.0,-8649.0,,,,5380.0,16998.0,211.0,,399.0,,9520.0,20822.0,10712.0,,20.0,,54364.0
1949-07-01,0.0,927.0,38432.0,4796.0,62085.0,53339.0,,47492.0,16508.0,665.0,184.0,342.0,2559.5,,11184.0,11924.0,386.0,202.0,6617.0,,9478.0,-8746.0,,,,5324.0,16303.0,202.0,,529.0,,9936.0,21253.0,11184.0,,28.0,,54266.0
