Date,Capital transfer payments,Capital transfer receipts,Consumption expenditures,Contributions for government social insurance,Current expenditures,Current receipts,Current surplus of government enterprises,Current tax receipts,Current transfer payments,Current transfer receipts,Customs duties,Dividends,Excise taxes,Federal Reserve banks,From business,From persons,From the rest of the world,Government social benefits,Grants-in-aid to state and local governments,Gross government investment,Income receipts on assets,Interest payments,Interest receipts,Less: Consumption of fixed capital,Net federal government saving,Net lending or net borrowing (-),Net purchases of nonproduced assets,Other,Other current transfer payments,Personal current taxes,Rents and royalties,Social insurance funds,Subsidies,Taxes from the rest of the world,Taxes on corporate income,Taxes on production and imports,To persons,To persons and business,To the rest of the world,Total expenditures,Total receipts
1947-01-01,128.0,868.0,24698.0,6172.0,40902.0,43401.0,,36860.0,10008.0,300.0,,64.0,,64.0,260.0,3106.0,,7712.0,572.0,2258.0,69.0,5352.0,,9988.0,2499.0,,,,2296.0,18192.0,5.0,,844.0,,10876.0,7792.0,7712.0,,874.0,,44269.0
1947-04-01,152.0,740.0,24036.0,5784.0,40346.0,42459.0,,36316.0,10176.0,300.0,,56.0,,56.0,260.0,2912.0,,7296.0,980.0,2388.0,59.0,5360.0,,9570.0,2113.0,,,,2880.0,18488.0,3.0,,774.0,,10296.0,7532.0,7296.0,,956.0,,43199.0
1947-07-01,144.0,860.0,21886.0,4988.0,42007.0,41628.0,,36264.0,14064.0,304.0,,72.0,,72.0,264.0,2514.0,,10680.0,1256.0,3152.0,72.0,5356.0,,9371.0,-379.0,,,,3384.0,18704.0,0.0,,701.0,,10144.0,7416.0,10680.0,,1070.0,,42488.0
1947-10-01,148.0,808.0,21139.0,4612.0,38149.0,43769.0,,38744.0,10948.0,304.0,,108.0,,108.0,264.0,2326.0,,7844.0,996.0,3386.0,109.0,5440.0,,9117.0,5620.0,,,,3104.0,19788.0,1.0,,622.0,,11040.0,7916.0,7844.0,,1062.0,,44577.0
1948-01-01,244.0,868.0,21275.0,4644.0,38915.0,44047.0,,38952.0,11480.0,308.0,,136.0,,136.0,276.0,2338.0,,7472.0,992.0,4076.0,143.0,5476.0,,8683.0,5132.0,,,,4008.0,20060.0,7.0,,684.0,,11352.0,7540.0,7472.0,,1514.0,,44915.0
1948-04-01,256.0,1024.0,22275.0,4348.0,39904.0,42495.0,,37684.0,11544.0,296.0,,148.0,,148.0,264.0,2190.0,,7244.0,1332.0,4310.0,167.0,5512.0,,8403.0,2591.0,,,,4300.0,17808.0,19.0,,573.0,,11956.0,7920.0,7244.0,,1492.0,,43519.0
1948-07-01,276.0,852.0,23020.0,4380.0,42739.0,41615.0,,36740.0,13292.0,288.0,,172.0,,172.0,252.0,2208.0,,7000.0,1436.0,4465.0,207.0,5552.0,,8301.0,-1124.0,,,,6292.0,17100.0,35.0,,875.0,,11728.0,7912.0,7000.0,,2440.0,,42467.0
1948-10-01,288.0,796.0,23945.0,4288.0,44051.0,41349.0,,36528.0,13304.0,276.0,,212.0,,212.0,240.0,2162.0,,7028.0,1724.0,4799.0,257.0,5676.0,,8085.0,-2702.0,,,,6276.0,17292.0,45.0,,1126.0,,11296.0,7940.0,7028.0,,2284.0,,42145.0
1949-01-01,352.0,740.0,24728.0,4976.0,45908.0,39928.0,,34424.0,14504.0,272.0,,208.0,,208.0,236.0,2506.0,,7676.0,1700.0,5454.0,256.0,5784.0,,7979.0,-5980.0,,,,6828.0,16472.0,48.0,,892.0,,10180.0,7772.0,7676.0,,2578.0,,40668.0
1949-04-01,332.0,724.0,25316.0,4880.0,47016.0,37917.0,,32520.0,15136.0,276.0,,196.0,,196.0,240.0,2458.0,,8152.0,1604.0,5927.0,241.0,5848.0,,7647.0,-9098.0,,,,6984.0,15648.0,45.0,,715.0,,8944.0,7928.0,8152.0,,2700.0,,38641.0
1949-07-01,416.0,752.0,24253.0,4600.0,46824.0,37432.0,,32324.0,15812.0,288.0,,184.0,,184.0,252.0,2318.0,,8472.0,2016.0,6223.0,220.0,5900.0,,7314.0,-9392.0,,,,7340.0,14932.0,36.0,,859.0,,9336.0,8056.0,8472.0,,2676.0,,38184.0
1949-10-01,388.0,744.0,23722.0,4328.0,45583.0,36163.0,,31336.0,15060.0,284.0,,184.0,,184.0,252.0,2180.0,,8500.0,1872.0,6067.0,215.0,5980.0,,7131.0,-9420.0,,,,6560.0,14452.0,31.0,,821.0,,9160.0,7724.0,8500.0,,2356.0,,36907.0
