Date,Capital transfer payments,Capital transfer receipts,Consumption expenditures,Contributions for government social insurance,Current expenditures,Current receipts,Current surplus of government enterprises,Current tax receipts,Current transfer payments,Current transfer payments to the rest of the world,Current transfer receipts,Dividends,Excise taxes,Federal grants-in-aid,From business (net),From persons,From the rest of the world,Government social benefit payments to persons,Gross government investment,Income receipts on assets,Income taxes,Interest payments,Interest receipts,Less: Consumption of fixed capital,Net lending or net borrowing (-),Net purchases of nonproduced assets,Net state and local government saving,Other,Personal current taxes,Property taxes,Rents and royalties,Sales taxes,Social insurance funds,Subsidies,Taxes on corporate income,Taxes on production and imports,To persons and business,To the rest of the world,Total expenditures,Total receipts
1947-01-01,,299.0,10628.0,176.0,13119.0,13203.0,334.0,11480.0,1640.0,,789.0,,,572.0,55.0,162.0,,1640.0,2690.0,425.0,,850.0,,1792.0,-596.0,82.0,85.0,,973.0,,123.0,,,,620.0,9887.0,850.0,,14099.0,13502.0
1947-04-01,,327.0,10984.0,180.0,13745.0,13955.0,357.0,11779.0,1900.0,,1210.0,,,980.0,59.0,171.0,,1900.0,2730.0,429.0,,861.0,,1831.0,-449.0,88.0,210.0,,987.0,,123.0,,,,584.0,10208.0,861.0,,14731.0,14282.0
1947-07-01,,324.0,11383.0,172.0,14626.0,14657.0,338.0,12212.0,2372.0,,1503.0,,,1256.0,63.0,184.0,,2372.0,2941.0,432.0,,871.0,,1903.0,-775.0,93.0,31.0,,1017.0,,123.0,,,,580.0,10615.0,871.0,,15756.0,14981.0
1947-10-01,,330.0,11811.0,172.0,14962.0,14891.0,320.0,12701.0,2268.0,,1262.0,,,996.0,67.0,199.0,,2268.0,3199.0,435.0,,884.0,,1971.0,-1066.0,97.0,-72.0,,1011.0,,123.0,,,,632.0,11058.0,884.0,,16287.0,15221.0
1948-01-01,,428.0,12064.0,204.0,15804.0,15472.0,301.0,13217.0,2836.0,,1286.0,,,992.0,74.0,220.0,,2836.0,3461.0,464.0,,905.0,,2045.0,-1417.0,97.0,-332.0,,1138.0,,150.0,,,,656.0,11423.0,905.0,,17317.0,15900.0
1948-04-01,,440.0,12363.0,204.0,16113.0,16174.0,280.0,13578.0,2828.0,,1645.0,,,1332.0,78.0,235.0,,2828.0,3936.0,467.0,,923.0,,2108.0,-1434.0,107.0,61.0,,1141.0,,150.0,,,,692.0,11745.0,923.0,,18048.0,16614.0
1948-07-01,,459.0,12862.0,200.0,16549.0,16615.0,260.0,13919.0,2744.0,,1766.0,,,1436.0,80.0,250.0,,2744.0,4313.0,470.0,,943.0,,2183.0,-1725.0,121.0,67.0,,1145.0,,150.0,,,,680.0,12094.0,943.0,,18799.0,17074.0
1948-10-01,,469.0,13293.0,196.0,16631.0,17120.0,257.0,14122.0,2372.0,,2071.0,,,1724.0,84.0,263.0,,2372.0,4567.0,474.0,,966.0,,2212.0,-1535.0,139.0,489.0,,1136.0,,150.0,,,,656.0,12330.0,966.0,,19124.0,17589.0
1949-01-01,,530.0,13605.0,200.0,17060.0,17643.0,307.0,14584.0,2464.0,,2058.0,,,1700.0,83.0,275.0,,2464.0,4798.0,494.0,,991.0,,2209.0,-1643.0,166.0,583.0,,1331.0,,166.0,,,,656.0,12597.0,991.0,,19816.0,18173.0
1949-04-01,,508.0,13770.0,192.0,17348.0,17797.0,316.0,14820.0,2560.0,,1973.0,,,1604.0,86.0,283.0,,2560.0,5368.0,495.0,,1018.0,,2177.0,-2422.0,188.0,449.0,,1350.0,,166.0,,,,576.0,12894.0,1018.0,,20727.0,18305.0
