Date,Air transport,Alcoholic beverages,Crude oil windfall profits tax,Customs duties,Diesel fuel,Excise taxes,Federal,Gasoline,Health insurance,Insurance receipts,Local,Local general sales taxes,Local taxes on product n.i.e.,Medical devices,Motor vehicle licenses,Other,Other excise taxes,Other license taxes,Other taxes on production,Pharmaceutical,Property taxes,Public utilities,Sales taxes,Severance taxes,Special assessments,State,State and local,State general sales taxes,Taxes on product,Taxes on production and imports,"Taxes on production, n.i.e",Tobacco
1929-01-01,,13.0,,575.0,,488.0,1137.0,414.0,,,,,25.0,,124.0,100.0,,,,,4543.0,,,,,414.0,5687.0,,1137.0,6824.0,581.0,449.0
1930-01-01,,11.0,,454.0,,517.5,989.0,500.0,,,,,25.0,,124.0,78.0,,,,,4727.0,,,,,500.0,5982.0,,989.0,6971.0,606.0,446.0
1931-01-01,,5.5,,356.0,,513.5,845.0,524.0,,,,,26.0,,118.0,54.0,,,,,4539.0,,7.0,,,538.0,5824.0,7.0,845.0,6669.0,596.0,219.0
1932-01-01,,5.5,,248.0,,587.5,881.0,522.0,,,,,26.0,,108.0,240.0,,,,,4424.0,,10.0,,,542.0,5689.0,10.0,881.0,6570.0,579.0,201.0
1933-01-01,,86.0,,283.0,,900.0,1583.0,526.0,,,,,28.0,,106.0,377.0,,,,,3962.0,,61.0,,,580.0,5281.0,61.0,1583.0,6864.0,544.0,214.0
1934-01-01,,231.5,,291.0,,1218.5,2144.0,563.0,,,,,30.0,,113.0,514.0,,,,,3907.0,,228.0,,,676.0,5481.0,228.0,2144.0,7625.0,527.0,237.5
1935-01-01,,299.5,,353.0,,1245.0,2142.0,620.0,,,,,60.0,,127.0,427.0,,,,,4023.0,,300.0,,,796.0,5848.0,300.0,2142.0,7990.0,542.0,256.0
1936-01-01,,369.0,,387.0,,1297.5,2212.0,690.0,,,,,90.0,,140.0,361.0,,,,,4058.0,,398.0,,,908.0,6249.0,398.0,2212.0,8461.0,655.0,291.5
1937-01-01,,380.5,,454.0,,1374.0,2364.0,748.0,,,,,101.0,,143.0,380.5,,,,,4162.0,,440.0,,,977.0,6577.0,440.0,2364.0,8941.0,754.0,308.5
1938-01-01,,369.5,,342.0,,1358.0,2171.0,782.0,,,,,120.0,,152.0,349.5,,,,,4277.0,,449.0,,,1014.0,6761.0,449.0,2171.0,8932.0,749.0,311.5
1939-01-01,,393.0,,327.0,,1447.5,2278.0,815.0,,,,,111.0,,156.0,378.5,,,,,4285.0,,465.0,,,1077.0,6868.0,465.0,2278.0,9146.0,774.0,335.0
1940-01-01,,462.5,,305.0,,1640.5,2581.0,865.0,,,,,130.0,,175.0,456.5,,,,,4407.0,,533.0,,,1172.0,7214.0,533.0,2581.0,9795.0,797.0,372.5
1941-01-01,,584.0,,416.0,,2067.5,3512.0,958.0,,,,,131.0,,187.0,711.5,,,,,4449.0,,621.0,,,1321.0,7542.0,621.0,3512.0,11054.0,833.0,434.0
1942-01-01,,740.0,,295.0,,2308.0,3982.0,855.0,,,,,133.0,,186.0,808.0,,,,,4397.0,,642.0,,,1258.0,7530.0,642.0,3982.0,11512.0,914.0,497.0
1943-01-01,,864.0,,396.0,,2593.0,4832.0,704.0,,,,,134.0,,187.0,998.0,,,,,4494.0,,700.0,,,1131.0,7599.0,700.0,4832.0,12431.0,953.0,569.5
1944-01-01,,1175.0,,363.0,,3166.0,5952.0,681.0,,,,,136.0,,190.0,1298.5,,,,,4565.0,,751.0,,,1115.0,7759.0,751.0,5952.0,13711.0,1002.0,538.0
1945-01-01,,1347.5,,384.0,,3739.5,6912.0,777.0,,,,,156.0,,207.0,1580.5,,,,,4642.0,,806.0,,,1304.0,8183.0,806.0,6912.0,15095.0,1068.0,599.5
1946-01-01,,1537.5,,489.0,,4433.5,7691.0,1020.0,,,,,183.0,,244.0,3344.0,,,,,4836.0,,1051.0,,,1665.0,9141.0,1051.0,7691.0,16832.0,1162.0,714.0
1947-01-01,,1349.5,,418.0,,4559.0,7664.0,1176.0,,,,,306.0,,294.0,3693.0,,,,,5346.0,,1330.0,,,1872.0,10442.0,1330.0,7664.0,18106.0,1294.0,775.0
1948-01-01,,1289.0,,392.0,,4783.5,7828.0,1318.0,,,,,400.0,,333.0,3988.0,,,,,5938.0,,1584.0,,,2131.0,11898.0,1584.0,7828.0,19726.0,1512.0,841.5
1949-01-01,,1289.5,,365.0,,4889.0,7870.0,1451.0,,,,,451.0,,374.0,4027.0,,,,,6642.0,,1609.0,,,2273.0,13034.0,1609.0,7870.0,20904.0,1685.0,860.5
1950-01-01,,1411.0,,534.0,,5344.5,8734.0,1625.0,,,,,484.0,,416.0,4475.0,,,,,7143.0,,1828.0,,,2489.0,14216.0,1828.0,8734.0,22950.0,1856.0,883.5
1951-01-01,,1436.0,,575.0,,5656.0,9190.0,1791.0,,,,,551.0,,468.0,4760.0,,,,,7696.0,,2118.0,,,2697.0,15555.0,2118.0,9190.0,24745.0,2025.0,944.5
1952-01-01,,1563.0,,564.0,,6215.0,10121.0,1968.0,,,,,627.0,,514.0,5221.0,,,,,8385.0,,2347.0,,,2873.0,17000.0,2347.0,10121.0,27121.0,2254.0,1057.5
1953-01-01,,1609.5,,570.0,,6587.0,10707.0,2100.0,,,,,718.0,,563.0,5777.0,,,,,9096.0,,2509.0,,,3037.0,18394.0,2509.0,10707.0,29101.0,2471.0,1039.0
1954-01-01,,1541.5,,544.0,,6086.0,9507.0,2296.0,,,,,703.0,,600.0,4795.0,,,,,9673.0,,2557.0,,,3209.0,19382.0,2557.0,9507.0,28889.0,2640.0,999.0
1955-01-01,,1622.5,,657.0,,6628.5,10428.0,2491.0,,,,,779.0,,647.0,5447.0,,,,,10448.0,,2838.0,,,3486.0,21039.0,2838.0,10428.0,31467.0,2841.0,1037.0
1956-01-01,,1767.0,,721.0,,7068.5,10966.0,2788.0,,,,,889.0,,668.0,5645.0,,,,,11453.0,,3208.0,,,3892.0,23271.0,3208.0,10966.0,34237.0,3161.0,1085.0
1957-01-01,,1694.5,,768.0,,7389.5,11500.0,2892.0,,,,,1031.0,,678.0,6211.0,,,,,12609.0,,3512.0,,,4047.0,25116.0,3512.0,11500.0,36616.0,3239.0,1143.5
1958-01-01,,1728.0,,825.0,,7880.5,11198.0,2969.0,,501.0,,,1079.0,,673.0,5680.0,356.0,,,,13764.0,348.0,3512.0,,,5388.0,26522.0,3512.0,11198.0,37720.0,2106.0,1225.5
1959-01-01,0.0,1822.5,,1049.0,0.0,8744.0,12211.0,2551.0,,541.0,403.0,747.0,,,721.0,4407.0,275.0,,,,14812.0,296.5,4806.0,407.0,334.0,5923.0,28841.0,4059.0,12211.0,41052.0,1435.0,1325.0
1960-01-01,0.0,1872.0,,1066.0,0.0,9423.0,13072.0,2878.0,,558.0,464.0,875.0,,,765.0,4628.0,302.5,,,,16238.0,325.5,5316.0,436.0,369.0,6376.0,31475.0,4441.0,13072.0,44547.0,1511.0,1452.0
1961-01-01,0.0,1948.0,,1030.0,0.0,9691.0,13161.0,2977.5,,589.0,511.0,921.0,,,783.0,4536.0,320.0,,,,17580.0,354.0,5769.0,451.0,392.0,6740.0,33807.0,4848.0,13161.0,46968.0,1581.0,1529.0
1962-01-01,0.0,2028.5,,1202.0,0.0,10295.0,14131.0,3131.0,,615.0,498.0,958.0,,,820.0,5125.0,324.0,,,,18958.0,370.0,6352.0,460.0,381.0,7163.0,36251.0,5394.0,14131.0,50382.0,1619.0,1571.5
1963-01-01,0.0,2088.0,,1227.0,0.0,10790.5,14686.0,3289.5,,637.0,497.0,1065.0,,,851.0,5420.0,344.5,,,,20245.0,396.5,6853.0,478.0,449.0,7625.0,38700.0,5788.0,14686.0,53386.0,1702.0,1643.5
1964-01-01,0.0,2234.5,,1318.0,0.0,11450.5,15424.0,3440.5,,707.0,712.0,1220.0,,,899.0,5789.0,462.0,,,,21687.0,419.5,7659.0,497.0,532.0,8083.0,41845.0,6439.0,15424.0,57269.0,1776.0,1646.0
1965-01-01,0.0,2284.5,,1613.0,0.0,11681.0,15427.0,3649.5,,780.0,739.0,1311.0,,,961.0,5310.0,492.0,,,,23187.0,454.0,8637.0,510.0,519.0,8809.0,45282.0,7326.0,15427.0,60709.0,1920.0,1756.0
1966-01-01,0.0,2399.0,,1869.0,0.0,11345.0,14449.0,3830.0,,818.0,722.0,1276.0,,,991.0,3816.0,496.0,,,,24535.0,475.0,9843.0,565.0,493.0,9388.0,48762.0,8567.0,14449.0,63211.0,2225.0,1828.0
1967-01-01,0.0,2551.5,,1909.0,0.0,11954.0,15164.0,4010.5,,839.0,742.0,1202.0,,,1030.0,4114.0,523.0,,,,26964.0,495.5,10717.0,595.0,419.0,9911.0,52773.0,9515.0,15164.0,67937.0,2395.0,1897.0
1968-01-01,0.0,2698.5,,2258.0,0.0,13277.0,16872.0,4321.5,,927.0,848.0,1439.0,,,1040.0,5100.0,588.5,,,,29896.0,572.5,13117.0,625.0,485.0,11092.0,59535.0,11678.0,16872.0,76407.0,2432.0,2082.5
1969-01-01,0.0,2891.5,,2370.0,0.0,14445.5,17812.0,4660.5,,1223.0,1060.0,1809.0,,,1068.0,5533.0,692.5,,,,32763.0,721.5,15113.0,652.0,533.0,12389.0,66044.0,13304.0,17812.0,83856.0,2466.0,2101.5
1970-01-01,0.0,3029.0,,2484.0,0.0,15141.0,18081.0,4975.0,,1116.0,1269.0,2183.0,,,1136.0,5311.0,784.0,,,,36674.0,837.5,16960.0,701.0,586.0,13416.0,73332.0,14777.0,18081.0,91413.0,2590.0,2302.0
1971-01-01,0.0,3184.0,,3112.0,0.0,16071.5,18992.0,5270.5,,1371.0,1495.0,2476.0,,,1184.0,5301.0,889.0,,,,40445.0,1013.5,19101.0,746.0,662.0,14768.0,81501.0,16625.0,18992.0,100493.0,3100.0,2378.5
