Date,Contributions for government social insurance,Employee and self-employed contributions,Employees,Employer contributions,Federal employees unemployment insurance,Federal social insurance funds,Federal unemployment tax,Hospital insurance,Military medical insurance,"Old-age, survivors, and disability insurance","Old-age, survivors, disability, and hospital insurance",Pension benefit guaranty,Railroad employees unemployment insurance,Railroad retirement,Rest-of-the-world contributions,Self-employed,State and local social insurance funds,State unemployment insurance,Supplementary medical insurance,Temporary disability insurance,Unemployment insurance,Veterans life insurance,Workers' compensation
1929-01-01,74.0,66.0,,8.0,,37.0,,,,,,,,,,,,,,,,37.0,
1930-01-01,73.0,66.0,,7.0,,36.5,,,,,,,,,,,,,,,,36.5,
1931-01-01,70.0,65.0,,5.0,,35.0,,,,,,,,,,,,,,,,35.0,
1932-01-01,71.0,63.0,,8.0,,35.5,,,,,,,,,,,,,,,,35.5,
1933-01-01,63.0,59.0,,4.0,,31.5,,,,,,,,,,,,,,,,31.5,
1934-01-01,69.0,62.0,,7.0,,34.5,,,,,,,,,,,,3.0,,,3.0,33.0,
1935-01-01,72.0,60.0,,12.0,,36.0,,,,,,,,,,,,7.0,,,7.0,32.5,
1936-01-01,312.0,70.0,,242.0,,156.0,81.0,,,,,,,,,,,84.0,,,240.0,31.5,
1937-01-01,1473.0,443.0,288.0,1030.0,,736.5,89.0,,,288.0,288.0,,,62.0,,,,310.0,,,677.0,32.0,
1938-01-01,1617.0,418.0,260.0,1199.0,,808.5,102.0,,,260.5,260.5,,,54.0,,,,412.0,,,882.0,31.0,
1939-01-01,1752.0,448.0,290.0,1304.0,,876.0,105.0,,,290.5,290.5,,33.0,58.0,,,,428.0,,,953.0,30.5,
1940-01-01,1870.0,494.0,327.0,1376.0,,935.0,98.0,,,328.0,328.0,,67.0,67.0,,,,428.5,,,978.0,29.0,
1941-01-01,2334.0,618.0,417.0,1716.0,,1167.0,124.0,,,418.0,418.0,,80.0,80.0,,,,533.5,,,1215.0,33.5,
1942-01-01,2892.0,884.0,529.0,2008.0,,1445.0,161.0,,,530.5,530.5,,99.0,98.0,,,1.0,581.5,,0.0,1349.0,105.0,
1943-01-01,3778.0,1450.0,621.0,2328.0,,1886.5,183.0,,,623.0,623.0,,118.0,129.0,,,2.5,667.0,,0.0,1547.0,317.0,
1944-01-01,4347.0,1810.0,643.0,2537.0,4.0,2171.0,184.0,,,645.5,645.5,,129.0,140.0,,,2.5,633.5,,0.0,1494.0,593.5,
1945-01-01,5340.0,1877.0,624.0,3463.0,110.0,2668.0,174.0,,,627.0,627.0,,130.0,140.0,,,2.0,545.0,,0.0,1425.0,1149.0,
1946-01-01,6618.0,1552.0,680.0,5066.0,1467.0,3231.5,184.0,,,683.5,683.5,,139.0,163.0,,,77.5,468.5,,0.0,2683.0,1015.0,60.0
1947-01-01,5564.0,1633.0,771.0,3931.0,762.0,2694.5,212.0,,,776.0,776.0,,143.0,271.0,,,87.5,531.0,,0.0,2146.0,551.0,67.0
1948-01-01,4616.0,1612.0,828.0,3004.0,420.0,2207.5,228.0,,,833.5,833.5,,25.0,283.0,,,100.5,491.5,,0.0,1638.0,256.0,73.0
1949-01-01,4890.0,1541.0,803.0,3349.0,382.0,2348.0,223.0,,,809.0,809.0,,23.0,277.0,,,97.0,510.5,,2.0,1638.0,430.5,79.0
1950-01-01,5482.0,2109.0,1289.0,3373.0,32.0,2629.5,232.0,,,1300.0,1300.0,,24.0,282.0,,,111.5,615.0,,7.0,1505.0,277.0,94.0
1951-01-01,6652.0,2540.0,1639.0,4095.0,2.0,3196.0,263.0,,,1649.5,1649.5,,26.0,307.0,18.0,,121.0,739.0,,2.0,1756.0,338.5,112.5
1952-01-01,6945.0,2780.0,1750.0,4143.0,7.0,3322.5,263.0,,,1763.0,1866.0,,25.0,319.0,22.0,206.0,139.0,682.0,,4.0,1645.0,288.5,130.5
1953-01-01,7129.0,2896.0,1849.0,4209.0,38.0,3400.0,298.0,,,1866.5,1976.0,,25.0,312.0,23.0,219.0,153.0,651.0,,4.0,1649.0,259.0,145.0
1954-01-01,8100.0,3462.0,2417.0,4612.0,103.0,3875.0,289.0,,,2439.5,2551.0,,24.0,294.0,26.0,223.0,162.0,547.0,,4.0,1497.0,253.0,152.5
1955-01-01,9117.0,3917.0,2774.0,5174.0,110.0,4377.0,304.0,,,2802.0,2951.0,,25.0,308.0,26.0,298.0,168.5,603.5,,5.0,1632.0,271.0,158.5
1956-01-01,10017.0,4319.0,2977.0,5668.0,82.0,4808.5,326.0,,,3010.0,3244.0,,76.0,316.0,30.0,468.0,185.0,732.0,,4.0,1932.0,248.5,175.0
1957-01-01,11444.0,5045.0,3615.0,6368.0,80.0,5508.0,337.0,,,3644.0,3905.0,,97.0,304.0,31.0,522.0,198.5,745.5,,6.0,1990.0,268.5,188.5
1958-01-01,11421.0,5035.0,3582.0,6349.0,166.0,5494.5,326.0,,,3619.5,3910.0,,106.0,265.0,37.0,581.0,197.5,724.0,,6.0,2033.0,265.0,187.5
1959-01-01,13874.0,5979.0,4473.0,7854.0,156.0,6710.5,337.0,,,4514.5,4809.5,,151.0,287.0,40.0,590.0,206.5,990.0,,6.0,2611.0,270.0,191.5
1960-01-01,16478.0,7194.0,5543.0,9250.0,138.0,7991.5,343.0,,,5587.5,5937.0,,165.0,297.0,34.0,699.0,230.5,1129.5,,7.0,2891.0,275.0,206.5
1961-01-01,17057.0,7395.0,5604.0,9611.0,165.0,8256.5,456.0,,,5652.0,6064.5,,153.0,275.0,52.0,825.0,246.0,1210.5,,7.0,3179.0,288.5,219.5
1962-01-01,19174.0,7935.0,6084.0,11182.0,131.0,9284.5,947.0,,,6155.0,6576.0,,160.0,289.0,57.0,842.0,274.0,1481.5,,8.0,4182.0,286.0,234.5
1963-01-01,21735.0,9264.0,7324.0,12405.0,150.0,10520.0,847.0,,,7394.0,7836.0,,156.0,287.0,66.0,884.0,314.5,1497.5,,8.0,4127.0,288.5,255.5
1964-01-01,22464.0,9755.0,7680.0,12631.0,146.0,10852.5,619.0,,,7763.0,8266.5,,153.0,305.0,77.0,1007.0,341.0,1510.5,,8.0,3919.0,275.5,272.0
1965-01-01,23500.0,10323.0,8138.0,13093.0,115.0,11329.0,558.0,,,8234.0,8744.5,,149.0,326.0,84.0,1021.0,379.0,1523.5,,9.0,3849.0,287.0,285.0
1966-01-01,31441.0,14490.0,11838.0,16846.0,79.0,15257.5,597.0,1020.5,,10925.0,12481.5,,146.0,360.5,105.0,1072.0,410.5,1497.0,320.0,10.0,3795.0,306.5,309.0
1967-01-01,34979.0,16848.0,13144.0,18019.0,88.0,16995.0,601.0,1546.0,112.0,11731.5,14175.0,,141.0,388.5,112.0,1795.0,438.5,1297.0,636.0,10.0,3402.0,299.0,336.5
1968-01-01,38839.0,18745.0,14994.0,19950.0,118.0,18876.5,634.0,2094.5,148.0,13024.0,15915.5,,136.0,426.0,144.0,1594.0,471.0,1255.5,828.0,15.0,3374.0,295.5,361.5
1969-01-01,44340.0,21373.0,17294.0,22753.0,133.0,21550.5,669.0,2225.5,178.0,15363.5,18479.0,,131.0,453.5,213.0,1780.0,513.0,1254.5,908.0,19.0,3415.0,293.5,392.5
1970-01-01,46593.0,22520.0,18155.0,23839.0,280.0,22635.0,854.0,2319.0,211.0,16020.5,19281.5,,128.0,477.0,234.0,1884.0,544.5,1226.0,1091.0,28.0,3676.0,295.0,436.0
1971-01-01,51504.0,24730.0,20121.0,26446.0,458.0,25001.0,853.0,2375.0,237.0,17996.0,21318.5,,123.0,492.5,328.0,1895.0,587.0,1320.5,1293.0,37.0,4046.0,299.5,481.0
1972-01-01,59578.0,28047.0,22912.0,31156.0,492.0,28942.0,1182.0,2697.0,263.0,20425.5,24187.0,,119.0,533.0,374.0,2129.0,660.0,2052.0,1375.0,44.0,5871.0,353.0,533.5
1973-01-01,76038.0,35713.0,29976.0,39783.0,324.0,37002.0,1511.0,5231.0,286.0,24970.5,31475.0,,118.0,645.0,542.0,2547.0,746.0,2545.5,1545.0,47.0,7017.0,326.0,615.5
1974-01-01,85750.0,40487.0,34055.0,44695.0,399.0,41758.0,1281.0,5332.5,280.0,28975.0,35868.5,17.0,119.0,744.5,569.0,3122.0,832.5,2715.5,1795.0,41.0,7200.0,329.5,731.5
1975-01-01,89897.0,42586.0,35781.0,46723.0,791.0,43733.5,1277.0,5588.0,261.0,30348.5,37612.5,33.0,110.0,737.0,587.0,3352.0,921.5,2655.0,1908.0,29.0,7424.0,331.5,876.0
1976-01-01,101973.0,46936.0,39716.0,54398.0,912.0,49573.5,1402.0,6202.5,251.0,33684.5,41642.0,29.0,150.0,820.5,639.0,3510.0,1093.5,4114.5,2049.0,29.0,10602.0,341.5,1083.5
1977-01-01,113853.0,51990.0,44050.0,61104.0,742.0,55159.5,1997.0,6872.0,265.0,37337.5,46154.0,29.0,220.0,901.0,759.0,3889.0,1387.5,4736.0,2234.0,34.0,12328.0,339.5,1344.5
1978-01-01,132125.0,59732.0,51021.0,71529.0,451.0,63925.0,2745.0,8555.5,300.0,42681.5,53388.5,62.0,219.0,953.0,865.0,4303.0,1705.0,5801.0,2456.0,42.0,14901.0,348.0,1655.5
1979-01-01,153678.0,70162.0,60324.0,82587.0,449.0,74434.5,3048.0,10488.5,347.0,50106.0,63080.5,74.0,196.0,1107.5,929.0,4972.0,1940.0,6136.0,2704.0,54.0,15845.0,343.0,1872.5
