Date,Current transfer receipts,Deposit insurance premiums,Federal,Fines,From business (net),From persons,From the rest of the world,Net insurance settlements,Other,State and local,State and local (net)
1929-01-01,448.0,,40.0,,113.0,335.0,,,56.0,311.0,57.0
1930-01-01,416.0,,42.5,,115.0,301.0,,,56.0,272.0,59.0
1931-01-01,339.0,,34.5,,111.0,228.0,,,49.0,208.0,62.0
1932-01-01,306.0,,29.5,,108.0,198.0,,,43.0,182.0,65.0
1933-01-01,262.0,,26.0,,98.0,164.0,,,36.0,148.0,62.0
1934-01-01,257.0,,25.0,,97.0,160.0,,,37.0,147.0,60.0
1935-01-01,272.0,12.0,32.5,,114.0,158.0,,,39.0,144.0,63.0
1936-01-01,298.0,37.0,46.5,,139.0,159.0,,,39.0,142.0,63.0
1937-01-01,311.0,40.0,51.5,,149.0,162.0,,,42.0,141.0,67.0
1938-01-01,317.0,40.0,52.5,,153.0,164.0,,,45.0,144.0,68.0
1939-01-01,305.0,43.0,51.0,,154.0,151.0,,,44.0,136.0,67.0
1940-01-01,314.0,49.0,55.5,,164.0,150.0,,,46.0,134.0,69.0
1941-01-01,333.0,54.0,65.0,,177.0,156.0,,,55.0,135.0,68.0
1942-01-01,383.0,61.0,85.0,,203.0,180.0,,,67.0,138.0,75.0
1943-01-01,471.0,74.0,132.5,,255.0,216.0,,,112.0,137.0,69.0
1944-01-01,627.0,86.0,206.5,,379.0,248.0,,,219.0,140.0,74.0
1945-01-01,660.0,99.0,217.0,,391.0,269.0,,,217.0,151.0,75.0
1946-01-01,511.0,113.0,152.5,,264.0,247.0,,,95.0,150.0,56.0
1947-01-01,542.0,122.0,151.0,,323.0,219.0,,,140.0,179.0,61.0
1948-01-01,613.0,130.0,146.0,,337.0,276.0,,,128.0,242.0,79.0
1949-01-01,652.0,134.0,140.0,,334.0,318.0,,,111.0,283.0,89.0
1950-01-01,583.0,64.0,93.5,,269.0,314.0,,,91.0,282.0,114.0
1951-01-01,636.0,66.0,105.5,,287.0,349.0,,,99.0,303.0,122.0
1952-01-01,678.0,71.0,113.0,,309.0,369.0,,,102.0,316.0,136.0
1953-01-01,722.0,77.0,116.0,,312.0,410.0,,,91.0,346.0,144.0
1954-01-01,785.0,82.0,119.5,,348.0,437.0,,,94.0,374.0,172.0
1955-01-01,797.0,91.0,123.5,,367.0,430.0,,,106.0,380.0,170.0
1956-01-01,904.0,97.0,143.5,,416.0,488.0,,,135.0,433.0,184.0
1957-01-01,995.0,103.0,140.0,,428.0,567.0,,,132.0,522.0,193.0
1958-01-01,1037.0,115.0,144.5,,463.0,574.0,,,127.0,527.0,221.0
1959-01-01,656.0,126.0,136.5,89.0,336.0,320.0,,-8.0,105.33333333333333,276.0,107.0
1960-01-01,772.0,132.0,151.0,69.5,430.0,342.0,,17.0,147.66666666666666,301.0,169.0
1961-01-01,1016.0,135.0,178.5,132.5,540.0,476.0,,15.0,185.33333333333334,431.0,228.0
1962-01-01,1111.0,148.0,197.0,180.0,568.0,543.0,,8.0,181.0,491.0,226.0
1963-01-01,1191.0,162.0,231.5,137.5,661.0,530.0,,27.0,223.33333333333334,473.0,255.0
1964-01-01,1419.0,183.0,308.5,167.5,817.0,602.0,,13.0,276.6666666666667,544.0,258.0
1965-01-01,1798.0,202.0,468.5,156.0,1220.0,578.0,,38.0,398.0,526.0,335.0
1966-01-01,2057.0,212.0,509.5,227.5,1279.0,778.0,,-16.0,452.6666666666667,730.0,308.0
1967-01-01,2348.0,255.0,484.0,306.0,1366.0,982.0,,8.0,471.3333333333333,923.0,457.0
1968-01-01,2434.0,272.0,476.5,336.5,1395.0,1039.0,,9.0,479.3333333333333,997.0,484.0
1969-01-01,2595.0,257.0,499.0,371.5,1467.0,1128.0,,9.0,508.3333333333333,1067.0,530.0
1970-01-01,2712.0,224.0,479.5,431.0,1431.0,1281.0,,5.0,511.0,1193.0,560.0
1971-01-01,2916.0,200.0,464.0,528.0,1461.0,1455.0,,-33.0,542.6666666666666,1390.0,598.0
1972-01-01,3453.0,217.0,560.0,603.5,1667.0,1786.0,,-49.0,647.6666666666666,1651.0,682.0
1973-01-01,3635.0,364.0,524.0,473.0,1800.0,1835.0,,-20.0,739.0,1707.0,880.0
1974-01-01,4118.0,444.0,540.5,538.5,2050.0,2068.0,,66.0,805.3333333333334,1953.0,1084.0
1975-01-01,4685.0,391.0,553.0,649.5,2192.0,2493.0,,21.0,949.6666666666666,2368.0,1211.0
1976-01-01,5460.0,431.0,611.5,792.5,2442.0,3018.0,,-25.0,1107.6666666666667,2872.0,1365.0
1977-01-01,6457.0,480.0,788.5,910.0,2991.0,3466.0,,-47.0,1345.3333333333333,3298.0,1582.0
1978-01-01,7767.0,553.0,1114.0,1051.5,3912.0,3856.0,,-33.0,1653.6666666666667,3673.0,1866.0
1979-01-01,8855.0,567.0,1271.5,1250.0,4527.0,4328.0,,17.0,1862.0,4143.0,2169.0
1980-01-01,10319.0,659.0,1571.0,1458.5,5366.0,4952.0,,41.0,2156.6666666666665,4720.0,2457.0
1981-01-01,11689.0,1170.0,1564.0,1808.0,5737.0,5951.0,,34.0,2203.3333333333335,5692.0,2869.0
1982-01-01,13996.0,1562.0,2190.5,2076.0,6931.0,7066.0,,114.0,2489.3333333333335,6366.0,3249.0
1983-01-01,16015.0,1811.0,2610.0,2397.5,7885.0,8130.0,,147.0,2760.6666666666665,7150.0,3645.0
1984-01-01,18599.0,1958.0,3137.0,2731.0,9431.0,9168.0,,249.0,3300.6666666666665,8140.0,4185.0
1985-01-01,22225.0,3169.0,4298.0,3026.5,11800.0,10425.0,,136.0,3890.6666666666665,9230.0,4399.0
1986-01-01,24972.0,3426.0,3805.5,4452.0,13013.0,11959.0,,-243.0,3855.6666666666665,10641.0,6720.0
1987-01-01,26260.0,3515.0,5103.0,3565.5,13064.0,13194.0,,-354.0,4646.333333333333,11165.0,4889.0
1988-01-01,27005.0,3481.0,4803.5,3725.0,12159.0,14846.0,,-234.0,4493.0,12017.0,5381.0
1989-01-01,31588.0,4035.0,5893.5,4094.0,15095.0,16493.0,,45.0,5411.333333333333,13407.0,6394.0
