Date,Air and water terminals,Current surplus of government enterprises,Federal,Federal Housing Administration,Gas and electricity,Housing and urban renewal,Liquor stores,Other,Postal Service,Public transit,State and local,Tennessee Valley Authority,Toll facilities,Water and sewerage
1960-01-01,2.0,467.0,-696.0,122.0,477.0,70.0,248.0,137.0,-1030.0,-68.0,1163.0,-49.0,300.0,122.0
1961-01-01,17.0,338.0,-892.0,134.0,490.0,83.0,248.0,147.0,-1235.0,-46.0,1230.0,-47.0,312.0,90.0
1962-01-01,22.0,398.0,-901.0,145.0,512.0,45.0,254.0,136.5,-1278.0,-47.0,1299.0,-50.0,341.0,180.0
1963-01-01,30.0,814.0,-716.0,153.0,651.0,84.0,261.0,131.5,-1090.0,-107.0,1530.0,-52.0,356.0,264.0
1964-01-01,39.0,866.0,-762.0,175.0,667.0,65.0,275.0,145.5,-1192.0,-96.0,1627.0,-55.0,390.0,308.0
1965-01-01,47.0,788.0,-875.0,196.0,685.0,59.0,297.0,139.0,-1319.0,-136.0,1663.0,-55.0,432.0,303.0
1966-01-01,56.0,388.0,-1195.0,181.0,669.0,30.0,320.0,141.5,-1658.0,-148.0,1582.0,-54.0,462.0,247.0
1967-01-01,74.0,278.0,-1273.0,196.0,698.0,17.0,352.0,149.0,-1775.0,-177.0,1551.0,-56.0,480.0,170.0
1968-01-01,84.0,453.0,-1025.0,214.0,733.0,21.0,370.0,139.0,-1545.0,-268.0,1478.0,-61.0,500.0,128.0
1969-01-01,78.0,163.0,-1263.0,230.0,751.0,-7.0,373.0,172.0,-1930.0,-310.0,1426.0,-68.0,523.0,179.0
1970-01-01,62.0,-1034.0,-2466.0,250.0,761.0,0.0,379.0,118.0,-3038.0,-381.0,1432.0,-75.0,522.0,250.0
1971-01-01,75.0,-1515.0,-2783.0,282.0,724.0,13.0,392.0,149.5,-3387.0,-563.0,1268.0,-93.0,504.0,239.0
1972-01-01,123.0,-936.0,-2377.0,285.0,791.0,93.0,394.0,205.5,-2963.0,-779.0,1441.0,-102.0,571.0,243.0
1973-01-01,152.0,-1958.0,-3385.0,260.0,914.0,-30.0,412.0,237.0,-3874.0,-975.0,1427.0,-108.0,591.0,228.0
1974-01-01,78.0,-2446.0,-3249.0,127.0,895.0,178.0,427.0,373.0,-3818.0,-1437.0,803.0,-137.0,496.0,-2.0
1975-01-01,45.0,-4068.0,-4416.0,181.0,957.0,160.0,424.0,399.5,-4991.0,-1685.0,348.0,-191.0,517.0,-285.0
1976-01-01,134.0,-2385.0,-2906.0,191.0,1097.0,136.0,414.0,424.5,-3439.0,-1554.0,520.0,-226.0,579.0,-565.0
1977-01-01,240.0,-2958.0,-3429.0,183.0,1159.0,156.0,428.0,249.0,-4029.0,-1704.0,471.0,312.0,616.0,-816.0
1978-01-01,332.0,-2377.0,-2895.0,193.0,1302.0,92.0,456.0,289.0,-3462.0,-1974.0,518.0,347.0,636.0,-877.0
1979-01-01,390.0,-2699.0,-2668.0,262.0,1317.0,-78.0,516.0,298.0,-3405.0,-2444.0,-30.0,562.0,590.0,-1004.0
