Date,Consumption expenditures,Equipment,Federal,Government consumption expenditures and gross investment,Gross investment,Intellectual property products,National defense,Nondefense,Research and development,Software,State and local,Structures
1947-04-01,36.14,-25.8,-3.2,-0.3,84.98,4.9399999999999995,-25.1,224.5,4.9,,5.7,9444.7
1947-07-01,-14.059999999999999,436.4,-4.9,0.0,90.84,14.1,11.3,-48.5,14.1,,9.4,826.82
1947-10-01,-16.360000000000003,-14.280000000000001,-8.5,-3.1,37.14,19.2,9.0,-58.5,19.08,,6.4,187.22
1948-01-01,12.620000000000001,2827.32,10.5,6.1,101.8,23.279999999999998,-4.4,113.2,23.439999999999998,,-0.9,28.880000000000003
1948-04-01,62.2,0.6599999999999995,17.0,14.9,26.080000000000002,20.66,-8.6,200.5,20.74,,11.4,33.04
1948-07-01,16.06,16.22,9.6,8.7,17.580000000000002,10.760000000000002,-2.9,61.3,10.7,,7.0,32.17999999999999
1948-10-01,16.0,75.78,19.3,15.6,28.720000000000006,13.14,16.0,29.8,13.16,,9.8,-5.700000000000001
1949-01-01,2.84,64.94,7.4,11.1,45.82,9.419999999999998,8.8,3.2,9.4,,17.4,55.0
1949-04-01,14.680000000000001,60.52,15.2,18.6,51.660000000000004,10.16,6.5,43.5,10.080000000000002,,24.4,46.760000000000005
1949-07-01,-9.72,13.52,-6.5,2.2,45.84,19.4,-1.4,-18.9,19.5,,17.5,84.96000000000001
1949-10-01,-8.8,-19.7,-15.4,-6.8,3.2600000000000002,18.96,-21.1,2.7,18.759999999999998,,7.8,50.120000000000005
1950-01-01,-2.68,-56.3,-17.7,-7.2,-35.72,21.36,-13.7,-26.9,21.54,,10.2,-32.760000000000005
1950-04-01,5.0,57.98,10.4,7.5,37.18,11.4,3.4,31.5,11.32,,3.4,58.71999999999999
1950-07-01,-18.419999999999998,59.8,-11.0,-6.3,17.9,5.12,26.4,-70.9,5.12,,0.3,16.640000000000004
1950-10-01,56.11999999999999,-18.04,59.6,31.4,-1.4199999999999995,3.3,71.4,18.2,3.3200000000000003,,0.1,106.19999999999997
1951-01-01,35.36,474.3,97.3,49.8,139.78000000000003,-2.2399999999999998,145.7,-33.1,-2.32,,-3.9,162.44
1951-04-01,56.52,238.08,107.1,64.9,123.1,2.42,122.5,38.1,2.42,,6.9,123.94000000000001
1951-07-01,39.42,151.66,82.2,51.7,74.44,5.4799999999999995,101.7,-8.6,5.5,,2.0,28.46
1951-10-01,8.879999999999999,151.56,34.2,22.9,63.54,7.540000000000001,37.9,9.3,7.62,,-0.6,25.56
1952-01-01,25.46,32.3,17.5,12.4,7.32,9.24,13.2,54.6,9.16,,1.1,28.04
1952-04-01,13.5,1.0399999999999998,16.7,14.3,-3.3200000000000003,7.360000000000001,22.5,-19.6,7.44,,8.8,6.18
1952-07-01,9.180000000000001,4.58,10.3,4.1,1.3199999999999998,7.5200000000000005,9.1,20.0,7.5,,-10.4,6.139999999999999
1952-10-01,5.64,-1.0,5.9,6.8,6.220000000000001,5.119999999999999,6.6,0.4,5.08,,9.5,7.8199999999999985
1953-01-01,19.3,18.279999999999998,15.0,13.3,18.06,5.4,11.8,42.2,5.44,,8.9,15.74
1953-04-01,30.82,17.1,12.0,8.5,6.32,5.779999999999999,3.2,95.2,5.859999999999999,,-0.7,-13.34
1953-07-01,-10.32,34.42,-9.3,-4.2,0.23999999999999985,8.38,-4.2,-36.5,8.32,,11.0,-8.86
