Date,Consumption expenditures,Equipment,Federal,Gross investment,Intellectual property products,National defense,Nondefense,Research and development,Software,State and local,Structures
1947-04-01,-1.3419999999999996,-0.748,-2.15,0.7940000000000002,0.030000000000000006,-15.7,13.54,0.030000000000000006,,1.85,1.512
1947-07-01,-4.83,2.3,-3.22,4.17,0.168,5.64,-8.86,0.168,,3.18,1.7060000000000002
1947-10-01,-4.54,-0.136,-5.46,2.186,0.21000000000000002,4.69,-10.15,0.21000000000000002,,2.3,2.1060000000000003
1948-01-01,-1.042,3.7299999999999995,6.46,4.787999999999999,0.282,-1.91,8.37,0.282,,-0.32,0.78
1948-04-01,5.38,0.4,10.61,2.7119999999999997,0.382,-3.99,14.6,0.382,,4.31,1.932
1948-07-01,3.536,-0.512,6.0,1.1300000000000001,0.158,-1.15,7.15,0.158,,2.65,1.48
1948-10-01,5.828,2.0740000000000003,11.84,2.788,0.184,7.41,4.44,0.184,,3.77,0.53
1949-01-01,1.472,2.1,4.85,3.9299999999999997,0.118,4.06,0.79,0.118,,6.23,1.7079999999999997
1949-04-01,4.362,2.3259999999999996,9.88,5.048,0.118,3.26,6.62,0.118,,8.71,2.608
1949-07-01,-3.196,0.48,-4.09,3.242,0.156,-0.67,-3.42,0.156,,6.25,2.604
1949-10-01,-4.13,-1.8719999999999999,-9.8,-0.548,0.148,-10.29,0.48,0.148,,3.01,1.176
1950-01-01,-0.21400000000000005,-3.816,-11.17,-4.896,0.196,-6.2,-4.98,0.196,,3.99,-1.2739999999999998
1950-04-01,1.906,0.32399999999999995,6.11,2.328,0.12,1.46,4.64,0.12,,1.43,1.884
1950-07-01,-5.546,1.6920000000000002,-6.41,1.746,0.05399999999999999,10.23,-16.64,0.05399999999999999,,0.12,-0.002000000000000024
1950-10-01,18.45,-0.142,31.22,0.3520000000000001,0.076,27.7,3.51,0.076,,0.19,0.41999999999999993
1951-01-01,20.3,7.856,51.02,9.842,-0.027999999999999997,53.41,-2.39,-0.027999999999999997,,-1.17,2.018
1951-04-01,25.544,8.702,61.85,12.8,0.11199999999999999,56.19,5.67,0.11199999999999999,,3.08,3.9840000000000004
1951-07-01,20.378000000000004,8.952,50.79,10.474,0.172,50.13,0.66,0.172,,0.95,1.3519999999999999
1951-10-01,4.882,7.803999999999999,22.92,8.848,0.178,21.82,1.1,0.178,,-0.05,0.866
1952-01-01,7.095999999999999,-1.266,12.03,0.274,0.19,8.42,3.61,0.19,,0.38,1.35
1952-04-01,7.5760000000000005,-0.012,11.82,0.518,0.178,13.56,-1.74,0.178,,2.5,0.35200000000000004
1952-07-01,2.1719999999999997,0.39,7.05,0.874,0.19,5.52,1.54,0.19,,-2.96,0.292
1952-10-01,2.3939999999999997,0.41,4.3,1.198,0.156,4.16,0.13,0.156,,2.54,0.634
1953-01-01,3.8280000000000003,2.686,10.88,3.664,0.17600000000000002,7.63,3.25,0.17600000000000002,,2.41,0.8
1953-04-01,3.12,2.442,8.63,1.988,0.168,2.1,6.53,0.168,,-0.17,-0.624
1953-07-01,-2.6160000000000005,-0.44800000000000006,-6.99,-0.45,0.20400000000000001,-2.64,-4.36,0.20400000000000001,,2.82,-0.20600000000000002
1953-10-01,1.274,-3.4299999999999997,-3.62,-2.3899999999999997,0.22800000000000004,-4.41,0.79,0.22800000000000004,,2.63,0.808
1954-01-01,-7.843999999999999,-0.354,-14.02,1.044,0.266,-15.12,1.1,0.266,,4.03,1.1320000000000001
1954-04-01,-6.101999999999999,-1.058,-13.37,-1.716,0.21600000000000003,-9.26,-4.11,0.21600000000000003,,0.5,-0.876
1954-07-01,-1.9080000000000001,-4.232,-11.84,-3.806,0.20400000000000001,-10.6,-1.24,0.20400000000000001,,3.47,0.22200000000000003
1954-10-01,-0.332,-0.9339999999999999,-2.99,-1.22,0.20600000000000002,-7.53,4.54,0.20600000000000002,,0.6,-0.49400000000000005
1955-01-01,-0.5920000000000001,-0.7020000000000001,-5.23,-0.358,0.19,-0.62,-4.61,0.19,,5.47,0.15600000000000006
1955-04-01,-3.5980000000000003,0.5439999999999999,-5.61,0.932,0.406,-7.71,2.1,0.406,,1.75,-0.019999999999999973
1955-07-01,4.168,-2.056,2.79,-2.576,0.514,2.41,0.37,0.514,,-0.2,-1.032
