Date,Consumption expenditures,Equipment,Federal,Government consumption expenditures and gross investment,Gross investment,Intellectual property products,National defense,Nondefense,Research and development,Software,State and local,Structures
1947-01-01,19070.0,621.6,26956.0,40274.0,2430.6,802.0,22790.0,4166.0,802.0,,13318.0,1007.2
1947-04-01,18815.2,554.6,26424.0,40138.0,2524.4,806.8,21105.0,5319.0,806.8,,13714.0,1163.2
1947-07-01,17684.8,817.6,25038.0,39361.0,3067.4,828.4,19985.0,5053.0,828.4,,14324.0,1421.6
1947-10-01,17407.6,810.2,24525.0,39534.0,3311.4,857.2,20410.0,4115.0,857.2,,15009.0,1644.0
1948-01-01,17590.4,1177.6,25350.0,40875.0,3830.0,895.6,20685.0,4666.0,895.6,,15525.0,1756.8
1948-04-01,18310.2,1219.6,26585.0,42884.0,4160.4,941.6,20555.0,6030.0,941.6,,16299.0,1999.2
1948-07-01,18956.4,1219.0,27485.0,44660.0,4404.2,963.6,20716.0,6769.0,963.6,,17174.0,2221.6
1948-10-01,19684.0,1443.0,28744.0,46603.0,4706.2,985.6,21593.0,7150.0,985.6,,17859.0,2277.6
1949-01-01,20278.8,1732.0,30182.0,48585.0,5191.6,998.0,22461.0,7720.0,998.0,,18403.0,2461.6
1949-04-01,20697.6,1953.4,31243.0,50381.0,5703.4,1010.8,22753.0,8490.0,1010.8,,19138.0,2739.2
1949-07-01,20223.2,1994.2,30476.0,50356.0,6014.2,1030.4,22546.0,7930.0,1030.4,,19880.0,2989.6
1949-10-01,19992.8,1757.8,29790.0,49910.0,5929.0,1050.4,21602.0,8188.0,1050.4,,20121.0,3120.8
1950-01-01,20004.6,1299.6,28544.0,48956.0,5286.8,1077.6,20890.0,7654.0,1077.6,,20412.0,2909.6
1950-04-01,20135.2,1360.0,28924.0,49643.0,5507.0,1102.4,20950.0,7973.0,1102.4,,20720.0,3044.8
1950-07-01,19747.8,1582.4,28428.0,49746.0,5836.0,1127.2,22696.0,5732.0,1127.2,,21319.0,3126.4
1950-10-01,21716.4,1664.0,31776.0,53713.0,6124.0,1161.6,26061.0,5715.0,1161.6,,21937.0,3298.4
1951-01-01,25105.8,2682.2,39574.0,62033.0,7622.2,1189.2,33539.0,6035.0,1189.2,,22460.0,3751.2
1951-04-01,27751.4,3876.2,46602.0,69821.0,9497.0,1226.0,40264.0,6338.0,1226.0,,23220.0,4395.2
1951-07-01,30849.0,5267.6,54303.0,78046.0,11230.0,1267.2,48081.0,6222.0,1267.2,,23743.0,4695.2
1951-10-01,32171.0,6822.8,59311.0,83314.0,13016.8,1308.8,52874.0,6437.0,1308.8,,24003.0,4885.6
1952-01-01,33203.0,6517.6,60899.0,84998.0,12975.6,1347.6,53490.0,7409.0,1347.6,,24098.0,5110.8
1952-04-01,35320.0,6455.8,64067.0,88987.0,13088.2,1386.4,56979.0,7088.0,1386.4,,24919.0,5246.0
1952-07-01,36174.8,6584.0,66178.0,90931.0,13433.6,1432.4,58675.0,7503.0,1432.4,,24753.0,5417.2
1952-10-01,37316.4,6706.2,68116.0,93418.0,13674.2,1474.0,60506.0,7610.0,1474.0,,25302.0,5494.0
1953-01-01,37869.8,7167.8,69659.0,95764.0,14367.8,1520.4,61306.0,8353.0,1520.4,,26105.0,5679.6
1953-04-01,38807.8,7684.0,71950.0,97925.0,14752.4,1564.8,61975.0,9975.0,1564.8,,25976.0,5503.6
1953-07-01,38027.0,7542.8,69969.0,96622.0,14615.6,1616.4,60964.0,9004.0,1616.4,,26653.0,5456.4
1953-10-01,38736.4,6678.0,69519.0,96747.0,13866.0,1670.8,60290.0,9229.0,1670.8,,27228.0,5517.2
1954-01-01,37219.8,6640.4,66734.0,94831.0,14059.2,1730.0,57326.0,9408.0,1730.0,,28097.0,5688.8
1954-04-01,36028.2,6377.8,63692.0,92534.0,13723.6,1779.6,55214.0,8478.0,1779.6,,28842.0,5566.4
1954-07-01,35788.4,5557.4,61352.0,91148.0,12941.4,1828.8,53215.0,8137.0,1828.8,,29796.0,5555.2
1954-10-01,35999.4,5436.6,61244.0,91356.0,12792.0,1882.4,52038.0,9206.0,1882.4,,30112.0,5472.8
