Date,Consumption expenditures,Equipment,Federal,Government consumption expenditures and gross investment,Gross investment,Intellectual property products,National defense,Nondefense,Research and development,Residual,Software,State and local,Structures
2007-01-01,1233325.0,68169.2,1185518.0,3299115.0,324351.4,105283.6,752640.0,431796.0,89830.8,-11272.0,16550.8,2120637.0,152905.6
2007-04-01,1241939.8,72375.4,1204950.0,3329139.0,331314.2,105618.0,769601.0,434095.0,90023.4,-9766.0,16678.8,2130646.0,155081.0
2007-07-01,1249348.8,72739.8,1215483.0,3344222.0,332058.2,106029.8,774455.0,439829.0,90182.4,-9185.0,16900.8,2134852.0,154913.6
2007-10-01,1259903.8,75961.4,1235807.0,3370950.0,336128.2,106610.6,788366.0,446182.0,90537.4,-7872.0,17109.0,2140641.0,154832.2
2008-01-01,1267256.2,76321.8,1254557.0,3378654.0,335508.6,107371.8,801287.0,451951.0,90384.4,-6693.0,17889.2,2128755.0,152945.6
2008-04-01,1276623.8,80731.6,1281368.0,3407753.0,342907.6,107530.2,815761.0,464388.0,90368.0,-6126.0,18039.6,2130332.0,155760.6
2008-07-01,1288239.2,81669.8,1297975.0,3435100.0,345393.8,107640.0,834320.0,462056.0,90323.2,-5467.0,18172.0,2140834.0,157258.4
2008-10-01,1302074.2,81284.8,1314893.0,3458839.0,344410.6,107742.4,846838.0,466365.0,90707.0,-5614.0,17941.2,2147350.0,156671.6
2009-01-01,1323297.4,79522.8,1332300.0,3498103.0,342718.0,108104.8,849431.0,481499.0,91265.6,-6630.0,17791.6,2169143.0,156453.0
2009-04-01,1344078.0,82072.6,1363933.0,3549027.0,348500.4,108933.8,871337.0,491163.0,91824.8,-6018.0,18043.8,2187891.0,158818.6
2009-07-01,1348423.4,82215.2,1376381.0,3558540.0,350327.4,109864.0,877987.0,496989.0,92442.4,-5693.0,18336.2,2184555.0,159654.0
2009-10-01,1357221.8,82694.0,1396928.0,3565188.0,348231.4,110615.6,887914.0,507684.0,92598.4,-4524.0,18861.0,2169823.0,156121.0
2010-01-01,1357529.8,83226.8,1412544.0,3549775.0,344740.6,111348.2,892863.0,518470.0,92907.2,-3228.0,19238.0,2137797.0,151109.2
2010-04-01,1359253.6,83433.2,1431015.0,3560566.0,350868.6,111070.0,899202.0,530710.0,92669.2,-3637.0,19192.2,2129491.0,157777.2
2010-07-01,1348642.6,81221.6,1424541.0,3535371.0,350057.6,111723.8,897430.0,525947.0,92677.4,-3671.0,19772.4,2110610.0,158705.6
2010-10-01,1341564.2,82418.2,1422256.0,3512905.0,347607.4,111604.8,899718.0,521296.0,92128.2,-2651.0,20148.2,2090152.0,154885.4
2011-01-01,1327014.4,79360.6,1402162.0,3469798.0,340958.4,111484.4,883231.0,517806.0,91612.2,-2590.0,20497.6,2067272.0,151394.4
2011-04-01,1319982.2,79718.8,1396760.0,3446079.0,337355.0,111656.0,886941.0,508500.0,91346.6,-1506.0,20890.6,2048802.0,146948.6
2011-07-01,1297405.6,79688.4,1366393.0,3396917.0,334176.2,111949.2,874827.0,490065.0,91243.4,-937.0,21250.8,2030405.0,143241.6
2011-10-01,1299091.0,79204.2,1371480.0,3394613.0,332675.6,112319.6,867273.0,503034.0,91288.2,-965.0,21548.8,2022796.0,141727.8
2012-01-01,1299768.0,78295.2,1371423.0,3380162.0,326282.6,111386.0,861660.0,508761.0,90608.8,-751.0,21295.8,2008214.0,137027.4
2012-04-01,1291766.2,79835.6,1360498.0,3362330.0,324976.4,111408.4,851119.0,508495.0,90104.4,-375.0,21772.4,2001428.0,133931.0
2012-07-01,1295274.6,79371.6,1363348.0,3357201.0,320048.2,111311.6,853288.0,509149.0,89572.2,72.0,22169.0,1993353.0,129374.4
2012-10-01,1281167.8,75816.2,1336152.0,3324137.0,315605.4,112611.2,826679.0,508898.0,89468.2,-362.0,23482.4,1987819.0,127233.0
2013-01-01,1270126.4,73098.4,1305953.0,3293099.0,308282.2,111485.0,806700.0,498712.0,88224.6,-473.0,23571.2,1987201.0,123690.8
2013-04-01,1268286.8,72241.0,1295886.0,3288858.0,306442.6,109629.4,802275.0,493013.0,86947.8,-625.0,23007.8,1993083.0,124618.4
2013-07-01,1257216.4,73275.6,1277807.0,3272825.0,307455.0,109022.8,786507.0,490816.0,85761.8,-480.0,23532.8,1995116.0,125179.4
2013-10-01,1245285.2,73779.6,1256027.0,3247579.0,304897.4,107980.0,774015.0,481526.0,84202.8,-89.0,23996.8,1991643.0,123074.6
2014-01-01,1247744.8,68704.6,1254936.0,3233646.0,296753.2,107257.8,764400.0,490217.0,82949.6,-415.0,24484.8,1978790.0,120823.6
2014-04-01,1241732.2,71826.2,1247703.0,3238033.0,303021.4,107509.0,759699.0,487703.0,82577.8,-210.0,25077.8,1990341.0,123686.4
2014-07-01,1252483.6,70765.4,1262053.0,3259900.0,303926.2,108331.2,769714.0,492021.0,82636.6,-302.0,25814.2,1997887.0,124857.8
2014-10-01,1244569.8,71675.0,1243057.0,3257472.0,307040.0,109174.0,747787.0,495105.0,83328.2,-247.0,25970.0,2014353.0,126216.6
2015-01-01,1255869.4,68702.4,1248048.0,3277170.0,304661.8,110313.8,745606.0,502343.0,84253.4,-398.0,26190.2,2029059.0,125703.6
2015-04-01,1260775.4,70994.4,1251919.0,3309301.0,313343.4,111373.4,747548.0,504279.0,85046.6,-442.0,26459.0,2057326.0,131067.4
2015-07-01,1265984.2,70997.0,1250784.0,3326769.0,314911.6,112367.8,740332.0,510434.0,85729.0,-463.0,26771.2,2075918.0,131622.8
2015-10-01,1274006.8,72412.4,1260182.0,3341055.0,314474.8,113642.4,746010.0,514151.0,86225.4,-273.0,27532.6,2080801.0,128435.6
2016-01-01,1279261.8,72843.6,1261134.0,3371646.0,321635.4,114782.2,743247.0,517890.0,86142.8,-291.0,28716.6,2110487.0,134066.4
2016-04-01,1279955.4,71714.0,1254810.0,3369042.0,318667.4,115253.0,735829.0,519006.0,85622.0,-275.0,29677.6,2114243.0,131740.4
2016-07-01,1287495.8,71029.2,1261434.0,3383696.0,318317.8,116452.4,743289.0,518147.0,85716.0,-198.0,30762.2,2122261.0,130867.6
2016-10-01,1287326.0,70801.4,1262501.0,3389649.0,321069.0,117458.8,742228.0,520280.0,85655.2,-170.0,31814.8,2127153.0,132849.2
2017-01-01,1280084.6,72850.2,1257161.0,3380244.0,323458.4,119321.4,739054.0,518114.0,86389.8,-62.0,32936.6,2123095.0,131296.4
2017-04-01,1280586.6,75492.0,1263907.0,3389811.0,328114.2,120925.2,749843.0,514061.0,86944.2,15.0,33980.2,2125901.0,131695.6
2017-07-01,1280197.4,75594.4,1263116.0,3394009.0,330018.6,122504.4,746786.0,516326.0,87502.8,36.0,34998.4,2130886.0,131917.2
2017-10-01,1287075.0,78291.0,1280033.0,3424498.0,338734.2,124021.4,757491.0,522541.0,88053.6,11.0,35967.2,2144464.0,136416.4
2018-01-01,1290407.8,78504.8,1293037.0,3431709.0,340909.4,127681.2,760228.0,532802.0,88897.8,-142.0,38822.8,2138736.0,134727.0
2018-04-01,1296877.0,78504.0,1302317.0,3456309.0,346166.8,129139.8,767159.0,535153.0,89094.0,-220.0,40114.6,2154046.0,138496.8
