Date,Compensation of general government employees,Consumption of general government fixed capital,Defense consumption expenditures,Durable goods,Federal consumption expenditures,Government consumption expenditures,Gross output of general government,Health and hospital charges,Intermediate goods and services purchased,Less: Own-account investment,Less: Sales to other sectors,Nondefense consumption expenditures,Nondurable goods,Other nondurable goods,Other sales,Services,State and local consumption expenditures,Tuition and related educational charges,Value added
1947-01-01,4.1034,11.7974,7.963,19.840600000000002,7.87,6.108,6.6494,2.485,10.6616,10.2596,6.3546,6.973,11.77975,13.75,8.924,7.7366,4.423,1.999,5.5148
1947-04-01,4.1078,11.9648,7.923,19.9844,7.769,6.083,6.691800000000001,2.577,10.715399999999999,10.2506,7.606999999999999,6.6,12.512,12.903,9.057,7.539,4.492,2.017,5.5506
1947-07-01,3.7412,12.5924,7.223,22.177799999999998,7.366,5.903,6.558199999999999,2.668,11.3928,10.2668,7.159000000000001,7.34,12.35875,12.688,9.202,8.4366,4.573,2.052,5.3662
1947-10-01,3.7644000000000006,12.644,7.2,21.3782,7.381,5.975,6.652200000000001,2.729,11.618,10.253,7.5146,7.58,12.70325,12.434,9.429,8.43,4.72,2.088,5.430400000000001
1948-01-01,3.7728,12.6378,7.397,21.253999999999998,7.445,6.089,6.6372,2.789,11.9608,10.1238,7.331999999999999,7.027,14.305250000000001,14.345,9.745,8.5334,4.9,2.124,5.3888
1948-04-01,3.8262,12.7634,7.518,21.2498,7.501,6.163,6.6806,2.819,11.817,10.1306,7.5428,6.864,13.5835,12.146,9.655,8.5506,5.002,2.142,5.4414
1948-07-01,3.8262,13.1476,7.615,22.400600000000004,7.549,6.271,6.7518,2.849,11.9886,10.232800000000001,7.719199999999999,6.784,13.294,12.406,9.918,8.918000000000001,5.192,2.16,5.4824
1948-10-01,3.8518,13.146600000000001,7.649,21.9334,7.559,6.319,6.7694,2.849,11.801400000000001,10.3854,7.408799999999999,6.734,13.00975,12.792,9.845,8.857800000000001,5.292,2.177,5.5136
1949-01-01,4.0134,13.3708,7.795,22.8696,7.824,6.438,6.9858,2.849,11.966,10.677800000000001,7.755799999999999,7.303,13.118,12.727,9.738,9.0252,5.239,2.177,5.724200000000001
1949-04-01,4.0372,13.2176,7.8,22.074199999999998,7.836,6.413,6.9768,2.879,11.907399999999999,10.7618,7.680200000000001,7.336,12.953499999999998,14.502,9.585,9.016,5.168,2.177,5.7216000000000005
1949-07-01,4.0592,12.8376,7.757,21.6974,7.79,6.395,6.9482,2.879,11.894,10.8214,7.436,7.298,12.8625,12.354,9.603,8.904,5.183,2.177,5.714
1949-10-01,4.1854,12.885,7.913,21.6008,7.971,6.475,7.073600000000001,2.909,12.1376,10.834999999999999,7.4066,7.543,12.9425,12.469,9.648,8.814,5.158,2.177,5.851
1950-01-01,4.1868,12.712399999999999,7.934,21.907,7.991,6.488,7.094799999999999,2.909,12.6446,10.7424,7.5550000000000015,7.584,12.99225,13.45,9.666,8.9596,5.166,2.195,5.840999999999999
