Date,Commodity Credit Corporation inventory change,Compensation of general government employees,Consumption of general government fixed capital,Defense consumption expenditures,Durable goods,Federal consumption expenditures,Government consumption expenditures,Gross output of general government,Health and hospital charges,Intermediate goods and services purchased,Less: Own-account investment,Less: Sales to other sectors,Nondefense consumption expenditures,Nondurable goods,Other nondurable goods,Other sales,Services,State and local consumption expenditures,Tuition and related educational charges,Value added
1947-01-01,-364.0,11286.0,6547.6,20950.0,192.6,24698.0,35326.0,20446.8,184.0,2613.4,340.0,1036.6,3748.0,792.0,352.0,847.0,1628.4,10628.0,82.0,17833.6
1947-04-01,232.0,10697.6,6317.8,19342.0,206.8,24036.0,35020.0,20221.4,192.0,3206.2,332.8,1073.0,4694.0,1170.0,383.0,882.0,1829.4,10984.0,86.0,17015.4
1947-07-01,300.0,9679.6,6217.8,17565.0,307.4,21886.0,33269.0,18648.0,205.0,2751.0,336.8,626.2,4321.0,1071.0,112.0,910.0,1372.2,11383.0,90.0,15897.4
1947-10-01,168.0,9581.2,6086.8,17810.0,299.8,21139.0,32949.0,18397.8,221.0,2729.8,348.8,641.6,3329.0,1011.6,113.0,931.0,1418.2,11811.0,93.0,15668.0
1948-01-01,-484.0,9926.0,5850.8,17675.0,524.6,21275.0,33338.0,18807.2,234.0,3030.2,371.2,845.4,3600.0,839.6,220.0,934.0,1666.4,12064.0,101.0,15777.2
1948-04-01,168.0,10030.8,5700.2,17323.0,504.6,22275.0,34638.0,19381.4,247.0,3650.0,400.4,670.8,4952.0,1284.4,301.0,952.0,1861.4,12363.0,109.0,15731.4
1948-07-01,660.0,10438.4,5657.6,17504.0,584.0,23020.0,35881.0,20065.8,263.0,3969.8,427.2,682.0,5515.0,1519.2,301.0,974.0,1867.0,12862.0,117.0,16095.8
1948-10-01,848.0,10855.2,5536.4,18055.0,650.2,23945.0,37237.0,20962.2,276.0,4570.2,446.8,831.2,5890.0,1830.6,393.0,1001.0,2089.2,13293.0,121.0,16391.8
1949-01-01,1620.0,11264.0,5471.4,18388.0,626.4,24728.0,38333.0,21395.8,288.0,4660.8,436.0,680.6,6340.0,2331.6,213.0,1036.0,1702.6,13605.0,124.0,16735.2
1949-04-01,1820.0,11403.2,5258.0,18331.0,681.4,25316.0,39086.0,21841.4,296.0,5180.0,447.2,696.2,6985.0,2482.8,308.0,1075.0,2015.4,13770.0,128.0,16661.4
1949-07-01,1308.0,11451.2,5054.6,18072.0,731.0,24253.0,38432.0,21467.6,291.0,4961.8,465.2,778.8,6181.0,2202.6,283.0,1119.0,2028.2,14178.0,132.0,16505.8
1949-10-01,1252.0,11538.8,4940.0,17497.0,641.6,23722.0,38121.0,21202.0,291.0,4723.4,468.4,740.8,6225.0,2158.6,283.0,1166.0,1923.0,14399.0,132.0,16478.8
1950-01-01,1020.0,11422.4,4792.0,17595.0,966.2,23471.0,38276.0,21227.8,286.0,5013.2,459.6,763.8,5876.0,2056.4,260.0,1231.0,1990.4,14805.0,127.0,16214.6
1950-04-01,1768.0,11620.8,4710.0,17659.0,995.2,23570.0,38553.0,21838.4,286.0,5507.4,470.0,1233.2,5911.0,2538.2,237.0,1271.0,1974.0,14983.0,131.0,16330.8
1950-07-01,-1152.0,12354.8,4741.6,18931.0,1145.0,22713.0,38013.0,21039.4,290.0,3943.0,524.4,767.4,3782.0,952.0,226.0,1302.0,1846.0,15300.0,127.0,17096.2
1950-10-01,-620.0,13607.2,4912.2,21755.0,1391.8,25794.0,41394.0,23041.0,298.0,4521.6,541.2,783.4,4039.0,1310.0,132.0,1323.0,1820.4,15600.0,126.0,18519.4
1951-01-01,-564.0,15144.0,5061.4,27074.0,1826.0,31252.0,47138.0,27451.2,307.0,7246.0,581.2,1764.4,4179.0,2033.2,180.0,1320.0,3387.0,15886.0,130.0,20205.0
1951-04-01,-532.0,16357.6,5140.6,31143.0,2470.6,35522.0,51618.0,29244.8,316.0,7746.6,638.8,854.2,4379.0,2058.2,214.0,1331.0,3217.8,16095.0,130.0,21498.0
1951-07-01,-160.0,17448.4,5259.6,36056.0,2957.2,40433.0,56906.0,32396.0,316.0,9688.0,697.2,850.0,4377.0,2257.2,205.0,1343.0,4473.6,16473.0,133.0,22708.0
1951-10-01,-300.0,17876.0,5417.0,37890.0,3666.4,42405.0,59225.0,33730.6,325.0,10437.8,720.4,839.6,4516.0,2213.0,301.0,1356.0,4558.2,16819.0,133.0,23293.0
1952-01-01,-348.0,18606.8,5535.8,38848.0,4281.2,44172.0,60921.0,34812.4,330.0,10670.0,784.8,824.8,5325.0,2372.0,402.0,1376.0,4016.6,16749.0,137.0,24142.2
1952-04-01,92.0,19097.6,5699.8,42045.0,4806.0,47154.0,64723.0,37096.0,333.0,12298.8,830.8,945.2,5109.0,2787.8,290.0,1393.0,4705.4,17569.0,137.0,24797.4
1952-07-01,224.0,19334.0,5929.4,43134.0,5106.4,48700.0,66087.0,37905.6,343.0,12641.8,877.6,853.6,5566.0,2832.2,303.0,1411.0,4703.4,17387.0,141.0,25263.4
1952-10-01,656.0,19376.8,6079.8,44610.0,5512.0,50343.0,68119.0,39131.2,347.0,13674.6,914.4,900.4,5734.0,3114.4,238.0,1430.0,5048.2,17776.0,145.0,25457.0
1953-01-01,1672.0,19414.0,6237.0,44361.0,5837.4,50914.0,69217.0,39748.0,351.0,14096.6,964.0,914.0,6553.0,4472.4,221.0,1452.0,3787.4,18304.0,149.0,25650.8
1953-04-01,2808.0,19538.4,6414.6,44206.0,6242.4,52504.0,70767.0,40682.2,364.0,14729.0,962.0,912.0,8298.0,5081.6,333.0,1473.0,3404.6,18264.0,153.0,25953.2
1953-07-01,1796.0,19462.4,6463.6,43669.0,5298.6,50951.0,69592.0,39917.0,372.0,13990.8,964.8,925.6,7282.0,4687.4,330.0,1492.0,4004.8,18641.0,152.0,25926.0
1953-10-01,1868.0,19418.8,6562.8,44533.0,5015.6,52046.0,70818.0,40637.0,385.0,14655.6,960.4,940.4,7514.0,4801.4,372.0,1513.0,4839.2,18771.0,156.0,25981.8
1954-01-01,2316.0,19311.6,6675.2,41427.0,4325.8,49264.0,68418.0,39147.2,393.0,13160.2,969.6,958.0,7836.0,4306.2,358.0,1525.0,4527.8,19154.0,160.0,25986.8
1954-04-01,1612.0,19522.8,6867.0,40000.0,4499.8,46959.0,66591.0,38171.8,410.0,11782.0,966.8,1176.8,6959.0,3889.8,359.0,1554.0,3392.8,19632.0,167.0,26389.8
1954-07-01,1232.0,19572.4,6990.0,39450.0,3987.6,46111.0,66415.0,37733.4,422.0,11171.0,952.0,992.6,6662.0,3678.6,312.0,1592.0,3504.8,20304.0,171.0,26562.6
1954-10-01,2332.0,19671.6,7149.6,38417.0,4081.6,46279.0,66859.0,38004.2,431.0,11183.0,941.2,1063.6,7862.0,4110.8,313.0,1636.0,2990.4,20580.0,179.0,26821.2
