Date,Commodity Credit Corporation inventory change,Compensation of general government employees,Consumption of general government fixed capital,Defense consumption expenditures,Durable goods,Federal consumption expenditures,Government consumption expenditures,Gross output of general government,Health and hospital charges,Intermediate goods and services purchased,Less: Own-account investment,Less: Sales to other sectors,Nondefense consumption expenditures,Nondurable goods,Other nondurable goods,Other sales,Residual,Services,State and local consumption expenditures,Tuition and related educational charges,Value added
2007-01-01,67.0,776833.4,205741.8,593233.0,33407.2,918093.0,2622339.0,1449112.6,180319.0,466975.0,39065.4,176687.8,323911.0,115064.6,21960.0,148828.0,-5015.0,319521.0,1709049.0,101876.0,981155.2
2007-04-01,80.0,778057.0,207485.2,601764.0,34649.6,927933.0,2639122.0,1458308.2,181370.0,472966.8,39285.4,177017.2,325113.0,116023.0,22866.0,148323.0,-4625.0,323264.0,1715767.0,101050.0,984229.2
2007-07-01,-246.0,780699.2,209248.0,608161.0,35785.8,938834.0,2652352.0,1465202.8,182281.0,475435.8,39294.0,176459.4,329638.0,115659.2,23276.0,147450.0,-4250.0,324882.6,1717759.0,100245.0,988680.8
2007-10-01,114.0,784253.4,211033.6,618893.0,37259.4,955516.0,2670644.0,1475113.0,182732.0,480057.8,39334.8,175721.8,335573.0,115224.4,24254.0,145721.0,-4486.0,328520.0,1718893.0,99494.0,994063.4
2008-01-01,-91.0,788112.8,212844.6,630942.0,38113.8,973261.0,2680464.0,1482401.8,184504.0,481966.6,39529.8,175448.8,341216.0,114281.0,24867.0,143592.0,-5106.0,330597.4,1710398.0,98537.0,999763.4
2008-04-01,3435.0,792060.4,214616.0,635777.0,38742.0,988489.0,2696274.0,1491541.2,186205.0,485430.6,39495.6,175219.6,351896.0,117471.2,26575.0,141608.0,-4286.0,329498.4,1710683.0,97746.0,1005507.8
2008-07-01,104.0,797794.0,216352.8,652015.0,39475.2,1001287.0,2719207.0,1505019.8,188400.0,491269.4,39521.8,177031.4,347965.0,114777.8,25277.0,139826.0,-5862.0,338505.4,1720722.0,97222.0,1012956.2
2008-10-01,-5118.0,802483.4,218059.4,662478.0,39903.2,1014910.0,2747069.0,1517271.4,190183.0,496770.8,39660.6,175198.2,351016.0,114406.6,25990.0,138282.0,-5518.0,344254.6,1734898.0,96405.0,1019336.6
2009-01-01,390.0,806759.2,219737.0,668050.0,40477.0,1035457.0,2789729.0,1539877.6,191936.0,512651.8,40012.2,176195.8,366365.0,121741.0,29065.0,138474.0,-3271.0,351801.4,1756886.0,95702.0,1025296.0
2009-04-01,210.0,811632.8,221334.6,684891.0,41955.0,1061367.0,2828947.0,1561035.0,193663.0,526908.2,39527.8,177066.6,375429.0,125159.0,30584.0,138766.0,-1761.0,360967.4,1769756.0,94991.0,1031740.8
2009-07-01,78.0,811215.8,222851.8,690560.0,43097.0,1069445.0,2835881.0,1565681.4,194992.0,530205.4,39276.8,177630.6,377823.0,125310.6,29135.0,139232.0,-763.0,362785.4,1768408.0,94080.0,1032926.0
2009-10-01,111.0,813233.2,224289.6,701313.0,42313.8,1087365.0,2849154.0,1574663.0,195197.0,535631.0,39231.8,177855.8,385003.0,123285.6,30262.0,139843.0,-1006.0,371379.6,1763274.0,93594.0,1036411.6
2010-01-01,-315.0,814335.0,225648.8,706809.0,41746.4,1100029.0,2843832.0,1575339.0,195934.0,534013.0,39150.2,178317.0,392249.0,121518.4,31072.0,140308.0,-1449.0,372299.0,1744730.0,93238.0,1038896.4
