Date,Aircraft,Ammunition,Civilian,Compensation of general government employees,Consumption expenditures,Consumption of general government fixed capital,Durable goods,Electronics,Equipment,Gross investment,Gross output of general government,Installation support,Intellectual property products,Intermediate goods and services purchased,Less: Own-account investment,Less: Sales to other sectors,Military,Missiles,Nondurable goods,Other durable goods,Other equipment,Other nondurable goods,Personnel support,Petroleum products,Research and development,Services,Ships,Software,Structures,Transportation of material,Travel of persons,Value added,Vehicles,Weapons support
1972-04-01,0.20500000000000002,-0.2,0.33,-4.24,-3.38,-0.77,-0.24,-0.22999999999999998,6.49,6.82,-2.21,3.97,0.54,2.8,-0.2,-0.98,-4.57,0.07999999999999999,-0.52,0.12,4.8,0.05,0.13,-0.37,0.51,3.56,0.6649999999999999,0.03,-0.21,-0.02,-0.04,-5.01,-0.05499999999999999,-0.48
1972-07-01,-1.46,-0.3,0.14,0.35,-14.47,-0.63,-2.03,-0.07999999999999999,-8.37,-7.96,-15.13,-7.44,0.42,-14.86,-0.12,0.78,0.21,0.365,-1.75,-0.18,-7.27,-1.15,-0.55,-0.3,0.36,-11.07,-0.21500000000000002,0.06,0.0,-1.46,-1.18,-0.28,-0.085,-0.46
1972-10-01,0.225,0.16,-0.18,0.64,-3.06,-0.7,-0.64,0.27999999999999997,4.95,4.9,-2.44,-0.71,0.2,-2.37,-0.17,-0.45,0.82,-1.015,-1.32,-0.05,6.64,0.48,0.44,-1.96,0.15,-0.41,-0.73,0.05,-0.25,0.32,0.92,-0.07,0.095,-1.39
1973-01-01,0.02999999999999997,-0.69,-2.41,-5.17,-2.67,-0.64,1.34,0.015,8.48,8.34,-3.07,1.04,0.03,2.73,0.19,0.21,-2.76,1.185,-0.72,0.53,6.71,0.01,-0.74,-0.04,-0.04,2.11,0.235,0.07,-0.17,-0.4,0.24,-5.8,-0.16999999999999998,1.97
1973-04-01,-0.99,-0.21,-0.14,-3.42,-4.55,-0.6,-0.43,-0.15000000000000002,-3.26,-3.3,-2.38,3.01,-0.2,1.64,0.03,-2.2,-3.29,0.245,-0.56,0.05,-2.43,0.31,0.52,-0.67,-0.24,2.64,0.07,0.04,0.16,0.1,-0.66,-4.02,0.175,-0.33
1973-07-01,-1.05,-1.96,-0.41,-2.29,-12.82,-0.55,-2.76,-0.435,-5.92,-5.9,-12.97,-1.15,-0.41,-10.13,0.02,0.13,-1.88,-0.735,-4.0,-0.38,-1.35,-0.51,-0.77,-1.53,-0.46,-3.38,-0.74,0.05,0.43,-0.46,0.68,-2.84,-0.515,-1.67
1973-10-01,1.565,0.66,0.54,-0.2,3.81,-0.66,1.36,0.5650000000000001,-0.37,-0.94,2.49,-1.02,-0.62,3.35,-0.05,1.38,-0.74,0.285,0.88,-0.28,-3.82,0.2,1.43,0.01,-0.68,1.12,0.049999999999999996,0.05,0.06,-0.11,-0.19,-0.86,0.075,1.0
1974-01-01,-1.81,-0.57,0.78,0.12,-0.32,-0.6,-2.11,-0.49,8.37,7.15,1.37,3.26,-0.79,1.85,0.18,-1.86,-0.66,0.05499999999999999,-0.29,0.21,9.15,0.37,-0.24,-0.09,-0.84,4.25,0.565,0.06,-0.43,-0.32,0.35,-0.48,0.135,1.2
1974-04-01,1.22,-0.53,0.44,-0.32,1.95,-0.51,1.59,0.625,2.91,2.35,2.19,-1.42,-0.63,3.02,0.0,-0.24,-0.76,0.41500000000000004,1.72,0.13,-1.66,0.21,-0.44,2.04,-0.69,-0.28,0.5700000000000001,0.06,0.07,1.23,0.12,-0.83,0.195,0.23
1974-07-01,-1.28,-1.21,0.56,-0.83,-10.08,-0.46,-3.98,-0.8350000000000001,4.67,2.89,-10.7,0.85,-0.6,-9.41,0.08,0.54,-1.39,-0.22999999999999998,-2.9,0.57,6.19,-0.07,0.01,-1.62,-0.62,-2.53,-0.11,0.02,-1.19,-1.79,-0.19,-1.29,-0.5700000000000001,-1.41
