Date,Aircraft,Ammunition,Civilian,Compensation of general government employees,Consumption expenditures,Consumption of general government fixed capital,Durable goods,Electronics,Equipment,Gross investment,Gross output of general government,Installation support,Intellectual property products,Intermediate goods and services purchased,Less: Own-account investment,Less: Sales to other sectors,Military,Missiles,National defense consumption expenditures and gross investment,Nondurable goods,Other durable goods,Other equipment,Other nondurable goods,Personnel support,Petroleum products,Research and development,Services,Ships,Software,Structures,Transportation of material,Travel of persons,Value added,Vehicles,Weapons support
1972-01-01,39.1215,248.903,119.266,131.983,80.76,62.125,48.879,16.2985,11.072,30.164,79.472,56.135,54.361,54.319,46.872,89.669,138.856,68.954,65.624,186.062,17.786,-29.735,35.271,18.269,442.745,74.625,37.712,43.592,2.526,206.494,127.245,71.898,96.752,101.975,27.715
1972-04-01,38.943,242.898,119.921,128.874,79.982,61.542,48.495,14.5885,14.851,33.468,79.003,70.141,55.203,56.298,47.779,141.531,133.586,67.519,66.181,181.062,18.837,-11.331,35.733,18.91,421.686,75.741,41.203,54.2405,2.613,200.096,127.374,71.601,94.922,107.1605,25.806
1972-07-01,32.5355,233.129,120.089,129.059,76.186,61.018,43.398,13.145499999999998,9.574,29.12,75.255,42.519,55.822,45.802,48.355,100.842,133.781,77.0935,62.111,163.634,16.934,-42.911,24.257,16.804,404.208,76.491,30.096,48.3915,2.766,199.093,101.824,49.204,94.747,93.18,23.739
1972-10-01,32.159,237.925,119.744,129.504,75.506,60.55,42.124,15.046000000000001,12.38,31.394,74.742,40.154,56.119,44.337,49.11,123.863,134.681,62.643,62.395,151.821,16.52,-17.584,28.571,18.38,303.487,76.813,29.744,42.7755,2.887,192.414,107.097,65.165,94.727,102.387,18.541
1973-01-01,33.5115,217.515,115.186,125.899,74.889,60.132,44.863,14.629,17.256,35.309,74.068,43.634,56.161,46.004,48.268,113.439,131.644,73.764,63.261,145.406,21.386,7.753,28.685,15.961,301.797,76.718,31.633,46.668499999999995,3.078,187.971,100.686,69.22,92.738,87.1995,25.766
1973-04-01,29.847,211.394,114.911,123.456,73.816,59.731,43.911,14.179499999999999,15.236,33.669,73.523,53.755,55.853,46.945,48.146,230.602,127.951,76.2115,61.981,140.404,21.846,-1.758,31.487,17.607,271.989,76.205,33.987,48.5455,3.177,191.793,102.363,56.973,91.333,107.8795,24.495
1973-07-01,27.1395,151.862,114.045,121.769,70.734,59.331,37.921,11.468,11.367,30.6,70.562,49.647,55.215,40.381,48.069,224.854,125.791,65.952,58.852,108.002,18.245,-7.226,26.759,15.236,213.12,75.203,30.65,36.795,3.304,201.712,94.096,68.872,90.303,70.2805,17.635
1973-10-01,30.289,170.241,115.032,121.639,71.543,58.929,40.588,14.332999999999998,11.077,30.152,71.067,46.449,54.335,42.256,48.298,157.615,125.013,73.213,59.269,113.828,15.799,-19.323,28.453,19.239,213.431,73.851,31.604,36.3925,3.444,203.153,92.388,65.518,90.031,73.40299999999999,21.547
1974-01-01,24.6735,154.588,116.461,121.716,71.458,58.558,36.364,12.372,15.969,33.391,71.335,56.783,53.215,43.249,47.508,249.099,124.318,69.582,60.257,111.636,17.682,8.62,31.558,18.4,210.792,72.162,35.331,39.8315,3.586,193.625,87.3,71.647,89.876,79.967,26.246
1974-04-01,27.502000000000002,140.737,117.303,121.497,71.878,58.234,39.53,15.8795,17.644,34.456,71.79,52.184,52.322,44.941,47.513,260.846,123.498,69.854,60.895,122.355,18.815,2.819,33.316,16.982,264.138,70.784,35.09,45.688,3.742,195.336,106.127,73.669,89.6,94.5165,27.247
