Date,Aircraft,Ammunition,Civilian,Compensation of general government employees,Consumption expenditures,Consumption of general government fixed capital,Durable goods,Electronics,Equipment,Gross investment,Gross output of general government,Installation support,Intellectual property products,Intermediate goods and services purchased,Less: Own-account investment,Less: Sales to other sectors,Military,Missiles,National defense consumption expenditures and gross investment,Nondurable goods,Other durable goods,Other equipment,Other nondurable goods,Personnel support,Petroleum products,Research and development,Services,Ships,Software,Structures,Transportation of material,Travel of persons,Value added,Vehicles,Weapons support
1972-01-01,55.104499999999994,22.603,13.103,14.044,17.703,22.221,31.306,163.982,58.419,34.815,17.876,18.344,25.664,17.732,25.833,12.771,14.712,60.096999999999994,20.636,11.727,29.185,21.155,23.731,10.975,5.673,22.952,17.143,20.103,71.678,10.678,24.196,17.308,17.235,23.314500000000002,18.493
1972-04-01,56.128,22.936,13.131,14.194,17.914,22.526,31.406,164.1605,57.431,34.928,18.085,18.567,25.855,17.934,25.976,13.071,14.935,61.7215,20.857,12.108,29.846,20.979,23.997,10.771,6.014,23.125,17.258,23.5845,71.926,10.837,24.63,17.204,17.436,22.868499999999997,18.832
1972-07-01,55.510000000000005,22.912,13.205,14.154,18.045,23.213,31.305,159.359,56.861,35.29,18.216,19.064,26.094,18.013,26.208,13.143,14.828,63.0795,21.022,12.005,29.01,21.468,24.234,10.791,5.858,23.342,17.527,24.592,72.198,11.472,24.917,17.161,17.577,23.153,19.178
1972-10-01,55.666,22.958,13.691,14.681,18.486,23.499,31.394,159.2345,57.294,35.84,18.653,18.936,26.381,18.109,26.553,13.218,15.383,65.68299999999999,21.508,12.28,28.812,21.356,24.512,10.843,6.149,23.603,17.477,24.310499999999998,72.569,12.09,25.044,17.145,18.085,23.1325,18.984
1973-01-01,55.866499999999995,23.858,13.946,14.893,18.817,23.782,32.146,162.5795,55.915,35.965,18.987,19.275,26.723,18.731,26.989,13.521,15.572,60.204,21.836,13.115,28.921,21.171,25.27,11.418,6.885,23.908,17.878,23.694000000000003,73.576,12.827,25.237,17.182,18.331,23.545,19.7
1973-04-01,57.095,24.48,14.055,15.068,19.196,24.351,32.9,166.7075,56.674,36.606,19.364,19.952,27.162,19.378,27.375,13.649,15.787,60.5805,22.267,13.773,29.283,20.933,25.601,12.669,7.526,24.305,18.467,23.3855,74.413,13.394,25.32,17.21,18.62,23.4135,19.958
1973-07-01,57.449999999999996,24.312,14.234,15.229,19.695,25.325,33.273,166.90349999999998,56.795,37.146,19.864,21.074,27.7,20.26,27.729,14.238,15.938,61.231500000000004,22.803,15.433,30.233,30.28,26.408,13.648,9.818,24.794,19.062,25.5875,75.16,13.804,25.047,17.024,19.003,23.076999999999998,19.814
1973-10-01,55.883,25.477,14.514,15.678,20.149,26.002,33.316,163.0915,55.167,37.411,20.31,20.922,28.333,20.256,28.045,14.33,16.491,60.0895,23.268,16.366,29.801,35.467,27.238,11.942,10.629,25.374,18.545,27.312,75.804,14.104,25.299,17.272,19.544,22.718,19.091
1974-01-01,56.518,26.913,14.344,15.654,20.344,26.25,34.109,167.9375,56.448,38.277,20.507,20.463,29.063,21.028,28.322,14.603,16.556,60.595,23.545,17.784,31.563,43.383,27.697,12.156,12.191,26.042,18.982,28.6405,76.678,14.368,27.287,17.455,19.588,23.2915,21.074
1974-04-01,56.704,28.827,14.428,15.742,20.662,26.688,34.547,174.22449999999998,55.513,38.595,20.847,21.769,29.789,21.916,28.721,15.854,16.648,61.474,23.882,18.958,30.621,27.657,28.102,12.598,13.253,26.694,19.844,28.5325,78.539,14.732,28.389,18.213,19.773,23.186999999999998,21.341
1974-07-01,57.566500000000005,29.897,14.507,15.89,21.349,27.86,36.387,180.7105,57.553,39.822,21.53,22.568,30.503,23.526,29.225,16.455,16.84,62.553,24.67,21.481,32.039,35.916,29.121,13.054,16.225,27.333,20.935,31.353,80.498,15.538,33.47,18.659,20.194,25.1235,21.796
1974-10-01,58.342,31.288,15.179,16.508,22.143,28.603,37.362,192.367,56.506,40.128,22.329,23.166,31.203,24.618,29.837,17.557,17.428,62.575,25.448,24.536,30.553,31.075,29.817,13.654,19.961,27.959,21.141,30.981,82.383,16.351,31.748,18.764,20.893,24.1705,21.849
1975-01-01,59.5565,32.826,15.55,16.707,22.505,29.342,38.422,187.398,57.068,40.835,22.698,23.584,31.883,25.01,30.534,17.792,17.519,61.928,25.872,23.89,32.913,32.049,30.413,14.391,18.6,28.574,21.845,30.8925,83.749,16.772,33.128,19.543,21.245,24.1065,22.772
1975-04-01,60.4075,32.986,15.77,16.876,22.744,29.602,38.68,184.9365,59.212,41.749,22.94,24.124,32.442,25.364,31.102,17.749,17.657,61.659,26.201,23.592,35.098,28.28,30.886,15.471,18.052,29.091,22.549,30.765,84.219,16.587,34.559,20.016,21.451,24.383000000000003,23.074
1975-07-01,61.938500000000005,33.061,15.955,17.01,23.087,30.322,39.153,186.7,58.477,41.843,23.283,24.122,32.896,25.864,31.542,17.985,17.758,65.173,26.534,25.041,31.175,35.692,31.814,15.359,19.852,29.51,22.679,31.9685,84.712,16.625,34.726,20.268,21.744,26.9615,23.807
1975-10-01,62.3145,32.57,16.526,17.61,23.658,30.867,40.274,196.6755,60.195,42.657,23.851,24.527,33.248,26.048,31.918,18.341,18.379,68.142,27.161,25.067,32.225,35.951,33.547,14.983,19.562,29.831,22.641,32.719,85.323,16.864,34.262,20.336,22.377,27.5955,23.219
1976-01-01,64.418,33.757,16.654,17.685,23.999,31.624,41.002,191.718,63.109,43.72,24.193,24.687,33.488,26.704,32.159,19.099,18.422,72.8545,27.608,25.807,34.189,36.668,34.378,16.269,20.143,30.054,23.255,32.816,85.521,16.826,36.59,20.484,22.633,28.277,23.405
1976-04-01,64.0255,35.5,16.803,17.766,24.224,31.942,42.705,189.11599999999999,63.068,44.008,24.421,25.252,33.982,27.239,32.47,19.246,18.459,81.706,27.85,26.247,33.838,33.903,35.156,16.235,20.253,30.512,23.508,34.805,85.933,16.95,35.79,20.717,22.781,30.104999999999997,23.833
1976-07-01,63.956500000000005,36.049,16.896,17.855,24.547,32.752,42.512,192.851,63.364,44.485,24.744,26.237,34.423,27.686,32.863,19.206,18.545,79.5695,28.206,26.691,35.071,33.889,37.544,16.763,20.038,30.914,24.131,34.2415,86.651,17.634,35.743,21.657,23.061,30.015,23.955
1976-10-01,65.689,37.349,17.495,18.428,25.315,33.516,43.943,197.6035,64.521,45.327,25.505,26.806,34.925,28.725,33.343,19.725,19.104,81.50150000000001,29.015,27.601,35.834,34.369,40.756,17.801,20.061,31.374,25.113,35.1035,87.413,18.488,36.62,24.058,23.728,30.651000000000003,25.174
1977-01-01,67.71600000000001,37.451,17.784,18.555,25.684,34.379,44.735,199.193,66.693,46.369,25.875,27.323,35.303,29.221,33.861,19.569,19.127,82.729,29.488,27.791,36.377,35.355,38.253,18.189,21.051,31.706,25.633,35.514,88.79,18.935,37.497,24.191,24.054,31.7505,25.936
1977-04-01,67.763,37.456,17.89,18.613,25.926,34.996,44.896,199.5695,67.575,47.05,26.123,28.264,35.76,29.609,34.374,19.807,19.154,85.741,29.799,28.522,36.535,35.927,37.302,18.224,22.504,32.124,26.015,35.2025,89.495,19.497,37.986,24.355,24.259,31.5445,25.379
1977-07-01,67.9805,37.055,17.939,18.647,26.048,35.313,44.482,198.7645,66.967,47.054,26.255,28.818,36.266,29.811,34.869,20.108,19.179,84.769,29.911,28.291,36.46,35.33,38.097,18.512,21.922,32.595,26.568,34.672,89.863,19.087,38.626,24.387,24.369,31.968500000000002,26.645
1977-10-01,68.9965,37.88,18.644,19.515,26.966,35.962,47.192,199.0755,68.59,47.925,27.163,29.003,36.8,30.693,35.364,20.707,20.156,95.35549999999999,30.863,29.313,37.006,35.802,38.501,19.105,23.075,33.098,26.812,37.0115,89.865,19.17,39.185,25.213,25.248,33.245000000000005,25.865
1978-01-01,70.4155,38.408,18.728,19.497,27.274,36.967,47.171,195.0555,70.732,48.912,27.478,30.195,37.273,31.258,35.816,21.525,20.071,95.12,31.273,29.552,37.06,36.516,39.422,19.514,23.079,33.554,27.742,38.8745,89.362,19.229,39.994,25.59,25.491,33.54,27.413
1978-04-01,70.774,39.75,18.967,19.832,27.908,38.417,48.334,200.2225,72.916,50.05,28.107,30.298,37.77,31.712,36.266,21.874,20.472,95.672,31.999,29.953,41.25,39.817,39.829,20.273,23.249,34.02,27.958,39.376000000000005,89.629,19.899,39.964,25.788,26.138,34.045500000000004,27.3
1978-07-01,71.3365,39.396,19.202,20.193,28.391,38.706,49.18,198.59550000000002,73.723,50.781,28.59,31.622,38.366,32.575,36.698,22.357,20.919,96.482,32.535,30.328,41.873,40.535,40.398,21.315,23.747,34.577,29.055,39.0205,90.059,20.428,41.33,26.193,26.509,35.0375,28.231
1978-10-01,71.987,40.312,19.651,20.432,28.891,39.682,50.929,200.774,74.23,51.317,29.09,31.703,39.037,33.218,37.095,22.944,21.016,94.02699999999999,33.059,30.996,43.305,41.606,41.554,21.942,24.151,35.199,29.282,39.804500000000004,90.779,20.345,41.777,25.761,26.955,36.012,28.654
1979-01-01,73.47,41.712,19.895,20.815,29.518,40.338,52.023,201.4215,74.478,52.12,29.709,32.433,39.727,34.299,37.469,23.149,21.494,87.53349999999999,33.733,32.476,44.787,42.863,42.457,22.472,25.69,35.821,30.286,40.1345,92.462,22.087,44.23,26.107,27.438,36.4495,30.509
1979-04-01,74.434,42.404,19.999,21.073,30.039,41.281,52.826,213.5385,74.548,52.773,30.229,32.737,40.485,35.008,37.918,23.632,21.857,88.173,34.292,34.486,42.571,41.431,43.423,23.082,28.264,36.517,30.597,41.1235,93.635,23.204,45.257,26.08,27.891,35.5175,30.396
1979-07-01,76.982,43.607,20.235,21.475,30.879,42.43,54.232,216.37,74.914,53.563,31.061,33.951,41.329,36.536,38.478,23.938,22.374,83.9355,35.151,38.908,43.009,40.597,44.016,23.207,34.601,37.292,31.29,41.784,95.024,24.447,46.156,26.867,28.516,37.4765,30.37
1979-10-01,77.721,44.967,20.621,21.803,31.605,42.894,55.054,213.60399999999998,75.26,54.188,31.787,34.329,42.154,38.498,39.132,24.855,22.663,79.4115,35.884,44.915,43.782,41.926,44.801,24.077,43.241,38.046,32.458,41.754,96.522,24.784,49.797,27.856,28.904,38.2875,32.432
1980-01-01,79.449,46.913,20.911,22.184,32.398,43.491,56.185,217.4975,75.847,54.973,32.579,35.499,43.266,40.398,39.864,25.457,23.108,77.618,36.701,49.857,42.9,41.151,46.035,24.796,49.793,39.085,33.786,44.456,97.628,24.642,52.063,30.28,29.37,39.3585,33.766
1980-04-01,80.994,47.601,21.986,23.297,33.792,44.494,57.543,214.929,79.507,56.889,33.957,36.116,44.26,42.356,40.696,26.011,24.25,79.5615,38.215,56.745,48.346,46.435,46.922,23.553,59.67,40.004,34.453,45.5265,99.004,24.95,55.381,31.065,30.541,41.370999999999995,34.983
1980-07-01,79.8635,47.331,21.762,23.164,34.04,45.225,58.283,211.029,79.203,57.494,34.219,36.986,45.219,43.241,41.509,26.458,24.179,80.7795,38.523,56.749,48.113,46.099,48.726,26.794,59.195,40.899,35.762,47.0175,99.973,25.889,56.842,32.154,30.62,42.644499999999994,35.774
1980-10-01,80.893,48.053,22.089,24.163,35.236,46.586,59.764,221.802,82.203,59.243,35.409,37.462,46.232,44.358,42.405,27.379,25.635,81.658,39.838,56.765,51.445,50.222,49.464,27.823,58.816,41.84,37.199,47.4285,101.285,26.706,57.166,40.767,31.789,45.2275,36.937
