Date,Aircraft,Ammunition,Civilian,Compensation of general government employees,Consumption expenditures,Consumption of general government fixed capital,Durable goods,Electronics,Equipment,Gross investment,Gross output of general government,Installation support,Intellectual property products,Intermediate goods and services purchased,Less: Own-account investment,Less: Sales to other sectors,Military,Missiles,National defense consumption expenditures and gross investment,Nondurable goods,Other durable goods,Other equipment,Other nondurable goods,Personnel support,Petroleum products,Research and development,Services,Ships,Software,Structures,Transportation of material,Travel of persons,Value added,Vehicles,Weapons support
1972-01-01,2810.0,2056.0,15168.0,45624.0,85721.0,22026.0,5910.0,744.0,4997.0,15640.0,88715.0,4036.0,8887.0,21065.0,2576.0,417.0,30456.0,1270.0,101361.0,4994.0,496.0,-1917.0,948.0,1370.0,1989.0,8648.0,10161.0,908.5,239.0,1756.0,1916.0,1037.0,67650.0,431.5,1802.0
1972-04-01,2868.0,2036.0,15284.0,45020.0,85901.0,22119.0,5882.0,688.0,6588.0,17409.0,89217.0,5096.0,9092.0,22078.0,2641.0,675.0,29736.0,1294.5,103310.0,5019.0,537.0,-716.0,972.0,1391.0,2012.0,8844.0,11176.0,1063.0,248.0,1728.0,1953.0,1027.0,67139.0,411.5,1710.0
1972-07-01,2417.0,1952.0,15392.0,44956.0,82422.0,22600.0,5248.0,648.0,4206.0,15306.0,85601.0,3169.0,9280.0,18046.0,2696.0,483.0,29564.0,1371.0,97727.0,4504.0,470.0,-2763.0,666.0,1239.0,1886.0,9016.0,8293.0,1047.0,264.0,1820.0,1579.0,704.0,67556.0,390.5,1602.0
1972-10-01,2490.5,1996.0,15912.0,46792.0,83692.0,22702.0,5109.0,716.0,5479.0,16764.0,87064.0,2971.0,9433.0,17569.0,2775.0,597.0,30880.0,1148.5,100456.0,4286.0,455.0,-1151.0,794.0,1364.0,1497.0,9156.0,8174.0,873.5,277.0,1852.0,1668.0,932.0,69494.0,413.5,1238.0
1973-01-01,2553.5,1896.0,15592.0,46152.0,84506.0,22818.0,5573.0,736.0,7451.0,18930.0,87837.0,3286.0,9563.0,18866.0,2772.0,559.0,30560.0,1346.5,103436.0,4401.0,593.0,519.0,821.0,1250.0,1684.0,9264.0,8892.0,945.5,299.0,1916.0,1579.0,992.0,68970.0,375.0,1784.0
1973-04-01,2355.5,1892.0,15676.0,45792.0,84977.0,23209.0,5584.0,720.0,6669.0,18378.0,88928.0,4191.0,9668.0,19927.0,2805.0,1146.0,30116.0,1412.0,103355.0,4475.0,613.0,-105.0,913.0,1531.0,1670.0,9356.0,9868.0,967.5,312.0,2040.0,1610.0,818.0,69001.0,418.0,1717.0
1973-07-01,2063.5,1352.0,15756.0,45648.0,83547.0,23976.0,4878.0,606.0,4988.0,16948.0,87550.0,4091.0,9748.0,17926.0,2837.0,1166.0,29892.0,1204.5,100495.0,3863.0,529.0,-551.0,800.0,1425.0,1711.0,9420.0,9186.0,799.5,328.0,2212.0,1465.0,978.0,69624.0,271.0,1226.0
1973-10-01,2402.0,1592.0,16204.0,46940.0,86443.0,24449.0,5229.0,738.0,4719.0,16812.0,90150.0,3803.0,9813.0,18761.0,2883.0,824.0,30736.0,1257.0,103255.0,4317.0,451.0,-1545.0,877.0,1569.0,1848.0,9468.0,9215.0,835.5,345.0,2280.0,1454.0,944.0,71389.0,288.5,1444.0
1974-01-01,1936.5,1532.0,16212.0,46892.0,87159.0,24526.0,4797.0,628.0,6956.0,19036.0,91353.0,4553.0,9859.0,19936.0,2864.0,1331.0,30680.0,1278.5,106194.0,4594.0,534.0,879.0,989.0,1520.0,2073.0,9496.0,10545.0,994.5,363.0,2220.0,1485.0,1043.0,71418.0,332.5,1944.0
1974-04-01,2257.5,1496.0,16424.0,47068.0,89032.0,24796.0,5281.0,820.0,7559.0,19795.0,93452.0,4454.0,9936.0,21588.0,2905.0,1515.0,30644.0,1411.0,108827.0,5358.0,551.0,206.0,1059.0,1449.0,2803.0,9548.0,10949.0,1170.0,388.0,2300.0,1881.0,1119.0,71864.0,384.0,2046.0
