Date,Aircraft,Ammunition,Civilian,Compensation of general government employees,Consumption expenditures,Consumption of general government fixed capital,Durable goods,Electronics,Equipment,Gross investment,Gross output of general government,Installation support,Intellectual property products,Intermediate goods and services purchased,Less: Own-account investment,Less: Sales to other sectors,Military,Missiles,National defense consumption expenditures and gross investment,Nondurable goods,Other durable goods,Other equipment,Other nondurable goods,Personnel support,Petroleum products,Research and development,Residual,Services,Ships,Software,Structures,Transportation of material,Travel of persons,Value added,Vehicles,Weapons support
2007-01-01,11552.5,4899.0,87471.0,235529.0,593233.0,143402.0,36197.0,7796.0,70907.0,159110.0,618432.0,44577.0,78125.0,238481.0,20883.0,4358.0,147867.0,5230.0,752640.0,24491.0,9423.0,28031.0,8636.0,79169.0,10358.0,72809.0,-1229.0,178062.0,6767.0,6235.0,11115.0,10958.0,9276.0,378705.0,4132.5,33929.0
2007-04-01,12628.0,4869.0,87495.0,235541.0,601764.0,144759.0,38074.0,8562.0,75880.0,167291.0,626904.0,44751.0,78453.0,245450.0,21196.0,3969.0,147858.0,4761.0,769601.0,24682.0,9820.0,29212.0,9015.0,80813.0,10271.0,73123.0,-1112.0,182940.0,6831.5,6256.0,14162.0,12618.0,9479.0,380116.0,5358.5,35098.0
2007-07-01,12508.5,4884.0,87412.0,236860.0,608161.0,146159.0,39806.0,9257.0,75508.0,165870.0,633335.0,44147.0,78658.0,249105.0,21399.0,3794.0,149181.0,4271.0,774455.0,24100.0,10103.0,29798.0,9019.0,81868.0,9778.0,73251.0,-998.0,185479.0,6731.5,6322.0,12764.0,15003.0,10279.0,382850.0,5598.5,33943.0
2007-10-01,12160.0,4822.0,87981.0,237692.0,618893.0,147609.0,42233.0,10175.0,79235.0,169033.0,644257.0,45661.0,78919.0,257605.0,21425.0,3962.0,149478.0,4367.5,788366.0,23306.0,10895.0,32513.0,8419.0,86682.0,9585.0,73442.0,-1035.0,192629.0,7201.5,6383.0,11680.0,15138.0,9442.0,385154.0,5902.5,35444.0
2008-01-01,10604.0,4765.0,88494.0,239795.0,630942.0,149109.0,43713.0,10966.5,79367.0,169962.0,656613.0,45787.0,78802.0,266204.0,21490.0,4211.0,151026.0,4780.5,801287.0,24021.0,11324.0,34037.0,8749.0,93192.0,9940.0,72893.0,-1445.0,199125.0,6640.5,6724.0,12698.0,14380.0,8792.0,388760.0,6901.5,36735.0
2008-04-01,13380.5,4639.0,89431.0,242937.0,635777.0,150585.0,44731.0,11281.0,86202.0,179371.0,661562.0,45106.0,78391.0,266595.0,21415.0,4406.0,153198.0,4870.5,815761.0,25034.0,11510.0,34592.0,9515.0,94653.0,10326.0,72404.0,-164.0,196993.0,7103.5,6775.0,15758.0,13269.0,9474.0,393364.0,6511.5,34219.0
2008-07-01,13753.5,4513.0,90238.0,246952.0,652015.0,152042.0,45856.0,11534.0,87591.0,181724.0,677831.0,47677.0,77828.0,277162.0,21324.0,4518.0,156312.0,4824.0,834320.0,24183.0,11543.0,34855.0,9493.0,101874.0,9836.0,71784.0,-1557.0,208289.0,7399.0,6807.0,17386.0,11997.0,8886.0,398807.0,6813.0,37829.0
2008-10-01,14128.5,4529.0,90838.0,251519.0,662478.0,153488.0,46199.0,11611.5,88479.0,183787.0,688327.0,48776.0,77469.0,281650.0,21304.0,4565.0,160133.0,4395.5,846838.0,25139.0,11594.0,34858.0,10157.0,105320.0,10180.0,71547.0,-1477.0,211276.0,7287.5,6699.0,19047.0,11493.0,9019.0,404780.0,7468.5,36719.0
2009-01-01,13080.5,4658.0,91336.0,255602.0,668050.0,154927.0,46623.0,11962.5,85461.0,180959.0,693807.0,49953.0,77281.0,281688.0,21286.0,4485.0,163600.0,4378.0,849431.0,24352.0,11764.0,35635.0,9920.0,102450.0,9600.0,71396.0,-1810.0,211613.0,6954.5,6666.0,19592.0,12988.0,9634.0,410270.0,6871.5,36401.0
2009-04-01,14616.5,4658.0,92518.0,259989.0,684891.0,156302.0,48926.0,12402.0,89713.0,185991.0,710476.0,50074.0,77210.0,292537.0,21278.0,4322.0,166760.0,4660.0,871337.0,26600.0,11930.0,36272.0,11784.0,105659.0,10011.0,71148.0,-1065.0,217807.0,6947.0,6805.0,20350.0,14873.0,10236.0,415992.0,7337.5,36693.0
