Date,Benefits from social insurance funds,Black lung benefits,Direct relief,Education,Emergency unemployment compensation,Employment and training,Energy assistance,Family assistance,Federal,Federal employees,General assistance,Government social benefits,Medicaid,Medical care,Medicare,Military medical insurance,Other,Other medical care,Pension and disability,Pension benefit guaranty,Public assistance,Railroad employees,Railroad retirement,Readjustment,Refundable tax credits,Social security,State,State and local,Supplemental Nutrition Assistance Program (SNAP),Supplemental security income,Temporary disability insurance,To persons,To the rest of the world,Unemployment insurance,Veterans' benefits,Veterans' life insurance,Workers' compensation
1929-01-01,26.0,,,,,,,,645.0,,,791.0,,,,,76.0,,415.0,,122.0,,,,,,,146.0,,,,791.0,,,508.0,26.0,
1930-01-01,29.0,,,,,,,,683.0,,,869.0,,,,,80.66666666666667,,438.0,,160.0,,,,,,,186.0,,,,869.0,,,544.0,29.0,
1931-01-01,33.0,,,,,,,,1658.0,,,1921.0,,,,,379.3333333333333,,517.0,,233.0,,,,,,,263.0,,,,1921.0,,,1513.0,33.0,
1932-01-01,40.0,,,,,,,,867.0,,,1274.0,,,,,107.0,,539.0,,374.0,,,,,,,407.0,,,,1274.0,,,709.0,40.0,
1933-01-01,40.0,,,,,,,72.0,625.0,,486.0,1274.0,,,,,64.0,,425.0,,617.0,,,,,,,649.0,,,,1274.0,,,483.0,40.0,
1934-01-01,42.0,,,,,,,80.0,513.0,,665.0,1347.0,,,,,50.333333333333336,,347.0,,807.0,,,,,,,834.0,,,,1347.0,,,375.0,42.0,
1935-01-01,36.0,,2.0,,,,,115.0,539.0,,839.0,1584.0,,,,,49.0,,380.0,,1019.0,,,,,,,1045.0,,,,1584.0,,,409.0,36.0,
1936-01-01,35.0,,20.0,,,,,218.0,1962.0,,417.0,2687.0,,,,,514.0,,391.0,,699.0,,1.0,,,,,725.0,,,,2687.0,,,1821.0,34.0,
1937-01-01,79.0,,36.0,,,,,397.0,721.0,,390.0,1600.0,,,,,80.0,,390.0,,855.0,,40.0,,,1.0,2.0,879.0,,,,1600.0,,2.0,524.0,36.0,
1938-01-01,541.0,,23.0,,,,,509.0,1084.0,,456.0,2142.0,,,,,49.0,,399.0,,1032.0,,98.0,,,10.0,393.0,1058.0,,,,2142.0,,393.0,458.0,40.0,
1939-01-01,628.0,,22.0,,,,,566.0,1122.0,,458.0,2237.0,,,,,28.0,,412.0,,1091.0,6.0,110.0,,,14.0,429.0,1115.0,,,,2237.0,,435.0,448.0,69.0,
1940-01-01,762.0,,63.0,,,,,630.0,1295.0,,383.0,2394.0,,,,,22.333333333333332,,423.0,,1079.0,16.0,118.0,,,35.0,518.0,1099.0,,,,2394.0,,534.0,451.0,75.0,
1941-01-01,629.0,,137.0,,,,,718.0,1239.0,,267.0,2306.0,,,,,22.333333333333332,,422.0,,1051.0,14.0,124.0,,,88.0,344.0,1067.0,,,,2306.0,,358.0,441.0,59.0,
1942-01-01,332.0,,108.0,,,,,778.0,1287.0,,178.0,2322.0,,,,,33.666666666666664,,427.0,,1022.0,6.0,128.0,,,130.0,344.0,1035.0,,,0.0,2322.0,,350.0,437.0,56.0,
1943-01-01,224.0,,9.0,,,,,818.0,1092.0,,111.0,2102.0,,,,,70.66666666666667,,437.0,,996.0,1.0,132.0,,,165.0,80.0,1010.0,,,3.0,2102.0,,81.0,443.0,67.0,
1944-01-01,267.0,,,,,,,850.0,1651.0,4.0,89.0,2674.0,,,,,180.66666666666666,,589.0,,1008.0,1.0,137.0,1.0,,209.0,62.0,1023.0,,,5.0,2674.0,,67.0,827.0,116.0,
