Date,Agricultural,Air carriers,Federal,Housing,Maritime,Other,State and local,Subsidies
1960-01-01,720.0,69.0,1146.0,146.0,149.0,62.0,0.0,1146.0
1961-01-01,1515.0,81.0,2014.0,159.0,176.0,83.0,0.0,2014.0
1962-01-01,1728.0,83.0,2273.0,176.0,212.0,74.0,0.0,2273.0
1963-01-01,1683.0,83.0,2222.0,195.0,191.0,70.0,12.0,2234.0
1964-01-01,2175.0,82.0,2719.0,210.0,202.0,50.0,10.0,2729.0
1965-01-01,2461.0,80.0,2989.0,234.0,195.0,19.0,18.0,3007.0
1966-01-01,3284.0,67.0,3925.0,254.0,172.0,148.0,24.0,3949.0
1967-01-01,3117.0,60.0,3785.0,278.0,199.0,131.0,26.0,3811.0
1968-01-01,3492.0,52.0,4147.0,327.0,204.0,72.0,27.0,4174.0
1969-01-01,3789.0,40.0,4509.0,420.0,198.0,62.0,25.0,4534.0
1970-01-01,3717.0,30.0,4753.0,606.0,203.0,197.0,24.0,4777.0
1971-01-01,3145.0,75.0,4641.0,944.0,266.0,211.0,34.0,4675.0
1972-01-01,3961.0,68.0,6583.0,1419.0,246.0,889.0,53.0,6636.0
1973-01-01,2607.0,67.0,5149.0,1591.0,283.0,601.0,81.0,5230.0
1974-01-01,530.0,75.0,3191.0,2081.0,255.0,250.0,116.0,3307.0
1975-01-01,807.0,63.0,4336.0,2288.0,272.0,906.0,158.0,4494.0
1976-01-01,734.0,73.0,4936.0,2639.0,303.0,1187.0,189.0,5125.0
1977-01-01,1819.0,83.0,6890.0,3059.0,338.0,1591.0,210.0,7100.0
1978-01-01,3030.0,72.0,8697.0,3670.0,369.0,1556.0,239.0,8936.0
1979-01-01,1376.0,77.0,8204.0,4586.0,331.0,1834.0,327.0,8531.0
1980-01-01,1285.0,91.0,9446.0,5469.0,302.0,2299.0,354.0,9800.0
1981-01-01,1933.0,117.0,11071.0,6788.0,357.0,1876.0,402.0,11473.0
1982-01-01,3492.0,75.0,14563.0,8691.0,306.0,1999.0,454.0,15017.0
1983-01-01,9295.0,0.0,20862.0,9465.0,338.0,1764.0,442.0,21304.0
1984-01-01,8430.0,6.0,20680.0,10068.0,370.0,1806.0,385.0,21065.0
1985-01-01,7704.0,34.0,21033.0,11246.0,335.0,1714.0,327.0,21360.0
1986-01-01,11813.0,23.0,24589.0,11096.0,288.0,1369.0,306.0,24895.0
1987-01-01,16747.0,26.0,30007.0,11506.0,251.0,1477.0,275.0,30282.0
1988-01-01,14480.0,26.0,29150.0,12743.0,247.0,1654.0,352.0,29501.0
1989-01-01,10887.0,28.0,27052.0,14215.0,268.0,1654.0,376.0,27428.0
1990-01-01,9298.0,24.0,26619.0,15487.0,257.0,1553.0,374.0,26994.0
1991-01-01,8214.0,24.0,27076.0,17055.0,275.0,1508.0,412.0,27488.0
1992-01-01,9169.0,36.0,29700.0,18420.0,226.0,1849.0,388.0,30088.0
1993-01-01,13401.0,36.0,36318.0,20607.0,282.0,1992.0,363.0,36681.0
1994-01-01,7879.0,31.0,32183.0,21764.0,248.0,2261.0,340.0,32523.0
1995-01-01,7279.0,28.0,34502.0,24396.0,264.0,2535.0,310.0,34812.0
1996-01-01,7340.0,20.0,34903.0,25075.0,187.0,2281.0,331.0,35234.0
