Date,Administrative expenses,Contributions for government social insurance,Current expenditures,Current receipts,Employee and self-employed contributions,Employer contributions,From the rest of the world,Government,Government social benefit payments to persons,Government social benefits,Interest received,Net saving,Other,To persons,To the rest of the world
1929-01-01,0.0,37.0,26.0,87.0,66.0,8.0,,8.0,,26.0,13.0,30.5,0.0,26.0,
1930-01-01,0.0,36.5,29.0,93.0,66.0,7.0,,7.0,,29.0,20.0,32.0,0.0,29.0,
1931-01-01,0.0,35.0,33.0,89.0,65.0,5.0,,5.0,,33.0,19.0,28.0,0.0,33.0,
1932-01-01,0.0,35.5,40.0,82.0,63.0,8.0,,8.0,,40.0,11.0,21.0,0.0,40.0,
1933-01-01,0.0,31.5,40.0,79.0,59.0,4.0,,4.0,,40.0,16.0,19.5,0.0,40.0,
1934-01-01,3.0,34.5,45.0,84.0,62.0,7.0,,4.0,,42.0,15.0,19.5,3.0,42.0,
1935-01-01,7.0,36.0,43.0,88.0,60.0,12.0,,5.0,,36.0,16.0,22.5,7.0,36.0,
1936-01-01,52.0,156.0,87.0,334.0,70.0,242.0,,2.0,,35.0,22.0,123.5,240.0,35.0,
1937-01-01,133.0,736.5,212.0,1599.0,443.0,1030.0,,3.0,,79.0,126.0,693.5,1027.0,79.0,
1938-01-01,138.0,808.5,679.0,1669.0,418.0,1199.0,,2.0,,541.0,52.0,495.0,1197.0,541.0,
1939-01-01,160.0,876.0,788.0,1819.0,448.0,1304.0,,2.0,,628.0,67.0,515.5,1302.0,628.0,
1940-01-01,147.0,935.0,909.0,1945.0,494.0,1376.0,,2.0,,762.0,75.0,518.0,1374.0,762.0,
1941-01-01,186.0,1167.0,815.0,2426.0,618.0,1716.0,,2.0,,629.0,92.0,805.5,1714.0,629.0,
1942-01-01,86.5,1446.0,418.5,1508.0,442.0,1004.0,,29.0,0.0,664.0,124.0,1089.5,1979.0,664.0,
1943-01-01,105.5,1889.0,329.5,1974.5,725.0,1164.0,,27.0,3.0,445.0,171.0,1645.0,2301.0,445.0,
1944-01-01,90.5,2173.5,357.5,2298.5,905.0,1268.5,,259.0,5.0,529.0,250.0,1941.0,2278.0,529.0,
1945-01-01,98.0,2670.0,725.0,2853.5,938.5,1731.5,,1378.0,5.0,1249.0,367.0,2128.5,2085.0,1249.0,
1946-01-01,123.5,3309.0,1907.5,3545.5,776.0,2533.0,,1440.0,88.0,3480.0,236.5,1638.0,1093.0,3480.0,
1947-01-01,59.0,2782.0,1426.5,3043.0,816.5,1965.5,,680.5,117.0,2618.0,261.0,1616.5,1285.0,2618.0,
1948-01-01,90.5,2308.0,1376.5,2608.0,806.0,1502.0,,270.0,131.0,2441.0,300.0,1231.5,1232.0,2441.0,
1949-01-01,117.5,2445.0,2013.0,2788.5,770.5,1674.5,,432.5,145.0,3646.0,343.5,775.5,1242.0,3646.0,
1950-01-01,173.5,2741.0,3196.5,3095.0,1054.5,1686.5,,72.5,167.0,5879.0,354.0,-101.5,1614.0,5879.0,
1951-01-01,198.5,3326.0,2339.0,3676.5,1270.0,2047.0,18.0,113.5,183.0,4098.0,350.5,1337.5,1933.5,4098.0,
1952-01-01,156.0,3472.5,2516.5,3878.5,1390.0,2071.5,22.0,118.5,205.0,4516.0,406.0,1362.0,1953.0,4516.0,
1953-01-01,178.5,3564.5,2940.5,4019.0,1448.0,2105.0,23.0,104.5,223.0,5301.0,454.5,1078.5,2000.5,5298.0,
1954-01-01,164.5,4050.0,3898.5,4532.0,1731.0,2306.0,26.0,138.5,248.0,7220.0,482.0,633.5,2167.5,7214.0,
1955-01-01,231.5,4558.5,4235.5,5045.5,1958.5,2587.0,26.0,188.5,262.0,7746.0,487.0,810.0,2398.5,7736.0,
1956-01-01,242.0,5008.5,4644.5,5535.5,2159.5,2834.0,30.0,181.0,289.0,8516.0,527.0,891.0,2653.0,8503.0,
1957-01-01,216.5,5722.0,5707.0,6293.0,2522.5,3184.0,31.0,266.5,312.0,10669.0,571.0,586.0,2917.5,10649.0,
1958-01-01,331.5,5710.5,7609.5,6293.0,2517.5,3174.5,37.0,350.0,357.0,14199.0,582.5,-1316.5,2824.5,14174.0,
1959-01-01,330.5,6937.0,7830.5,7500.5,2989.5,3927.5,40.0,381.5,384.0,14616.0,563.5,-330.0,3546.0,14580.0,
1960-01-01,333.0,8239.0,8610.0,8814.5,3597.0,4625.0,34.0,429.5,432.0,16122.0,575.5,204.5,4195.5,15878.0,244.0
1961-01-01,420.0,8528.5,10284.0,9120.0,3697.5,4805.0,52.0,470.0,480.0,19248.0,591.5,-1164.0,4335.0,18976.0,272.0
1962-01-01,403.0,9587.0,10453.5,10168.0,3967.5,5591.0,57.0,501.5,533.0,19568.0,581.0,-285.5,5089.5,19273.0,295.0
1963-01-01,445.5,10867.5,11029.0,11458.0,4632.0,6202.5,66.0,584.5,596.0,20571.0,590.5,429.0,5618.0,20251.0,320.0
1964-01-01,439.0,11232.0,11218.5,11865.0,4877.5,6316.0,77.0,624.0,633.0,20926.0,633.0,646.5,5692.0,20584.0,342.0
1965-01-01,482.0,11750.0,12177.0,12436.5,5161.5,6546.5,84.0,642.5,663.0,22727.0,686.5,259.5,5904.0,22278.0,449.0
1966-01-01,529.5,15720.5,13443.5,16500.0,7245.0,8423.0,105.0,864.0,700.0,25128.0,779.5,3056.5,7559.0,24668.0,460.0
1967-01-01,516.5,17489.5,16334.0,18450.5,8424.0,9009.5,112.0,1055.5,754.0,30881.0,961.0,2116.5,7954.0,30330.0,551.0
1968-01-01,606.0,19419.5,18853.5,20507.5,9372.5,9975.0,144.0,1234.5,811.0,35684.0,1088.0,1654.0,8740.5,35131.0,553.0
1969-01-01,808.5,22170.0,20534.5,23460.0,10686.5,11377.0,213.0,1468.0,886.0,38566.0,1290.0,2925.5,9909.0,37983.0,583.0
1970-01-01,940.0,23296.5,24623.0,25190.0,11260.0,11919.5,234.0,1689.0,938.0,46428.0,1893.5,567.0,10230.5,45711.0,717.0
1971-01-01,1027.5,25752.0,28939.0,27546.0,12365.0,13223.0,328.0,1986.5,985.0,54838.0,1794.0,-1393.0,11236.5,54031.0,807.0
1972-01-01,1232.0,29789.0,31846.0,31651.5,14023.5,15578.5,374.0,2229.5,1107.0,60121.0,1862.5,-194.5,13349.0,59237.0,884.0
1973-01-01,1199.0,38019.0,37049.0,40137.5,17856.5,19891.5,542.0,2611.0,1246.0,70454.0,2118.5,3088.5,17280.5,69385.0,1069.0
1974-01-01,1460.5,42875.0,43521.5,45308.5,20243.5,22347.0,569.0,3006.0,1371.0,82751.0,2433.5,1787.0,19341.0,81594.0,1157.0
1975-01-01,1685.5,44948.5,55374.0,47460.0,21293.0,23362.0,587.0,3598.0,1483.0,105894.0,2511.5,-7914.0,19764.0,104495.0,1399.0
1976-01-01,1898.5,50986.5,61133.0,53414.5,23468.0,27199.0,639.0,4013.5,1711.0,116758.0,2428.0,-7718.5,23185.5,114937.0,1821.0
1977-01-01,1997.0,56926.5,65902.5,59357.0,25995.0,30552.0,759.0,4251.5,1945.0,125866.0,2430.5,-6545.5,26300.5,124071.0,1795.0
1978-01-01,2157.0,66062.5,70355.0,68739.5,29866.0,35764.0,865.0,4649.5,2184.0,134212.0,2677.0,-1615.5,31114.5,132306.0,1906.0
1979-01-01,2270.0,76839.0,78928.5,79779.5,35081.0,41293.5,929.0,5267.5,2534.0,150783.0,2940.5,851.0,36026.0,148692.0,2091.0
1980-01-01,2560.0,83601.5,94224.5,86983.5,38624.0,44470.0,1015.0,5793.0,2790.0,180539.0,3382.0,-7241.0,38677.0,178139.0,2400.0
1981-01-01,2822.5,98434.5,108847.5,102345.0,46045.5,51805.0,1168.0,6809.0,3178.0,208872.0,3910.5,-6502.5,44996.0,205985.0,2887.0
1982-01-01,3053.5,105043.0,125621.5,109030.0,49562.5,54884.5,1192.0,7306.5,3658.0,241478.0,3987.0,-16591.5,47578.0,238507.0,2971.0
1983-01-01,3308.0,113604.0,135694.0,117348.5,53035.5,59941.0,1255.0,8197.5,3977.0,260795.0,3744.5,-18345.5,51743.5,257674.0,3121.0
1984-01-01,3404.5,129403.0,138738.0,134750.0,59216.0,69519.0,1336.0,8982.5,4424.0,266243.0,5347.0,-3988.0,60536.5,263027.0,3216.0
