Date,Economic affairs,Education,Elementary and secondary,Federal,General public service,Government,Gross expenditures,Health,Health (net),Higher,Housing and community services,Income security,Less: Sales to other sectors,Libraries and other,National defense,Other economic affairs,Public order and safety,Recreation and culture,Space,State and local,Transportation
1960-01-01,-4.966666666666666,2.1,6.7,-1.6,6.933333333333334,0.6,2.2,6.55,5.5,4.7,24.766666666666666,-5.733333333333333,-7.2,5.5,-0.8,-12.9,4.666666666666667,12.533333333333333,141.8,4.3,4.7
1961-01-01,4.3,7.5,4.8,4.9,4.166666666666667,5.4,4.9,4.5,5.9,9.8,33.166666666666664,33.1,1.9,8.7,5.1,-2.0,3.4000000000000004,7.566666666666666,62.3,6.1,5.766666666666667
1962-01-01,14.1,8.6,2.4,9.0,6.1000000000000005,6.6,3.8,3.4000000000000004,-0.3,4.5,19.333333333333332,13.566666666666668,17.1,5.9,6.7,8.933333333333332,1.8999999999999997,7.133333333333333,80.6,2.9,3.1999999999999997
1963-01-01,11.766666666666667,9.9,5.8,0.3,3.6,2.4,5.0,3.6,5.3,15.3,3.233333333333333,0.06666666666666643,4.2,12.9,-2.1,-3.600000000000001,3.9,9.166666666666666,87.6,5.8,4.466666666666667
1964-01-01,10.033333333333333,8.133333333333333,6.9,-0.4,3.7999999999999994,2.5,6.9,5.7,6.4,7.0,4.7,-1.0333333333333332,8.4,11.5,-3.1,8.1,4.466666666666666,-1.9333333333333333,34.3,6.7,0.36666666666666664
1965-01-01,7.433333333333334,6.533333333333332,7.3,0.8,7.966666666666666,3.2,6.9,-3.25,3.9,10.8,-3.4666666666666672,24.866666666666664,14.6,18.0,-1.3,3.266666666666667,3.9,6.133333333333333,20.6,6.6,3.466666666666667
1966-01-01,2.3666666666666667,28.066666666666666,7.6,10.6,0.2333333333333334,8.7,5.3,13.3,1.5,17.1,9.633333333333335,13.0,14.5,19.2,12.9,-6.699999999999999,3.6,3.3000000000000003,7.0,6.2,4.8999999999999995
1967-01-01,1.9666666666666668,7.0,4.0,10.1,0.36666666666666653,7.9,8.0,11.5,5.5,11.6,13.4,9.433333333333332,13.5,15.2,12.5,20.400000000000002,4.433333333333334,6.333333333333333,-14.1,5.0,2.8333333333333335
1968-01-01,3.0,-1.1333333333333335,3.5,1.5,5.666666666666667,3.4,10.1,12.55,6.7,8.0,-8.033333333333333,-8.233333333333334,16.7,7.2,1.6,10.700000000000001,7.099999999999999,10.9,-8.3,6.0,2.3666666666666667
1969-01-01,0.4000000000000001,-1.9333333333333333,3.2,-2.5,15.033333333333333,0.1,5.8,4.85,7.1,7.5,-5.633333333333333,10.5,3.5,8.9,-4.2,8.266666666666667,6.433333333333334,10.966666666666667,-10.9,3.5,1.1666666666666665
