Date,Economic affairs,Education,Elementary and secondary,Federal,General public service,Gross expenditures,Health,Health (net),Higher,Housing and community services,Income security,Less: Sales to other sectors,Libraries and other,National defense,Other economic affairs,Public order and safety,Recreation and culture,Space,State and local,Transportation
1960-01-01,-0.44,0.6133333333333334,0.82,-1.02,0.20333333333333334,0.08,0.16,0.14,0.09,0.02666666666666667,-0.02666666666666667,0.06,0.03,-0.39,-0.87,0.13333333333333333,0.02,0.44,1.65,0.13999999999999999
1961-01-01,0.54,0.6,0.64,2.98,0.15333333333333332,0.17,0.13,0.16,0.2,0.14666666666666667,0.16,-0.02,0.04,2.56,-0.17333333333333334,0.11333333333333334,0.04666666666666667,0.47,2.43,0.39999999999999997
1962-01-01,1.2333333333333334,0.32666666666666666,0.33,5.38,0.18333333333333335,0.13,0.07,-0.01,0.1,0.19999999999999998,0.09666666666666668,-0.14,0.03,3.34,0.3766666666666667,0.04,0.02,0.92,1.18,0.24
1963-01-01,1.2866666666666666,0.7799999999999999,0.75,0.15,0.12,0.17,0.10500000000000001,0.13,0.32,-0.11333333333333333,0.0,-0.04,0.07,-1.07,-0.25333333333333335,0.10000000000000002,0.04,1.68,2.28,0.41333333333333333
1964-01-01,1.1333333333333333,0.7966666666666665,0.94,-0.22,0.14666666666666667,0.24,0.16,0.16,0.17,0.21666666666666667,0.0,-0.08,0.06,-1.49,0.24666666666666667,0.16666666666666666,0.013333333333333334,1.2,2.68,0.08333333333333333
1965-01-01,0.9533333333333333,0.9466666666666667,1.03,0.44,0.26666666666666666,0.25,-0.05,0.1,0.27,0.043333333333333335,0.17333333333333334,-0.15,0.11,-0.61,0.07666666666666667,0.13333333333333333,0.02666666666666667,0.93,2.76,0.26
1966-01-01,0.3466666666666667,1.26,1.12,6.02,0.04666666666666667,0.2,0.28,0.04,0.46,0.013333333333333336,0.11333333333333334,-0.16,0.13,5.53,-0.24333333333333332,0.12333333333333334,0.02,0.36,2.69,0.3466666666666667
1967-01-01,0.2733333333333333,0.7266666666666667,0.59,5.8,0.08,0.29,0.275,0.14,0.34,0.05333333333333334,0.08666666666666667,-0.16,0.11,5.55,0.5933333333333334,0.09999999999999999,0.04,-0.7,2.14,0.14666666666666667
1968-01-01,0.36000000000000004,0.5133333333333333,0.52,0.88,0.25,0.37,0.31,0.16,0.25,0.15666666666666668,-0.05000000000000001,-0.21,0.06,0.72,0.37999999999999995,0.24666666666666667,0.05333333333333334,-0.32,2.52,0.19333333333333336
1969-01-01,0.03333333333333333,0.49333333333333335,0.47,-1.42,0.47333333333333333,0.23,0.16,0.18,0.24,-0.12,0.09999999999999999,-0.05,0.07,-1.88,0.32,0.12,0.05333333333333334,-0.37,1.51,-0.04666666666666667
