Date,Economic affairs,Education,Elementary and secondary,Federal,General public service,Government,Gross expenditures,Health,Health (net),Higher,Housing and community services,Income security,Less: Sales to other sectors,Libraries and other,National defense,Other economic affairs,Public order and safety,Recreation and culture,Space,State and local,Transportation
1959-01-01,11.264000000000001,9.318,7.358,12.856,9.807,10.25,7.881,13.161000000000001,14.593,11.796,11.895666666666669,9.179666666666668,4.393,9.383,12.547,11.537,7.473,7.936333333333334,18.693,8.44,9.485
1960-01-01,11.215666666666666,9.568,7.649,12.945,10.016333333333334,10.362,8.097,13.2965,14.539,12.277,12.074666666666667,9.427333333333333,4.967,9.63,12.633,11.586333333333334,7.655666666666668,8.004333333333333,19.037,8.587,9.439
1961-01-01,11.404333333333334,9.863,7.938,13.097,10.299,10.541,8.307,13.792,14.915,12.733,12.325333333333333,9.715666666666666,5.099,9.894,12.739,11.811333333333332,7.957000000000001,8.212333333333333,19.181,8.807,9.611333333333334
1962-01-01,11.677,10.121,8.199,13.279,10.522666666666668,10.738,8.477,14.061,15.218,13.116,12.542333333333334,9.933666666666667,5.206,10.101,12.891,12.079666666666668,8.133000000000001,8.365666666666668,19.437,9.036,9.854333333333335
1963-01-01,11.884666666666666,10.376,8.42,13.61,10.800333333333334,10.999,8.663,14.374500000000001,15.497,13.414,12.757666666666665,10.180666666666667,5.371,10.289,13.231,12.213333333333333,8.343333333333334,8.522,19.688,9.248,10.122
1964-01-01,12.193666666666667,10.707666666666668,8.692,14.032,11.210666666666667,11.288,8.773,14.7895,15.525,13.81,13.055666666666667,10.478,5.601,10.453,13.605,12.671666666666667,8.56,8.645999999999999,20.109,9.428,10.392
1965-01-01,12.431,11.063666666666668,8.978,14.38,11.612666666666668,11.594,9.019,15.24,15.954,14.207,13.391333333333334,10.783333333333333,5.762,10.714,13.96,12.925333333333333,8.869333333333332,8.962666666666665,20.177,9.712,10.743666666666668
1966-01-01,12.874666666666664,11.543666666666667,9.443,14.865,12.089333333333334,12.056,9.413,15.802,16.747,14.89,13.843333333333332,11.184666666666667,5.938,11.128,14.449,13.445,9.253333333333334,9.366,20.501,10.179,11.244333333333335
1967-01-01,13.207,12.039333333333332,9.979,15.197,12.576666666666668,12.468,9.901,16.1945,17.531,15.722,14.214666666666666,11.628666666666666,6.306,11.567,14.794,13.727666666666666,9.643,9.716666666666667,20.805,10.695,11.625
1968-01-01,13.865666666666668,12.704666666666666,10.581,15.962,13.364666666666666,13.136,10.493,17.1065,18.507,16.599,15.006666666666668,12.349333333333334,6.732,12.115,15.535,14.501666666666665,10.289,10.271333333333333,21.46,11.315,12.308333333333332
1969-01-01,14.610666666666665,13.518333333333333,11.31,16.786,14.353333333333333,13.907,11.216,18.172,19.78,17.688,15.954666666666668,13.166333333333334,7.197,12.839,16.328,15.278,11.053666666666667,10.972666666666667,22.383,12.081,13.062333333333333
1970-01-01,15.895000000000001,14.636666666666668,12.277,18.109,15.53,15.016,11.973,19.7795,20.989,19.195,17.419333333333334,14.447333333333333,7.77,13.704,17.553,16.575666666666667,12.048,11.906,23.706,13.056,14.456333333333333
1971-01-01,17.019000000000002,15.795666666666667,13.225,19.59,16.572,16.206,12.818,21.5935,22.832,20.843,18.948666666666664,15.841666666666667,8.075,14.61,19.016,17.734666666666666,13.214666666666666,12.949666666666667,25.052,14.056,15.668
