Date,Agriculture,Air,Disability,Economic affairs,Education,Elementary and secondary,Energy,Executive and legislative,Federal,Fire,General economic and labor affairs,General public service,Government,Gross expenditures,Health,Health (net),Higher,Highways,Housing and community services,Housing and other,Income security,Law courts,Less: Sales to other sectors,Libraries,Libraries and other,National defense,Natural resources,Other,Other economic affairs,Police,Postal service,Prisons,Public order and safety,Recreation and culture,Retirement,Sanitation,Sewerage,Space,State and local,Tax collection and financial management,Transit and railroad,Transportation,Unemployment,Water,Welfare and social services
1959-01-01,2677.6666666666665,431.3333333333333,61.333333333333336,14016.333333333334,11497.0,9508.666666666666,937.3333333333334,1688.0,73579.0,716.6666666666666,715.3333333333334,3502.0,118458.0,3996.0,3074.5,3029.0,1480.0,7172.666666666667,1828.3333333333333,517.0,737.6666666666666,451.3333333333333,967.0,281.0,654.0,60945.0,1132.0,572.2857142857143,5602.666666666667,1433.0,167.0,474.0,3075.0,625.3333333333334,169.0,603.0,918.0,368.0,44879.0,828.6666666666666,78.66666666666667,8168.0,10.0,527.75,556.6666666666666
1960-01-01,1384.6666666666667,500.6666666666667,56.0,13396.666666666666,12686.333333333334,10544.666666666666,1057.6666666666667,1848.3333333333333,72875.0,779.3333333333334,883.6666666666666,3822.0,120520.0,4197.0,3291.5,3183.0,1626.0,7092.333333333333,1876.6666666666667,511.0,725.3333333333334,483.0,1014.0,302.0,682.0,60901.0,1081.3333333333333,603.8571428571429,4580.666666666667,1552.0,221.0,507.3333333333333,3321.3333333333335,662.6666666666666,195.0,617.0,894.0,907.0,47645.0,905.3333333333334,105.66666666666667,8211.666666666666,44.0,561.25,510.0
1961-01-01,903.0,597.3333333333334,77.33333333333333,14251.0,13900.333333333334,11469.0,1231.0,1905.0,77379.0,846.0,926.0,4114.0,129237.0,4519.0,3568.5,3458.0,1853.3333333333333,7570.0,2081.3333333333335,657.0,944.0,512.6666666666666,1061.0,334.0,763.0,64543.0,1227.3333333333333,695.2857142857143,4456.0,1654.0,232.0,562.6666666666666,3575.3333333333335,732.0,242.0,622.0,926.0,1483.0,51858.0,955.6666666666666,92.66666666666667,8806.666666666666,102.0,598.25,637.0
1962-01-01,1399.6666666666667,591.3333333333334,82.66666666666667,16224.0,14780.333333333334,12136.333333333334,1216.0,2082.0,85518.0,865.3333333333334,1019.6666666666666,4440.666666666667,140287.0,4785.0,3731.5,3517.0,1996.0,8124.666666666667,2377.0,859.0,1091.3333333333333,524.3333333333334,1268.0,358.0,842.5,69701.0,1256.6666666666667,755.2857142857143,5055.333333333333,1753.0,223.0,570.0,3712.6666666666665,771.6666666666666,256.0,651.0,1084.0,2713.0,54768.0,1019.3333333333334,101.33333333333333,9360.0,80.0,593.5,784.6666666666666
1963-01-01,918.3333333333334,586.0,86.66666666666667,18390.333333333332,16291.0,13184.333333333334,1184.0,2176.0,87875.0,907.3333333333334,1135.6666666666667,4724.0,147193.0,5134.0,3963.0,3770.0,2352.0,8847.333333333334,2242.3333333333335,512.0,1119.6666666666667,561.6666666666666,1364.0,419.0,975.5,70002.0,1296.0,866.2857142857143,4748.666666666667,1867.3333333333333,259.0,614.6666666666666,3950.6666666666665,843.6666666666666,284.0,652.0,962.0,5155.0,59318.0,1042.6666666666667,176.66666666666666,10205.0,45.0,683.75,813.6666666666666
1964-01-01,1000.6666666666666,633.3333333333334,99.33333333333333,20510.0,18006.0,14556.0,1396.6666666666667,2257.3333333333335,90256.0,973.3333333333334,1259.0,5106.666666666667,154763.0,5560.0,4292.5,4018.0,2592.6666666666665,9108.666666666666,2589.6666666666665,589.0,1147.0,607.0,1542.0,440.0,1107.0,69728.0,1346.0,1001.2857142857143,5302.0,1999.0,357.0,678.0,4257.333333333333,872.3333333333334,299.0,703.0,1340.0,7069.0,64507.0,1138.3333333333333,179.33333333333334,10494.666666666666,41.0,682.25,821.3333333333334
1965-01-01,854.3333333333334,621.6666666666666,111.33333333333333,22484.0,20089.333333333332,16093.0,1403.3333333333333,2542.6666666666665,93196.0,1037.3333333333333,1394.0,5703.333333333333,164053.0,6108.0,4346.0,4290.0,2968.0,9768.0,2719.3333333333335,598.0,1453.3333333333333,660.6666666666666,1819.0,485.0,1333.0,70583.0,1575.0,1170.142857142857,5532.666666666667,2176.0,378.0,724.6666666666666,4598.666666666667,938.3333333333334,325.0,734.0,1212.0,8555.0,70858.0,1189.3333333333333,231.66666666666666,11248.0,37.0,801.25,1100.6666666666667
1966-01-01,216.33333333333334,668.6666666666666,142.66666666666666,23951.0,23259.0,18259.333333333332,1357.3333333333333,2560.0,106575.0,1117.3333333333333,1663.3333333333333,6016.0,185444.0,6714.0,4988.5,4569.0,3645.3333333333335,10721.666666666666,2836.0,726.0,1705.3333333333333,734.6666666666666,2145.0,544.0,1710.5,82471.0,1803.6666666666667,1382.0,5338.0,2387.3333333333335,358.0,780.6666666666666,5020.0,1013.3333333333334,311.0,793.0,1319.0,9305.0,78869.0,1281.3333333333333,315.3333333333333,12409.333333333334,36.0,812.5,1331.3333333333333
1967-01-01,586.0,776.0,116.66666666666667,25204.666666666668,25945.333333333332,20085.0,1720.6666666666667,2414.3333333333335,120006.0,1180.0,2013.3333333333333,6424.0,207018.0,7628.0,5658.5,5043.0,4381.333333333333,11238.666666666666,3030.3333333333335,867.0,1952.6666666666667,822.3333333333334,2585.0,583.0,1941.0,95034.0,2024.0,1572.5714285714287,6602.0,2635.3333333333335,303.0,870.0,5507.333333333333,1137.6666666666667,409.0,865.0,1076.0,8111.0,87012.0,1487.0,395.3333333333333,13195.333333333334,41.0,927.25,1536.3333333333333
1968-01-01,1504.0,864.0,121.33333333333333,27274.333333333332,28592.0,22035.333333333332,2035.3333333333333,1728.0,127963.0,1335.3333333333333,2182.3333333333335,7358.333333333333,225526.0,8899.0,6656.5,5679.0,4967.0,12165.333333333334,3517.6666666666665,879.0,1964.0,938.6666666666666,3220.0,631.0,2127.0,101357.0,1853.0,1452.6666666666667,7796.0,3190.6666666666665,267.0,954.0,6418.666666666667,1323.3333333333333,421.0,1014.0,1577.0,7672.0,97563.0,2509.3333333333335,495.0,14363.666666666666,34.0,1030.75,1514.6666666666667
1969-01-01,2174.3333333333335,1027.3333333333333,128.0,28882.666666666668,31708.0,24278.0,2304.3333333333335,2202.6666666666665,131193.0,1482.6666666666667,2262.3333333333335,9046.0,238984.0,10061.0,7452.5,6499.0,5652.333333333333,12713.333333333334,3453.0,1097.0,2335.3333333333335,1069.3333333333333,3562.0,693.0,2411.5,102067.0,1994.0,1695.111111111111,8975.333333333334,3532.6666666666665,271.0,1084.6666666666667,7169.666666666667,1548.0,467.0,1067.0,1374.0,7131.0,107791.0,3182.0,554.0,15153.0,35.0,1000.75,1824.0
1970-01-01,1665.3333333333333,1294.0,142.0,30652.0,35740.666666666664,26969.0,2588.0,2663.0,132805.0,1687.3333333333333,2519.6666666666665,10177.333333333334,252581.0,11422.0,8711.5,7500.0,6648.0,13901.666666666666,3731.3333333333335,1225.0,2778.0,1224.6666666666667,3922.0,764.0,2869.0,100710.0,2382.0,1860.888888888889,9383.0,3978.3333333333335,272.0,1265.6666666666667,8156.0,1704.6666666666667,480.0,1208.0,1576.0,6952.0,119776.0,3693.0,537.6666666666666,16634.0,54.0,972.75,2178.6666666666665
1971-01-01,1834.6666666666667,1349.3333333333333,177.33333333333334,33143.333333333336,39927.333333333336,30173.666666666668,2811.3333333333335,3258.0,134478.0,1932.0,3099.0,11728.666666666666,267468.0,13395.0,9860.5,8643.0,7372.666666666667,14996.0,4202.666666666667,1257.0,3232.6666666666665,1409.3333333333333,4752.0,831.0,3228.0,97995.0,2652.3333333333335,2116.4444444444443,10682.666666666666,4630.0,381.0,1442.6666666666667,9414.0,1878.6666666666667,527.0,1345.0,1874.0,6958.0,132990.0,4043.3333333333335,546.0,17822.0,45.0,975.75,2609.3333333333335
