Date,Economic affairs,Education,Elementary and secondary,Federal,General public service,Government,Gross expenditures,Health,Health (net),Higher,Housing and community services,Income security,Less: Sales to other sectors,Libraries and other,National defense,Other economic affairs,Public order and safety,Recreation and culture,Residual,Space,State and local,Transportation
2007-01-01,342114.6666666667,623515.0,734745.0,1210440.0,190553.66666666666,3335857.0,272651.0,171402.5,90624.0,160238.0,43496.0,73827.0,181896.0,33223.0,771266.0,109338.0,261917.0,32994.666666666664,-7211.0,32142.0,2131694.0,211489.66666666666
2008-01-01,338985.3333333333,628966.3333333334,733695.0,1287198.0,192199.0,3420087.0,280503.0,181459.5,92824.0,169508.0,45032.0,72392.33333333333,187557.0,32544.0,824551.0,108669.0,269199.6666666667,33231.0,-4112.0,33444.0,2136817.0,208096.66666666666
2009-01-01,350376.0,634586.3333333334,733853.0,1367385.0,204151.0,3542714.0,289111.0,195072.0,94797.0,176412.0,47383.666666666664,73758.0,194194.0,33340.0,871667.0,114457.0,275125.0,34385.666666666664,-2401.0,34039.0,2177853.0,213317.33333333334
2010-01-01,354788.0,618473.3333333334,706370.0,1422589.0,201947.0,3539654.0,289163.0,198534.0,91682.0,179344.0,45690.666666666664,72638.33333333333,197256.0,32848.0,897303.0,121391.0,271145.6666666667,33422.333333333336,262.0,33259.0,2117013.0,211356.66666666666
2011-01-01,335441.0,603779.3333333334,679418.0,1384199.0,191611.33333333334,3426851.0,286632.0,199687.0,85931.0,184567.0,42744.333333333336,67712.0,200384.0,31755.0,878068.0,108798.0,264204.6666666667,30967.666666666668,1252.0,31122.0,2042319.0,206028.0
2012-01-01,329929.3333333333,598216.0,667746.0,1357855.0,188539.33333333334,3355958.0,285837.0,201131.0,83153.0,188842.0,39346.666666666664,66272.66666666667,202383.0,30818.0,848186.0,107600.66666666667,257262.0,29708.666666666668,1042.0,30956.0,1997704.0,201827.66666666666
2013-01-01,322387.3333333333,600339.3333333334,667624.0,1283918.0,185421.33333333334,3275590.0,290737.0,199228.5,82324.0,192590.0,37518.333333333336,67813.33333333333,208162.0,30175.0,792374.0,102826.0,252176.33333333334,29325.666666666668,385.0,30135.0,1991761.0,199544.66666666666
2014-01-01,323419.3333333333,604463.3333333334,672438.0,1251937.0,182089.33333333334,3247263.0,295013.0,199881.0,77771.0,194574.0,36364.666666666664,68626.66666666667,217312.0,29991.0,760400.0,98922.66666666667,254193.66666666666,29507.333333333332,154.0,30907.0,1995343.0,203889.0
2015-01-01,336777.3333333333,623893.3333333334,696619.0,1252733.0,187831.33333333334,3313574.0,307748.0,207609.0,80979.0,199513.0,37664.333333333336,69021.33333333333,226844.0,29773.0,744874.0,103354.0,260885.66666666666,31006.666666666668,-22.0,31559.0,2060776.0,212385.33333333334
2016-01-01,341976.0,643048.3333333334,720477.0,1259969.0,188031.66666666666,3378508.0,325543.0,217465.0,91590.0,204613.0,38436.333333333336,71488.66666666667,233968.0,29460.0,741148.0,105198.0,266845.3333333333,32918.0,-8.0,32353.0,2118536.0,215207.33333333334
2017-01-01,342682.0,648611.0,729450.0,1266054.0,189380.0,3397141.0,333483.0,211630.0,91452.0,204128.0,38732.0,73450.66666666667,242031.0,29225.0,748294.0,104199.0,268423.3333333333,33048.0,0.0,32245.0,2131087.0,216986.0
2018-01-01,349666.6666666667,650758.6666666666,733320.0,1309944.0,190217.33333333334,3465000.0,343944.0,218314.5,94203.0,203038.0,39929.0,79078.33333333333,249744.0,30055.0,774601.0,108278.33333333333,273689.0,33379.333333333336,-122.0,33241.0,2155172.0,219236.33333333334
2019-01-01,358522.0,665480.3333333334,749702.0,1360306.0,198163.66666666666,3600383.0,365921.0,235311.5,108766.0,206578.0,40515.333333333336,82796.33333333333,257002.0,32257.0,816306.0,109620.33333333333,282370.6666666667,35194.0,-121.0,33846.0,2240187.0,226338.66666666666
2020-01-01,377733.6666666667,656964.6666666666,740213.0,1445544.0,217422.33333333334,3721758.0,386361.0,272699.0,134842.0,202494.0,40954.666666666664,85250.0,251702.0,33158.0,840516.0,126711.66666666667,282213.0,34658.333333333336,-1756.0,34992.0,2277223.0,227678.0
2021-01-01,368326.0,653604.3333333334,741132.0,1471998.0,223380.33333333334,3711430.0,393774.0,298615.0,122946.0,196527.0,36666.0,88113.66666666667,271034.0,32885.0,831914.0,129850.33333333333,278666.3333333333,32687.666666666668,-3392.0,35107.0,2241833.0,215130.0
2022-01-01,341714.0,661281.6666666666,744844.0,1424284.0,234304.33333333334,3669867.0,401450.0,308826.5,115319.0,204408.0,33567.333333333336,89352.66666666667,287578.0,32562.0,799256.0,108312.33333333333,278487.0,31747.666666666668,-1968.0,35682.0,2245759.0,209454.0
2023-01-01,367999.3333333333,694359.6666666666,779895.0,1466097.0,241524.0,3811769.0,412225.0,299090.5,119453.0,217718.0,36167.0,89454.33333333333,294064.0,33557.0,825232.0,122683.33333333333,290186.6666666667,32660.666666666668,-877.0,36739.0,2345083.0,220773.0
