Date,Agriculture,Air,Disability,Economic affairs,Education,Elementary and secondary,Energy,Executive and legislative,Federal,Fire,General economic and labor affairs,General public service,Government,Gross expenditures,Health,Health (net),Higher,Highways,Housing and community services,Income security,Interest payments,Law courts,Less: Sales to other sectors,Libraries,Libraries and other,National defense,Natural resources,Other,Other economic affairs,Police,Postal service,Prisons,Public order and safety,Recreation and culture,Retirement,Space,State and local,Tax collection and financial management,Transit and railroad,Transportation,Unemployment,Water,Welfare and social services
1959-01-01,3091.6666666666665,497.0,2926.0,8560.0,9781.666666666666,8010.333333333333,380.5,2912.6666666666665,90510.0,995.0,824.0,14181.666666666666,124366.0,4004.0,3801.5,3038.0,972.3333333333334,3060.0,508.6666666666667,15444.666666666666,9766.0,444.3333333333333,967.0,256.0,884.5,44011.0,429.6666666666667,490.22222222222223,4599.0,1376.0,0.0,390.0,2874.3333333333335,452.0,10463.0,150.0,38340.0,1159.0,0.0,3860.6666666666665,2914.5,704.0,3487.6666666666665
1960-01-01,1817.3333333333333,531.0,3148.0,7681.0,10736.0,8859.0,361.0,3003.3333333333335,93398.0,1088.0,991.3333333333334,16268.0,131252.0,4291.0,3987.0,3277.0,1179.6666666666667,3210.0,567.6666666666666,16591.333333333332,11635.333333333334,477.0,1014.0,264.0,829.5,44343.0,353.6666666666667,473.22222222222223,3405.6666666666665,1487.3333333333333,0.0,436.0,3125.6666666666665,493.3333333333333,11592.0,323.0,41674.0,1285.0,0.0,4060.0,3185.5,744.0,3468.6666666666665
1961-01-01,1886.3333333333333,661.0,3540.6666666666665,8356.666666666666,11697.333333333334,9726.666666666666,457.0,3313.3333333333335,99811.0,1195.0,1154.0,17094.666666666668,141066.0,4801.0,4606.0,3739.0,1293.0,3385.3333333333335,609.3333333333334,19024.333333333332,11900.0,505.6666666666667,1061.0,292.0,848.5,45665.5,382.0,528.7777777777778,3717.6666666666665,1586.0,0.0,480.6666666666667,3369.0,558.6666666666666,12789.0,444.0,45537.0,1361.0,0.0,4342.666666666667,4558.0,775.0,3780.0
1962-01-01,2554.6666666666665,689.0,3682.6666666666665,9728.0,12535.666666666666,10486.0,398.5,3401.0,108557.0,1209.0,1376.0,18500.666666666668,152386.0,5269.0,4664.0,4001.0,1347.6666666666667,3578.6666666666665,679.6666666666666,19793.333333333332,13106.666666666666,521.0,1268.0,309.0,899.0,50121.0,336.0,559.8888888888889,4521.666666666667,1682.0,0.0,495.3333333333333,3504.3333333333335,570.3333333333334,14439.0,928.0,48565.0,1451.0,0.0,4588.0,3346.0,825.0,4085.0
1963-01-01,2032.6666666666667,691.0,3992.0,9935.0,13686.0,11408.666666666666,174.5,3534.0,113498.0,1267.0,1518.0,19734.0,160511.0,5749.0,5023.0,4385.0,1488.3333333333333,3796.6666666666665,764.6666666666666,20769.0,14170.0,561.3333333333334,1364.0,370.0,1023.0,52092.0,233.0,599.3333333333334,3905.3333333333335,1792.0,0.0,521.3333333333334,3720.0,609.3333333333334,15239.0,1801.0,52258.0,1442.0,12.0,4829.0,3189.0,845.5,4311.333333333333
1964-01-01,2425.3333333333335,759.0,4161.333333333333,11148.0,15050.666666666666,12546.666666666666,299.5,3674.6666666666665,118210.0,1352.0,1520.3333333333333,21233.333333333332,169086.0,6317.0,5244.0,4775.0,1635.0,4003.3333333333335,898.0,21500.0,15281.333333333334,609.3333333333334,1542.0,381.0,1133.0,52725.5,353.0,685.0,4515.333333333333,1917.3333333333333,0.0,566.0,3994.0,645.6666666666666,16010.0,2307.0,56828.0,1555.0,10.0,5094.666666666667,2910.0,868.0,4542.666666666667
1965-01-01,2439.3333333333335,743.0,4506.0,12043.333333333334,16833.333333333332,13922.333333333334,238.0,3867.0,125942.0,1452.0,1869.3333333333333,22679.0,181613.0,7034.0,5511.0,5215.0,1868.0,4278.666666666667,861.6666666666666,23373.666666666668,16306.666666666666,662.0,1819.0,419.0,1347.5,55543.0,362.6666666666667,800.7777777777778,4840.0,2080.0,0.0,605.3333333333334,4315.333333333333,714.0,17834.0,2713.0,62230.0,1621.0,18.0,5394.0,2539.5,912.0,5080.666666666667
1966-01-01,2365.0,820.0,4618.0,12976.0,19859.333333333332,16090.666666666666,225.0,3877.0,144374.0,1575.0,2378.6666666666665,24519.666666666668,204476.0,8109.0,7935.5,5963.0,2285.3333333333335,4644.666666666667,923.0,24653.666666666668,17797.333333333332,734.0,2145.0,465.0,1757.5,65642.0,490.6666666666667,1042.5555555555557,5394.333333333333,2255.3333333333335,0.0,661.3333333333334,4701.0,767.3333333333334,19341.0,2614.0,69467.0,1791.0,24.0,5839.333333333333,2157.5,948.0,5410.333333333333
1967-01-01,2630.6666666666665,881.0,5035.333333333333,14322.0,22411.333333333332,17627.0,503.0,3768.3333333333335,165783.0,1679.0,2919.6666666666665,26330.333333333332,232556.0,9597.0,12906.5,7012.0,2950.0,5021.333333333333,1059.6666666666667,27051.333333333332,19393.333333333332,812.3333333333334,2585.0,476.0,2159.5,75759.0,794.6666666666666,1207.888888888889,6689.0,2503.3333333333335,0.0,771.0,5206.666666666667,853.0,20743.0,1933.0,77707.0,2022.0,26.0,6344.666666666667,2495.0,1078.0,6246.666666666667
1968-01-01,3793.3333333333335,896.0,5438.333333333333,16015.333333333334,25170.0,19554.666666666668,422.0,3042.6666666666665,184345.0,1873.0,3118.0,29495.666666666668,261651.0,12040.0,14888.0,8820.0,3496.6666666666665,5448.0,1160.6666666666667,30576.0,21858.666666666668,924.6666666666666,3220.0,523.0,2486.5,84061.0,713.3333333333334,1414.3333333333333,7903.0,3034.6666666666665,0.0,854.0,6061.666666666667,994.6666666666666,24147.0,1925.0,89144.0,2323.3333333333335,31.333333333333332,6828.666666666667,2472.5,1128.0,7186.333333333333
