Date,Agriculture,Air,Disability,Economic affairs,Education,Energy,Federal,General Public Service,General economic and labor affairs,General public service,Government,Gross expenditures,Health,Health (net),Highways,Housing and community services,Income security,Less: Sales to other sectors,National defense,Natural resources,Other,Other economic affairs,Public order and safety,Recreation and culture,Space,State and local,Transit and railroad,Transportation,Unemployment,Water,Welfare and social services
1959-01-01,532.3333333333334,28.5,,3384.0714285714284,3607.1,39.0,16661.166666666668,,4.0,1066.3,28496.2,3525.0,1055.0,2559.0,1508.0,646.2222222222222,4663.4,967.0,24390.0,51.5,190.0,581.0,1318.4285714285713,312.6666666666667,0.0,12304.5,,890.25,325.0,49.0,2071.0
1960-01-01,553.3333333333334,30.5,,3226.3571428571427,3937.8,36.0,16761.666666666668,,0.0,1190.0,29286.6,3750.0,1124.111111111111,2736.0,1231.0,673.0,5003.0,1014.0,24374.0,57.5,229.0,603.6666666666666,1423.857142857143,331.3333333333333,0.0,13051.75,,786.25,311.0,93.0,2084.0
1961-01-01,1099.6666666666667,30.5,,3552.1428571428573,4286.6,44.0,18318.666666666668,,0.0,1290.4,31947.8,4100.0,1285.111111111111,3038.0,1335.0,746.2222222222222,5759.9,1061.0,25829.0,52.0,247.0,1149.0,1532.7142857142858,366.0,0.0,14210.0,,872.75,380.0,123.0,2348.0
1962-01-01,1244.0,32.5,,4028.8571428571427,4546.8,47.0,19899.333333333332,,0.0,1366.4,34365.6,4327.0,1345.3333333333333,3059.0,1438.0,853.8888888888889,6003.2,1268.0,27891.2,59.0,281.0,1299.0,1591.5714285714287,385.8333333333333,0.0,15027.25,,945.75,380.0,126.0,2585.0
1963-01-01,1209.3333333333333,32.5,,4217.933333333333,5006.9,11.0,20649.333333333332,,0.0,1447.4,36036.0,4667.0,1470.2222222222222,3303.0,1716.5,678.0,6286.1,1364.0,28010.0,62.5,314.0,1254.6666666666667,1693.7142857142858,421.8333333333333,0.0,16256.75,,707.8333333333334,386.0,88.0,2830.0
1964-01-01,1530.6666666666667,42.0,,4743.4,5533.1,85.0,21416.833333333332,,0.0,1565.1,37847.4,5050.0,1573.888888888889,3508.0,1949.5,803.6363636363636,6490.2,1542.0,27893.4,22.5,329.0,1574.0,1825.142857142857,436.1666666666667,0.0,17667.75,,788.8333333333334,374.0,81.0,3066.0
1965-01-01,1704.6666666666667,28.5,,5187.933333333333,6190.7,74.0,22415.666666666668,,0.0,1752.5,40301.4,5546.0,1654.6666666666667,3727.0,1917.0,702.3076923076923,7074.5,1819.0,28232.8,72.0,410.0,1777.3333333333333,1971.4285714285713,402.57142857142856,0.0,19381.75,9.0,776.1666666666666,419.0,81.0,3360.0
1966-01-01,2345.6666666666665,27.5,,5639.533333333334,7372.3,92.0,25766.666666666668,,32.0,1838.4,45488.8,6107.0,2292.1111111111113,3961.0,2064.5,731.8461538461538,7470.3,2145.0,32988.8,76.0,647.0,2437.6666666666665,2152.1428571428573,338.22222222222223,0.0,21628.75,13.5,817.1666666666666,493.0,83.0,2899.0
1967-01-01,2222.0,35.0,42.0,5880.066666666667,8298.6,108.0,29343.333333333332,,134.0,1971.1,51444.0,6805.0,3575.6666666666665,4220.0,1954.5,791.3076923076923,8191.6,2585.0,38013.2,92.0,570.0,2364.0,2361.714285714286,383.0,0.0,24067.75,30.0,796.5,522.0,85.0,3324.0
1968-01-01,2458.0,39.0,45.0,6422.666666666667,9167.2,156.0,32059.5,,723.0,2249.1,56735.0,7963.0,3580.6363636363635,4743.0,2156.0,928.8461538461538,9217.3,3220.0,40578.8,95.0,223.0,2814.3333333333335,2753.285714285714,446.8888888888889,0.0,27259.0,61.0,883.6666666666666,563.0,112.0,4417.0
1969-01-01,2682.3333333333335,51.5,48.0,6774.066666666667,10189.0,168.0,33593.833333333336,,812.0,2761.7,60631.0,8983.0,4072.6363636363635,5421.0,2009.0,939.4615384615385,10155.7,3562.0,40874.2,109.5,227.0,3082.0,3079.4285714285716,523.7777777777778,0.0,30258.25,53.0,817.8333333333334,570.0,77.0,5246.0
