Date,Administrative expenses,Benefits paid,Capital transfers paid,Capital transfers received,Cash payments to the public,Cash receipts from the public,Checks outstanding and certain other accounts,Consolidated cash budget surplus or deficit (-) (1-19),Contributions accrued (employer),Contributions received by federal employee pension and insurance funds,Current surplus of government enterprises,Current transfer payments,District of Columbia,"Equals: Federal government current expenditures, NIPAs","Equals: Federal government current receipts, NIPAs","Equals: Net federal government saving, national income and product accounts (18-44)",Excise taxes,Federal Home Loan banks and Federal land banks,Federal and state unemployment insurance taxes,Federal employee pension and insurance fund transactions,Financial transactions,Interest accrued,Interest payments,Interest receipts,Less: Coverage differences,Less: Federal employee retirement plans (3-21),Less: Net capital transfers received (4-29),Less: Netting and grossing differences,Less: Other coverage differences (5+6+7-26-27-30-33),Less: Timing differences (38-12),Loan disbursements less loan repayments and sales,Net investment,Net purchases of foreign currency,Other,Plus: Net investment (28),Plus: Timing differences,Purchases (increase in payables net of advances),Subsidies,Taxes on corporate income,Withheld personal income tax and social security contributions
1959-07-01,1.0,393.0,995.0,331.0,24375.0,21364.0,-701.0,-3011.0,-1291.0,191.0,189.0,57.0,53.5,23367.0,21665.0,-1702.0,-121.0,532.0,-158.0,-2190.0,139.5,-1293.0,406.0,0.0,899.0,2381.0,-664.0,167.0,-29.0,-988.0,-105.0,2008.0,252.0,-46.0,2008.0,713.0,529.0,-72.0,1023.0,194.0
1959-10-01,1.0,408.0,908.0,319.0,23917.0,19419.0,-120.0,-4498.0,-1288.0,183.0,67.0,12.0,58.0,22580.0,22375.0,-205.0,55.0,314.0,-91.0,-2259.0,458.5,-1380.0,219.0,0.0,925.5,2442.0,-589.0,231.0,-426.0,-4015.0,524.0,1706.0,205.0,54.6,1706.0,1966.0,-202.0,50.0,1126.0,2585.0
1960-01-01,1.0,409.0,476.0,409.0,21957.0,25776.0,532.0,3819.0,-1299.0,200.0,198.0,34.0,56.5,22495.0,22841.0,345.0,99.0,-561.0,332.0,-2277.0,575.0,-1388.0,67.0,-282.0,502.5,2477.0,-67.0,-48.0,-267.0,2977.0,705.0,1646.0,279.0,32.6,1646.0,-743.5,111.0,1.0,-2149.0,-756.0
1960-04-01,0.0,422.0,566.0,545.0,24079.0,28518.0,8.0,4439.0,-1280.0,180.0,114.0,-11.0,60.5,23333.0,24165.0,832.0,99.0,145.0,-29.0,-2303.0,338.0,-1445.0,-205.0,-311.0,869.5,2483.0,-21.0,42.0,-264.0,2976.0,265.0,1567.0,341.0,195.0,1567.0,-1638.0,-6.0,64.0,-1287.0,-2164.0
1960-07-01,1.0,434.0,796.0,368.0,24156.0,23352.0,-7.0,-804.0,-1366.0,219.0,240.0,34.0,53.5,23533.0,23132.0,-401.0,-175.0,-115.0,-206.0,-2396.0,494.5,-1465.0,-68.0,-347.0,757.5,2615.0,-428.0,-69.0,-413.0,-374.0,623.0,1803.0,241.0,9.6,1803.0,267.0,268.0,-147.0,324.0,283.0
1960-10-01,1.0,448.0,778.0,437.0,24539.0,20641.0,-238.0,-3898.0,-1303.0,206.0,144.0,7.0,66.0,24037.0,23417.0,-620.0,61.0,104.0,-124.0,-2346.0,373.5,-1492.0,244.0,-393.0,709.0,2552.0,-341.0,-108.0,-191.0,-3584.0,251.0,1714.0,324.0,28.2,1714.0,1738.0,-123.0,56.0,550.0,2830.0
1961-01-01,0.0,451.0,539.0,516.0,23402.0,24758.0,849.0,1356.0,-1314.0,204.0,238.0,-22.0,61.0,23982.0,22125.0,-1857.0,-100.0,-662.0,420.0,-2371.0,494.5,-1508.0,-198.0,-304.0,645.0,2575.0,-23.0,-92.0,258.0,2511.0,472.0,2108.0,363.0,-3.6,2108.0,-473.5,114.0,39.0,-2372.0,134.0
1961-04-01,1.0,462.0,598.0,571.0,27445.0,28491.0,-325.0,1046.0,-1333.0,219.0,242.0,-230.0,66.0,25290.0,24183.0,-1107.0,248.0,417.0,-29.0,-2435.0,775.0,-1565.0,257.0,-346.0,1476.0,2654.0,-27.0,22.0,-491.0,2077.0,536.0,2060.0,374.0,54.6,2060.0,-1733.5,-405.0,8.0,-832.0,-2340.0
1961-07-01,1.0,482.0,850.0,448.0,26715.0,23381.0,393.0,-3334.0,-1338.0,216.0,274.0,156.0,59.0,24915.0,23696.0,-1219.0,-124.0,422.0,-196.0,-2444.0,1149.5,-1589.0,-298.0,-341.0,1935.0,2660.0,-402.0,-67.0,-2126.0,-65.0,1895.0,2182.0,196.0,-10.2,2182.0,1125.5,809.0,33.0,1212.0,96.0
1961-10-01,1.0,499.0,867.0,415.0,27173.0,21289.0,-740.0,-5884.0,-1355.0,213.0,139.0,53.0,69.0,25624.0,25075.0,-549.0,141.0,430.0,-116.0,-2478.0,490.0,-1623.0,666.0,-428.0,1212.5,2691.0,-452.0,-173.0,-873.0,-4440.0,668.0,2261.0,252.0,6.0,2261.0,2158.0,-65.0,24.0,1824.0,2330.0
