Date,Administrative expenses,Benefits paid,Budget outlays,Budget receipts,Budget surplus or deficit (-) (1-19),Capital transfers paid,Capital transfers received,Contributions accrued (employer),Contributions received by federal employee pension and insurance funds,Current surplus of government enterprises,Current transfer payments,Deposit insurance,"Equals: Federal government current expenditures, NIPAs","Equals: Federal government current receipts, NIPAs","Equals: Federal government saving, national income and product accounts (18-47)",Excise taxes,Federal and state unemployment insurance taxes,Federal employee pension and insurance fund transactions,Financial transactions,Financing disbursements from credit programs,Interest accrued,Interest payments,Interest receipts,Less: Coverage differences,Less: Federal employee retirement plans (3-21),Less: Net capital transfers received (4-29),Less: Netting and grossing differences,Less: Other coverage differences (5+6-26-27-30-35-36),Less: Timing differences (42-12),Loan disbursements less loan repayments and sales,Net investment,Net purchases of foreign currency,Net purchases of nonproduced assets,Other,Other differences in funds covered,Plus: Net investment (28),Plus: Timing differences,Purchases (increase in payables net of advances),Supplementary medical insurance premiums,Taxes on corporate income,Withheld personal income tax and social security contributions
1968-01-01,1.0,1076.0,44867.0,36142.0,-8725.0,1233.0,669.0,-2049.0,321.0,259.0,114.0,0.0,43940.0,38440.0,-5500.0,-40.0,325.0,-3518.0,1441.0,,-2546.0,-552.0,-607.0,1253.0,3839.0,-564.0,-1010.0,-1644.0,-2937.0,2646.0,1919.0,261.0,-528.0,-118.85714285714286,-410.0,1919.0,928.5,-88.0,,1388.0,130.0
1968-04-01,1.0,1132.0,47438.0,50348.0,2910.0,1202.0,1046.0,-2089.0,379.0,260.0,86.0,0.0,45791.0,42246.0,-3545.0,112.0,-69.0,-3656.0,1487.0,,-2700.0,1169.0,-638.0,1765.5,4035.0,-156.0,-891.0,-2775.0,7210.0,2816.0,1859.0,170.0,-225.0,-6.142857142857143,-453.0,1859.0,-4000.0,-1640.0,,-4009.0,-4252.0
1968-07-01,1.0,1174.0,46832.0,43647.0,-3185.0,1765.0,688.0,-2152.0,359.0,355.0,60.0,0.0,47929.0,43919.0,-4009.0,-172.0,-194.0,-3703.0,471.5,,-2726.0,-217.0,-667.0,792.5,4062.0,-1077.0,-875.0,-743.0,282.0,925.0,1699.0,61.0,-222.0,18.428571428571427,-532.0,1699.0,602.0,851.0,,-120.0,283.0
1968-10-01,1.0,1211.0,46354.0,39234.0,-7120.0,1793.0,725.0,-2252.0,371.0,151.0,37.0,0.0,46668.0,45972.0,-696.0,-35.0,-59.0,-3771.0,755.5,,-2731.0,71.0,-703.0,763.0,4142.0,-1068.0,-1089.0,-986.0,-7028.0,1624.0,1484.0,66.0,61.0,-104.71428571428571,-534.0,1484.0,3200.0,-404.0,,1376.0,4776.0
1969-01-01,1.0,1238.0,46131.0,44162.0,-1969.0,1269.0,813.0,-2176.0,372.0,311.0,16.0,0.0,46556.0,45784.0,-772.0,110.0,334.0,-3743.0,453.0,,-2806.0,-199.0,-514.0,873.5,4115.0,-456.0,-1188.0,-696.0,-2350.0,884.0,1810.0,36.0,11.0,-47.857142857142854,-562.0,1810.0,709.0,-359.0,,196.0,537.0
1969-04-01,1.0,1298.0,45231.0,60749.0,15518.0,1298.0,1258.0,-2105.0,348.0,330.0,21.0,0.0,48613.0,49609.0,996.0,119.0,-65.0,-3867.0,-72.0,,-3061.0,477.0,-574.0,-861.0,4215.0,-40.0,-745.0,1676.0,9847.0,-231.0,1177.0,181.0,44.0,-203.57142857142858,-581.0,1177.0,-5485.0,-1233.0,,-6596.0,-4623.0
1969-07-01,1.0,1325.0,50417.0,47956.0,-2461.0,1554.0,731.0,-2312.0,432.0,426.0,64.0,0.0,51589.0,47618.0,-3971.0,-108.0,-181.0,-4208.0,410.0,,-3222.0,-754.0,-554.0,-52.0,4640.0,-823.0,-663.0,-65.0,-968.0,791.0,1274.0,59.0,30.0,-59.0,-611.0,1274.0,-297.5,-120.0,,-49.0,-260.0
1969-10-01,2.0,1397.0,48501.0,42877.0,-5624.0,1739.0,761.0,-2239.0,392.0,196.0,95.0,0.0,50225.0,48823.0,-1401.0,-209.0,-53.0,-4281.0,930.5,,-3441.0,155.0,-688.0,280.0,4673.0,-978.0,-1064.0,-1186.0,-6083.0,1924.0,649.0,59.0,19.0,-78.14285714285714,-656.0,649.0,3051.0,-55.0,,464.0,5062.0
1970-01-01,1.0,1470.0,47821.0,44355.0,-3466.0,1171.0,873.0,-2306.0,440.0,471.0,75.0,0.0,51453.0,45466.0,-5987.0,129.0,414.0,-4615.0,319.5,,-3780.0,-741.0,-595.0,-498.5,5055.0,-298.0,-1028.0,-105.0,-1180.0,600.0,951.0,101.0,-23.0,-104.42857142857143,-720.0,951.0,845.0,933.0,,-515.0,543.0
1970-04-01,2.0,1494.0,49849.0,58555.0,8706.0,1185.0,1275.0,-2413.0,502.0,685.0,104.0,0.0,55218.0,48007.0,-7211.0,146.0,-167.0,-5098.0,164.0,,-4181.0,1351.0,-659.0,-937.0,5600.0,90.0,-917.0,514.0,10479.0,303.0,766.0,86.0,-80.0,-129.42857142857142,-735.0,766.0,-4443.5,-825.0,,-6295.0,-4259.0
