Date,Administrative expenses,Benefits paid,Capital gains net of losses,Capital transfers received,Census total expenditures,Census total revenue,Census total revenue less Census total expenditures (1-26),Certain dividends,Certain grant programs,Contributions from general government employers to own defined-benefit pension plans,Contributions to defined-benefit pension plans,Corporate profits taxes timing differences,Current expenditures of government enterprises,Current surplus of Indian tribal government enterprises,Dividends received,Employer contributions to own social insurance funds,"Equals: State and local government current expenditures, NIPAs","Equals: State and local government current receipts, NIPAs","Equals: State and local government net saving, national income and product accounts (25-47)",Financial transactions,Government sales included in Census total revenue,Imputed banking and insurance services,Imputed interest for unfunded actuarial liability,Imputed interest received and net insurance settlements,Indian tribal government expenditures,Insurance claims included in Census total revenue,Interest received,Less: Coverage differences,Less: Net capital transfers received (10),Less: Netting and grossing differences,Less: Other coverage differences (8+9+11+12+13+14+15-33-35-36-37-38-39),Less: State and local employee retirement plans (3-28),"Less: Statistical differences, expenditure","Less: Statistical differences, revenue",Less: Timing and other differences (21+46-22-45),Net investment,Other,Other timing differences and other,Plus: Net investment (34),Plus: Timing and other differences,Purchases of land,Sale of land,Services provided without payment by domestic securities brokers,State and local employee retirement plan transactions,Unemployment insurance fund benefits paid,Unemployment insurance fund contributions and earnings
1959-01-01,25.0,1144.0,,2665.0,58572.0,53972.0,-4600.0,,-143.0,-1912.0,1373.0,61.0,4993.0,,,-7.0,37071.0,38634.0,1563.0,24.0,3332.0,-291.0,-1302.0,-263.0,,262.0,498.0,9156.0,2665.0,8580.0,-2243.0,3916.0,0.0,0.0,-261.0,10240.0,-70.0,-614.0,10240.0,-683.5,1003.0,224.0,-5.0,-87.0,3275.0,1827.0
1960-01-01,29.0,1265.0,,3006.0,60999.0,60277.0,-722.0,,-228.0,-1934.0,1498.0,35.0,5428.0,,,-7.0,40004.0,42591.0,2587.0,14.0,3714.0,-342.0,-1487.0,-339.0,,285.0,601.0,8822.5,3006.0,9420.0,-938.0,4226.0,0.0,0.0,202.0,9805.0,-139.0,-1234.0,9805.0,-1098.0,1022.0,192.0,-5.0,-14.0,2364.0,2323.0
1961-01-01,23.0,1383.0,,2786.0,67023.0,64531.0,-2492.0,,-83.0,-2271.0,1607.0,-78.0,5799.0,,,-14.0,43625.0,45807.0,2182.0,31.0,4012.0,-361.0,-1585.0,-355.0,,304.0,717.0,9771.0,2786.0,10101.0,-1785.0,4774.0,0.0,0.0,70.0,10519.0,-100.0,-1147.0,10519.0,-1190.0,1077.0,177.0,-5.0,-63.0,3463.0,2519.0
1962-01-01,27.0,1578.0,,3041.0,70547.0,69492.0,-1055.0,,-132.0,-2255.0,1731.0,122.0,6095.0,,,-13.0,47126.0,49764.0,2638.0,43.0,4586.0,-352.0,-1915.0,-339.0,,306.0,829.0,9999.5,3041.0,10974.0,-1089.0,5125.0,0.0,0.0,10.0,10780.0,-53.0,-728.0,10780.0,-601.0,1238.0,155.0,-5.0,-2.5,2808.0,2820.0
1963-01-01,20.0,1665.0,,3321.0,75760.0,75317.0,-443.0,,-57.0,-2254.0,1863.0,54.0,6520.0,,,-15.0,50292.0,53361.0,3069.0,36.0,5193.0,-351.0,-2244.0,-357.0,,316.0,950.0,10657.5,3321.0,12014.0,-590.0,5626.0,0.0,0.0,-648.0,11220.0,-40.0,-770.0,11220.0,-1040.0,1319.0,289.0,-6.0,0.0,2760.0,3181.0
1964-01-01,51.0,1844.0,,4016.0,80579.0,81455.0,876.0,,-296.0,-2528.0,2008.0,75.0,6992.0,,,-16.0,54608.0,58230.0,3622.0,56.0,5729.0,-388.0,-2414.0,-380.0,,330.0,1065.0,11411.5,4016.0,13035.0,-886.0,6120.0,0.0,0.0,157.0,12153.0,12.0,-305.0,12153.0,-151.5,1502.0,231.0,-7.0,13.0,2638.0,3260.0
1965-01-01,41.0,2298.0,,4467.0,86962.0,88118.0,1156.0,,-410.0,-2725.0,2208.0,-44.0,7446.0,,,-16.0,59408.0,63255.0,3847.0,36.0,6455.0,-425.0,-2616.0,-440.0,,354.0,1217.0,12077.5,4467.0,14239.0,-653.0,6427.0,0.0,0.0,220.0,13152.0,-28.0,43.0,13152.0,109.0,1545.0,300.0,-7.0,211.5,2298.0,3244.0
1966-01-01,56.0,2219.0,,4498.0,94906.0,97619.0,2713.0,,-92.0,-3107.0,2375.0,112.0,7980.0,,,-19.0,65711.0,69914.0,4203.0,45.0,7373.0,-453.0,-2849.0,-412.0,,370.0,1369.0,12606.5,4498.0,15704.0,36.0,7425.0,0.0,0.0,883.0,14332.0,68.0,-692.0,14332.0,-139.0,1642.0,300.0,-8.0,31.5,1893.0,3337.0
1967-01-01,57.0,2608.0,,4537.0,105978.0,106581.0,603.0,,-9.0,-3295.0,2707.0,163.0,8601.0,,,-24.0,73237.0,77386.0,4149.0,76.0,8326.0,-511.0,-3208.0,-492.0,,395.0,1565.0,13283.0,4537.0,17298.0,186.0,8110.0,0.0,0.0,-722.0,15657.0,-147.0,-188.0,15657.0,-386.0,1602.0,202.0,-9.0,217.0,1941.0,3285.0
1968-01-01,81.0,2829.0,,5518.0,116234.0,117581.0,1347.0,,-949.0,-3698.0,3072.0,157.0,9428.0,,46.0,-27.0,83518.0,87629.0,4111.0,100.0,9363.0,-562.0,-3750.0,-541.0,,428.0,1747.0,13701.5,5518.0,19192.0,-1384.0,9403.0,0.0,0.0,103.0,16404.0,126.0,1351.0,16404.0,1559.5,1664.0,303.0,-9.0,163.5,2050.0,2972.0
1969-01-01,112.0,3221.0,,6550.0,131600.0,132153.0,553.0,,-702.0,-4537.0,3511.0,164.0,10359.0,,119.0,-31.0,95111.0,97840.0,2729.0,105.0,10533.0,-701.0,-4402.0,-681.0,,440.0,2024.0,14836.5,6550.0,21301.0,-966.0,11260.0,0.0,0.0,-1033.0,17987.0,-9.0,1089.0,17987.0,736.0,1757.0,290.0,-12.0,24.0,1992.0,3049.0
1970-01-01,123.0,3629.0,,6107.0,148052.0,150106.0,2054.0,,-1535.0,-5025.0,4034.0,-323.0,11521.0,,191.0,-33.0,109124.0,112216.0,3092.0,119.0,11807.0,-947.0,-5241.0,-921.0,,462.0,2268.0,14939.0,6107.0,23757.0,-1492.0,13007.0,0.0,0.0,-198.0,18462.0,-1.0,709.0,18462.0,287.0,1650.0,1155.0,-14.0,-10.5,2723.0,3101.0
