Date,Capital transfer payments,Capital transfer receipts,Consumption expenditures,Contributions for government social insurance,Current expenditures,Current receipts,Current surplus of government enterprises,Current tax receipts,Current transfer payments,Current transfer payments to the rest of the world,Current transfer receipts,Dividends,Excise taxes,Federal grants-in-aid,From business (net),From persons,From the rest of the world,Government social benefit payments to persons,Grants-in-aid to local governments,Gross government investment,Income receipts on assets,Income taxes,Interest payments,Interest receipts,Less: Consumption of fixed capital,Local government grants-in-aid,Net lending or net borrowing (-),Net purchases of nonproduced assets,Net state government saving,Other,Personal current taxes,Property taxes,Rents and royalties,Sales taxes,Social insurance funds,Subsidies,Taxes on corporate income,Taxes on production and imports,To persons and business,To the rest of the world,Total expenditures,Total receipts
1959-01-01,,2301.0,8192.0,413.0,21165.0,21618.0,389.0,16698.0,11396.0,,3641.0,0.0,5923.0,3234.0,36.0,127.0,,3599.0,7797.0,6498.0,477.0,1999.0,1506.0,317.0,1883.0,244.0,-2286.0,426.0,453.0,1171.6666666666667,3072.0,493.0,160.0,4059.0,25.0,71.0,1137.0,12489.0,1506.0,,26205.0,23919.0
1960-01-01,,1792.0,8840.0,461.0,23095.0,23292.0,430.0,18129.0,12512.0,,3729.0,0.0,6376.0,3297.0,47.0,136.0,,3785.0,8727.0,5875.0,543.0,2282.0,1666.0,373.0,1944.0,249.0,-2445.0,503.0,197.0,1153.0,3406.0,520.0,170.0,4441.0,28.0,77.0,1220.0,13503.0,1666.0,,27529.0,25084.0
1961-01-01,,2005.0,9498.0,492.0,25213.0,25010.0,454.0,19327.0,13788.0,,4179.0,0.0,6740.0,3725.0,48.0,149.0,,4084.0,9704.0,6770.0,557.0,2542.0,1846.0,364.0,2059.0,257.0,-3455.0,545.0,-203.0,1062.3333333333333,3693.0,534.0,193.0,4848.0,12.0,81.0,1261.0,14373.0,1846.0,,30469.0,27015.0
1962-01-01,,2183.0,10149.0,548.0,27444.0,27154.0,498.0,20952.0,15053.0,,4586.0,0.0,7163.0,4102.0,50.0,162.0,,4418.0,10635.0,7204.0,570.0,2842.0,2155.0,351.0,2229.0,272.0,-3624.0,542.0,-290.0,1072.6666666666667,4040.0,558.0,219.0,5394.0,14.0,88.0,1473.0,15439.0,2155.0,,32962.0,29337.0
1963-01-01,,2695.0,10896.0,629.0,29845.0,29156.0,526.0,22386.0,16476.0,,5015.0,0.0,7625.0,4482.0,60.0,187.0,,4747.0,11729.0,8244.0,600.0,3078.0,2366.0,375.0,2411.0,286.0,-4438.0,612.0,-689.0,991.0,4329.0,588.0,225.0,5788.0,30.0,107.0,1615.0,16442.0,2366.0,,36290.0,31851.0
1964-01-01,,3162.0,11755.0,682.0,32355.0,31801.0,561.0,24453.0,17917.0,,5451.0,0.0,8083.0,4871.0,62.0,221.0,,5115.0,12802.0,8734.0,655.0,3563.0,2567.0,425.0,2596.0,297.0,-4140.0,610.0,-554.0,1114.6666666666667,4896.0,616.0,230.0,6439.0,44.0,116.0,1810.0,17747.0,2567.0,,39103.0,34963.0
1965-01-01,,3079.0,12876.0,758.0,36069.0,35159.0,611.0,26881.0,20283.0,,6141.0,0.0,8809.0,5484.0,77.0,254.0,,5524.0,14759.0,9320.0,768.0,3947.0,2777.0,509.0,2836.0,326.0,-4897.0,582.0,-910.0,1067.3333333333333,5374.0,657.0,259.0,7326.0,90.0,133.0,1940.0,19567.0,2777.0,,43135.0,38238.0
1966-01-01,,3373.0,14548.0,821.0,41295.0,41542.0,661.0,30234.0,23549.0,,8901.0,0.0,9388.0,8152.0,68.0,291.0,,6355.0,17194.0,10672.0,925.0,4783.0,3046.0,648.0,3157.0,390.0,-4553.0,658.0,247.0,1576.6666666666667,6395.0,706.0,277.0,8567.0,119.0,152.0,2188.0,21651.0,3046.0,,49468.0,44915.0
1967-01-01,,3090.0,16632.0,877.0,47510.0,45645.0,717.0,32712.0,27287.0,,10288.0,0.0,9911.0,9444.0,81.0,290.0,,7677.0,19610.0,11465.0,1051.0,5315.0,3412.0,748.0,3480.0,473.0,-7382.0,623.0,-1865.0,930.0,7004.0,732.0,303.0,9515.0,130.0,179.0,2454.0,23254.0,3412.0,,56118.0,48735.0
1968-01-01,,3988.0,19036.0,942.0,55384.0,53801.0,759.0,38585.0,32192.0,,11771.0,0.0,11092.0,10721.0,97.0,347.0,,9478.0,22714.0,11985.0,1744.0,6914.0,3940.0,1408.0,3875.0,606.0,-6331.0,625.0,-1583.0,1109.3333333333333,8819.0,794.0,336.0,11678.0,144.0,216.0,3052.0,26714.0,3940.0,,64119.0,57789.0
1969-01-01,,3672.0,22193.0,1026.0,63739.0,61658.0,790.0,44029.0,36880.0,,13676.0,0.0,12389.0,12409.0,115.0,389.0,,10798.0,26082.0,12784.0,2138.0,8620.0,4434.0,1796.0,4334.0,763.0,-7042.0,183.0,-2081.0,1086.6666666666667,10781.0,864.0,342.0,13304.0,159.0,232.0,3352.0,29896.0,4434.0,,72372.0,65330.0
1970-01-01,,3338.0,25599.0,1089.0,74100.0,69124.0,795.0,48135.0,42899.0,,16584.0,0.0,13416.0,15192.0,125.0,403.0,,12883.0,30016.0,13856.0,2521.0,9583.0,5339.0,2175.0,4978.0,864.0,-10753.0,237.0,-4976.0,256.6666666666667,11958.0,942.0,346.0,14777.0,180.0,263.0,3491.0,32686.0,5339.0,,83215.0,72462.0
1971-01-01,,3628.0,28621.0,1174.0,84581.0,78285.0,812.0,53750.0,49220.0,,19878.0,0.0,14768.0,18353.0,130.0,443.0,,15286.0,33934.0,14615.0,2671.0,10950.0,6446.0,2299.0,5572.0,952.0,-12399.0,688.0,-6296.0,-34.333333333333336,13439.0,965.0,372.0,16625.0,228.0,294.0,4021.0,36290.0,6446.0,,94312.0,81913.0
1972-01-01,,3569.0,31210.0,1320.0,94862.0,95101.0,903.0,63541.0,55493.0,,26406.0,0.0,16345.0,24648.0,151.0,527.0,,17479.0,38014.0,15190.0,2932.0,15209.0,7669.0,2512.0,6041.0,1080.0,-6063.0,722.0,239.0,2354.6666666666665,17897.0,1072.0,420.0,18879.0,260.0,491.0,4951.0,40693.0,7669.0,,104733.0,98670.0
1973-01-01,,3090.0,35030.0,1492.0,106242.0,103231.0,1022.0,70197.0,61438.0,,26632.0,27.0,17747.0,24542.0,157.0,691.0,,19380.0,42058.0,15814.0,3888.0,16818.0,9123.0,3349.0,6763.0,1242.0,-9640.0,668.0,-3011.0,1441.6666666666667,19780.0,1185.0,512.0,21093.0,307.0,651.0,5711.0,44706.0,9123.0,,115961.0,106321.0
1974-01-01,,3473.0,41862.0,1665.0,119927.0,112172.0,1003.0,75874.0,66661.0,,28595.0,32.0,18113.0,26250.0,212.0,810.0,,19889.0,46772.0,17271.0,5035.0,18047.0,10539.0,4429.0,8609.0,1323.0,-13813.0,870.0,-7755.0,74.66666666666667,21097.0,1114.0,574.0,23899.0,377.0,865.0,6345.0,48432.0,10539.0,,129458.0,115645.0
1975-01-01,,4501.0,48827.0,1843.0,138613.0,125871.0,1152.0,81896.0,76471.0,,35357.0,38.0,18994.0,32413.0,238.0,990.0,,24204.0,52267.0,17759.0,5623.0,19934.0,12212.0,4956.0,9639.0,1716.0,-17288.0,926.0,-12742.0,-1454.6666666666667,23162.0,1449.0,629.0,25755.0,466.0,1103.0,6920.0,51814.0,12212.0,,147660.0,130372.0
1976-01-01,,4729.0,52484.0,2187.0,150737.0,141773.0,1313.0,93814.0,83440.0,,39131.0,43.0,20588.0,35440.0,255.0,1183.0,,26861.0,56579.0,17637.0,5328.0,23433.0,13599.0,4656.0,9873.0,2253.0,-12821.0,823.0,-8963.0,107.66666666666667,26977.0,1534.0,629.0,29280.0,605.0,1214.0,9088.0,57749.0,13599.0,,159323.0,146502.0
1977-01-01,,4769.0,57163.0,2775.0,163598.0,158244.0,1489.0,105121.0,90172.0,,42806.0,46.0,21953.0,38752.0,280.0,1370.0,,29068.0,61104.0,17002.0,6054.0,27178.0,14904.0,5433.0,10260.0,2404.0,-7957.0,630.0,-5354.0,1410.6666666666667,30891.0,1502.0,575.0,33072.0,986.0,1359.0,10844.0,63386.0,14904.0,,170970.0,163013.0
1978-01-01,,4882.0,62690.0,3410.0,180248.0,177366.0,1690.0,117408.0,99702.0,,47448.0,65.0,23336.0,43116.0,322.0,1483.0,,32029.0,67673.0,18846.0,7410.0,31584.0,16306.0,6739.0,10877.0,2527.0,-6712.0,744.0,-2881.0,2399.3333333333335,35591.0,1919.0,606.0,37497.0,1487.0,1550.0,11506.0,70311.0,16306.0,,188960.0,182248.0
1979-01-01,,6164.0,69594.0,3880.0,200536.0,194995.0,1810.0,128917.0,111176.0,,50057.0,83.0,23960.0,45929.0,371.0,1568.0,,35414.0,75762.0,22422.0,10331.0,34612.0,17973.0,9192.0,12118.0,2189.0,-10490.0,809.0,-5540.0,1989.6666666666667,38899.0,2348.0,1056.0,41775.0,1772.0,1792.0,12941.0,77077.0,17973.0,,211649.0,201159.0
1980-01-01,,7684.0,78334.0,3572.0,225593.0,216153.0,1785.0,140885.0,125233.0,,56546.0,97.0,25220.0,52053.0,422.0,1739.0,,41257.0,83976.0,24910.0,13365.0,39143.0,19997.0,11226.0,14159.0,2332.0,-13307.0,799.0,-9441.0,1542.0,43744.0,2588.0,2042.0,44815.0,1318.0,2029.0,13734.0,83407.0,19997.0,,237143.0,223837.0
