Date,Capital transfer receipts,Consumption expenditures,Current expenditures,Current receipts,Current surplus of government enterprises,Current tax receipts,Current transfer payments,Current transfer payments to the rest of the world,Current transfer receipts,Excise taxes,Federal grants-in-aid,From business (net),From persons,From the rest of the world,Government social benefit payments to persons,Grants-in-aid to state governments,Gross government investment,Income receipts on assets,Income taxes,Interest payments,Interest receipts,Less: Consumption of fixed capital,Net lending or net borrowing (-),Net local government saving,Net purchases of nonproduced assets,Other,Personal current taxes,Property taxes,Rents and royalties,Sales taxes,State government grants-in-aid,Subsidies,Taxes on corporate income,Taxes on production and imports,To persons and business,To the rest of the world,Total expenditures,Total receipts
1959-01-01,1173.0,22600.0,25287.0,26923.0,728.0,17128.0,984.0,,8413.0,403.0,396.0,71.0,149.0,,740.0,244.0,7588.0,655.0,230.0,1702.0,537.0,2447.0,-2710.0,1637.0,379.0,1013.6666666666666,751.0,14319.0,118.0,747.0,7797.0,0.0,25.0,16352.0,1702.0,,30807.0,28096.0
1960-01-01,1214.0,24699.0,27633.0,29953.0,810.0,18825.0,1025.0,,9537.0,464.0,523.0,122.0,165.0,,776.0,249.0,8232.0,780.0,254.0,1909.0,674.0,2581.0,-2478.0,2320.0,362.0,1268.3333333333333,824.0,15718.0,106.0,875.0,8727.0,0.0,29.0,17972.0,1909.0,,33645.0,31167.0
1961-01-01,1285.0,27108.0,30367.0,32766.0,857.0,20326.0,1155.0,,10723.0,511.0,557.0,180.0,282.0,,898.0,257.0,8482.0,860.0,258.0,2103.0,697.0,2730.0,-2514.0,2400.0,447.0,1320.3333333333333,863.0,17046.0,163.0,921.0,9704.0,0.0,29.0,19434.0,2103.0,,36565.0,34051.0
1962-01-01,1342.0,28523.0,32115.0,35457.0,889.0,21827.0,1194.0,,11774.0,498.0,634.0,176.0,329.0,,922.0,272.0,8893.0,968.0,338.0,2398.0,762.0,2907.0,-1817.0,3342.0,515.0,1648.6666666666667,986.0,18400.0,206.0,958.0,10635.0,0.0,29.0,20812.0,2398.0,,38616.0,36799.0
1963-01-01,1447.0,30652.0,34526.0,38493.0,1102.0,23381.0,1236.0,,12973.0,497.0,763.0,195.0,286.0,,950.0,286.0,9526.0,1037.0,354.0,2634.0,870.0,3095.0,-1556.0,3967.0,539.0,1912.3333333333333,1085.0,19657.0,167.0,1065.0,11729.0,3.0,38.0,22258.0,2634.0,,41495.0,39940.0
1964-01-01,1559.0,33478.0,37681.0,42155.0,1176.0,25320.0,1336.0,,14403.0,712.0,1082.0,196.0,323.0,,1039.0,297.0,10540.0,1256.0,455.0,2864.0,1060.0,3315.0,-1840.0,4474.0,648.0,2100.6666666666665,1188.0,21071.0,196.0,1220.0,12802.0,3.0,34.0,24098.0,2864.0,,45554.0,43714.0
1965-01-01,1668.0,36817.0,41366.0,45940.0,1171.0,26974.0,1453.0,,16365.0,739.0,1076.0,258.0,272.0,,1127.0,326.0,11845.0,1430.0,470.0,3091.0,1242.0,3591.0,-2723.0,4574.0,712.0,2153.6666666666665,1222.0,22530.0,188.0,1311.0,14759.0,4.0,37.0,25715.0,3091.0,,50331.0,47608.0
1966-01-01,1771.0,40842.0,45889.0,50368.0,1054.0,28534.0,1656.0,,19087.0,722.0,1214.0,240.0,439.0,,1266.0,390.0,12807.0,1693.0,639.0,3386.0,1443.0,3934.0,-3336.0,4479.0,713.0,2168.3333333333335,1381.0,23829.0,250.0,1276.0,17194.0,5.0,42.0,27111.0,3386.0,,55475.0,52139.0
1967-01-01,1998.0,44658.0,50439.0,56312.0,992.0,31261.0,2028.0,,22109.0,742.0,1490.0,376.0,633.0,,1555.0,473.0,14257.0,1950.0,797.0,3747.0,1617.0,4287.0,-2857.0,5873.0,758.0,2663.3333333333335,1571.0,26232.0,333.0,1202.0,19610.0,5.0,171.0,29519.0,3747.0,,61167.0,58310.0
1968-01-01,2853.0,50399.0,57274.0,62325.0,913.0,34812.0,2574.0,,24868.0,848.0,1117.0,387.0,650.0,,1968.0,606.0,16143.0,1732.0,927.0,4296.0,1351.0,4724.0,-4303.0,5051.0,789.0,2429.6666666666665,1733.0,29102.0,381.0,1439.0,22714.0,5.0,258.0,32821.0,4296.0,,69481.0,65178.0
1969-01-01,3171.0,56780.0,64703.0,69908.0,848.0,38431.0,3182.0,,28426.0,1060.0,1251.0,415.0,678.0,,2419.0,763.0,16033.0,2203.0,1149.0,4736.0,1778.0,5310.0,-3145.0,5205.0,798.0,2487.0,2025.0,31899.0,425.0,1809.0,26082.0,5.0,258.0,36148.0,4736.0,,76224.0,73079.0
1970-01-01,2874.0,64842.0,74643.0,81062.0,881.0,43154.0,4082.0,,34391.0,1269.0,3150.0,435.0,790.0,,3218.0,864.0,15480.0,2636.0,1320.0,5714.0,2161.0,5968.0,-1080.0,6419.0,861.0,2940.0,2259.0,35732.0,475.0,2183.0,30016.0,5.0,249.0,40646.0,5714.0,,85016.0,83936.0
1971-01-01,3375.0,73658.0,85604.0,90615.0,724.0,47937.0,4998.0,,39138.0,1495.0,3789.0,468.0,947.0,,4046.0,952.0,16096.0,2816.0,1490.0,6940.0,2283.0,6655.0,-1995.0,5011.0,940.0,2581.3333333333335,2463.0,39480.0,533.0,2476.0,33934.0,8.0,263.0,45211.0,6940.0,,95985.0,93990.0
1972-01-01,3701.0,81992.0,95724.0,101557.0,990.0,52041.0,5554.0,,45534.0,1622.0,5865.0,531.0,1124.0,,4474.0,1080.0,16152.0,2992.0,1988.0,8165.0,2425.0,7273.0,-279.0,5833.0,934.0,2951.0,2986.0,42155.0,567.0,2955.0,38014.0,13.0,301.0,48754.0,8165.0,,105537.0,105258.0
1973-01-01,4222.0,89561.0,105096.0,113693.0,997.0,56078.0,5946.0,,52744.0,1793.0,8947.0,723.0,1016.0,,4704.0,1242.0,18175.0,3874.0,2046.0,9566.0,3252.0,8077.0,1666.0,8597.0,1055.0,3967.3333333333335,3046.0,45170.0,622.0,3447.0,42058.0,23.0,317.0,52715.0,9566.0,,116249.0,117915.0
1974-01-01,5697.0,100173.0,117985.0,123416.0,647.0,60166.0,6710.0,,57445.0,2074.0,8658.0,872.0,1143.0,,5387.0,1323.0,23230.0,5158.0,2304.0,11004.0,4477.0,9743.0,-3364.0,5431.0,1006.0,2981.6666666666665,3426.0,47866.0,681.0,4074.0,46772.0,98.0,334.0,56406.0,11004.0,,132477.0,129113.0
1975-01-01,6473.0,114021.0,135352.0,137369.0,433.0,65543.0,8314.0,,65831.0,2398.0,11213.0,973.0,1378.0,,6598.0,1716.0,26791.0,5562.0,2519.0,12724.0,4861.0,11338.0,-7980.0,2018.0,1018.0,1908.6666666666667,3715.0,51935.0,701.0,4556.0,52267.0,292.0,427.0,61401.0,12724.0,,151823.0,143842.0
1976-01-01,7292.0,121977.0,146041.0,150562.0,536.0,71910.0,9530.0,,73015.0,2725.0,13637.0,1110.0,1689.0,,7277.0,2253.0,27254.0,5101.0,2826.0,14229.0,4384.0,12170.0,-4194.0,4521.0,923.0,2817.3333333333335,4097.0,56713.0,717.0,5167.0,56579.0,304.0,548.0,67265.0,14229.0,,162048.0,157854.0
1977-01-01,8318.0,132870.0,159127.0,164995.0,426.0,78615.0,10375.0,,80342.0,3088.0,16008.0,1302.0,1928.0,,7971.0,2404.0,26957.0,5612.0,3207.0,15587.0,4937.0,13176.0,-523.0,5868.0,928.0,3333.3333333333335,4475.0,61698.0,675.0,5905.0,61104.0,295.0,585.0,73555.0,15587.0,,173836.0,173313.0
1978-01-01,8828.0,143899.0,172474.0,180208.0,420.0,80768.0,11265.0,,91773.0,3458.0,20366.0,1544.0,2190.0,,8738.0,2527.0,31979.0,7247.0,3397.0,17029.0,6531.0,14536.0,-1919.0,7734.0,1038.0,4169.666666666667,4859.0,61829.0,716.0,6709.0,67673.0,281.0,600.0,75309.0,17029.0,,190955.0,189036.0
1979-01-01,10054.0,156277.0,186708.0,191030.0,-66.0,83100.0,11091.0,,98186.0,3829.0,18051.0,1798.0,2575.0,,8902.0,2189.0,35934.0,9810.0,3602.0,19030.0,8934.0,16441.0,-6305.0,4322.0,1188.0,3197.3333333333335,5133.0,62055.0,876.0,7717.0,75762.0,309.0,627.0,77340.0,19030.0,,207389.0,201084.0
1980-01-01,10915.0,170695.0,204543.0,208063.0,-607.0,89139.0,12276.0,,106629.0,4022.0,17637.0,2035.0,2981.0,,9944.0,2332.0,40789.0,12903.0,3451.0,21230.0,11833.0,18902.0,-8831.0,3520.0,1379.0,3138.3333333333335,5147.0,66238.0,1070.0,8801.0,83976.0,343.0,732.0,83260.0,21230.0,,227810.0,218978.0
1981-01-01,11149.0,186932.0,224572.0,226768.0,-1529.0,100155.0,13027.0,,111760.0,4474.0,14816.0,2400.0,3677.0,,10359.0,2668.0,41523.0,16382.0,4332.0,24199.0,15270.0,21358.0,-8312.0,2197.0,1492.0,2775.0,6157.0,74427.0,1112.0,9822.0,90867.0,414.0,972.0,93026.0,24199.0,,246229.0,237917.0
1982-01-01,10772.0,202589.0,244364.0,244478.0,-944.0,110845.0,13342.0,,115370.0,5032.0,13532.0,2698.0,4081.0,,10244.0,3098.0,42177.0,19207.0,4915.0,27905.0,17782.0,23148.0,-9508.0,114.0,1365.0,2223.6666666666665,6881.0,82549.0,1425.0,10836.0,95059.0,528.0,956.0,103008.0,27905.0,,264759.0,255250.0
1983-01-01,10785.0,216027.0,263834.0,262546.0,49.0,120387.0,15175.0,,120180.0,5478.0,12984.0,3001.0,4537.0,,11007.0,4168.0,42788.0,21930.0,5133.0,32069.0,19833.0,24218.0,-10458.0,-1288.0,1386.0,2119.0,7246.0,88879.0,2097.0,12212.0,99658.0,562.0,1040.0,112101.0,32069.0,,283790.0,273331.0
