Date,"Balance on current account, NIPAs",Current payments to the rest of the world,Current receipts from the rest of the world,Current taxes and transfer payments to the rest of the world,"Current taxes, contributions for government social insurance, and transfer receipts from the rest of the world",Dividends,Durable,Exports of goods and services,From business,From government,From persons,Goods,Imports of goods and services,Income payments,Income payments on assets,Income receipts,Income receipts on assets,Interest,Less: Capital account transactions (net),"Net lending or net borrowing (-), NIPAs",Nondurable,Reinvested earnings on U.S. direct investment abroad,Reinvested earnings on foreign direct investment in the United States,Services,To business,To government,To persons,Wage and salary payments,Wage and salary receipts
1947-01-01,9405.0,10433.0,19838.0,2448.0,,,4926.0,18394.0,0.0,1724.0,724.0,10670.0,7519.0,466.0,,1444.0,,,,9405.0,5744.0,,,2286.5,,,,,
1947-04-01,9873.0,11184.0,21057.0,2516.0,,,5454.5,19497.0,0.0,1900.0,616.0,11512.0,8203.0,465.0,,1560.0,,,,9873.0,6057.5,,,2338.0,,,,,
1947-07-01,10081.0,10944.0,21025.0,2820.0,,,5362.0,19433.0,0.0,2128.0,692.0,11310.0,7663.0,461.0,,1592.0,,,,10081.0,5948.0,,,2238.0,,,,,
1947-10-01,7797.0,11631.0,19428.0,2728.0,,,4813.5,17636.0,0.0,2108.0,620.0,10648.0,8347.0,556.0,,1792.0,,,,7797.0,5834.5,,,2343.5,,,,,
1948-01-01,4916.0,13925.0,18841.0,3768.0,,,4818.0,16917.0,0.0,3016.0,752.0,10958.0,9624.0,533.0,,1924.0,,,,4916.0,6140.0,,,2312.5,,,,,
1948-04-01,3024.0,14241.0,17265.0,3660.0,,,4457.0,15241.0,0.0,2968.0,692.0,10324.0,10036.0,545.0,,2024.0,,,,3024.0,5867.0,,,2314.5,,,,,
1948-07-01,932.0,16605.0,17537.0,5500.0,,,4498.0,15405.0,0.0,4856.0,644.0,10418.0,10456.0,649.0,,2132.0,,,,932.0,5920.0,,,2512.5,,,,,
1948-10-01,796.0,15873.0,16669.0,5176.0,,,4255.0,14625.0,0.0,4552.0,624.0,9944.0,10124.0,573.0,,2044.0,,,,796.0,5689.0,,,2430.5,,,,,
1949-01-01,2192.0,15942.0,18134.0,5672.0,,,4514.5,16082.0,0.0,5128.0,544.0,10420.0,9604.0,666.0,,2052.0,,,,2192.0,5905.5,,,2423.0,,,,,
1949-04-01,1708.0,15915.0,17623.0,5904.0,,,4353.5,15647.0,0.0,5380.0,524.0,10010.0,9364.0,647.0,,1976.0,,,,1708.0,5656.5,,,2495.5,,,,,
1949-07-01,648.0,15407.0,16055.0,5804.0,,,3970.0,14115.0,0.0,5324.0,480.0,9252.0,8936.0,667.0,,1940.0,,,,648.0,5282.0,,,2273.5,,,,,
1949-10-01,-1032.0,14931.0,13899.0,5164.0,,,3582.0,12091.0,0.0,4688.0,476.0,8492.0,9092.0,675.0,,1808.0,,,,-1032.0,4910.0,,,2099.5,,,,,
1950-01-01,-957.0,14597.0,13640.0,4388.0,,,3532.5,11704.0,0.0,3916.0,472.0,8404.0,9501.0,708.0,,1936.0,,,,-957.0,4871.5,,,2198.5,,,,,
1950-04-01,-1245.0,15165.0,13920.0,4204.0,,,3695.0,11872.0,0.0,3760.0,444.0,8780.0,10229.0,732.0,,2048.0,,,,-1245.0,5085.0,,,2270.5,,,,,
1950-07-01,-2681.0,17342.0,14661.0,3548.0,,,4264.0,12293.0,0.0,3132.0,416.0,10322.0,13033.0,761.0,,2368.0,,,,-2681.0,6058.0,,,2341.0,,,,,
1950-10-01,-2489.0,18412.0,15923.0,3944.0,,,4620.5,13531.0,0.0,3524.0,420.0,11062.0,13685.0,783.0,,2392.0,,,,-2489.0,6441.5,,,2546.0,,,,,
1951-01-01,-1710.0,19153.0,17443.0,3424.0,,,5054.5,15043.0,0.0,3032.0,392.0,12140.0,14866.0,863.0,,2400.0,,,,-1710.0,7085.5,,,2814.5,,,,,
1951-04-01,350.0,19531.0,19881.0,3476.0,,,5376.5,17121.0,0.0,3108.0,368.0,13174.0,15178.0,877.0,,2760.0,,,,350.0,7797.5,,,2975.5,,,,,
1951-07-01,2190.0,18722.0,20912.0,3548.0,,,5193.0,18052.0,0.0,3156.0,392.0,12952.0,14310.0,864.0,,2860.0,,,,2190.0,7759.0,,,3229.0,,,,,
1951-10-01,2678.0,18506.0,21184.0,3664.0,,,5266.0,18180.0,0.0,3260.0,404.0,12572.0,13990.0,852.0,,3004.0,,,,2678.0,7306.0,,,3513.0,,,,,
