Date,"Automotive vehicles, engines, and parts","Capital goods, except automotive",Charges for the use of intellectual property n.e.c.,"Civilian aircraft, engines, and parts","Computers, peripherals, and parts","Consumer goods, except food and automotive",Durable goods,Exports of agricultural goods,Exports of durable goods,Exports of goods,Exports of goods and services,Exports of nonagricultural goods,Exports of nondurable goods,Exports of services,"Foods, feeds, and beverages",Government goods and services n.e.c.,Imports of durable goods,Imports of goods,Imports of goods and services,Imports of nondurable goods,Imports of nonpetroleum goods,Imports of services,Industrial supplies and materials,Nondurable goods,"Nondurable goods, excluding petroleum and products",Other,Other business services,Petroleum and products,Transport,Travel (for all purposes including education)
1967-04-01,3.3500000000000005,-2.3000000000000003,0.44999999999999996,-15.999999999999996,0.0,-15.149999999999999,-12.25,-5.4,2.9,-1.1,-5.2,0.4,-6.2,-16.7,-15.5,-23.450000000000003,-6.4,-11.1,-3.2,-15.9,-12.6,17.7,-9.2,-11.950000000000001,-26.4,7.5,31.3,7.6,-5.3,41.3
1967-07-01,60.05,3.05,-7.35,205.95,0.0,8.5,-9.024999999999999,-12.5,-10.8,-6.7,-3.2,-5.1,-0.7,8.1,7.55,15.05,13.0,3.3,5.4,-6.5,10.5,10.0,-16.55,-1.8,-8.9,-0.04999999999999982,46.1,-54.5,-12.4,29.1
1967-10-01,4.2,2.5,11.2,45.75,60.2,23.6,32.675,21.3,5.0,7.9,7.8,4.8,11.9,7.3,18.65,11.299999999999999,40.8,42.8,22.8,44.9,39.5,-12.9,41.6,42.9,46.2,12.016666666666667,2.5500000000000003,92.5,15.549999999999999,-23.0
1968-01-01,73.05,18.25,22.2,102.39999999999999,-37.6,27.0,51.300000000000004,18.6,17.1,14.2,11.7,15.1,10.6,4.6,13.35,3.5000000000000004,65.8,36.0,25.7,7.6,36.6,3.0,34.15,11.075,9.8,0.2833333333333341,-9.95,31.1,12.65,1.35
1968-04-01,52.1,-2.05,-9.850000000000001,35.1,0.0,25.05,33.0,-35.5,16.8,6.3,6.9,21.4,-7.1,8.6,-12.45,8.25,7.1,10.2,6.2,14.1,11.1,-3.5,17.8,18.05,10.1,8.766666666666667,21.35,-1.7,5.45,-12.05
1968-07-01,34.050000000000004,36.5,6.3500000000000005,93.75,144.1,22.099999999999998,22.75,25.9,25.6,30.7,31.6,35.3,38.8,34.4,49.25,60.5,22.5,30.6,26.4,41.3,29.0,15.3,30.45,27.8,1.5,24.25,2.1000000000000005,55.6,14.75,15.45
1968-10-01,33.45,2.3500000000000014,6.45,145.89999999999998,-34.4,-1.5499999999999998,-11.200000000000001,-13.6,-5.0,-9.0,-8.6,-10.6,-14.9,-7.4,-17.8,4.750000000000002,3.9,-6.4,-3.4,-17.7,-6.2,5.7,-14.799999999999999,-0.22500000000000142,12.6,4.366666666666666,10.7,-8.9,-3.55,-7.95
1969-01-01,-33.45,-30.35,36.75,-34.5,52.4,-10.45,-22.55,-81.3,-28.2,-44.0,-39.0,-36.9,-63.1,-22.5,-71.6,-29.75,-41.8,-42.4,-32.7,-43.2,-44.9,-0.7,-55.599999999999994,-38.1,-49.3,-10.316666666666666,13.1,-0.5,-28.6,39.099999999999994
1969-04-01,104.65,134.1,1.25,-56.0,46.4,108.6,161.95,796.8,92.5,156.0,121.0,114.5,310.3,44.9,416.25,16.9,160.5,157.2,105.5,153.1,169.8,14.5,245.05,202.8,141.2,74.68333333333334,14.45,42.3,117.4,4.7
1969-07-01,15.95,3.15,-6.95,41.05,95.1,-14.7,-6.4750000000000005,-38.4,2.8,-9.8,-6.5,-4.5,-26.5,4.0,-16.1,13.0,-7.4,-7.9,-5.1,-8.7,-7.9,3.4,-17.3,-21.375,-10.8,-0.3666666666666665,9.7,-8.1,-1.2,0.2999999999999998
1969-10-01,-13.15,-2.8,34.5,68.7,34.5,-8.65,-1.1,56.9,5.6,14.7,10.8,9.0,30.9,0.1,35.9,3.8999999999999995,-13.6,-9.8,-4.3,-4.5,-12.5,12.4,3.3999999999999995,-5.050000000000001,-11.7,6.883333333333332,5.35,34.4,5.65,2.2
1970-01-01,-25.15,12.85,-9.6,-6.549999999999999,117.4,21.45,0.9499999999999996,-16.2,3.5,6.2,5.4,7.8,10.5,2.8,-3.9,-30.3,-4.1,0.7,-1.3,7.0,-0.4,-6.7,7.800000000000001,31.700000000000003,1.8,10.85,-0.4,16.3,6.0,42.400000000000006
