Date,Exports of goods and services,Imports of goods and services
1967-04-01,-5.2,-3.2
1967-07-01,-3.2,5.4
1967-10-01,7.8,22.8
1968-01-01,11.7,25.7
1968-04-01,6.9,6.2
1968-07-01,31.6,26.4
1968-10-01,-8.6,-3.4
1969-01-01,-39.0,-32.7
1969-04-01,121.0,105.5
1969-07-01,-6.5,-5.1
1969-10-01,10.8,-4.3
1970-01-01,5.4,-1.3
1970-04-01,16.4,8.1
1970-07-01,1.6,-0.9
1970-10-01,0.8,6.3
1971-01-01,3.7,-4.6
1971-04-01,-2.9,33.7
1971-07-01,21.5,9.1
1971-10-01,-32.1,-24.5
1972-01-01,53.8,72.5
1972-04-01,-11.1,-13.5
1972-07-01,26.3,8.6
1972-10-01,18.1,19.3
1973-01-01,32.6,19.8
1973-04-01,20.7,-11.0
1973-07-01,1.4,-10.6
1973-10-01,21.1,3.0
1974-01-01,5.3,-12.9
1974-04-01,21.0,22.9
1974-07-01,-19.9,-6.8
1974-10-01,10.9,-3.9
1975-01-01,2.8,-34.5
1975-04-01,-11.1,-28.4
1975-07-01,-6.6,37.6
1975-10-01,24.6,23.1
1976-01-01,-2.7,27.4
1976-04-01,4.1,18.5
1976-07-01,12.1,17.4
1976-10-01,4.1,14.0
1977-01-01,-6.3,20.1
1977-04-01,11.2,3.9
1977-07-01,3.1,-5.4
1977-10-01,-12.2,5.8
1978-01-01,9.8,29.6
1978-04-01,48.7,1.2
1978-07-01,4.4,5.3
1978-10-01,16.8,5.6
1979-01-01,0.3,-1.1
1979-04-01,1.0,2.2
1979-07-01,15.2,-6.0
1979-10-01,27.7,9.0
1980-01-01,11.6,0.3
1980-04-01,7.8,-26.0
1980-07-01,-0.9,-25.8
1980-10-01,-2.4,23.2
1981-01-01,7.7,18.2
1981-04-01,2.2,0.6
1981-07-01,-8.2,-4.5
1981-10-01,1.8,12.0
1982-01-01,-16.3,-10.9
1982-04-01,2.4,-6.4
1982-07-01,-16.6,19.9
1982-10-01,-17.1,-14.8
1983-01-01,6.6,9.5
1983-04-01,1.2,34.5
1983-07-01,6.2,35.0
1983-10-01,8.3,21.1
1984-01-01,8.6,36.3
1984-04-01,10.3,17.8
1984-07-01,9.1,10.8
1984-10-01,8.4,12.2
1985-01-01,1.1,-8.5
1985-04-01,-0.9,21.2
1985-07-01,-5.7,-3.8
1985-10-01,12.5,16.6
1986-01-01,13.1,-0.4
1986-04-01,4.4,18.1
1986-07-01,9.5,11.5
1986-10-01,15.8,3.1
1987-01-01,0.3,-2.3
1987-04-01,17.5,10.4
1987-07-01,18.5,8.0
1987-10-01,15.8,9.5
1988-01-01,24.2,-1.9
1988-04-01,11.7,-4.5
1988-07-01,8.1,9.8
1988-10-01,12.8,12.8
1989-01-01,12.5,1.9
1989-04-01,18.7,1.9
1989-07-01,4.1,-0.5
1989-10-01,6.2,7.4
1990-01-01,18.5,13.3
1990-04-01,5.1,-0.7
1990-07-01,3.1,-1.6
1990-10-01,3.6,-10.3
1991-01-01,2.5,-4.5
1991-04-01,15.4,7.3
1991-07-01,9.8,11.7
1991-10-01,9.3,9.1
1992-01-01,7.4,2.9
1992-04-01,0.2,6.7
1992-07-01,8.8,6.5
1992-10-01,2.0,9.9
1993-01-01,0.9,8.9
1993-04-01,4.9,8.5
1993-07-01,-1.1,5.4
1993-10-01,13.5,17.1
1994-01-01,4.0,9.6
1994-04-01,14.2,15.8
1994-07-01,15.8,11.7
1994-10-01,9.6,11.7
1995-01-01,7.9,9.1
1995-04-01,5.7,3.8
1995-07-01,18.5,1.4
1995-10-01,5.8,5.2
1996-01-01,4.9,13.7
1996-04-01,6.7,9.3
1996-07-01,3.3,13.6
1996-10-01,27.4,8.1
1997-01-01,7.8,18.2
1997-04-01,17.0,14.1
1997-07-01,9.6,15.6
1997-10-01,-0.6,8.9
1998-01-01,1.9,15.9
1998-04-01,-4.3,9.5
1998-07-01,-1.8,5.5
1998-10-01,15.7,13.6
1999-01-01,-1.3,11.8
1999-04-01,5.1,12.0
1999-07-01,12.6,15.3
1999-10-01,8.8,10.6
2000-01-01,5.9,16.0
2000-04-01,12.8,13.4
2000-07-01,9.9,15.2
2000-10-01,-3.9,0.6
2001-01-01,-4.9,-5.1
2001-04-01,-11.2,-12.2
2001-07-01,-19.0,-8.8
2001-10-01,-13.2,-4.1
2002-01-01,9.0,11.9
2002-04-01,12.4,14.1
2002-07-01,1.3,5.2
2002-10-01,-5.8,7.4
2003-01-01,-1.2,-1.7
2003-04-01,0.7,6.0
2003-07-01,11.4,6.4
2003-10-01,19.2,13.3
2004-01-01,9.4,11.7
2004-04-01,8.6,16.7
2004-07-01,1.3,5.7
2004-10-01,9.8,9.7
2005-01-01,7.7,3.5
2005-04-01,9.2,5.5
2005-07-01,-0.1,2.3
2005-10-01,13.0,13.5
2006-01-01,17.2,8.5
2006-04-01,7.6,4.0
2006-07-01,-0.5,4.1
2006-10-01,16.1,-0.5
2007-01-01,8.2,6.0
2007-04-01,6.2,2.1
2007-07-01,13.1,2.3
2007-10-01,9.5,-3.7
2008-01-01,6.5,1.5
2008-04-01,12.3,-3.7
2008-07-01,-1.8,-5.0
2008-10-01,-21.5,-13.7
2009-01-01,-28.3,-32.9
2009-04-01,2.7,-15.3
2009-07-01,15.6,17.6
2009-10-01,23.9,20.9
2010-01-01,9.3,10.5
2010-04-01,9.1,19.5
2010-07-01,11.9,14.7
2010-10-01,11.4,1.5
2011-01-01,3.5,2.0
2011-04-01,6.9,1.5
2011-07-01,5.6,4.5
2011-10-01,3.1,5.4
2012-01-01,5.0,2.0
2012-04-01,4.0,1.5
2012-07-01,2.5,2.2
2012-10-01,0.4,-3.7
2013-01-01,2.1,-0.3
2013-04-01,3.7,5.9
2013-07-01,3.5,2.9
2013-10-01,12.0,3.2
2014-01-01,-3.8,5.3
2014-04-01,8.9,9.4
2014-07-01,1.7,0.8
2014-10-01,3.4,10.9
2015-01-01,-3.1,6.1
2015-04-01,1.1,3.2
2015-07-01,-3.2,2.8
2015-10-01,-0.5,1.1
2016-01-01,-1.1,-0.5
2016-04-01,3.1,0.5
2016-07-01,6.7,3.0
2016-10-01,-3.0,5.9
2017-01-01,10.1,6.3
2017-04-01,1.4,3.9
2017-07-01,2.4,1.5
2017-10-01,10.8,11.7
2018-01-01,2.6,1.7
2018-04-01,2.2,0.5
2018-07-01,-4.9,5.7
2018-10-01,1.7,4.2
2019-01-01,3.8,-0.2
2019-04-01,-2.0,2.2
2019-07-01,0.1,-1.7
2019-10-01,2.5,-7.3
2020-01-01,-16.1,-13.7
2020-04-01,-61.3,-52.8
2020-07-01,60.2,85.7
2020-10-01,26.8,32.3
2021-01-01,0.3,8.3
2021-04-01,3.2,8.3
2021-07-01,0.9,8.6
2021-10-01,25.5,20.8
2022-01-01,-4.6,13.4
2022-04-01,12.7,5.9
2022-07-01,14.5,-5.4
2022-10-01,-1.1,-4.5
2023-01-01,2.0,-0.8
2023-04-01,-4.8,-3.1
2023-07-01,4.9,4.7
2023-10-01,6.2,4.2
