Date,"Automotive vehicles, engines, and parts","Capital goods, except automotive",Charges for the use of intellectual property n.e.c.,"Civilian aircraft, engines, and parts","Computers, peripherals, and parts","Consumer goods, except food and automotive",Durable goods,Exports of goods,Exports of services,"Foods, feeds, and beverages",Government goods and services n.e.c.,Imports of goods,Imports of services,Industrial supplies and materials,Nondurable goods,"Nondurable goods, excluding petroleum and products",Other,Other business services,Petroleum and products,Transport,Travel (for all purposes including education)
1967-04-01,0.21000000000000002,0.45,0.06999999999999999,0.035,0.14,-0.955,-0.8225,-0.8,-4.42,-2.005,-2.2249999999999996,-8.23,5.09,-2.7849999999999997,-1.05,-3.03,0.345,0.345,0.41,-0.4,2.42
1967-07-01,2.755,-0.375,-0.245,1.375,-0.14,0.72,-1.25,-5.14,1.97,0.7,1.31,2.25,3.11,-4.92,-0.8475,-0.89,-0.6333333333333334,0.53,-4.04,-0.995,1.8150000000000002
1967-10-01,0.245,0.575,-0.034999999999999996,0.5449999999999999,0.42,2.055,3.14,5.86,1.9,2.0300000000000002,0.91,26.63,-3.8,9.795,2.7800000000000002,3.95,0.49499999999999994,0.07,3.5,1.085,-3.1
1968-01-01,4.035,1.625,0.07500000000000001,0.635,-0.13,2.46,4.6775,10.4,1.32,1.51,0.10499999999999998,24.59,1.14,9.015,1.06,1.0,-0.019999999999999987,-0.13,1.52,0.99,0.08499999999999999
1968-04-01,3.16,-0.99,0.14,0.61,-0.13,1.38,1.15,4.76,2.1,-1.98,0.585,7.2,-0.96,3.435,1.2575,0.94,-0.1483333333333333,0.145,-0.09,0.325,-0.74
1968-07-01,2.3400000000000003,5.235,0.35,2.0250000000000004,0.83,2.16,1.1099999999999999,22.92,8.7,4.6450000000000005,4.085,22.04,4.25,6.535,3.24,0.15,1.4616666666666667,0.03,2.49,1.085,0.835
1968-10-01,2.29,-1.52,0.02,-0.7949999999999999,-0.23,0.355,-0.57,-6.68,-1.92,-3.115,0.4849999999999999,-4.83,1.5,-3.98,-1.24,1.09,-0.11166666666666669,0.10500000000000001,-0.48,-0.24,-0.64
1969-01-01,-3.04,-3.625,0.02500000000000001,-0.30000000000000004,0.56,-0.7849999999999999,-4.2775,-34.36,-4.64,-9.780000000000001,-2.72,-33.7,0.98,-16.695,-4.4625,-5.28,-1.185,0.2,-0.02,-1.38,1.9700000000000002
1969-04-01,8.87,17.375,0.5299999999999999,-1.635,0.72,9.955,12.4,106.47,14.45,21.34,1.7249999999999999,99.32,6.17,43.185,14.1725,11.51,6.886666666666667,0.33999999999999997,2.76,7.1850000000000005,0.405
1969-07-01,1.4200000000000002,0.445,-0.315,0.59,0.98,-1.44,-1.3075,-7.52,1.0,-1.7850000000000001,0.965,-5.97,0.89,-5.08,-1.9525,-1.02,-0.3166666666666667,0.16,-0.42,-0.049999999999999996,0.09
1969-10-01,-1.9849999999999999,-0.245,0.33999999999999997,0.9700000000000001,0.76,-0.4,0.0050000000000000044,10.79,0.1,2.455,0.42999999999999994,-7.42,3.1,0.71,0.15250000000000002,-1.09,-0.09333333333333334,0.095,1.52,0.41000000000000003,0.20500000000000002
1970-01-01,-2.325,1.665,0.225,0.175,1.1,1.29,0.12749999999999995,4.64,0.75,-0.38,-2.895,0.5,-1.8,1.6099999999999999,1.3225,0.15,0.5750000000000001,0.0,0.82,0.10999999999999999,1.845
1970-04-01,4.32,2.35,0.355,1.005,1.38,-0.7000000000000001,0.22749999999999998,9.01,7.41,-0.0050000000000000044,3.78,2.5,5.65,0.47000000000000003,-0.34249999999999997,-0.66,-0.031666666666666655,0.11499999999999999,-0.79,1.605,0.585
1970-07-01,-1.815,-0.8500000000000001,0.08499999999999999,-1.68,1.12,2.0149999999999997,-0.11250000000000007,0.54,1.07,2.245,-0.75,-0.9,-0.02,-3.14,-0.4475,-0.38,0.5783333333333334,0.145,-0.95,1.065,-0.11
1970-10-01,-1.5250000000000001,2.175,-0.02,0.49,0.75,0.5549999999999999,0.9225000000000001,3.71,-2.87,-0.10500000000000001,-1.3800000000000001,8.25,-1.9,6.01,2.36,2.49,0.06000000000000002,0.010000000000000002,2.06,-1.345,0.305
1971-01-01,5.055,-1.58,-0.03,1.5799999999999998,-0.16,-0.815,-1.85,-4.77,8.47,-2.27,1.8299999999999996,-1.44,-3.19,-4.73,-0.9249999999999999,0.2,-0.6383333333333334,0.36,-2.51,0.03,0.48000000000000004
