Date,"Automotive vehicles, engines, and parts","Capital goods, except automotive",Charges for the use of intellectual property n.e.c.,"Civilian aircraft, engines, and parts","Computers, peripherals, and parts","Consumer goods, except food and automotive",Durable goods,Exports of agricultural goods,Exports of durable goods,Exports of goods,Exports of goods and services,Exports of nonagricultural goods,Exports of nondurable goods,Exports of services,"Foods, feeds, and beverages",Government goods and services n.e.c.,Imports of durable goods,Imports of goods,Imports of goods and services,Imports of nondurable goods,Imports of nonpetroleum goods,Imports of services,Industrial supplies and materials,Nondurable goods,"Nondurable goods, excluding petroleum and products",Other,Other business services,Petroleum and products,Transport,Travel (for all purposes including education)
1967-01-01,7.113,1.365,6.1335,3.6505,0.008,3.0835,11.33,20.064,4.537,6.148,6.506,6.811,10.851,7.632,19.285,189.0815,2.319,5.516,6.642,17.506,3.781,12.999,12.309,6.0553333333333335,16.273,23.124666666666666,0.557,22.651,19.8355,9.756
1967-04-01,7.204000000000001,1.383,6.1690000000000005,3.5045,0.008,2.9355,11.03775,19.787,4.57,6.131,6.42,6.818,10.679,7.291,18.3775,179.906,2.281,5.356,6.589,16.764,3.656,13.539,19.070500000000003,10.77125,15.073,23.602,0.596,23.07,19.54,10.8185
1967-07-01,7.865,1.367,6.014,4.7655,0.008,2.9905,10.35825,19.136,4.441,6.026,6.368,6.73,10.66,7.434,18.734,185.8365,2.352,5.399,6.676,16.484,3.748,13.865,18.128,10.344249999999999,14.727,23.826666666666668,0.655,18.949,18.82,11.612
1967-10-01,7.8355,1.382,6.0345,5.2645,0.009,3.133,11.45675,20.084,4.496,6.142,6.488,6.809,10.963,7.566,19.523,189.5555,2.562,5.902,7.028,18.084,4.073,13.393,20.094,11.27975,16.194,24.42533333333333,0.6615,22.321,19.548000000000002,10.137
1968-01-01,8.8845,1.411,6.1530000000000005,5.9735,0.008,3.2965,12.9385,20.959,4.677,6.35,6.67,7.052,11.243,7.652,20.127499999999998,189.145,2.907,6.374,7.442,18.417,4.403,13.491,21.887,11.6345,16.577,24.55183333333333,0.6445000000000001,23.884,20.185000000000002,10.174
1968-04-01,9.900500000000001,1.3835,6.161,6.54,0.008,3.4935,13.532,18.781,4.862,6.448,6.782,7.402,11.039,7.811,19.445500000000003,191.4905,2.957,6.531,7.555,19.036,4.52,13.371,22.3515,11.974499999999999,16.982,25.043333333333333,0.6639999999999999,23.782,20.3825,9.815999999999999
1968-07-01,10.344,1.4949999999999999,6.3469999999999995,8.0,0.01,3.6555,13.75325,19.893,5.147,6.894,7.264,7.983,11.982,8.41,21.6225,207.75349999999997,3.111,6.982,8.01,20.753,4.817,13.854,23.182000000000002,12.74575,17.044,25.607333333333333,0.6655,26.561,21.138,10.186
1968-10-01,11.1405,1.4445000000000001,6.3845,7.5725,0.009,3.6115,13.44325,19.178,5.082,6.733,7.103,7.763,11.509,8.251,19.8695,212.8095,3.141,6.867,7.942,19.765,4.74,14.047,22.534,12.531500000000001,17.558,25.945166666666665,0.6799999999999999,25.951,20.923499999999997,9.847000000000001
1969-01-01,10.1015,1.3485,6.507499999999999,7.0325,0.01,3.5149999999999997,11.07625,12.619,4.678,5.824,6.277,6.919,8.973,7.741,14.568999999999999,197.838,2.744,5.983,7.193,17.162,4.084,14.022,18.642,10.9615,14.819,26.043666666666667,0.7015,25.917,19.299500000000002,10.7175
1969-04-01,11.7995,1.5945,6.6715,5.139,0.011,4.217,14.741,21.837,5.51,7.367,7.653,8.373,12.771,8.493,21.295,201.74,3.486,7.577,8.612,21.646,5.234,14.505,24.494500000000002,13.861,18.467,26.704666666666668,0.7264999999999999,28.304,23.064,10.8545
