Date,Agricultural,Agricultural equipment,"Agricultural foods, feeds, and beverages",Air Transport,"Apparel, footwear, and household goods",Automotive vehicles,"Automotive vehicles, engines, and parts","Building materials, excluding metals and products",Business,"Capital goods and related parts, except automotive",Charges for the use of intellectual property n.e.c.,Chemicals,"Civilian aircraft, engines, and parts",Complete civilian aircraft,"Computer accessories, peripherals, and parts",Computer services,"Computers, peripherals, and parts",Construction services,"Consumer goods, except food and automotive","Dairy, meat products, and poultry",Durable goods,Education related,Electrical equipment and parts n.e.c.,Engines and parts for civilian aircraft,"Engines, parts, bodies, and chassis","Expenditure of seasonal, border, and other short-term workers",Exports of agricultural goods,Exports of capital goods less selected parts,Exports of durable goods,Exports of goods,Exports of goods and services,Exports of nonagricultural goods,Exports of nondurable goods,Exports of services,Financial intermediation services indirectly measured,Financial services,"Financial services, excluding financial intermediation services indirectly measured","Foods, feeds, and beverages",Freight,"Fuels, fuel materials, and electric energy",Furniture and household items,Government goods and services n.e.c.,"Grains, vegetables, fruits, nuts, and preparations",Health related,Home entertainment and recreational equipment and materials,Household and kitchen appliances,Household goods,Imports of capital goods less selected parts,Imports of durable goods,Imports of goods,Imports of goods and services,Imports of nondurable goods,Imports of nonpetroleum goods,Imports of services,Industrial equipment,Industrial supplies and materials,Information services,Insurance services,Laboratory testing and control instruments,Maintenance and repair services,"Medicinal, dental, and pharmaceutical preparations, including vitamins",Metals and products,Net exports of goods under merchanting,Nonagricultural,"Nonagricultural foods, feeds, and beverages",Nondurable goods,"Nondurable goods, excluding petroleum and products","Oil drilling, mining, and construction equipment",Other,"Other agricultural foods, feeds, and beverages",Other business services,Other business travel,Other durable consumer goods,Other durable goods n.e.c.,"Other household goods, including cellular telephones",Other modes of transport,Other nondurable consumer goods,Other nondurable goods,Other nondurable goods n.e.c.,Other nonmetals,Other other business services,Other other nondurable goods n.e.c.,Other personal travel,Passenger,Personal,Personal computers and mainframes,"Personal, cultural, and recreational services",Petroleum and products,Port,"Scientific, hospital, and medical equipment and parts",Sea Transport,Semiconductors and related devices,Telecommunications equipment,Telecommunications services,"Telecommunications, computer, and information services",Transport,Transportation equipment,Travel (for all purposes including education)
1999-01-01,68.80799999999999,34.069,54.744,81.06700000000001,86.4755,49.256,52.929500000000004,73.959,134.108,40.465500000000006,43.2155,65.989,84.792,97.269,58.209500000000006,6.3955,33.212,227.5485,37.2255,79.0055,46.88849999999999,36.8115,50.338499999999996,75.10900000000001,54.415,80.91149999999999,54.412,40.739,51.994,50.931,49.633,50.582,49.673,46.72,120.44999999999999,37.802,26.296999999999997,55.4735,91.331,56.9925,49.9075,80.9505,57.66,189.70499999999998,55.666,64.3385,23.3095,30.07,37.834,49.916,49.97,75.907,43.07,49.975,55.47,69.37549999999999,6.6465,20.425,30.386499999999998,24.79,25.4795,68.372,205.182,68.958,70.468,60.078,68.5615,79.861,81.007125,38.468500000000006,25.804000000000002,138.883,43.9965,90.451,14.203000000000001,84.2755,62.843999999999994,104.754,75.952,49.557500000000005,28.103,104.489,61.902,78.569,59.51350000000001,8.3545,25.9965,70.3885,110.09649999999999,24.456000000000003,94.1305,43.173,5.947500000000001,35.6075,11.170000000000002,83.52799999999999,96.0625,73.2065
1999-04-01,70.736,33.097500000000004,57.966499999999996,82.1685,86.1575,50.510999999999996,54.0985,76.315,132.782,41.473,44.435,66.92699999999999,80.4385,94.162,60.754000000000005,6.1175,35.563,231.4795,37.8445,83.2685,48.22925,41.301,53.397000000000006,73.4315,55.5155,77.6555,58.114,39.571,52.565,51.669,50.25,51.117,50.83,47.055,116.5915,41.3645,30.1985,58.135999999999996,93.50999999999999,70.298,49.757999999999996,85.7065,61.799,187.24599999999998,57.554,65.9385,24.079,31.007,39.584,51.597,51.405,76.392,44.693,50.154,56.593500000000006,70.4755,6.456,20.683,31.141,27.101,25.0355,68.354,199.005,71.185,68.0795,60.159000000000006,70.82249999999999,77.494,81.795375,39.459,26.284,138.1055,46.1,92.813,14.905,82.6405,61.3695,109.021,76.686,51.488,28.65,108.462,60.3485,80.7815,58.6665,10.1455,26.014,69.142,106.7165,24.616500000000002,90.98599999999999,48.118,6.014,32.128,10.400500000000001,83.2865,75.66300000000001,72.2165
1999-07-01,75.9795,31.9665,59.5065,84.5245,83.702,51.084999999999994,55.7625,77.8005,137.1,43.59,43.187,70.06,86.858,112.08699999999999,62.9685,6.913,37.089,234.1765,39.175,83.7855,49.26225,41.846000000000004,56.845,73.786,58.051,71.7235,61.983,41.148,54.428,53.074,51.766,52.354,51.182,48.826,118.0655,44.3045,32.9855,60.067,97.22825,69.389,51.997,88.9165,63.5495,184.2565,60.313,67.642,25.306,32.578,41.221,53.572,53.263,78.824,46.519,51.408,58.9155,71.596,7.4595,21.381,32.928,29.762500000000003,28.136,68.264,188.391,73.521,73.462,61.6625,73.491,77.8645,82.7485,40.58,27.393500000000003,144.93,49.2875,89.367,15.88,91.818,63.1725,101.765,77.248,53.2645,28.931,101.041,63.617999999999995,82.733,61.45,10.856,25.9255,67.801,105.991,25.2695,90.04650000000001,51.4125,6.547499999999999,34.939,11.5975,85.4965,75.5775,75.23949999999999
1999-10-01,76.568,35.1735,58.68,84.4765,84.059,52.152,56.5605,79.735,135.62349999999998,45.13849999999999,45.581,73.13499999999999,83.59700000000001,105.737,63.549,7.7905,38.067,247.1965,40.7675,88.25450000000001,52.17525,42.25,59.823499999999996,72.37,58.6395,73.0395,59.312,42.651,56.311,54.668,52.872,54.226,52.135,48.812,121.18950000000001,46.0975,34.4705,59.7525,104.5305,65.118,54.069500000000005,84.1955,60.417,181.276,62.595,71.071,26.3915,33.423,42.643,54.987,54.626,79.627,48.062,52.488,61.1495,73.208,8.89,22.5745,34.926,35.150999999999996,29.0425,73.0715,168.8,75.7715,78.407,62.398,75.494,78.775,85.24425000000001,41.4265,28.2635,142.7875,52.706999999999994,90.3565,16.531,89.48,65.3455,102.592,78.3,57.0205,28.1705,101.964,62.76,82.3045,60.8185,11.985,25.320999999999998,65.835,102.86874999999999,26.2205,92.565,54.409499999999994,6.7615,39.156,13.155000000000001,85.8,107.9865,74.471
2000-01-01,77.03450000000001,36.5005,59.810500000000005,83.038,90.85249999999999,55.41,60.3885,81.08949999999999,140.12900000000002,46.079499999999996,48.509,71.8425,74.7165,86.0745,66.3615,7.666,39.7705,122.337,42.340500000000006,90.633,54.543,43.039,63.0185,72.15700000000001,62.7225,75.0715,61.496,41.908,57.885,55.719,53.633,55.2,52.005,48.91,131.968,52.3875,39.807500000000005,60.054,109.3845,64.637,57.265,84.545,61.4775,177.92399999999998,64.85,70.89099999999999,27.009,34.911,44.54,57.078,56.688,81.667,49.761,54.381,63.93299999999999,75.25399999999999,7.907,23.735,39.9685,39.2385,27.9735,77.15299999999999,131.111,75.949,71.29599999999999,63.8265,75.8255,77.8725,86.24925,41.991,28.445999999999998,147.3925,56.6515,89.4625,16.954,92.751,66.4125,97.155,81.64,59.373,28.1905,96.858,65.033,82.39699999999999,62.867000000000004,12.376999999999999,25.615499999999997,68.705,96.17125,26.985500000000002,95.23949999999999,57.4795,7.500500000000001,34.248,12.154,85.75800000000001,82.15899999999999,76.9325
2000-04-01,77.238,36.795,60.265,88.5805,92.8675,53.899,58.442499999999995,78.6055,145.8585,49.8125,49.875,72.7305,82.14949999999999,108.92949999999999,73.3425,8.102,43.7145,141.462,43.701,88.797,54.61625,43.458,67.167,70.6805,60.5035,77.0895,61.264,44.027,60.119,57.308,55.268,56.906,52.165,50.65,131.9755,54.1905,41.605000000000004,60.894999999999996,108.4165,65.7015,60.968,93.4725,63.474000000000004,174.25900000000001,64.25999999999999,69.623,27.115000000000002,36.087,46.037,58.735,58.494,83.333,51.445,56.962,65.682,74.8925,8.8285,25.11,45.34,43.9035,32.038,77.813,107.363,76.1235,80.7935,65.18299999999999,76.021,79.4985,86.459125,41.706,29.3205,153.51749999999998,58.669000000000004,86.42699999999999,16.8455,89.4195,68.1045,92.568,79.973,59.832499999999996,28.244,92.473,68.857,89.359,66.238,13.2685,25.46,67.9695,98.355,28.127499999999998,95.517,64.786,8.499500000000001,35.5805,12.854,89.61949999999999,78.14150000000001,80.7195
2000-07-01,76.55850000000001,35.866,63.056,87.4125,93.7805,52.8465,58.222,81.3765,148.8875,52.17,51.619,77.5215,81.8425,110.0805,77.7575,7.7495,46.8165,150.4745,44.932500000000005,90.036,55.2185,43.966499999999996,71.016,70.88550000000001,60.7735,77.346,66.034,44.988,62.029,59.435,56.594,58.856,54.826,50.151,137.6515,55.4585,42.0725,63.935500000000005,107.56,71.4465,63.4165,98.19149999999999,66.6445,170.14600000000002,66.81,72.6095,28.5495,36.748,47.598,60.795,60.598,86.48,53.347,59.281,68.5435,76.5175,8.678,27.58,50.18,50.204499999999996,34.0655,76.54750000000001,85.55,80.0895,80.3595,67.12875,79.637,83.0,89.7825,43.494,29.7975,156.683,57.433,95.3035,17.871,96.01650000000001,70.17,96.393,93.676,60.454,28.7985,96.506,69.423,88.4925,66.891,14.9115,25.8475,68.6735,92.31225,29.278,99.814,71.578,8.8295,32.7775,12.163499999999999,90.7045,69.06450000000001,81.74000000000001
2000-10-01,83.518,34.131,60.825,84.304,92.51400000000001,52.3125,57.437,83.16149999999999,145.00099999999998,51.651,50.554,73.89750000000001,86.80199999999999,123.541,75.9875,9.0805,45.3575,166.341,45.066,92.51650000000001,55.313250000000004,44.5135,69.58699999999999,73.7385,59.6735,78.2475,62.264,44.448,61.222,58.507,56.028,58.115,53.607,50.408,129.607,54.141000000000005,41.656,61.947,109.57275,71.24,61.9805,93.51849999999999,62.366,167.4525,66.6035,70.503,28.1015,37.348,47.567,60.903,60.687,87.064,53.284,59.25,68.852,76.759,10.787,30.8085,51.5355,50.808,34.8495,74.836,63.343,77.9915,81.5735,67.4465,78.1505,83.84899999999999,89.3295,43.8165,31.3175,152.329,58.134,92.658,17.6995,88.979,70.64750000000001,96.588,88.038,62.368,29.4705,96.851,68.35849999999999,85.7705,66.051,13.887,26.189,71.039,89.64675,29.502499999999998,99.5795,68.349,8.8025,39.312,14.5275,88.27250000000001,74.189,80.42099999999999
2001-01-01,73.378,37.915499999999994,61.772499999999994,85.44,89.9635,50.332,54.989000000000004,79.586,144.272,50.272,48.177,77.16499999999999,92.64750000000001,125.89750000000001,72.3255,9.811499999999999,43.596,164.734,45.683,95.888,54.7725,44.0265,64.1215,78.27250000000001,56.631,79.0885,63.991,44.811,60.116,57.67,55.323,57.115,53.359,50.0,131.6535,56.82299999999999,44.081500000000005,62.9525,103.993,76.134,60.822,90.6115,62.194,164.3055,65.905,72.7975,28.5935,36.765,45.903,59.894,59.904,88.636,51.994,59.683,67.92949999999999,77.26599999999999,11.805,30.47,47.070499999999996,40.935,35.646499999999996,74.7165,37.384,79.839,82.9705,68.6085,79.15350000000001,81.5135,87.522,44.9595,32.051,151.098,58.103,87.8375,18.1125,87.5215,70.617,89.543,85.382,59.1825,29.082,89.897,68.4635,85.7375,66.065,13.8425,26.0175,72.8125,88.0095,31.003,97.7915,61.1415,8.3675,43.5115,15.906500000000001,88.4495,83.5095,80.2705
2001-04-01,76.92750000000001,34.078,61.997,85.525,86.1745,52.400000000000006,56.355000000000004,78.5075,140.01749999999998,45.495000000000005,48.63249999999999,71.8045,90.4745,120.13749999999999,64.493,10.637,39.643,179.2585,45.162,95.3435,52.56225,44.7425,54.23650000000001,78.268,57.6335,79.8555,64.767,42.623,56.724,55.274,53.702,54.518,53.172,50.161,121.2195,56.995000000000005,45.81,63.7185,99.519,76.77799999999999,57.200500000000005,92.1825,62.3225,160.9135,62.8905,70.419,28.0415,34.864,43.519,57.506,57.987,87.079,49.982,60.289,61.9175,74.036,12.9875,32.293,41.408,42.1665,38.8,68.866,46.146,76.598,91.158,67.06225,76.496,88.715,86.5635,45.7975,33.237,145.70850000000002,58.1075,90.6045,18.113,91.264,68.1615,92.495,88.006,57.2965,29.576999999999998,92.795,67.1825,86.68100000000001,65.083,13.6895,26.4925,69.645,91.06375,30.900999999999996,95.27350000000001,48.3225,7.577,47.965,17.4095,87.92500000000001,75.512,78.6495
