Date,"Automotive vehicles, engines, and parts","Capital goods, except automotive",Charges for the use of intellectual property n.e.c.,"Civilian aircraft, engines, and parts","Computers, peripherals, and parts","Consumer goods, except food and automotive",Durable goods,Exports of agricultural goods,Exports of durable goods,Exports of goods,Exports of goods and services,Exports of nonagricultural goods,Exports of nondurable goods,Exports of services,"Foods, feeds, and beverages",Government goods and services n.e.c.,Imports of durable goods,Imports of goods,Imports of goods and services,Imports of nondurable goods,Imports of nonpetroleum goods,Imports of services,Industrial supplies and materials,Nondurable goods,"Nondurable goods, excluding petroleum and products",Other,Other business services,Petroleum and products,Transport,Travel (for all purposes including education)
1967-01-01,15.514500000000002,100.5455,15.043,10.4905,14294.157,29.238,26.19175,22.979,42.945,34.594,28.248,27.484,22.302,17.122,19.127499999999998,11.1805,39.436,21.195,20.251,9.49,31.131,16.062,13.6345,18.83475,19.415,36.385666666666665,27.14,4.763,16.0625,15.632
1967-04-01,15.6595,100.281,15.148,10.558,14435.524,28.9265,25.76325,22.979,42.697,34.43,28.204,27.297,22.228,17.263,19.078,11.2745,39.153,21.111,20.199,9.486,30.958,16.074,13.588000000000001,18.817249999999998,19.414,36.32116666666666,27.238999999999997,4.834,16.1315,15.66
1967-07-01,15.481,100.525,15.285,10.624500000000001,14405.11,28.963,25.61625,22.672,42.666,34.282,28.172,27.234,22.027,17.407,18.988500000000002,11.339,38.847,21.109,20.205,9.567,30.882,16.091,13.522000000000002,18.881,19.413,36.36416666666667,27.4755,4.977,16.2025,15.7165
1967-10-01,15.662,101.457,15.457,10.6955,14299.453,28.914,25.9285,22.158,43.277,34.415,28.327,27.532,21.808,17.587,18.7795,11.439499999999999,39.153,21.115,20.217,9.489,30.927,16.112,13.459,18.628,19.415,36.71583333333333,27.7815,4.907,16.265,15.773499999999999
1968-01-01,16.019,102.109,15.690999999999999,10.7995,14166.113,28.771,25.5785,22.47,43.454,34.578,28.529,27.488,21.931,17.837,18.875,11.517,39.494,21.26,20.352,9.534,31.228,16.21,13.531,18.717750000000002,19.705,37.0395,28.2505,4.766,16.4575,16.004
1968-04-01,15.9495,105.916,15.844999999999999,10.902000000000001,14338.6,29.162,25.791,22.573,45.386,35.449,29.118,28.179,21.892,17.966,19.02,11.603,39.872,21.422,20.506,9.584,31.449,16.331,13.3885,18.902749999999997,19.704,38.215333333333334,28.539,4.84,16.429000000000002,16.2455
1968-07-01,15.589,104.81899999999999,16.049,10.972000000000001,14331.091,30.042,25.7725,21.951,44.426,34.799,28.759,27.526,21.58,18.068,18.739,11.645,39.65,21.403,20.548,9.631,31.454,16.494,13.207,19.593,19.705,37.95966666666667,28.875999999999998,4.769,16.392,16.587
1968-10-01,16.0975,105.67099999999999,16.253999999999998,11.0685,14548.73,29.7295,26.357,21.892,45.181,35.016,28.962,27.933,21.367,18.238,18.7165,11.779,40.117,21.58,20.695,9.669,31.661,16.559,13.236999999999998,18.764499999999998,19.704,38.32633333333333,29.2875,4.912,16.3555,16.6435
1969-01-01,16.2485,108.624,16.423000000000002,11.169,14459.492,29.681,26.0345,22.552,45.934,35.618,29.396,28.826,21.748,18.397,19.164,12.0135,40.288,21.71,20.781,9.748,31.904,16.549,13.383,19.100749999999998,19.997,39.222,29.591499999999996,4.839,15.9305,16.813
1969-04-01,16.397,108.046,16.619,11.279,14220.259,29.4965,26.42975,22.498,45.754,35.523,29.445,28.427,21.731,18.658,19.189,12.133,40.73,21.794,20.872,9.697,32.037,16.641,13.3895,18.74525,19.997,39.31166666666667,29.996,4.838,16.151,16.927
1969-07-01,16.6565,108.2655,16.847,11.415,14077.131,30.756500000000003,26.945500000000003,22.553,46.42,36.017,29.847,29.019,22.01,18.903,19.17,12.3005,40.859,21.918,21.023,9.786,32.269,16.834,13.518999999999998,19.594,19.998,39.57033333333333,30.4295,4.766,16.343,17.067
1969-10-01,17.554499999999997,110.59049999999999,17.043,11.614999999999998,13736.676,31.573500000000003,26.92475,22.255,48.101,37.019,30.537,29.998,22.33,19.079,19.292,12.3555,42.308,22.658,21.565,10.095,33.443,16.905,13.813500000000001,20.73525,20.579,40.56016666666667,30.794999999999998,4.765,16.5275,17.128
1970-01-01,17.515500000000003,112.1785,17.2815,11.7195,13460.957,31.2175,27.1665,22.739,48.49,37.239,30.536,30.319,22.389,18.735,19.837,11.747499999999999,42.507,22.919,21.793,10.299,33.821,17.044,13.870000000000001,20.07725,20.754,41.143166666666666,31.2785,4.836,16.589,17.305500000000002
1970-04-01,17.4055,115.0325,17.551000000000002,11.9315,12864.262,32.1835,28.275,22.956,49.587,38.027,31.133,30.989,22.813,19.011,20.234,11.9175,42.725,23.149,22.042,10.467,34.189,17.303,14.1635,20.217000000000002,20.869,42.09966666666667,31.748,4.838,16.844,17.596
1970-07-01,17.723,123.90450000000001,17.695999999999998,12.075,12333.798,31.2835,27.473,23.525,48.533,37.701,31.059,31.077,23.084,19.33,20.642,12.193999999999999,44.833,23.861,22.581,10.546,35.28,17.435,14.2665,20.33425,21.214,44.278166666666664,31.9915,4.913,17.079,17.701999999999998
1970-10-01,17.680999999999997,124.2685,17.899,12.245999999999999,11979.473,31.284999999999997,27.58075,24.034,48.297,37.732,31.174,30.967,23.299,19.567,20.9665,12.276,45.262,24.136,22.809,10.692,35.637,17.536,14.3295,20.254,21.036,44.53366666666667,32.368,5.061,17.311,17.863
1971-01-01,18.625999999999998,131.499,18.234,12.3755,11587.281,32.9195,29.29475,24.582,50.366,38.868,32.082,31.794,23.561,20.075,21.234,12.869,46.468,24.565,23.382,10.758,36.256,18.338,14.3685,20.262249999999998,21.088,46.66816666666667,32.9355,5.177,17.8905,18.348
1971-04-01,18.918,126.149,18.523,12.515,11110.246,32.7385,28.733,24.94,50.05,38.815,32.154,31.698,23.704,20.323,21.273,13.165000000000001,46.06,24.501,23.464,10.821,36.077,18.722,14.4285,20.60125,21.086,45.4775,33.463499999999996,5.323,17.976,18.709
1971-07-01,18.9585,124.689,18.753,12.5495,10732.467,33.323,29.358,25.105,48.968,38.403,31.997,31.406,23.839,20.567,21.325000000000003,13.4945,46.399,24.767,23.751,10.987,36.413,19.03,14.6245,20.784,21.38,45.17033333333333,33.8995,5.466,18.0185,19.0205
1971-10-01,19.393,122.9525,18.955,12.625499999999999,10213.43,34.1795,29.926000000000002,24.563,50.052,38.647,32.195,32.027,23.431,20.694,21.035,13.665,47.067,25.053,24.105,11.074,36.867,19.503,14.453,20.993,21.68,45.054,34.309,5.459,18.093,19.6895
1972-01-01,19.8305,127.2865,19.1375,12.6585,9297.6505,34.451,30.70975,25.018,50.692,39.186,33.061,32.271,23.803,21.981,21.2755,15.650500000000001,48.809,25.68,24.514,11.17,37.869,19.367,14.743000000000002,20.97425,22.043,46.58266666666666,34.6565,5.448,17.3925,19.7245
1972-04-01,20.012999999999998,129.3125,19.293,12.631,9221.074,35.8945,31.340249999999997,25.608,50.67,39.474,33.323,32.782,24.265,22.208,21.948,15.745000000000001,49.967,26.464,25.148,11.621,39.04,19.589,15.001999999999999,22.046999999999997,22.625,47.26416666666666,34.8215,5.588,17.927500000000002,19.783
1972-07-01,20.374499999999998,134.643,19.4755,12.7365,8852.0465,35.172,31.671499999999998,26.227,50.634,39.546,33.454,32.715,24.407,22.44,22.466,15.9375,51.188,26.877,25.554,11.659,39.715,19.941,15.186499999999999,21.28425,22.961,48.733,35.054500000000004,5.595,18.4175,19.889499999999998
1972-10-01,20.802,136.918,19.744,12.9485,8668.128,36.853,32.70025,28.013,51.455,40.639,34.215,33.091,25.494,22.646,23.7555,16.0295,52.39,27.442,26.12,11.863,40.578,20.462,15.4555,22.34925,23.279,49.54466666666667,35.3195,5.719,18.875500000000002,20.4125
1973-01-01,21.121000000000002,138.8825,20.07,13.0515,8638.763500000001,37.0275,33.2615,31.834,52.071,42.245,35.189,33.603,27.496,22.495,26.3575,16.424500000000002,53.387,28.28,26.888,12.419,41.822,20.98,16.0955,22.33075,24.276,50.2485,35.606,5.962,18.267,20.9675
1973-04-01,22.445999999999998,147.4965,20.448999999999998,13.152000000000001,8407.1365,38.7185,35.06525,35.551,53.658,44.378,36.768,34.786,29.635,23.07,29.4765,17.287,57.944,30.566,29.005,13.346,45.335,22.475,16.863500000000002,23.18225,25.937,53.22866666666667,36.0095,6.308,19.311500000000002,21.7255
1973-07-01,23.057,144.0865,20.813000000000002,13.361,7943.735000000001,40.661500000000004,37.10625,42.526,54.851,47.282,38.896,35.969,33.323,23.769,33.945,18.1755,59.538,31.96,30.387,14.292,47.032,23.718,18.0395,24.389499999999998,27.455,53.0465,36.3735,7.01,20.3375,22.4955
1973-10-01,23.37,147.27949999999998,21.216,13.597999999999999,7486.26,42.408500000000004,38.35925,46.272,56.871,49.98,40.869,37.97,36.093,24.372,36.817499999999995,17.9785,62.089,34.679,32.672,16.311,49.527,24.625,19.99,26.942,29.999,54.76333333333333,36.7575,9.192,21.385,24.087
1974-01-01,23.052999999999997,150.81650000000002,21.7535,14.114,6947.889999999999,42.942,40.337999999999994,51.546,59.986,53.717,43.712,40.608,39.708,25.509,39.5495,18.366,64.011,41.093,37.854,22.468,51.481,26.037,25.0605,29.92375,33.122,56.7015,37.3025,19.514,23.659,24.9195
1974-04-01,24.133,158.088,22.3235,14.6935,6510.793,44.4825,42.524,51.772,61.677,55.707,45.206,42.682,41.652,26.065,40.3995,19.171,69.512,46.554,42.193,26.519,56.135,27.06,28.901,33.1245,37.907,59.47266666666667,38.016000000000005,24.761,23.988,25.685000000000002
1974-07-01,25.694000000000003,166.4255,23.0405,15.103,6162.671,47.515,46.071,51.738,65.863,59.234,47.751,46.449,44.082,26.738,41.635999999999996,19.886,74.551,49.252,44.358,27.727,60.517,27.646,31.3475,35.2375,41.069,62.85,38.936,24.778,24.3475,26.055
1974-10-01,27.46,170.686,23.604,15.338000000000001,5962.177,49.047,48.610749999999996,57.279,68.579,62.706,50.187,48.337,47.705,27.228,46.075500000000005,20.3375,78.132,50.878,45.776,28.268,63.506,28.424,32.822500000000005,36.013999999999996,42.819,64.86733333333333,39.665000000000006,24.461,24.6525,26.9315
1975-01-01,29.075499999999998,167.8085,24.1045,15.4285,5972.6675,52.963,49.536,56.372,71.586,64.684,51.599,50.911,48.483,27.618,45.7,20.97,79.316,51.729,46.496,28.768,65.129,28.775,33.3465,39.275,42.802,64.98583333333333,40.333,24.317,24.5345,27.4555
1975-04-01,29.903,184.7265,24.485500000000002,15.494,5936.406,53.5205,49.33825,51.639,73.613,64.206,51.452,51.412,45.878,28.075,42.620000000000005,21.5245,80.898,51.678,46.617,28.208,65.323,29.307,32.2365,38.9365,41.279,69.43166666666667,40.7645,24.055,24.8965,28.079500000000003
1975-07-01,30.1995,183.4435,24.9435,15.768,5840.934,52.08,47.90025,50.308,74.327,63.814,51.299,51.357,44.564,28.38,39.6875,21.359499999999997,78.896,50.11,45.581,27.217,62.863,29.68,31.4865,37.7605,39.058,69.09866666666666,41.3345,23.818,25.2575,28.863
1975-10-01,30.551499999999997,184.63,25.3955,16.185000000000002,5652.4400000000005,53.508,48.155,49.383,75.471,64.105,51.613,52.45,44.114,28.757,38.926,21.7195,78.516,49.991,45.654,27.209,62.125,30.254,30.985500000000002,38.339749999999995,37.118,69.5685,41.9135,24.358,25.603,29.548000000000002
1976-01-01,31.005000000000003,182.5565,25.7605,16.845,5412.874,55.0985,49.87425,48.56,76.969,64.972,52.36,53.622,44.349,29.29,39.147,22.375500000000002,78.904,50.968,46.403,28.085,62.912,30.366,31.852,39.2555,38.239,69.16366666666666,42.3865,25.282,26.170499999999997,29.056
1976-04-01,31.241,186.19,26.0705,17.4745,5160.594999999999,55.1415,50.825,48.246,78.377,65.686,52.931,54.338,44.403,29.596,39.698,22.332,80.455,51.894,47.112,28.567,64.301,30.447,32.362,39.127250000000004,39.686,70.37283333333333,42.9725,25.476,26.4955,29.1985
1976-07-01,32.2495,186.909,26.4795,18.004,4953.327,55.411500000000004,50.45325,49.17,78.556,65.946,53.241,54.472,44.691,30.008,40.83,23.2165,81.956,52.813,47.952,29.056,65.729,31.015,32.352,39.97125,40.584,70.78583333333334,43.471500000000006,25.623,26.8005,29.369500000000002
1976-10-01,33.1255,184.46249999999998,26.975,18.514,4792.5505,54.954,50.008,49.003,80.959,67.168,54.192,56.011,44.77,30.463,40.916,23.948,81.455,53.273,48.431,29.677,66.06,31.522,32.9545,40.204750000000004,41.398,70.60666666666667,44.0685,26.078,27.131,29.5385
1977-01-01,33.896,188.775,27.5105,18.854,4655.227000000001,56.060500000000005,51.17575,51.103,81.045,68.014,54.812,56.737,46.048,30.663,43.739999999999995,24.3095,83.915,55.364,50.157,31.056,68.53,32.083,33.814,41.08025,42.82,72.36633333333333,44.707,27.2,26.9845,30.146
1977-04-01,34.123,190.038,28.0405,19.1815,4486.3625,57.664500000000004,52.587,53.368,81.437,68.933,55.624,56.877,47.207,31.291,47.0205,24.631500000000003,85.64,56.977,51.533,32.176,70.755,32.676,34.326499999999996,41.985,43.493,73.18033333333334,45.55,27.795,27.57,30.8915
1977-07-01,35.432500000000005,203.2365,28.5055,19.5695,4307.675499999999,57.428,52.14925,47.488,82.922,68.267,55.348,58.462,45.015,31.762,42.566,25.15,88.328,57.655,52.206,32.06,71.965,33.298,34.5655,42.308,43.765,77.01383333333332,46.075,27.793,28.067,31.064
1977-10-01,36.1605,198.43349999999998,29.049999999999997,19.948,4119.3515,58.61,53.8115,46.161,83.988,68.361,55.61,58.939,44.358,32.34,41.4365,25.554000000000002,89.481,58.097,52.735,32.167,72.536,34.061,34.599000000000004,42.03525,44.162,76.33266666666667,46.826499999999996,28.017,28.561,32.0715
1978-01-01,37.236999999999995,196.563,29.506999999999998,20.295499999999997,3944.513,61.411,55.9505,49.036,84.425,69.747,56.696,59.094,46.236,32.879,44.1305,26.4365,92.015,59.105,53.62,32.415,74.482,34.535,34.7885,43.11725,45.144,76.60766666666667,47.283500000000004,27.821,28.436999999999998,33.0215
1978-04-01,39.0825,210.459,30.223,20.6535,3781.7315,61.981,55.973,51.128,86.403,71.558,58.107,60.374,47.593,33.555,45.403499999999994,26.905,95.79,60.528,54.921,32.675,77.0,35.404,35.044,43.87975,46.135,81.2725,48.142,27.687,29.1775,33.667500000000004
1978-07-01,41.1145,211.161,30.801000000000002,21.168,3646.5285,63.1665,58.175,52.205,87.464,72.649,59.059,60.933,48.497,34.257,45.6455,28.0885,98.636,61.296,55.836,32.53,78.322,36.719,35.6795,43.72925,47.133,81.95316666666666,48.814,27.641,29.9525,34.442
1978-10-01,41.968999999999994,209.63850000000002,31.445,21.7015,3475.673,66.15549999999999,60.52675,53.239,91.252,75.34,60.997,63.764,49.853,34.786,45.335,28.484,100.141,62.338,56.817,33.133,79.976,37.461,37.3525,45.989999999999995,48.253,82.70049999999999,48.5305,27.725,30.695,34.975500000000004
1979-01-01,44.905,213.4835,32.105999999999995,22.288,3405.05,68.0095,63.233,55.756,93.219,77.926,62.796,66.126,52.512,35.111,47.864000000000004,29.506500000000003,104.589,64.974,59.036,34.446,83.151,38.313,39.402,47.47475,51.137,84.31833333333334,48.6995,29.076,30.409,36.2175
