Date,Agricultural,Agricultural equipment,"Agricultural foods, feeds, and beverages",Air Transport,"Apparel, footwear, and household goods",Automotive vehicles,"Automotive vehicles, engines, and parts","Building materials, excluding metals and products",Business,"Capital goods and related parts, except automotive",Charges for the use of intellectual property n.e.c.,Chemicals,"Civilian aircraft, engines, and parts",Complete civilian aircraft,"Computer accessories, peripherals, and parts",Computer services,"Computers, peripherals, and parts",Construction services,"Consumer goods, except food and automotive","Dairy, meat products, and poultry",Durable goods,Education related,Electrical equipment and parts n.e.c.,Engines and parts for civilian aircraft,"Engines, parts, bodies, and chassis","Expenditure of seasonal, border, and other short-term workers",Exports of agricultural goods,Exports of capital goods less selected parts,Exports of durable goods,Exports of goods,Exports of goods and services,Exports of nonagricultural goods,Exports of nondurable goods,Exports of services,Financial intermediation services indirectly measured,Financial services,"Financial services, excluding financial intermediation services indirectly measured","Foods, feeds, and beverages",Freight,"Fuels, fuel materials, and electric energy",Furniture and household items,Government goods and services n.e.c.,"Grains, vegetables, fruits, nuts, and preparations",Health related,Home entertainment and recreational equipment and materials,Household and kitchen appliances,Household goods,Imports of capital goods less selected parts,Imports of durable goods,Imports of goods,Imports of goods and services,Imports of nondurable goods,Imports of nonpetroleum goods,Imports of services,Industrial equipment,Industrial supplies and materials,Information services,Insurance services,Laboratory testing and control instruments,Maintenance and repair services,"Medicinal, dental, and pharmaceutical preparations, including vitamins",Metals and products,Net exports of goods under merchanting,Nonagricultural,"Nonagricultural foods, feeds, and beverages",Nondurable goods,"Nondurable goods, excluding petroleum and products","Oil drilling, mining, and construction equipment",Other,"Other agricultural foods, feeds, and beverages",Other business services,Other business travel,Other durable consumer goods,Other durable goods n.e.c.,"Other household goods, including cellular telephones",Other modes of transport,Other nondurable consumer goods,Other nondurable goods,Other nondurable goods n.e.c.,Other nonmetals,Other other business services,Other other nondurable goods n.e.c.,Other personal travel,Passenger,Personal,Personal computers and mainframes,"Personal, cultural, and recreational services",Petroleum and products,Port,"Scientific, hospital, and medical equipment and parts",Sea Transport,Semiconductors and related devices,Telecommunications equipment,Telecommunications services,"Telecommunications, computer, and information services",Transport,Transportation equipment,Travel (for all purposes including education)
1999-01-01,60.2035,300.771,55.9795,55.913,91.2495,87.12,88.4725,75.954,67.1805,127.42949999999999,70.50649999999999,61.324,53.4195,57.608000000000004,204.9995,273.9225,239.9865,57.0085,105.8655,44.318,95.6595,57.4505,88.8125,51.3445,88.9495,67.1765,60.404,114.429,98.442,87.337,81.038,90.293,67.306,69.336,38.9775,65.105,77.1895,57.5325,61.2565,58.54,76.4555,61.382,54.56,35.444,125.03999999999999,85.9625,152.1095,129.549,114.46,82.785,80.124,49.342,99.322,69.266,80.04499999999999,52.434,273.91200000000003,81.501,106.24549999999999,57.001000000000005,85.8395,53.03,76.684,65.245,59.182,68.331,64.95349999999999,69.3915,83.834375,72.0385,85.623,67.17099999999999,77.142,73.7425,220.0215,78.126,87.688,76.995,71.089,89.424,70.4975,76.733,67.174,55.9885,62.805499999999995,385.05100000000004,85.4445,25.758,51.76625,122.0325,55.682500000000005,172.5885,785.97,267.11350000000004,268.223,57.3745,64.5435,64.1565
1999-04-01,58.5715,301.028,55.028999999999996,56.949,90.99000000000001,87.311,88.62100000000001,77.69149999999999,67.571,125.9025,70.9005,61.0175,53.5225,57.9315,200.03699999999998,293.033,232.214,57.4815,105.531,44.114000000000004,95.5585,47.448,88.173,51.3005,89.0565,67.5685,58.895,115.873,98.211,87.265,81.215,90.386,67.507,70.017,38.676,62.847,73.69800000000001,57.171499999999995,62.624,59.2285,76.182,60.736,53.428,35.757000000000005,124.5895,85.131,151.3415,129.866,113.652,83.795,81.141,52.096,98.712,70.337,79.7465,54.6555,293.02250000000004,81.315,106.112,57.001000000000005,85.4855,53.212,76.485,65.3195,63.068,69.7305,64.8715,69.297,84.126375,71.23150000000001,86.4045,67.56299999999999,77.113,73.598,219.048,79.963,87.3875,76.547,70.997,88.21000000000001,70.89150000000001,76.534,67.566,56.559,62.6445,354.7205,86.241,31.576999999999998,55.38225,121.6495,60.879,170.7725,783.3625,285.749,287.02549999999997,59.726,64.753,64.1635
1999-07-01,57.3715,301.21200000000005,54.4705,57.7325,90.8545,87.41550000000001,88.755,79.8215,68.072,124.535,71.24549999999999,61.305,53.611999999999995,57.965,195.05849999999998,260.8685,225.52949999999998,58.216499999999996,105.4935,46.455,95.9375,48.188,87.054,51.4285,89.26599999999999,68.075,58.499,115.706,97.922,87.469,81.331,90.66,68.56,69.96,39.8655,61.585,70.89349999999999,56.41,64.404,65.49549999999999,76.167,61.4225,51.8705,36.1855,124.55950000000001,84.896,151.1205,129.512,113.261,84.909,82.131,54.698,98.589,70.807,79.63749999999999,57.486,260.85900000000004,79.3595,105.8655,57.001000000000005,85.37899999999999,53.7455,76.671,67.13149999999999,60.07299999999999,71.58125,66.3845,68.90549999999999,84.298,70.784,84.28649999999999,68.0695,77.107,73.8575,218.721,78.058,87.25399999999999,76.594,71.331,88.03,71.23599999999999,76.721,68.0725,57.111000000000004,63.1245,337.1015,86.41149999999999,38.162499999999994,58.02225,121.717,65.766,167.999,780.05,254.38400000000001,255.685,61.6115,65.16900000000001,64.6515
1999-10-01,59.491,303.43149999999997,54.218500000000006,58.8475,91.169,87.86,88.9965,77.4315,68.753,124.44,71.6905,62.1605,54.0205,58.5625,194.99450000000002,226.92849999999999,224.4735,58.3815,105.66,47.4975,96.08375,48.6945,87.313,51.682,89.471,68.76650000000001,58.452,116.003,98.179,87.963,81.662,91.216,69.477,69.963,41.441500000000005,61.0625,69.042,56.316,63.544000000000004,68.515,76.084,61.403999999999996,51.168,36.6305,124.28399999999999,84.7295,151.23,130.256,113.19,86.35,83.258,57.668,98.832,70.572,79.72800000000001,60.1425,226.92000000000002,75.92150000000001,106.5565,57.001000000000005,85.805,55.2725,77.115,68.813,60.3805,73.568,68.10849999999999,68.8505,84.6725,70.9085,82.0775,68.76050000000001,77.1665,74.19999999999999,219.3355,79.61349999999999,87.547,77.011,71.574,88.253,71.68100000000001,77.164,68.76400000000001,58.063,63.751,328.8665,87.60749999999999,43.7125,60.4175,121.9815,66.048,167.914,766.227,221.2875,222.6285,62.545,65.1785,65.29599999999999
2000-01-01,58.864,303.604,54.2595,59.783,90.5915,88.0465,89.149,78.38499999999999,68.9695,123.999,72.30449999999999,62.748,54.637,59.451499999999996,192.941,241.65300000000002,221.69150000000002,59.007000000000005,105.60050000000001,46.95,96.816,48.506,87.838,52.092,89.6755,68.997,58.16,118.227,98.093,88.347,82.208,91.675,70.718,70.85,40.2765,60.68,69.03,56.379000000000005,62.982,69.1425,76.08099999999999,60.4015,51.558,37.1715,123.75150000000001,84.27799999999999,151.2055,130.975,113.494,88.265,84.832,61.276,99.076,70.653,79.57900000000001,63.7605,241.6445,80.00399999999999,105.9515,57.324,85.92150000000001,57.516999999999996,77.682,69.559,60.3955,75.82575,68.7185,69.2415,85.18237500000001,70.5915,83.186,68.992,77.5795,74.511,219.7435,77.4135,87.483,77.664,71.632,88.279,72.2955,77.732,68.9945,58.334,63.864000000000004,323.37649999999996,88.2285,53.2575,63.5735,120.541,66.143,165.1565,764.617,235.6465,237.3585,63.033,65.3595,65.44200000000001
2000-04-01,58.897,303.41400000000004,54.823499999999996,60.340500000000006,90.30699999999999,89.06450000000001,89.793,78.41149999999999,68.5995,123.947,72.7115,64.5015,55.5775,60.3475,189.892,226.7195,218.2525,58.94,105.4615,49.036500000000004,97.23025,48.6175,89.63650000000001,53.066,90.11,68.62950000000001,59.409,119.111,98.513,89.029,82.839,92.292,71.895,71.383,42.3025,61.2485,68.686,57.046499999999995,64.4005,78.857,75.957,59.2355,51.482,37.8045,124.0105,84.7595,151.046,132.35,113.773,88.539,84.906,61.541,99.676,69.861,79.72200000000001,64.714,226.711,79.09,105.92150000000001,57.702,85.468,58.8095,78.51,72.84049999999999,60.7675,76.21225,71.6915,69.6725,86.074625,71.045,82.51599999999999,68.624,77.5365,75.27600000000001,219.31799999999998,79.1465,87.30449999999999,78.555,72.337,88.59549999999999,72.7015,78.56,68.6265,59.1995,63.481,318.30400000000003,88.589,52.7705,64.5595,120.35900000000001,67.954,164.0385,763.4625,221.084,222.8915,63.9485,65.5265,65.06400000000001
2000-07-01,58.283,301.332,53.277,61.044,89.9885,89.2015,89.958,75.465,68.5775,123.93700000000001,73.14850000000001,65.66499999999999,56.4255,61.293499999999995,188.848,244.577,217.53050000000002,58.8615,105.3535,48.736000000000004,97.04650000000001,49.7405,89.8225,53.855000000000004,90.3275,68.598,57.589,120.611,98.87,89.29,83.24,92.787,71.971,72.093,43.7345,61.891000000000005,68.827,55.871,64.94925,93.0435,76.06200000000001,59.256,49.3215,38.57,123.7695,84.4125,150.7855,132.311,113.512,89.198,85.502,63.163,99.968,70.203,79.62950000000001,66.22800000000001,244.56799999999998,74.8245,105.757,57.8005,85.89949999999999,59.75,78.781,75.3425,61.724000000000004,77.31649999999999,73.93,69.8825,86.361625,70.583,83.6725,68.5925,77.251,75.60249999999999,218.7165,77.708,87.30699999999999,78.864,72.72,88.697,73.1385,78.831,68.5955,59.089,63.5125,320.30499999999995,88.994,57.923500000000004,67.71325,120.104,69.321,163.5245,760.904,238.4975,240.5995,64.6975,65.8685,65.07849999999999
2000-10-01,59.385999999999996,301.143,53.609,62.522000000000006,90.046,89.181,89.87700000000001,74.84049999999999,68.198,123.40650000000001,73.56049999999999,65.851,57.088,62.229,186.385,207.19099999999997,215.022,59.158,105.0995,48.597,96.5865,49.869,89.631,54.326499999999996,90.0985,68.197,58.808,120.577,98.823,89.431,83.205,92.806,72.452,71.679,44.399,60.623000000000005,66.5745,56.040000000000006,64.17075,108.905,76.024,58.4335,49.937,39.0425,123.46000000000001,83.8365,150.4375,131.758,112.878,89.649,85.704,64.723,99.948,69.351,79.4785,67.3925,207.18349999999998,69.357,105.9195,57.8005,85.37450000000001,59.076,78.965,77.79249999999999,60.879000000000005,78.14675,76.28049999999999,69.9465,85.931125,70.2085,80.82,68.1915,76.92150000000001,75.7765,218.168,80.059,86.8555,79.061,72.884,88.553,73.5515,79.016,68.194,60.486999999999995,63.157,317.959,89.637,60.3935,70.09100000000001,120.4675,69.5285,162.22899999999998,755.9069999999999,202.041,203.8895,65.803,66.12700000000001,64.71549999999999
2001-01-01,61.169,301.5635,54.1725,62.756,89.59450000000001,89.4665,89.975,73.566,68.971,123.15450000000001,74.0075,66.19,57.739999999999995,63.075500000000005,185.252,191.10899999999998,212.6395,59.0655,105.119,48.667500000000004,96.62625,51.8055,90.26750000000001,54.8655,89.981,68.9365,59.006,120.133,98.812,89.302,83.04,92.64,72.078,71.44,46.5075,59.548500000000004,63.959,56.186499999999995,64.1785,124.20500000000001,76.2185,58.5005,50.92100000000001,39.644000000000005,123.73349999999999,83.59549999999999,150.66250000000002,130.752,112.822,89.219,85.417,63.857,100.47,69.697,79.55250000000001,66.4645,191.1015,74.97749999999999,105.52199999999999,57.8425,84.5745,59.024,78.835,80.35050000000001,59.5025,77.41749999999999,78.797,70.4005,85.763125,70.492,79.8195,68.931,77.398,75.934,218.645,81.334,87.35300000000001,78.918,73.329,88.9385,73.9975,78.885,68.9335,62.049499999999995,64.05799999999999,308.1915,90.138,56.539,66.53175,120.5715,68.7445,161.06400000000002,749.6614999999999,186.3585,188.07999999999998,65.8595,66.27000000000001,65.5735
2001-04-01,59.832,297.5625,53.8885,62.381,89.40700000000001,89.35300000000001,89.9255,76.0365,68.804,122.37450000000001,74.32650000000001,64.8425,58.4745,63.6715,180.851,174.92200000000003,207.48899999999998,59.3095,104.744,50.5435,96.05275,51.458,91.687,55.7665,89.9145,68.7535,58.673,120.18,98.695,88.892,82.526,92.223,71.131,70.707,46.574,56.848,60.069500000000005,55.486000000000004,63.0005,102.4965,75.69,57.53,49.621,40.333,122.75,82.89,149.909,129.788,111.937,87.272,83.696,60.866,98.988,68.928,79.3235,63.852,174.9155,74.04400000000001,105.622,58.291,84.3275,57.1505,78.532,75.13999999999999,56.69200000000001,75.5865,73.90899999999999,70.4965,84.959375,70.301,77.9925,68.74799999999999,77.33449999999999,75.4885,218.08100000000002,79.247,87.2735,78.605,72.739,88.753,74.3175,78.583,68.751,61.7415,63.959,300.341,90.262,54.158,65.70975,120.3865,67.6215,158.64600000000002,745.229,170.5735,172.20350000000002,65.1945,66.34450000000001,65.449
