Date,"Automotive vehicles, engines, and parts","Capital goods, except automotive",Charges for the use of intellectual property n.e.c.,"Civilian aircraft, engines, and parts","Computers, peripherals, and parts","Consumer goods, except food and automotive",Durable goods,Exports of agricultural goods,Exports of durable goods,Exports of goods,Exports of goods and services,Exports of nonagricultural goods,Exports of nondurable goods,Exports of services,"Foods, feeds, and beverages",Government goods and services n.e.c.,Imports of durable goods,Imports of goods,Imports of goods and services,Imports of nondurable goods,Imports of nonpetroleum goods,Imports of services,Industrial supplies and materials,Nondurable goods,"Nondurable goods, excluding petroleum and products",Other,Other business services,Petroleum and products,Transport,Travel (for all purposes including education)
1967-01-01,2446.0,6154.0,954.0,364.0,528.0,3188.0,3377.0,6632.0,18754.0,32889.0,43886.0,26257.0,14135.0,10997.0,4894.0,4113.0,14286.0,27704.0,39432.0,13418.0,25572.0,11728.0,11282.0,3858.0,4124.0,2811.3333333333335,512.0,2132.0,2932.0,2238.0
1967-04-01,2492.0,6164.0,968.0,372.0,548.0,3040.0,3263.0,6540.0,18781.0,32647.0,43239.0,26107.0,13866.0,10592.0,4676.0,3888.5,13952.0,26796.0,39020.0,12844.0,24592.0,12224.0,10980.0,3747.0,3820.0,2827.1666666666665,550.0,2204.0,2901.5,2470.0
1967-07-01,2732.0,6138.0,950.0,522.0,532.0,3116.0,3114.0,6240.0,18237.0,31954.0,42845.0,25714.0,13717.0,10892.0,4720.0,4035.5,14274.0,27012.0,39543.0,12738.0,25148.0,12531.0,10462.0,3675.0,3732.0,2758.1666666666665,610.0,1864.0,2812.5,2656.0
1967-10-01,2782.0,6320.0,956.0,582.0,572.0,3304.0,3430.0,6400.0,18729.0,32697.0,43896.0,26297.0,13968.0,11199.0,4880.0,4150.5,15672.0,29532.0,41652.0,13860.0,27368.0,12120.0,11352.0,3898.0,4104.0,2852.1666666666665,624.0,2164.0,2921.5,2342.0
1968-01-01,3270.0,6514.0,978.0,654.0,552.0,3516.0,3892.0,6772.0,19559.0,33966.0,45452.0,27194.0,14407.0,11486.0,5056.0,4180.5,17936.0,32116.0,44399.0,14180.0,29868.0,12283.0,12328.0,4030.0,4264.0,2862.1666666666665,618.0,2248.0,3036.5,2386.0
1968-04-01,3606.0,6888.0,1004.0,730.0,544.0,3756.0,4045.0,6096.0,21237.0,35358.0,47165.0,29262.0,14121.0,11807.0,4860.0,4275.0,18420.0,33152.0,45416.0,14732.0,30880.0,12264.0,12656.0,4161.0,4368.0,3013.6666666666665,640.0,2272.0,3070.5,2338.0
1968-07-01,3762.0,7296.0,1054.0,948.0,632.0,4072.0,4132.0,6280.0,21999.0,37106.0,49891.0,30826.0,15107.0,12785.0,5304.0,4723.5,19270.0,35408.0,48240.0,16138.0,32908.0,12832.0,13198.0,4503.0,4384.0,3113.0,648.0,2500.0,3175.5,2478.0
1968-10-01,4180.0,7204.0,1070.0,854.0,612.0,4074.0,4086.0,6040.0,22091.0,36455.0,49116.0,30415.0,14364.0,12661.0,4934.0,4819.5,19678.0,35108.0,48170.0,15430.0,32592.0,13062.0,12732.0,4317.0,4516.0,3134.6666666666665,670.0,2516.0,3142.0,2408.0
1969-01-01,3792.0,6852.0,1080.0,820.0,668.0,3914.0,3498.0,4096.0,20669.0,32063.0,44042.0,27967.0,11394.0,11979.0,3670.0,4485.5,17264.0,30772.0,43804.0,13508.0,28296.0,13032.0,10536.0,3727.0,3868.0,3026.8333333333335,698.0,2476.0,2818.5,2646.0
1969-04-01,4558.0,8104.0,1134.0,584.0,716.0,4744.0,4559.0,7072.0,24247.0,40446.0,53775.0,33374.0,16199.0,13329.0,5434.0,4644.5,22168.0,39116.0,52671.0,16948.0,36412.0,13555.0,14086.0,4856.0,4820.0,3582.8333333333335,734.0,2704.0,3434.0,2696.0
1969-07-01,4792.0,8212.0,1106.0,670.0,840.0,4750.0,4438.0,6280.0,24770.0,39960.0,53596.0,33680.0,15190.0,13636.0,5188.0,4840.0,21818.0,38536.0,52365.0,16718.0,35928.0,13829.0,13478.0,4676.0,4684.0,3565.3333333333335,766.0,2608.0,3466.0,2728.0
1969-10-01,4834.0,8522.0,1164.0,812.0,920.0,4774.0,4500.0,6932.0,26022.0,42508.0,56275.0,35576.0,16486.0,13767.0,5578.0,4909.5,21778.0,38828.0,53126.0,17050.0,36020.0,14298.0,13872.0,4823.0,4672.0,3705.1666666666665,788.0,2808.0,3557.5,2762.0
1970-01-01,4502.0,8864.0,1212.0,844.0,1056.0,4940.0,4542.0,6772.0,26464.0,43416.0,57031.0,36644.0,16952.0,13614.0,5680.0,4357.5,21658.0,39348.0,53517.0,17690.0,36388.0,14169.0,14174.0,5015.0,4732.0,3838.1666666666665,800.0,2960.0,3598.0,3040.0
1970-04-01,5054.0,9384.0,1280.0,998.0,1196.0,4946.0,4660.0,7132.0,28262.0,45576.0,60411.0,38444.0,17314.0,14835.0,5798.0,4942.0,22418.0,40068.0,55204.0,17650.0,37216.0,15136.0,14476.0,5051.0,4668.0,3919.8333333333335,826.0,2852.0,3864.0,3168.0
1970-07-01,4914.0,9358.0,1304.0,756.0,1312.0,5162.0,4653.0,7512.0,27471.0,45274.0,60519.0,37762.0,17803.0,15245.0,6246.0,4929.0,23088.0,41180.0,56431.0,18092.0,38420.0,15251.0,14144.0,5000.0,4692.0,4058.3333333333335,854.0,2760.0,4067.0,3170.0
1970-10-01,4692.0,9668.0,1316.0,840.0,1384.0,5354.0,4803.0,8080.0,27261.0,45881.0,60873.0,37801.0,18620.0,14992.0,6318.0,4742.0,23936.0,42824.0,57888.0,18888.0,39688.0,15064.0,15056.0,5402.0,5004.0,4078.8333333333335,866.0,3136.0,3924.0,3244.0
1971-01-01,5710.0,9866.0,1336.0,1094.0,1312.0,5412.0,4608.0,7952.0,28055.0,46517.0,63221.0,38565.0,18462.0,16704.0,6048.0,5325.0,25048.0,43376.0,58651.0,18328.0,40544.0,15275.0,14392.0,5294.0,5048.0,4157.833333333333,936.0,2832.0,4040.0,3412.0
1971-04-01,6060.0,9898.0,1360.0,1108.0,1256.0,5746.0,4945.0,7632.0,28120.0,46369.0,62894.0,38737.0,18249.0,16525.0,6146.0,5228.5,27200.0,47440.0,63296.0,20240.0,43948.0,15856.0,15430.0,5643.0,5528.0,4212.0,986.0,3492.0,4288.0,3374.0
1971-07-01,6580.0,10140.0,1378.0,1038.0,1212.0,5608.0,4731.0,8556.0,28491.0,49021.0,65717.0,40465.0,20530.0,16696.0,7312.0,5208.5,27430.0,49640.0,65482.0,22210.0,45668.0,15842.0,16136.0,6141.0,5564.0,4302.166666666667,1036.0,3972.0,4310.5,3366.0
1971-10-01,6220.0,9508.0,1496.0,1048.0,1268.0,5836.0,4643.0,7184.0,26804.0,42877.0,60019.0,35693.0,16073.0,17142.0,5442.0,5420.5,26730.0,45744.0,61939.0,19014.0,41440.0,16195.0,13798.0,5174.0,4868.0,4068.1666666666665,1068.0,4304.0,4030.5,3662.0
1972-01-01,6920.0,11178.0,1464.0,1098.0,820.0,7316.0,5562.0,8592.0,30364.0,50440.0,68639.0,41848.0,20076.0,18199.0,6728.0,5718.0,32016.0,55092.0,72173.0,23076.0,50816.0,17081.0,16690.0,6441.0,5984.0,4739.5,1110.0,4276.0,4513.5,3810.0
1972-04-01,7050.0,10940.0,1502.0,1026.0,786.0,6984.0,5547.0,8596.0,30152.0,49696.0,67152.0,41100.0,19544.0,17456.0,6830.0,5308.5,31938.0,54092.0,71409.0,22154.0,49748.0,17317.0,16168.0,6029.0,5908.0,4702.666666666667,1136.0,4344.0,4530.0,3852.0
1972-07-01,7202.0,11388.0,1546.0,1042.0,786.0,7366.0,5822.0,9412.0,31536.0,52520.0,71453.0,43108.0,20984.0,18933.0,7614.0,5495.5,33096.0,57288.0,74090.0,24192.0,52480.0,16802.0,17170.0,6446.0,5988.0,4940.833333333333,1126.0,4808.0,4676.0,3926.0
1972-10-01,7862.0,12160.0,1614.0,1138.0,820.0,7708.0,6348.0,11456.0,33694.0,57688.0,76129.0,46232.0,23994.0,18441.0,8354.0,5061.5,36110.0,61264.0,79190.0,25154.0,56092.0,17926.0,19024.0,7018.0,6364.0,5238.166666666667,1164.0,5172.0,5069.5,4130.0
1973-01-01,8394.0,13476.0,1752.0,1306.0,912.0,8444.0,6980.0,14788.0,37312.0,65224.0,83959.0,50436.0,27912.0,18735.0,10146.0,4595.0,38926.0,66460.0,85360.0,27534.0,60324.0,18900.0,20804.0,7644.0,6796.0,5675.0,1220.0,6136.0,5713.5,4348.0
1973-04-01,8886.0,14698.0,1684.0,1436.0,1010.0,8728.0,7302.0,16852.0,41130.0,72560.0,91923.0,55708.0,31430.0,19363.0,11468.0,4985.5,40444.0,70040.0,89468.0,29596.0,62640.0,19428.0,22322.0,8223.0,6940.0,6232.333333333333,1260.0,7400.0,5797.5,4422.0
1973-07-01,8782.0,15556.0,1900.0,1570.0,1082.0,8952.0,7644.0,18296.0,43244.0,77236.0,97576.0,58940.0,33992.0,20340.0,12392.0,4605.0,41170.0,72100.0,91139.0,30930.0,63752.0,19039.0,23824.0,8744.0,6836.0,6459.166666666667,1308.0,8348.0,6094.5,4470.0
1973-10-01,9258.0,16794.0,1884.0,1554.0,1130.0,9260.0,8071.0,21972.0,47456.0,88064.0,107620.0,66092.0,40608.0,19556.0,14630.0,4180.5,42672.0,78772.0,98669.0,36100.0,66996.0,19897.0,27736.0,10427.0,7584.0,7077.666666666667,1400.0,11776.0,6243.0,4636.0
1974-01-01,9816.0,17964.0,2074.0,1866.0,1210.0,9546.0,8605.0,22924.0,51784.0,95116.0,116709.0,72192.0,43332.0,21593.0,15012.0,4018.0,44458.0,88832.0,110315.0,44374.0,70200.0,21483.0,33374.0,12855.0,8136.0,7537.5,2354.0,18632.0,6795.0,4834.0
1974-04-01,10488.0,19738.0,2134.0,2098.0,1310.0,10596.0,9976.0,22984.0,57290.0,103536.0,126668.0,80552.0,46246.0,23132.0,14550.0,4736.5,49908.0,106388.0,129382.0,56480.0,77256.0,22994.0,42748.0,16696.0,9536.0,8235.833333333334,2396.0,29132.0,7325.0,4936.0
1974-07-01,11172.0,21046.0,2236.0,1794.0,1288.0,10902.0,10466.0,20752.0,58376.0,103664.0,126638.0,82912.0,45288.0,22974.0,13704.0,4239.5,53572.0,110600.0,133610.0,57028.0,81720.0,23010.0,44660.0,17315.0,10916.0,8405.833333333334,2448.0,28880.0,7453.0,5010.0
1974-10-01,11004.0,22646.0,2330.0,2304.0,1368.0,10514.0,10748.0,22980.0,63420.0,111660.0,136585.0,88680.0,48240.0,24925.0,15146.0,4706.5,53346.0,112260.0,136552.0,58914.0,82472.0,24292.0,46178.0,17598.0,11196.0,9038.166666666666,2558.0,29788.0,8101.5,5244.0
1975-01-01,9920.0,22990.0,2470.0,2110.0,1328.0,9660.0,9625.0,25060.0,63482.0,114936.0,141369.0,89876.0,51454.0,26433.0,15542.0,5254.0,47748.0,100936.0,124888.0,53188.0,74036.0,23952.0,42914.0,16662.0,10320.0,9399.333333333334,2744.0,26900.0,7518.5,5470.0
1975-04-01,10894.0,23300.0,2518.0,1928.0,1286.0,9274.0,8382.0,19592.0,65030.0,108464.0,136827.0,88872.0,43434.0,28363.0,12708.0,6023.5,43104.0,92264.0,115245.0,49160.0,67544.0,22981.0,37970.0,15240.0,8992.0,9360.666666666666,2954.0,24720.0,7086.5,5312.0
1975-07-01,12178.0,23152.0,2462.0,1870.0,1310.0,9834.0,8135.0,21252.0,64810.0,109792.0,134098.0,88540.0,44982.0,24306.0,14226.0,3541.5,44838.0,98772.0,122055.0,53934.0,71476.0,23283.0,38444.0,16004.0,8888.0,9409.666666666666,3064.0,27296.0,7376.0,5542.0
1975-10-01,12766.0,24168.0,2538.0,1564.0,1342.0,10774.0,8427.0,23068.0,67624.0,116768.0,142531.0,93700.0,49144.0,25763.0,15276.0,4024.0,46866.0,104028.0,128730.0,57162.0,74872.0,24702.0,40500.0,17210.0,9792.0,10000.333333333334,3222.0,29156.0,7719.5,5904.0
1976-01-01,13772.0,24610.0,2542.0,1558.0,1428.0,11638.0,9087.0,22360.0,68182.0,117016.0,143588.0,94656.0,48834.0,26572.0,14760.0,3799.0,52304.0,113540.0,138938.0,61236.0,82848.0,25398.0,43124.0,18294.0,11084.0,10271.0,3412.0,30692.0,8405.0,6012.0
1976-04-01,14452.0,25588.0,2538.0,1958.0,1546.0,12212.0,9711.0,23060.0,69628.0,119084.0,146621.0,96024.0,49456.0,27537.0,15388.0,4192.0,55636.0,121324.0,147116.0,65688.0,87940.0,25792.0,46224.0,19507.0,12036.0,10083.5,3578.0,33384.0,8328.0,6202.0
1976-07-01,14870.0,25810.0,2514.0,1902.0,1622.0,12912.0,10421.0,23860.0,71598.0,122700.0,151775.0,98840.0,51102.0,29075.0,16228.0,4513.0,58892.0,128920.0,155848.0,70028.0,93344.0,26928.0,48544.0,20307.0,12320.0,10527.166666666666,3850.0,35576.0,8809.0,6466.0
1976-10-01,14928.0,26782.0,2518.0,1822.0,1710.0,13612.0,10863.0,24240.0,74196.0,127136.0,156076.0,102896.0,52940.0,28940.0,16374.0,4297.0,60424.0,134744.0,162680.0,74320.0,96108.0,27936.0,51496.0,21691.0,13460.0,10960.5,3974.0,38636.0,9249.0,6516.0
1977-01-01,15300.0,25822.0,2646.0,1324.0,1836.0,14572.0,11146.0,24848.0,72898.0,126324.0,155354.0,101476.0,53426.0,29030.0,16938.0,4654.5,62898.0,147624.0,176433.0,84726.0,99640.0,28810.0,55374.0,23827.0,12816.0,11189.0,4002.0,47984.0,9142.0,6538.0
1977-04-01,16402.0,26682.0,2738.0,1874.0,1866.0,15260.0,12007.0,26060.0,75352.0,131340.0,161906.0,105280.0,55988.0,30566.0,18278.0,4846.0,68077.0,153150.0,183042.0,85073.0,108010.0,29891.0,56390.0,23818.0,13524.0,11389.333333333334,4024.0,45140.0,9827.5,6800.0
1977-07-01,16600.0,27370.0,2916.0,1534.0,2032.0,15628.0,12165.0,23536.0,75378.0,130636.0,162325.0,107100.0,55258.0,31689.0,16028.0,5200.5,70601.0,153171.0,182904.0,82569.0,108999.0,29733.0,56898.0,24098.0,14072.0,11746.666666666666,4030.0,44172.0,9742.0,6766.0
1977-10-01,17486.0,27628.0,2998.0,1952.0,2114.0,15994.0,12488.0,22884.0,74054.0,125340.0,157809.0,102456.0,51286.0,32469.0,16166.0,5553.5,75198.0,156571.0,187391.0,81374.0,113939.0,30820.0,54610.0,22814.0,13728.0,11588.333333333334,4224.0,42632.0,9640.0,7098.0
1978-01-01,17984.0,29367.5,3294.0,2946.0,2246.0,18794.0,13963.5,24892.0,76704.0,129845.0,164601.0,104952.0,53140.0,34756.0,18647.0,6106.0,82646.0,170334.0,203282.0,87688.0,126927.0,32948.0,56506.0,23686.0,14728.0,11723.0,4646.0,43406.0,10242.0,7362.0
1978-04-01,20441.5,32576.0,3254.0,3638.0,2538.0,20569.0,15006.5,32346.0,86420.0,150606.0,186215.0,118260.0,64186.0,35609.0,22141.0,6084.5,88503.0,175132.0,208840.0,86629.0,134838.0,33708.0,58279.0,24417.75,16366.0,12521.666666666666,4826.0,40294.0,10559.0,7632.0
1978-07-01,20200.0,33981.0,3398.0,4301.0,2732.0,20635.5,15529.25,32085.0,88122.0,153627.0,191302.0,121542.0,65505.0,37675.0,21086.5,6339.5,90817.0,179406.0,215062.0,88589.0,136015.0,35656.0,62154.5,25865.5,15716.0,12607.666666666666,5280.0,43391.0,11092.5,8140.0
1978-10-01,21776.0,37647.0,3646.0,5345.0,2990.0,21506.0,16161.0,30260.0,98812.0,165550.0,205415.0,135290.0,66738.0,39865.0,21137.0,7001.0,94136.0,184765.0,221815.0,90629.0,141643.0,37050.0,63633.0,26409.0,15870.0,13769.5,5466.0,43122.0,11624.0,8182.0
1979-01-01,21939.0,39429.5,3462.0,5626.0,3232.0,21395.5,16447.75,28971.0,103170.0,170867.0,211669.0,141897.0,67697.0,40802.0,21028.5,6782.0,95569.0,192183.0,229828.0,96613.0,144723.0,37646.0,67522.0,28010.75,16052.0,14495.5,5676.0,47460.0,12051.0,8548.0
1979-04-01,22449.5,41237.0,3564.0,5411.5,3356.0,22323.0,17440.25,32961.0,105798.0,178909.0,220908.0,145947.0,73111.0,41999.0,23222.5,6712.0,99783.0,204074.0,243097.0,104291.0,151672.0,39022.0,73812.0,30627.25,18546.0,14580.666666666666,5866.0,52402.0,12639.0,8904.0
1979-07-01,21605.5,42622.0,3658.0,6252.5,3480.0,22556.5,18037.5,38587.0,109339.0,191253.0,234277.0,152666.0,81914.0,43024.0,25119.0,6876.0,99709.0,216774.0,257306.0,117065.0,150257.0,40532.0,83667.5,35074.5,18442.0,14755.0,5916.0,66517.0,13518.0,8878.0
1979-10-01,23058.5,46295.0,3864.0,6603.0,3864.0,24207.5,19719.25,41337.0,120214.0,208036.0,253664.0,166699.0,87822.0,45628.0,27687.5,7243.0,106728.0,238117.0,280466.0,131389.0,162778.0,42350.0,92470.0,38619.75,20241.0,16068.666666666666,6258.0,75339.0,14226.0,9378.0
1980-01-01,22967.0,50148.5,3838.0,7632.0,4188.0,26860.5,22306.25,38942.0,133116.0,221979.0,268508.0,183037.0,88863.0,46529.0,25702.0,7654.0,114439.0,259654.0,304311.0,145215.0,171976.0,44657.0,103038.0,42643.25,21347.0,17822.5,6206.0,87678.0,14556.5,10300.0
1980-04-01,21389.0,54097.0,3964.0,8645.5,4398.0,25603.0,20940.5,40227.0,135323.0,227700.0,277389.0,187472.0,92377.0,49689.0,26202.0,8251.5,109694.0,248469.0,292600.0,138774.0,166854.0,44131.0,100511.5,42116.5,21875.0,18156.5,6782.0,81615.0,14748.0,10030.0
1980-07-01,22294.5,53812.0,3938.0,8280.0,4882.0,25148.0,19134.75,44699.0,133602.0,232517.0,284673.0,187818.0,98915.0,52156.0,28314.0,8869.0,107433.0,234147.0,279202.0,126714.0,162745.0,45055.0,91479.5,39179.25,19943.0,18726.5,7094.0,71402.0,14762.5,10696.0
1980-10-01,24750.0,57664.0,4392.0,9955.0,5094.0,26425.5,19752.75,44304.0,140559.0,239515.0,292517.0,195211.0,98957.0,53002.0,29467.0,8906.5,116164.0,252012.0,299200.0,135848.0,174652.0,47188.0,94574.0,40746.75,20210.0,19623.0,7336.0,77360.0,15145.5,10944.0
1981-01-01,24122.0,58722.5,4212.0,8754.5,5224.0,27534.5,20170.5,48192.0,141214.0,247244.0,305467.0,199052.0,106029.0,58224.0,31510.5,8395.0,119196.0,270186.0,319726.0,150991.0,182732.0,49539.0,102785.5,44989.75,23212.0,20804.166666666668,7881.0,87454.0,16320.5,13444.0
1981-04-01,25940.0,61639.5,3960.0,9949.5,5352.0,27904.5,20892.75,43590.0,149080.0,248750.0,308455.0,205160.0,99670.0,59705.0,28601.0,9474.0,126280.0,271773.0,321963.0,145493.0,189586.0,50190.0,99545.5,42832.25,23517.0,22214.666666666668,8245.5,82187.0,16403.0,13189.5
1981-07-01,25527.5,59806.5,4138.0,8018.5,5496.0,27598.0,20075.25,41792.0,141811.0,241701.0,302339.0,199909.0,99890.0,60637.0,27228.5,8922.0,125503.0,260494.0,309900.0,134991.0,187393.0,49406.0,94591.5,41019.25,23657.0,22092.833333333332,8255.5,73101.0,16368.5,13695.5
1981-10-01,25776.5,62450.5,4174.0,8792.5,5646.0,29102.5,20373.75,42803.0,140574.0,243130.0,304695.0,200327.0,102556.0,61565.0,27453.0,9162.5,133216.0,268804.0,319445.0,135588.0,198054.0,50641.0,95344.0,41849.25,24315.0,22461.333333333332,8604.5,70750.0,16172.0,14459.0
