Date,Agricultural,Agricultural equipment,"Agricultural foods, feeds, and beverages",Air Transport,"Apparel, footwear, and household goods",Automotive vehicles,"Automotive vehicles, engines, and parts","Building materials, excluding metals and products",Business,"Capital goods and related parts, except automotive",Charges for the use of intellectual property n.e.c.,Chemicals,"Civilian aircraft, engines, and parts",Complete civilian aircraft,"Computer accessories, peripherals, and parts",Computer services,"Computers, peripherals, and parts",Construction services,"Consumer goods, except food and automotive","Dairy, meat products, and poultry",Durable goods,Education related,Electrical equipment and parts n.e.c.,Engines and parts for civilian aircraft,"Engines, parts, bodies, and chassis","Expenditure of seasonal, border, and other short-term workers",Exports of agricultural goods,Exports of capital goods less selected parts,Exports of durable goods,Exports of goods,Exports of goods and services,Exports of nonagricultural goods,Exports of nondurable goods,Exports of services,Financial intermediation services indirectly measured,Financial services,"Financial services, excluding financial intermediation services indirectly measured","Foods, feeds, and beverages",Freight,"Fuels, fuel materials, and electric energy",Furniture and household items,Government goods and services n.e.c.,"Grains, vegetables, fruits, nuts, and preparations",Health related,Home entertainment and recreational equipment and materials,Household and kitchen appliances,Household goods,Imports of capital goods less selected parts,Imports of durable goods,Imports of goods,Imports of goods and services,Imports of nondurable goods,Imports of nonpetroleum goods,Imports of services,Industrial equipment,Industrial supplies and materials,Information services,Insurance services,Laboratory testing and control instruments,Maintenance and repair services,"Medicinal, dental, and pharmaceutical preparations, including vitamins",Metals and products,Net exports of goods under merchanting,Nonagricultural,"Nonagricultural foods, feeds, and beverages",Nondurable goods,"Nondurable goods, excluding petroleum and products","Oil drilling, mining, and construction equipment",Other,"Other agricultural foods, feeds, and beverages",Other business services,Other business travel,Other durable consumer goods,Other durable goods n.e.c.,"Other household goods, including cellular telephones",Other modes of transport,Other nondurable consumer goods,Other nondurable goods,Other nondurable goods n.e.c.,Other nonmetals,Other other business services,Other other nondurable goods n.e.c.,Other personal travel,Passenger,Personal,Personal computers and mainframes,"Personal, cultural, and recreational services",Petroleum and products,Port,"Scientific, hospital, and medical equipment and parts",Sea Transport,Semiconductors and related devices,Telecommunications equipment,Telecommunications services,"Telecommunications, computer, and information services",Transport,Transportation equipment,Travel (for all purposes including education)
1999-01-01,6125.5,3453.5,35782.5,29719.0,43410.0,68220.5,121464.5,14064.5,26011.0,290602.5,25688.0,27391.5,39545.5,20011.0,52562.5,5643.0,61523.0,2625.0,155003.5,6007.0,71475.25,5295.5,21178.0,19534.5,53244.0,3845.5,47291.0,235663.0,492690.0,687945.0,960764.0,640655.0,195255.0,272819.0,4819.0,17903.5,13084.5,43324.0,6573.25,5941.5,6659.0,10390.0,21347.5,655.5,33748.0,5838.5,29416.0,282532.0,676695.0,978939.0,1173324.0,302245.0,929477.0,194384.0,78775.5,163533.0,1235.0,6018.5,3015.0,2263.5,16805.5,31854.5,330.0,63785.0,7541.5,87793.25,69910.5,9725.5,70895.5,8428.5,75390.5,22165.5,15783.0,29675.0,16918.0,2781.0,15841.5,26610.0,33069.0,18084.0,27658.5,26281.0,40824.0,18308.0,46775.0,8960.5,5307.0,29618.5,5514.25,10965.5,12764.0,37680.5,21518.5,6737.5,13615.5,45264.5,3222.0,72786.0
1999-04-01,6199.5,3438.0,37277.0,30678.0,42747.5,70059.5,124560.0,15101.5,25829.5,296564.0,26466.5,27651.5,36487.5,17353.0,53888.0,5778.0,64108.0,2693.5,157676.0,6254.0,74277.75,5376.0,22338.0,19135.0,54500.0,3688.0,49255.0,231795.0,496934.0,697321.0,974597.0,648065.0,200387.0,277276.0,4600.5,19018.0,14417.5,45120.5,6861.0,7174.0,6795.0,10876.0,22473.0,652.0,35220.0,6203.0,31258.0,292051.0,702977.0,1024016.0,1222126.0,321039.0,958525.0,198110.0,80006.0,176035.5,1285.0,6151.5,3091.0,2376.0,16426.5,31871.5,319.0,65710.5,7844.0,92578.25,71910.5,9434.0,72926.625,8550.0,77369.0,22141.5,16569.0,30276.5,18260.0,2793.5,15455.0,27528.0,33344.0,18534.5,28209.5,27209.0,40093.5,19023.0,46121.0,10220.0,5359.5,38617.0,5676.0,11018.0,13418.5,41591.5,22505.5,6498.5,13561.5,46890.0,2546.0,71951.0
1999-07-01,6675.5,3304.0,38015.5,32003.0,43384.0,72146.0,129359.5,16020.0,26904.5,308307.0,26079.0,29036.5,39042.0,19828.5,54190.0,5807.0,64615.5,2760.0,164647.0,6676.5,77013.0,5461.0,23469.5,19213.5,57213.5,3355.5,52184.0,240685.0,513023.0,717941.0,1005309.0,665757.0,204918.0,287368.0,4750.0,19692.5,14942.0,45991.5,7577.75,8069.0,7185.0,11426.0,22630.0,648.5,36783.5,6188.0,32317.5,306013.0,729513.0,1077272.0,1281712.0,347759.0,996405.0,204440.0,83246.5,189999.0,1343.0,6284.5,3238.5,2401.0,18641.0,32154.5,303.0,69488.0,7975.0,100310.0,76163.5,9326.0,75138.375,8710.0,78764.0,23549.5,17612.0,29576.0,18944.0,3028.5,15908.5,25712.0,33743.0,19139.0,28788.5,25409.0,42771.5,19661.0,48881.0,10425.5,5362.0,46521.5,5892.75,11312.0,14599.0,43668.5,24525.0,6326.0,13475.5,49631.0,2559.0,75785.5
1999-10-01,6749.5,3623.5,37213.0,32584.5,45333.0,73545.5,131612.0,15764.5,26827.0,319215.0,27283.0,30771.5,38334.5,19237.5,54628.0,5683.0,66159.5,2918.5,171707.5,7215.0,81147.25,5568.5,24748.0,19097.0,58067.0,3457.0,49894.0,250118.0,532154.0,743688.0,1030971.0,693794.0,211534.0,287283.0,5025.0,20359.0,15334.0,45679.0,7883.25,8119.5,7428.0,10803.5,21095.5,645.0,37569.0,6631.0,33968.5,315760.0,754192.0,1124611.0,1332679.0,370419.0,1031961.0,208068.0,86445.0,205696.0,1415.5,6428.5,3438.0,2658.0,19355.0,35529.0,273.0,73702.0,8466.5,107555.0,80451.5,9449.5,78521.5,8902.0,79175.5,23370.0,18935.0,30051.5,19909.5,3010.0,16547.5,26062.0,34314.0,20528.5,28171.5,25789.0,42457.5,19887.5,48670.5,11531.5,5324.5,53423.0,5969.75,11752.0,15007.5,46250.5,25353.5,6216.5,13315.5,50602.0,3662.0,75497.5
2000-01-01,7006.0,3761.0,37934.5,32543.5,46992.5,78199.0,140101.5,16151.0,27771.0,325216.5,28944.5,30515.5,33641.0,14419.5,55252.5,5993.0,67057.0,1447.0,178358.0,7320.5,86312.75,5686.0,26242.5,19220.5,61902.5,3615.0,51466.0,250472.0,546528.0,761318.0,1052904.0,709852.0,214790.0,291586.0,5292.5,22275.5,16983.0,45961.5,8170.75,7977.0,7736.0,10631.0,21627.5,641.0,40160.5,6804.0,35375.0,331635.0,789836.0,1193644.0,1409487.0,403808.0,1071054.0,215843.0,89981.5,227258.5,1325.0,6832.0,3900.0,2926.0,18483.5,39045.5,213.0,74625.5,8027.0,116496.0,81631.5,9442.5,81416.125,8986.5,80412.5,24156.0,20518.0,30239.0,20834.5,3026.0,16828.5,24892.0,35800.0,21374.5,28444.5,24678.0,44113.0,20029.0,50440.5,11805.0,5418.0,69056.0,5845.75,11952.5,15519.5,48021.0,28426.5,5752.0,13070.0,51088.5,2790.0,78211.5
2000-04-01,7063.5,3848.5,38584.5,35052.5,49117.5,77048.5,137382.5,15494.0,28716.0,351632.0,30059.5,31716.0,38324.0,18952.5,59905.5,5926.5,72422.0,1676.0,185879.0,7296.5,87784.25,5775.0,28534.5,19371.5,60333.5,3728.0,52366.0,265106.0,570032.0,789078.0,1093360.0,736713.0,219046.0,304281.0,5464.0,23091.5,17627.5,47158.5,8511.5,9634.0,8263.5,11475.5,22324.5,638.0,40488.5,6805.5,36652.0,346401.0,818359.0,1232293.0,1455860.0,413934.0,1113943.0,223567.0,92993.0,229321.5,1406.0,7190.5,4381.5,3213.0,21229.0,40123.0,177.0,78179.5,8574.0,119815.75,85243.0,9774.5,85386.5,8963.5,82333.5,24987.5,21195.0,29612.0,21583.0,2984.5,17197.0,23989.0,35412.0,21616.5,28746.5,23812.0,46224.5,22040.0,52638.0,12516.5,5426.0,66844.5,6067.75,12435.5,16146.5,53643.5,32615.5,5658.0,12990.5,54184.0,2661.0,81354.0
2000-07-01,7037.5,3807.0,39388.5,34973.5,49475.5,77150.5,137693.5,15111.5,29012.5,368555.0,30131.0,34371.0,37739.0,18122.5,63503.5,6121.0,77431.5,1781.0,190497.0,7408.0,88801.75,6023.5,30186.5,19616.5,60542.5,3737.5,54706.0,274305.0,590245.0,820710.0,1125002.0,766004.0,230464.0,304293.0,5675.0,23339.0,17664.5,48472.0,9147.5,12769.0,8569.0,12052.5,22689.0,634.0,41617.0,6953.5,38164.0,352643.0,844096.0,1285062.0,1518869.0,440966.0,1158425.0,233807.0,96563.5,240959.5,1490.0,7634.5,4857.5,3535.5,22836.0,40149.5,141.0,85107.0,9083.5,126926.75,92144.5,10155.0,90660.625,9291.5,84626.0,25275.0,20685.0,33319.0,22641.5,3145.0,17720.0,25078.0,41702.0,21876.5,29548.5,24936.0,46367.5,21807.5,53025.0,13929.0,5521.5,71677.5,6186.25,12930.0,17501.0,59249.5,33272.0,5654.5,13265.5,55620.0,2363.0,82037.5
2000-10-01,7669.0,3635.0,38077.0,34568.5,49767.5,76337.0,135442.0,15322.5,28425.5,364009.5,30094.5,32844.0,39283.0,18704.0,60900.5,6079.5,73796.5,1976.5,193144.5,7442.5,89434.5,6139.5,29545.5,20579.0,59105.5,3773.0,52665.0,270935.0,582272.0,809110.0,1113177.0,756445.0,226838.0,304066.0,5421.0,22568.5,17147.5,47127.0,9086.25,15345.5,8518.5,11268.0,21349.5,631.0,43387.5,6647.0,38031.5,356901.0,838741.0,1293691.0,1524520.0,454950.0,1156705.0,230828.0,97102.0,247253.0,1551.5,8172.0,5062.5,3803.0,23352.0,38713.0,105.0,85302.5,9050.0,130764.25,92971.0,10220.5,89273.375,9285.5,85885.5,24652.5,20868.5,32186.0,22865.5,3002.5,17737.0,25189.0,39288.0,22546.0,30306.0,25084.0,45292.5,21646.5,52063.5,12895.5,5627.0,77699.5,6132.25,13064.5,17514.5,55992.0,33758.0,5801.5,13431.5,55085.5,2551.0,80488.5
2001-01-01,7055.0,3858.0,39212.0,35160.5,50391.0,74822.5,130913.0,14374.0,28447.0,352306.0,28457.5,34276.5,43701.0,21758.0,57064.5,6057.5,69319.0,1955.0,193380.5,7697.5,88127.5,6249.5,27390.5,21943.0,56090.5,3847.5,54299.0,272144.0,571670.0,796274.0,1096812.0,741976.0,224605.0,300537.0,5563.5,23038.5,17475.0,48012.0,8864.75,19082.5,8430.5,10890.0,21936.0,628.0,41929.5,6937.5,38651.0,348652.0,808869.0,1265827.0,1499464.0,456958.0,1134461.0,233637.0,96022.5,244817.5,1539.0,9010.0,4572.0,3290.0,23398.0,38707.5,62.0,89880.0,8800.0,130971.75,96935.0,9998.0,85517.75,9578.0,86658.0,24599.0,21156.0,30795.5,23283.0,3005.5,17855.5,23306.0,38346.0,21437.5,30193.0,23245.0,45926.5,22219.0,52804.0,12254.5,5597.5,73364.0,6117.5,13739.0,17022.0,49652.0,31178.0,5978.0,13574.5,55188.5,2875.5,81251.0
2001-04-01,7344.5,3522.5,39111.5,34985.5,49129.0,75891.0,133096.5,15187.5,27304.0,316445.0,29267.0,31254.5,42981.5,20719.5,50025.0,6022.5,61990.5,2138.0,190242.0,8006.0,84337.25,6344.5,23526.0,22262.0,57206.0,3864.0,54649.0,258952.0,538761.0,759635.0,1058013.0,704986.0,220873.0,298379.0,5175.0,22240.0,17065.0,47995.5,8337.25,15067.0,7983.0,10856.5,21385.0,625.0,39596.0,6789.0,37680.0,328185.0,760786.0,1188641.0,1422028.0,427856.0,1074415.0,233387.0,87377.0,223207.0,1519.5,9672.0,4060.5,3570.5,25438.0,34339.5,76.0,80870.0,8884.0,122387.0,88214.5,10848.5,78456.875,9720.5,87791.5,23439.5,21157.5,31557.0,22908.0,3051.5,17241.5,23978.0,39212.0,20715.0,30864.5,23902.0,44713.0,22419.0,51682.0,11965.0,5713.0,64751.0,6091.75,13665.0,16291.0,38531.0,27341.0,6052.0,13594.0,54328.0,2603.0,78985.5
