Date,Agricultural,Agricultural equipment,"Agricultural foods, feeds, and beverages",Air Transport,"Apparel, footwear, and household goods",Automotive vehicles,"Automotive vehicles, engines, and parts","Building materials, excluding metals and products",Business,"Capital goods and related parts, except automotive",Charges for the use of intellectual property n.e.c.,Chemicals,"Civilian aircraft, engines, and parts",Complete civilian aircraft,"Computer accessories, peripherals, and parts",Computer services,"Computers, peripherals, and parts",Construction services,"Consumer goods, except food and automotive","Dairy, meat products, and poultry",Durable goods,Education related,Electrical equipment and parts n.e.c.,Engines and parts for civilian aircraft,"Engines, parts, bodies, and chassis","Expenditure of seasonal, border, and other short-term workers",Exports of agricultural goods,Exports of capital goods less selected parts,Exports of durable goods,Exports of goods,Exports of goods and services,Exports of nonagricultural goods,Exports of nondurable goods,Exports of services,Financial intermediation services indirectly measured,Financial services,"Financial services, excluding financial intermediation services indirectly measured","Foods, feeds, and beverages",Freight,"Fuels, fuel materials, and electric energy",Furniture and household items,Government goods and services n.e.c.,"Grains, vegetables, fruits, nuts, and preparations",Health related,Home entertainment and recreational equipment and materials,Household and kitchen appliances,Household goods,Imports of capital goods less selected parts,Imports of durable goods,Imports of goods,Imports of goods and services,Imports of nondurable goods,Imports of nonpetroleum goods,Imports of services,Industrial equipment,Industrial supplies and materials,Information services,Insurance services,Laboratory testing and control instruments,Maintenance and repair services,"Medicinal, dental, and pharmaceutical preparations, including vitamins",Metals and products,Net exports of goods under merchanting,Nonagricultural,"Nonagricultural foods, feeds, and beverages",Nondurable goods,"Nondurable goods, excluding petroleum and products","Oil drilling, mining, and construction equipment",Other,"Other agricultural foods, feeds, and beverages",Other business services,Other business travel,Other durable consumer goods,Other durable goods n.e.c.,"Other household goods, including cellular telephones",Other modes of transport,Other nondurable consumer goods,Other nondurable goods,Other nondurable goods n.e.c.,Other nonmetals,Other other business services,Other other nondurable goods n.e.c.,Other personal travel,Passenger,Personal,Personal computers and mainframes,"Personal, cultural, and recreational services",Petroleum and products,Port,Residual,"Scientific, hospital, and medical equipment and parts",Sea Transport,Semiconductors and related devices,Telecommunications equipment,Telecommunications services,"Telecommunications, computer, and information services",Transport,Transportation equipment,Travel (for all purposes including education)
2007-01-01,11904.5,4862.5,87680.0,58365.0,71096.5,110447.0,195432.5,26306.0,32253.0,390661.0,60295.0,61069.5,71354.0,27709.5,38718.5,8993.0,56353.5,2908.5,288258.0,15660.5,135665.5,13259.5,35849.5,43806.5,84996.0,5729.0,98674.0,305737.0,740100.0,1113204.0,1689392.0,1013433.0,373495.0,571947.0,15041.5,72540.5,58158.0,106307.5,16098.0,15568.5,16804.0,27157.0,50094.5,1056.0,56084.0,14353.0,44491.5,377328.0,1043432.0,1922646.0,2365980.0,869982.0,1597808.0,440551.0,147870.5,437845.0,2332.5,32135.5,5630.0,8502.5,64485.0,81253.0,1566.0,131062.5,19116.5,227464.0,142969.5,27574.0,103865.875,22110.0,210358.5,26524.5,40656.5,42463.0,20350.0,4239.0,24619.0,33193.0,53158.0,31614.5,71897.5,31629.0,60373.0,34123.0,74303.5,18883.0,9754.5,150432.0,10765.75,-27360.5,20865.0,29163.0,32639.5,9882.5,6118.0,17495.0,92001.0,4632.5,106850.0
2007-04-01,12983.5,4933.0,88047.0,57576.0,70442.0,113451.0,200540.5,26404.5,31957.5,395177.5,61359.0,62607.5,72055.5,27980.0,37018.5,9300.5,54666.5,3571.0,285684.5,15906.0,135906.5,13352.5,35947.0,44204.5,87153.5,5486.0,102981.0,317562.0,752811.0,1128868.0,1714981.0,1025391.0,376325.0,582047.0,15316.0,79182.5,64597.0,106273.5,16770.25,17626.0,16122.0,23684.0,50456.0,1045.0,56309.0,14295.5,43497.5,383387.0,1046397.0,1930869.0,2378558.0,875637.0,1602034.0,445269.0,153035.5,445885.0,2286.0,32756.0,6050.5,8620.5,62954.0,82129.5,1604.0,136273.5,18715.5,229863.25,149227.5,27203.5,104712.125,21891.0,219548.0,26472.5,40981.0,40661.5,19876.5,4676.0,24722.5,31561.0,51232.0,31601.0,72281.0,29959.0,60265.0,33858.0,74288.5,18738.0,10267.5,151473.5,10719.5,-30532.5,21458.0,30905.0,32199.0,10154.5,6869.5,18499.5,93427.0,5497.5,106530.5
2007-07-01,13006.5,5563.5,92265.5,59366.5,70633.5,117842.5,205319.0,25141.5,31598.0,405885.5,64641.0,61934.5,76038.0,31290.0,36658.0,10066.5,54725.0,4164.5,286724.0,16116.5,136758.75,13287.5,36164.5,44553.5,87512.0,5250.0,111635.0,335790.0,773110.0,1159799.0,1768587.0,1048620.0,387016.0,605475.0,14867.0,81788.0,67635.5,110469.5,16554.5,19145.5,16569.5,24114.5,53900.0,1017.5,57103.0,14162.5,45751.5,396171.0,1062256.0,1937874.0,2391879.0,864610.0,1615704.0,452174.0,156556.0,444076.5,2396.5,35706.5,6062.5,8263.0,57609.5,81426.5,1692.0,138186.5,18632.0,227644.5,151181.5,27897.0,106761.875,22397.0,228719.5,26349.0,41267.0,41055.0,21358.5,4386.5,25002.0,30683.0,52990.0,31434.5,73955.5,28992.0,61906.0,34786.0,75971.0,19106.0,11182.5,150001.0,11144.25,-28306.5,21950.0,30422.5,30842.0,11543.5,6907.5,19425.0,94356.5,5506.0,107812.0
2007-10-01,12168.0,6171.5,92878.5,60608.5,68465.5,115467.0,198403.5,24012.5,31892.0,412006.5,65270.5,62017.0,76580.0,31039.5,36978.5,10878.0,55441.5,3224.5,292970.0,16734.0,137726.0,13145.0,35183.0,45470.0,83009.5,5634.5,112049.0,346034.0,790285.0,1184817.0,1809181.0,1072886.0,394961.0,621289.0,12860.0,76885.5,64786.5,110833.0,16121.25,17082.0,16563.0,28737.5,54263.0,1004.0,59442.5,13753.5,47298.5,393599.0,1051301.0,1918599.0,2369287.0,856689.0,1594206.0,448888.0,155771.5,441637.5,2448.5,34515.0,6184.5,8269.0,59847.5,79128.0,1639.0,135387.0,18329.5,227966.25,147535.5,27180.5,107457.375,22077.5,227241.5,26259.0,42948.0,40016.5,22678.5,4707.0,25340.0,31885.0,49653.0,31242.5,76627.5,30247.0,63816.5,36323.0,77905.5,19510.0,10831.0,153108.0,10704.0,-26318.5,22235.0,29060.0,32687.5,12882.0,7824.0,21203.0,94435.5,5567.0,110025.5
2008-01-01,11940.0,6082.0,93856.0,61477.5,67553.5,114922.0,196916.0,22834.5,32329.0,419437.5,67111.5,61462.0,75127.0,29176.5,38411.0,11192.0,57525.0,3864.5,295577.5,17209.5,138513.75,13296.0,35762.5,46117.0,82055.5,6054.0,112288.0,348872.0,798530.0,1207292.0,1838024.0,1094843.0,409064.0,626804.0,12252.0,81603.5,70061.0,111624.5,16749.25,17656.0,15864.0,23368.5,54572.5,985.5,58699.5,13689.5,47138.0,398792.0,1056735.0,1917122.0,2378171.0,850017.0,1599792.0,460907.0,157481.0,443625.0,2447.5,37629.5,6397.5,7677.5,65490.5,81655.0,1704.0,135432.0,18123.0,230418.0,147332.5,28420.5,108527.75,22324.0,237009.5,26276.5,42807.0,39348.0,22868.0,4551.0,25274.0,30914.0,49356.0,31574.5,79447.0,29211.0,64108.5,36531.0,78330.0,19985.5,10589.5,153475.0,11136.5,-35080.0,23031.0,30581.5,33909.0,13226.5,7704.0,21402.5,96739.5,5252.0,110893.5
2008-04-01,12103.5,6433.0,94800.0,60751.0,67816.5,115202.5,195471.0,22184.5,31066.0,430869.5,65238.5,64320.0,76115.0,28686.0,39747.5,11769.5,60147.5,4380.5,300147.5,16944.0,141571.75,13461.5,35873.5,47731.5,80342.5,5384.5,115586.0,366958.0,828498.0,1248636.0,1892001.0,1132791.0,420783.0,638037.0,12232.0,80702.0,69064.5,112596.0,15795.0,18087.0,15149.0,24145.0,55771.5,985.5,60553.0,14202.0,47958.5,402162.0,1056388.0,1900983.0,2355670.0,835148.0,1596673.0,453920.0,160121.5,446510.0,2534.5,40630.5,6660.0,8151.0,66320.5,84790.0,1407.0,138622.0,17996.0,231011.25,150690.0,29937.0,108896.375,22215.0,247483.5,25683.0,43540.5,36633.0,23612.5,4202.0,25344.5,27404.0,47153.0,32049.0,84996.5,25998.0,61681.0,35914.0,76007.0,21180.0,10682.5,150918.0,11141.5,-38684.0,24227.5,28761.5,33375.5,13967.0,8062.0,22428.0,93800.5,5794.0,107287.5
2008-07-01,12328.5,6417.5,92259.5,59450.5,67563.5,108068.5,185118.0,21128.5,29925.5,427654.5,67894.5,66908.5,73517.0,26701.0,38107.5,11942.5,58886.0,5054.0,300081.5,16442.5,141069.0,13680.0,34636.5,47346.0,77164.0,5110.5,112054.0,371424.0,829691.0,1249588.0,1883563.0,1137190.0,420448.0,627284.0,12603.0,78256.5,66235.0,110264.5,15183.5,17580.5,15029.0,22569.0,53580.0,973.5,59530.0,14335.5,49378.0,386497.0,1028283.0,1865482.0,2325941.0,827602.0,1566213.0,463060.0,158109.0,444760.5,2555.0,42654.5,6820.5,9633.0,66472.5,85434.0,1449.0,138416.0,18315.0,230389.5,150710.5,32512.0,108116.75,22431.5,249565.5,24816.5,41485.5,36465.0,24695.5,4657.5,25377.0,26390.0,47878.0,31685.0,83406.5,24942.0,61345.0,34990.0,75822.0,21514.5,11400.0,149688.5,10963.25,-38004.0,24185.5,27580.5,33296.0,14123.5,8504.5,23060.5,91745.0,5501.0,105919.5
2008-10-01,14369.5,6342.5,90463.0,57365.0,65598.5,89187.0,154308.5,18793.0,31040.0,393509.5,63000.5,57879.0,60970.0,18844.0,32603.0,11505.5,50514.5,4895.5,276730.0,16193.5,127388.25,14096.0,32343.0,43275.0,65193.5,5921.0,111064.0,340817.0,747675.0,1150493.0,1772800.0,1039250.0,401713.0,621892.0,15102.5,81168.0,66773.0,108469.5,14661.0,17007.5,14080.5,24997.5,52526.0,968.0,52368.0,13065.5,46109.0,353040.0,928326.0,1774220.0,2241832.0,836483.0,1439627.0,475951.0,148590.5,435876.5,2691.5,44764.0,6740.5,9584.0,64344.5,79193.0,1247.0,123580.5,18277.5,227321.0,137772.5,33395.5,103391.875,21943.5,256930.0,25120.0,32967.0,37211.0,23193.0,4375.0,24033.5,28268.0,47281.0,29766.0,87635.5,27022.0,62056.0,33855.0,76875.5,18493.0,10529.5,158271.5,10634.5,-38326.5,24010.5,26715.5,29191.0,13495.0,8480.0,22732.5,88576.0,5157.5,108130.5
2009-01-01,12769.0,5497.5,85829.0,54667.5,60890.0,56151.5,101681.5,15430.5,28733.0,354210.0,61182.5,48189.5,68204.5,26304.0,30937.5,11898.0,48813.0,5198.5,259600.5,16485.5,111599.75,14194.5,27610.0,42174.0,45541.5,5029.0,103948.0,299363.0,649592.0,1030499.0,1631257.0,926726.0,379891.0,605692.0,17321.5,79690.5,63551.5,102629.0,13162.0,18466.5,12181.5,25393.5,48685.5,934.0,47896.0,11317.0,43852.0,288410.0,785379.0,1576710.0,2028740.0,792103.0,1258771.0,463955.0,126891.5,397770.0,3035.5,44652.5,6127.0,9435.5,66221.0,67033.5,837.0,110578.0,17055.0,215519.75,123186.5,24048.5,90805.75,21036.0,255561.0,23705.0,26594.5,35953.5,23199.5,3614.0,21958.5,26421.0,46210.0,25292.5,86485.5,25584.0,60308.5,32860.5,75125.5,18409.0,10684.0,153991.5,9532.25,-33443.0,22603.5,23356.0,24152.0,12183.0,8053.5,23059.0,81692.0,4401.0,104027.5
2009-04-01,11850.5,4798.5,87932.0,56266.0,58025.5,55539.0,101312.5,15395.0,28317.5,338532.0,62862.0,48208.0,66850.0,27502.5,31566.5,11943.0,50202.5,5352.5,258424.0,15152.5,107221.75,14279.5,26326.5,39319.0,45774.5,4749.0,109454.0,287883.0,630273.0,1024833.0,1641991.0,915933.0,393962.0,624550.0,17888.5,84307.0,67583.0,105108.5,12148.5,15764.5,11433.5,26827.5,51945.0,912.5,46478.0,11577.5,44683.5,274811.0,754687.0,1496338.0,1946352.0,740107.0,1208143.0,463714.0,115955.0,373237.0,3214.5,44765.0,5983.0,9370.5,67359.5,57348.5,1118.0,108338.0,17456.0,206911.5,120082.5,18589.0,86207.25,20867.5,259833.5,23569.0,27418.5,34186.5,24064.0,3875.0,21522.0,25739.0,43643.0,25863.0,85057.0,24622.0,62164.5,33864.0,77151.0,19184.0,11772.5,142697.5,9969.5,-42040.0,22101.0,21631.5,24811.0,12628.0,8657.0,23881.5,81697.0,3510.0,105603.5
