Date,"Balance on current account, ITAs (21+28)","Balance on goods and services and income, ITAs (1-11)","Balance on secondary income, ITAs","Equals: Balance on current account, NIPAs (27+32)","Equals: Current taxes, contributions for government social insurance, and transfer receipts from the rest of the world, net, NIPAs","Equals: Exports of goods and services and income receipts, NIPAs","Equals: Imports of goods and services and income payments, NIPAs","Equals: Net exports of goods and services and net receipts of income, NIPAs (10-20)","Exports of goods and services and income receipts, ITAs","Imports of goods and services and income payments, ITAs","Less: Capital gains, net of losses, in direct investment income payments, ITAs","Less: Capital gains, net of losses, in direct investment income receipts, ITAs","Less: Capital gains, net of losses, in direct investment income, ITAs (23)","Less: Capital gains, net of losses, in direct investment income, ITAs (3-13)",Less: Gold (2-12+15),Less: Gold (22),"Less: Gold, ITAs",Less: Other items (-26-31),Less: Statistical differences,Less: Statistical differences (24+29),Less: Statistical differences (4-14),Plus: Adjustment for U.S. territories and Puerto Rico,Plus: Adjustment for U.S. territories and Puerto Rico (25+30),Plus: Adjustment for U.S. territories and Puerto Rico (5-16),Plus: Adjustment for grossing of parent / affiliate transactions,Plus: Financial services furnished without payment,"Plus: Gold, NIPAs",Plus: Imputed interest paid to the rest of the world,Plus: Imputed interest received from the rest of the world,Plus: Other items,Plus: Other items (9-19)
1946-01-01,5163.0,8084.0,-2921.0,4917.0,-2917.0,15248.0,7414.0,7834.0,15114.0,7030.0,,,,,,,,-250.0,-1.3333333333333333,-4.0,0.0,,,,,134.0,,134.0,0.0,83.33333333333333,-250.0
1947-01-01,9285.0,11917.0,-2632.0,9289.0,-2628.0,20337.0,8420.0,11917.0,20224.0,8307.0,,,,,,,,0.0,-1.3333333333333333,-4.0,0.0,,,,,113.0,,113.0,0.0,0.0,0.0
1948-01-01,2413.0,6943.0,-4530.0,2417.0,-4526.0,17578.0,10635.0,6943.0,17463.0,10520.0,,,,,,,,0.0,-1.3333333333333333,-4.0,0.0,,,,,115.0,,115.0,0.0,0.0,0.0
1949-01-01,875.0,6515.0,-5640.0,879.0,-5636.0,16428.0,9913.0,6515.0,16295.0,9780.0,,,,,,,,0.0,-1.3333333333333333,-4.0,0.0,,,,,133.0,,133.0,0.0,0.0,0.0
1950-01-01,-1849.0,2178.0,-4027.0,-1843.0,-4021.0,14536.0,12358.0,2178.0,14389.0,12211.0,,,,,,,,0.0,-2.0,-6.0,0.0,,,,,147.0,,147.0,0.0,0.0,0.0
1951-01-01,881.0,4405.0,-3524.0,877.0,-3528.0,19855.0,15450.0,4405.0,19683.0,15278.0,,,,,,,,0.0,1.3333333333333333,4.0,0.0,,,,,172.0,,172.0,0.0,0.0,0.0
1952-01-01,627.0,3149.0,-2522.0,590.0,-2559.0,19316.0,16167.0,3149.0,19127.0,15978.0,,,,,,,,0.0,12.333333333333334,37.0,0.0,,,,,213.0,,189.0,-24.0,0.0,0.0
1953-01-01,-1276.0,1198.0,-2474.0,-1321.0,-2519.0,18156.0,16958.0,1198.0,17971.0,16773.0,,,,,,,,0.0,15.0,45.0,0.0,,,,,206.0,,185.0,-21.0,0.0,0.0
1954-01-01,227.0,2499.0,-2272.0,170.0,-2329.0,18875.0,16376.0,2499.0,18703.0,16204.0,,,,,,,,0.0,19.0,57.0,0.0,,,,,195.0,,172.0,-23.0,0.0,0.0
1955-01-01,446.0,2927.0,-2481.0,372.0,-2555.0,21184.0,18257.0,2927.0,21007.0,18080.0,,,,,,,,0.0,24.666666666666668,74.0,0.0,,,,,211.0,,177.0,-34.0,0.0,0.0
