Date,"Balance on capital account, ITAs","Balance on current account, ITAs (40+46)","Balance on goods and services and primary income, ITAs (1+6+12-21-27-31)","Balance on secondary income, ITAs (17-36)","Equals: Balance on current account, NIPAs (45+49)","Equals: Capital account transactions (net), NIPAs","Equals: Current taxes and transfer payments to the rest of the world, NIPAs","Equals: Current taxes, contributions for government social insurance, and transfer receipts from the rest of the world, net, NIPAs (20-39)","Equals: Exports of goods, NIPAs","Equals: Exports of services, NIPAs","Equals: Imports of goods, NIPAs","Equals: Imports of services, NIPAs","Equals: Income payments, NIPAs","Equals: Income receipts, NIPAs","Equals: Net exports of goods and services and net receipts of income, NIPAs (5+11+16-26-30-35)","Exports of goods, ITAs","Exports of services, ITAs","Imports of goods, ITAs","Imports of services, ITAs",Less: Gold (2-22+24),Less: Gold (41),"Less: Gold, ITAs",Less: Other items,Less: Other items (43),Less: Other items (8),Less: Statistical differences,Less: Statistical differences (3+7+13-23-28-32),Less: Statistical differences (42+47),Plus: Adjustment for U.S. territories and Puerto Rico,Plus: Adjustment for U.S. territories and Puerto Rico (4+9+14-25-29-33),Plus: Adjustment for U.S. territories and Puerto Rico (44+48),Plus: Adjustments for U.S. territories and Puerto Rico,Plus: Financial services furnished without payment,"Plus: Gold, NIPAs",Plus: Imputed interest paid to the rest of the world,Plus: Imputed interest received from the rest of the world,"Primary income payments, ITAs","Primary income receipts, ITAs","Secondary income payments, ITAs"
1986-01-01,0.0,-147175.0,-123041.0,-24134.0,-142674.0,111.0,27763.0,-27763.0,231447.0,89552.0,370006.0,82861.0,94367.0,111324.0,-114912.0,223345.0,86694.0,368425.0,80147.0,-1772.0,-1772.0,6774.0,0.0,0.0,0.0,-223.77777777777777,-10.0,-10.0,3887.125,6347.0,2719.0,111.0,5655.0,393.0,5442.0,-213.0,87306.0,102798.0,24134.0
1987-01-01,0.0,-160660.0,-137398.0,-23262.0,-154094.0,138.0,26810.0,-26810.0,265554.0,98389.0,414768.0,93945.0,105798.0,123286.0,-127285.0,250208.0,98657.0,409765.0,90789.0,-2093.0,-2093.0,3205.0,0.0,0.0,0.0,-264.55555555555554,-9.0,-6.0,4364.5,8012.0,4467.0,138.0,4909.0,-935.0,4728.0,-181.0,99312.0,113603.0,23262.0
1988-01-01,0.0,-121160.0,-95884.0,-25276.0,-115723.0,134.0,28988.0,-28988.0,332054.0,112547.0,452125.0,101869.0,129459.0,152116.0,-86735.0,320231.0,110920.0,447189.0,98530.0,-595.0,-595.0,5336.5,10.0,10.0,10.0,-243.11111111111111,-14.0,-16.0,4892.75,8550.0,4837.0,134.0,4950.0,-1545.0,4773.0,-177.0,122983.0,141667.0,25276.0
1989-01-01,207.0,-99486.0,-73316.0,-26170.0,-92350.0,348.0,30400.0,-30400.0,374750.0,129539.0,484792.0,106239.0,152909.0,177699.0,-61950.0,359916.0,127089.0,477665.0,102479.0,-2745.0,-2745.0,3364.5,49.0,49.0,49.0,-294.6666666666667,4.0,2.0,5346.875,8673.0,4442.0,141.0,4883.0,-2172.0,4677.0,-206.0,146562.0,166385.0,26170.0
1990-01-01,7221.0,-78965.0,-52309.0,-26656.0,-74895.0,7373.0,31734.0,-31734.0,403265.0,148608.0,508071.0,121657.0,154155.0,188847.0,-43161.0,387401.0,147834.0,498438.0,117655.0,-1093.0,-1093.0,3091.0,56.0,56.0,56.0,-311.44444444444446,-43.0,-44.0,5702.875,8068.0,2989.0,152.0,4301.0,-2371.0,4107.0,-194.0,148346.0,176895.0,26656.0
1991-01-01,5129.0,2896.0,-7004.0,9900.0,7886.0,5299.0,-4910.0,4910.0,430135.0,164795.0,500720.0,122824.0,136776.0,168363.0,2976.0,414083.0,164262.0,491020.0,118460.0,-2070.0,-2070.0,3238.0,445.0,445.0,445.0,-360.1111111111111,-80.0,-81.0,5972.5,8275.0,3284.0,170.0,4161.0,-2752.0,3956.0,-205.0,131201.0,155332.0,-9900.0
1992-01-01,-1449.0,-51611.0,-14974.0,-36637.0,-45573.0,-1277.0,41912.0,-41912.0,455308.0,177745.0,544927.0,122864.0,120975.0,152052.0,-3662.0,439631.0,177250.0,536528.0,119562.0,-2145.0,-2145.0,4174.0,521.0,521.0,521.0,-3.3333333333333335,-26.0,-23.0,6099.625,9662.0,4391.0,172.0,5193.0,-2877.0,4946.0,-247.0,114845.0,139080.0,36637.0
1993-01-01,714.0,-84811.0,-44999.0,-39812.0,-79369.0,875.0,45355.0,-45355.0,467723.0,187076.0,592761.0,127212.0,124442.0,155600.0,-34015.0,456943.0,185916.0,589394.0,123781.0,-2980.0,-2980.0,8943.0,802.0,802.0,802.0,-3.2222222222222223,-21.0,-20.0,6199.875,9626.0,4084.0,161.0,6430.0,-3224.0,7004.0,-266.0,116288.0,141605.0,39812.0
1994-01-01,1112.0,-121612.0,-81346.0,-40266.0,-115599.0,1270.0,46078.0,-46078.0,518371.0,202566.0,676812.0,136612.0,161577.0,184543.0,-69521.0,502859.0,200397.0,668690.0,133059.0,-2870.0,-2870.0,5275.5,579.0,579.0,579.0,-3.6666666666666665,-33.0,-34.0,6670.5,10400.0,4587.0,158.0,7544.0,-3947.0,8153.0,-290.0,152300.0,169447.0,40266.0
1995-01-01,221.0,-113571.0,-75498.0,-38073.0,-105862.0,419.0,44050.0,-44050.0,592442.0,220369.0,757449.0,145123.0,201881.0,229833.0,-61812.0,575204.0,219180.0,749374.0,141399.0,-3790.0,-3790.0,5206.0,725.0,725.0,725.0,-3.6666666666666665,-29.0,-28.0,6905.125,11397.0,5421.0,198.0,7435.0,-3622.0,7899.0,-342.0,192770.0,213661.0,38073.0
1996-01-01,8.0,-124773.0,-81754.0,-43019.0,-115024.0,209.0,49513.0,-49513.0,628785.0,238805.0,807448.0,156518.0,215535.0,246404.0,-65511.0,612113.0,239486.0,803113.0,152555.0,-4619.0,-4619.0,7343.5,708.0,708.0,708.0,-4.222222222222222,-37.0,-38.0,6911.125,13208.0,6713.0,201.0,6732.0,-3811.0,7139.0,-506.0,207214.0,229529.0,43019.0
1997-01-01,256.0,-140720.0,-95660.0,-45060.0,-130095.0,476.0,51424.0,-51424.0,699887.0,253916.0,885654.0,170120.0,256771.0,280071.0,-78671.0,678366.0,256091.0,876794.0,165933.0,-4484.0,-4484.0,6166.5,543.0,543.0,543.0,-4.0,-34.0,-34.0,7828.625,13815.0,7451.0,220.0,6728.0,-3601.0,6872.0,-658.0,248748.0,261358.0,45060.0
1998-01-01,7.0,-215066.0,-161879.0,-53187.0,-205336.0,230.0,60033.0,-60033.0,692565.0,260414.0,930751.0,184939.0,269368.0,286779.0,-145303.0,670416.0,262758.0,918637.0,180680.0,-3853.0,-3853.0,6005.5,645.0,645.0,645.0,-4.111111111111111,-31.0,-31.0,8499.625,14161.0,7315.0,223.0,6198.0,-2810.0,6181.0,-840.0,261978.0,266242.0,53187.0
