Date,"Balance on capital account, ITAs","Balance on current account, ITAs (37+43)","Balance on goods and services and primary income, ITAs (1+6+11-19-25-29)","Balance on secondary income, ITAs (15-33)","Equals: Balance on current account, NIPAs (42+46)","Equals: Capital account transactions (net), NIPAs","Equals: Current taxes and transfer payments to the rest of the world, NIPAs","Equals: Current taxes, contributions for government social insurance, and transfer receipts from the rest of the world, NIPAs","Equals: Current taxes, contributions for government social insurance, and transfer receipts from the rest of the world, net, NIPAs (18-36)","Equals: Exports of goods, NIPAs","Equals: Exports of services, NIPAs","Equals: Imports of goods, NIPAs","Equals: Imports of services, NIPAs","Equals: Income payments, NIPAs","Equals: Income receipts, NIPAs","Equals: Net exports of goods and services and net receipts of income, NIPAs (5+10+14-24-28-32)","Exports of goods, ITAs","Exports of services, ITAs","Imports of goods, ITAs","Imports of services, ITAs",Less: Gold (2+20+22),Less: Gold (38),"Less: Gold, ITAs",Less: Other items,Less: Other items (40),Less: Other items (8),Less: Statistical differences,Less: Statistical differences (3+7+12-21-26-30),Less: Statistical differences (39+44),Plus: Adjustment for U.S. territories and Puerto Rico,Plus: Adjustment for U.S. territories and Puerto Rico (4+9+13-23-27-31),Plus: Adjustment for U.S. territories and Puerto Rico (41+45),Plus: Adjustments for U.S. territories and Puerto Rico,"Plus: Gold, NIPAs","Primary income payments, ITAs","Primary income receipts, ITAs","Secondary income payments, ITAs","Secondary income receipts, ITAs"
1999-01-01,1113.0,-243353.0,-202757.0,-40596.0,-234237.0,1365.0,81940.0,34330.0,-47610.0,687945.0,272819.0,978939.0,194384.0,271213.0,297144.0,-186628.0,671946.0,269601.0,959766.0,190034.0,-2719.0,-2719.0,3329.0,596.0,596.0,596.0,0.0,1.0,1.0,9029.777777777777,14007.0,6993.0,252.0,-2087.0,270020.0,275516.0,71744.0,31148.0
1999-04-01,1432.0,-271829.0,-233229.0,-38600.0,-262217.0,1700.0,85433.0,39825.0,-45608.0,697321.0,277276.0,1024016.0,198110.0,282732.0,313653.0,-216609.0,681397.0,274114.0,1005370.0,193678.0,-2327.0,-2327.0,3342.0,688.0,688.0,688.0,0.0,0.0,0.0,9018.444444444445,14980.0,7973.0,268.0,-2167.0,281556.0,291864.0,75176.0,36576.0
1999-07-01,1347.0,-304513.0,-266089.0,-38424.0,-293375.0,1639.0,83732.0,38139.0,-45593.0,717941.0,287368.0,1077272.0,204440.0,305541.0,334162.0,-247782.0,705701.0,284273.0,1063784.0,199891.0,-3716.0,-3716.0,6861.0,792.0,792.0,792.0,-0.1,4.0,6.0,8906.888888888889,15388.0,8220.0,292.0,-2187.0,304368.0,311980.0,73196.0,34772.0
1999-10-01,21819.0,-326743.0,-281259.0,-45484.0,-316669.0,22171.0,91515.0,38413.0,-53103.0,743688.0,287283.0,1124611.0,208068.0,315483.0,353624.0,-263567.0,735054.0,284014.0,1113449.0,203366.0,-3207.0,-3207.0,9164.5,656.0,656.0,656.0,-0.5,-13.0,-13.0,8885.222222222223,15128.0,7509.0,352.0,-2488.0,314316.0,330804.0,80524.0,35040.0
2000-01-01,2008.0,-379087.0,-339343.0,-39744.0,-370518.0,2392.0,87924.0,40904.0,-47020.0,761318.0,291586.0,1193644.0,215843.0,336206.0,369290.0,-323499.0,754000.0,288624.0,1181600.0,210954.0,-2809.0,-2809.0,9659.5,1004.0,1004.0,1004.0,-0.5,0.0,1.0,9117.222222222223,14039.0,6764.0,384.0,-2776.0,335028.0,345616.0,77200.0,37456.0
2000-04-01,1418.0,-385566.0,-340378.0,-45188.0,-379498.0,1798.0,92516.0,39848.0,-52669.0,789078.0,304281.0,1232293.0,223567.0,357611.0,393281.0,-326830.0,778677.0,301133.0,1213954.0,218525.0,-1684.0,-1684.0,3388.5,844.0,844.0,844.0,0.5,1.0,1.0,8858.444444444445,12709.0,5228.0,380.0,-2426.0,356432.0,368724.0,81532.0,36344.0
2000-07-01,3244.0,-417898.0,-371874.0,-46024.0,-416788.0,3640.0,94461.0,41060.0,-53401.0,820710.0,304293.0,1285062.0,233807.0,357676.0,388156.0,-363387.0,807221.0,301595.0,1258232.0,228646.0,-2288.0,-2288.0,4289.0,1308.0,1308.0,1308.0,-0.3,-3.0,-3.0,10465.888888888889,7504.0,127.0,396.0,-2314.0,356500.0,362688.0,83496.0,37472.0
2000-10-01,10198.0,-425112.0,-368620.0,-56492.0,-420670.0,10402.0,106593.0,42580.0,-64014.0,809110.0,304066.0,1293691.0,230828.0,357136.0,411823.0,-356657.0,799862.0,300741.0,1273103.0,225583.0,-2656.0,-2656.0,6673.5,680.0,680.0,680.0,0.3,3.0,6.0,9973.0,9990.0,2472.0,204.0,-2403.0,355960.0,385424.0,95400.0,38908.0
2001-01-01,359.0,-428547.0,-375379.0,-53168.0,-423661.0,587.0,104164.0,43090.0,-61075.0,796274.0,300537.0,1265827.0,233637.0,333060.0,373126.0,-362587.0,787108.0,297483.0,1245503.0,228342.0,-1890.0,-1890.0,6456.0,936.0,936.0,936.0,-0.5,-1.0,-4.0,10018.555555555555,11836.0,3927.0,228.0,-2400.0,331892.0,345768.0,92480.0,39312.0
2001-04-01,505.0,-381004.0,-325588.0,-55416.0,-379083.0,729.0,107861.0,44366.0,-63495.0,759635.0,298379.0,1188641.0,233387.0,303077.0,351504.0,-315588.0,754025.0,295249.0,1168284.0,228057.0,-1329.0,-1329.0,7103.0,848.0,848.0,848.0,0.1,0.0,1.0,9856.111111111111,9518.0,1440.0,224.0,-2420.0,301916.0,323396.0,96016.0,40600.0
