Date,Capital account transactions (net),"Capital consumption adjustment, corporate",Consumption of fixed capital,Disaster losses,Domestic business,Federal,Government,Gross domestic investment,"Gross domestic investment, capital account transactions, and net lending, NIPAs",Gross government investment,Gross government saving,Gross private domestic investment,Gross private saving,Gross saving,Households and institutions,"Inventory valuation adjustment, corporate",Net domestic investment,Net government saving,"Net lending or net borrowing (-), NIPAs",Net private saving,Net saving,Personal saving,Private,State and local,Statistical discrepancy,Undistributed corporate profits
1947-01-01,,-2359.0,28071.0,,8734.5,3900.2,2473.5,40802.0,50207.0,4947.0,14363.0,35854.0,32778.0,47141.0,7654.0,-9652.0,12730.0,2583.0,9405.0,16486.0,19070.0,12595.0,17927.0,1124.1666666666667,3072.0,15902.0
1947-04-01,,-2509.0,28706.0,,10817.5,3714.4,2558.5,39622.0,49495.0,5117.0,13725.0,34505.0,33016.0,46741.0,5690.0,-4676.0,10916.0,2323.0,9873.0,15711.0,18035.0,8476.0,17252.5,1210.1666666666667,2759.0,14420.0
1947-07-01,,-2648.0,29515.0,,11225.5,2983.2,3046.0,41003.0,51084.0,6092.0,10926.0,34911.0,38153.0,49078.0,7851.0,-4048.0,11488.0,-348.0,10081.0,19911.0,19563.0,12635.0,17455.5,1178.6666666666667,2006.0,13972.0
1947-10-01,,-2776.0,30191.0,,11900.5,5425.8,3292.5,49835.0,57632.0,6585.0,16637.0,43250.0,37373.0,54010.0,6786.0,-5220.0,19645.0,5548.0,7797.0,18271.0,23820.0,10372.0,21625.0,1193.1666666666667,3623.0,15895.0
1948-01-01,,-2892.0,30615.0,,13694.5,5419.6,3768.0,54739.0,59655.0,7537.0,15528.0,47202.0,43456.0,58984.0,8033.5,-2876.0,24124.0,4799.0,4916.0,23570.0,28370.0,12763.0,23601.0,1147.6666666666667,672.0,16575.0
1948-04-01,,-2965.0,31086.0,,14732.5,4440.8,4122.5,58581.0,61605.0,8246.0,13163.0,50336.0,49531.0,62694.0,10033.0,-2868.0,27495.0,2651.0,3024.0,28957.0,31608.0,16672.0,25167.5,1444.6666666666667,-1087.0,18117.0
1948-07-01,,-2993.0,31650.0,,14599.0,2996.8,4389.0,61294.0,62226.0,8778.0,9426.0,52516.0,52544.0,61970.0,11673.0,-2796.0,29645.0,-1057.0,932.0,31378.0,30321.0,19876.0,26258.0,1536.3333333333333,256.0,17291.0
1948-10-01,,-2978.0,31959.0,,15639.5,2455.8,4683.0,60700.0,61496.0,9366.0,8084.0,51334.0,54269.0,62353.0,11494.5,-68.0,28741.0,-2213.0,796.0,32608.0,30394.0,19458.0,25667.0,1798.1666666666667,-857.0,16196.0
1949-01-01,,-2919.0,32249.0,,15609.5,1385.2,5126.0,53392.0,55584.0,10252.0,4791.0,43140.0,49939.0,54730.0,9360.5,1404.0,21143.0,-5397.0,2192.0,27879.0,22481.0,15143.0,21570.0,1888.0,854.0,14251.0
1949-04-01,,-2864.0,32256.0,,15274.0,261.0,5647.5,47535.0,49243.0,11295.0,1174.0,36241.0,47380.0,48555.0,8416.5,2836.0,15279.0,-8649.0,1708.0,24948.0,16299.0,13204.0,18120.5,1898.1666666666667,690.0,11772.0
1949-07-01,,-2812.0,32255.0,,15892.5,195.2,5962.5,51473.0,52121.0,11924.0,732.0,39549.0,49364.0,50095.0,8789.0,2984.0,19219.0,-8746.0,648.0,26587.0,17841.0,13895.0,19774.5,2057.8333333333335,2026.0,12520.0
1949-10-01,,-2765.0,32382.0,,14324.0,85.0,5894.5,49257.0,48225.0,11789.0,190.0,37468.0,44641.0,44831.0,7996.0,200.0,16875.0,-9098.0,-1032.0,21547.0,12448.0,12250.0,18734.0,1888.3333333333333,3395.0,11861.0
1950-01-01,,-2721.0,32405.0,,13860.0,-1199.4,5340.0,57429.0,56472.0,10680.0,-2542.0,46749.0,55692.0,53150.0,13986.5,-700.0,25024.0,-11563.0,-957.0,32307.0,20744.0,24168.0,23374.5,1678.3333333333333,3323.0,11561.0
1950-04-01,,-2718.0,32769.0,,14595.5,3274.4,5545.5,63381.0,62136.0,11090.0,8045.0,52291.0,53642.0,61688.0,12225.5,-3316.0,30612.0,-844.0,-1245.0,29763.0,28919.0,20554.0,26145.5,1574.6666666666667,451.0,15243.0
1950-07-01,,-2755.0,33572.0,,14960.0,7484.4,5866.5,70375.0,67694.0,11733.0,19345.0,58641.0,47718.0,67063.0,8898.5,-7304.0,36803.0,10353.0,-2681.0,23139.0,33491.0,13777.0,29321.0,2170.8333333333335,629.0,19421.0
1950-10-01,,-2834.0,34823.0,,15891.5,7806.2,6159.5,80759.0,78270.0,12319.0,20175.0,68441.0,57446.0,77621.0,12831.5,-8540.0,45937.0,10838.0,-2489.0,31961.0,42798.0,21489.0,34220.5,2296.1666666666665,648.0,21845.0
1951-01-01,,-2953.0,36253.0,,14147.5,9844.0,7447.5,79477.0,77767.0,14895.0,24107.0,64582.0,50195.0,74302.0,10950.0,-8724.0,43224.0,14450.0,-1710.0,23599.0,38049.0,17543.0,32291.5,2859.5,3465.0,17733.0
1951-04-01,,-3012.0,37336.0,,16328.5,7909.8,9102.0,85586.0,85936.0,18203.0,16461.0,67383.0,66036.0,82497.0,16689.0,-1012.0,48250.0,6625.0,350.0,38536.0,45160.0,28863.0,33691.5,2890.8333333333335,3441.0,13697.0
