Date,Gross saving as a percentage of gross national income,Net saving as a percentage of gross national income
1947-01-01,19.6,7.9
1947-04-01,19.1,7.4
1947-07-01,19.7,7.9
1947-10-01,21.0,9.3
1948-01-01,22.1,10.6
1948-04-01,22.8,11.5
1948-07-01,22.1,10.8
1948-10-01,22.1,10.8
1949-01-01,19.9,8.2
1949-04-01,17.9,6.0
1949-07-01,18.4,6.6
1949-10-01,16.7,4.6
1950-01-01,19.1,7.4
1950-04-01,21.2,9.9
1950-07-01,21.7,10.8
1950-10-01,24.2,13.3
1951-01-01,22.2,11.4
1951-04-01,24.1,13.2
1951-07-01,23.1,12.2
1951-10-01,22.9,11.9
1952-01-01,22.9,11.9
1952-04-01,21.1,9.9
1952-07-01,21.6,10.4
1952-10-01,21.6,10.7
1953-01-01,21.7,10.7
1953-04-01,21.6,10.5
1953-07-01,21.5,10.2
1953-10-01,19.9,8.3
1954-01-01,20.5,8.8
1954-04-01,20.5,8.7
1954-07-01,20.6,8.7
1954-10-01,21.2,9.4
1955-01-01,21.8,10.3
1955-04-01,22.6,11.2
1955-07-01,22.7,11.3
1955-10-01,23.3,11.8
1956-01-01,23.8,12.1
1956-04-01,23.9,12.0
1956-07-01,24.4,12.4
1956-10-01,24.3,12.3
1957-01-01,24.1,12.0
1957-04-01,24.0,11.7
1957-07-01,23.7,11.3
1957-10-01,21.9,9.2
1958-01-01,21.3,8.3
1958-04-01,20.4,7.3
1958-07-01,21.5,8.6
1958-10-01,22.6,9.8
1959-01-01,23.0,10.4
1959-04-01,23.7,11.3
1959-07-01,22.3,9.8
1959-10-01,22.6,10.1
1960-01-01,24.4,12.1
1960-04-01,23.1,10.8
1960-07-01,23.2,10.7
1960-10-01,22.2,9.6
1961-01-01,22.7,10.0
1961-04-01,22.7,10.1
1961-07-01,23.6,11.1
1961-10-01,23.9,11.7
1962-01-01,23.8,11.6
1962-04-01,23.5,11.3
1962-07-01,23.6,11.4
1962-10-01,23.5,11.3
1963-01-01,23.7,11.5
1963-04-01,24.1,12.0
1963-07-01,23.9,11.8
1963-10-01,24.1,12.1
1964-01-01,24.1,12.1
1964-04-01,23.9,11.9
1964-07-01,23.9,12.0
1964-10-01,24.5,12.6
1965-01-01,24.9,13.1
1965-04-01,24.7,12.9
1965-07-01,24.4,12.6
1965-10-01,24.0,12.2
1966-01-01,24.5,12.8
1966-04-01,24.2,12.5
1966-07-01,23.8,12.1
1966-10-01,24.2,12.4
1967-01-01,23.5,11.6
1967-04-01,22.8,10.8
1967-07-01,23.2,11.2
1967-10-01,23.5,11.4
1968-01-01,22.7,10.7
1968-04-01,22.9,10.9
1968-07-01,22.6,10.6
1968-10-01,22.8,10.7
1969-01-01,23.2,11.1
1969-04-01,22.8,10.6
1969-07-01,23.0,10.8
1969-10-01,22.2,9.9
1970-01-01,21.5,9.0
1970-04-01,21.5,8.8
1970-07-01,21.3,8.6
1970-10-01,20.6,7.7
1971-01-01,21.1,8.3
1971-04-01,21.1,8.3
1971-07-01,21.2,8.4
1971-10-01,21.2,8.4
1972-01-01,21.3,8.7
1972-04-01,21.1,8.5
1972-07-01,21.7,9.1
1972-10-01,22.5,10.1
1973-01-01,22.9,10.5
1973-04-01,23.0,10.6
1973-07-01,23.5,10.9
1973-10-01,24.3,11.7
1974-01-01,23.6,10.7
1974-04-01,22.5,9.4
1974-07-01,22.0,8.6
1974-10-01,21.8,8.1
1975-01-01,20.5,6.3
1975-04-01,20.0,5.7
1975-07-01,21.0,6.9
1975-10-01,21.1,7.1
1976-01-01,21.6,7.7
1976-04-01,21.6,7.7
1976-07-01,21.3,7.4
1976-10-01,21.0,7.0
1977-01-01,21.0,7.0
1977-04-01,22.1,8.2
1977-07-01,22.6,8.8
1977-10-01,22.4,8.5
1978-01-01,22.5,8.5
1978-04-01,23.2,9.4
1978-07-01,23.5,9.6
1978-10-01,23.9,10.0
1979-01-01,24.1,10.1
1979-04-01,23.7,9.5
1979-07-01,23.2,8.9
1979-10-01,22.8,8.3
1980-01-01,22.2,7.4
1980-04-01,21.9,6.7
1980-07-01,21.9,6.6
1980-10-01,22.6,7.5
1981-01-01,22.9,7.8
1981-04-01,22.8,7.6
1981-07-01,23.8,8.6
1981-10-01,23.5,8.0
1982-01-01,22.3,6.5
1982-04-01,22.6,6.8
1982-07-01,21.5,5.5
1982-10-01,19.7,3.7
1983-01-01,19.9,4.0
1983-04-01,19.7,4.0
1983-07-01,19.3,3.8
1983-10-01,20.5,5.3
1984-01-01,21.9,7.0
1984-04-01,21.8,7.1
1984-07-01,22.0,7.2
1984-10-01,21.7,6.8
1985-01-01,21.1,6.3
1985-04-01,20.8,5.9
1985-07-01,19.9,5.1
1985-10-01,20.0,5.1
1986-01-01,20.1,5.1
1986-04-01,19.4,4.3
1986-07-01,18.5,3.3
1986-10-01,18.6,3.3
1987-01-01,19.2,4.0
1987-04-01,19.4,4.3
1987-07-01,19.7,4.6
1987-10-01,20.2,5.2
1988-01-01,20.2,5.2
1988-04-01,20.6,5.6
1988-07-01,20.7,5.7
1988-10-01,20.5,5.6
1989-01-01,20.8,5.9
1989-04-01,19.9,4.9
1989-07-01,19.5,4.5
1989-10-01,19.2,4.1
1990-01-01,19.0,4.0
1990-04-01,19.2,4.3
1990-07-01,18.6,3.6
1990-10-01,18.6,3.4
1991-01-01,20.0,4.7
1991-04-01,18.9,3.6
1991-07-01,18.3,3.0
1991-10-01,18.5,3.3
1992-01-01,18.3,3.3
1992-04-01,18.3,3.4
1992-07-01,17.4,2.5
1992-10-01,17.3,2.4
1993-01-01,17.2,2.2
1993-04-01,17.5,2.6
1993-07-01,16.9,2.0
1993-10-01,17.5,2.7
1994-01-01,17.7,2.9
1994-04-01,18.2,3.5
1994-07-01,18.1,3.4
1994-10-01,18.3,3.6
1995-01-01,18.8,4.0
1995-04-01,18.6,3.7
1995-07-01,18.8,4.0
1995-10-01,19.2,4.4
1996-01-01,19.4,4.7
1996-04-01,19.5,4.9
1996-07-01,19.7,5.1
1996-10-01,19.9,5.4
1997-01-01,20.3,5.8
1997-04-01,20.8,6.3
1997-07-01,21.0,6.6
1997-10-01,20.9,6.5
1998-01-01,21.4,7.0
1998-04-01,21.1,6.8
1998-07-01,21.3,7.0
1998-10-01,20.8,6.5
1999-01-01,21.6,7.3
1999-04-01,20.7,6.3
1999-07-01,20.4,5.9
1999-10-01,20.3,5.7
2000-01-01,20.8,6.3
2000-04-01,20.6,6.0
2000-07-01,20.6,6.0
2000-10-01,20.0,5.4
2001-01-01,20.1,5.5
2001-04-01,19.9,5.1
2001-07-01,19.1,4.1
2001-10-01,17.9,2.8
2002-01-01,18.3,3.2
2002-04-01,18.1,3.1
2002-07-01,17.9,2.9
2002-10-01,18.1,3.1
2003-01-01,17.2,2.2
2003-04-01,17.2,2.3
2003-07-01,17.1,2.2
2003-10-01,17.4,2.6
2004-01-01,17.2,2.5
2004-04-01,17.6,2.9
2004-07-01,17.9,3.2
2004-10-01,17.2,2.4
2005-01-01,17.8,2.9
2005-04-01,17.7,2.7
2005-07-01,17.6,2.6
2005-10-01,18.4,3.4
2006-01-01,19.1,4.1
2006-04-01,18.9,3.9
2006-07-01,18.6,3.5
2006-10-01,18.5,3.2
2007-01-01,17.8,2.4
2007-04-01,18.0,2.6
2007-07-01,17.0,1.4
2007-10-01,16.3,0.7
2008-01-01,15.7,-0.1
2008-04-01,14.8,-1.1
2008-07-01,15.0,-1.0
2008-10-01,14.6,-1.9
2009-01-01,13.9,-2.8
2009-04-01,13.7,-2.8
2009-07-01,13.4,-2.9
2009-10-01,14.4,-1.8
2010-01-01,14.4,-1.6
2010-04-01,14.8,-1.0
