Date,Equals: Net domestic fixed investment,Equals: Net domestic investment,Equals: Net equipment,Equals: Net fixed investment,Equals: Net government investment,Equals: Net intellectual property products,Equals: Net nonresidential,Equals: Net private domestic investment,Equals: Net residential,Equals: Net structures,Equipment,Fixed investment,Gross domestic fixed investment,Gross domestic investment,Gross government investment,Gross private domestic investment,Intellectual property products,Less: Consumption of fixed capital,Nonresidential,Residential,State and local,Structures
1929-01-01,7.199,3.764,-5.236000000000001,6.315,12.816,1.2695,3.092,2.393,19.128,51.2885,1.289,4.583,3.88,3.467,4.184,3.617,0.322,4.9011538461538455,3.252,12.804,21.42525,25.644
1930-01-01,3.847,0.03,-7.026999999999999,1.866,16.431,1.5314999999999999,0.196,-2.454,5.658,50.0205,1.076,3.562,3.264,2.617,4.98,2.464,0.369,5.040923076923077,2.71,7.931,23.276249999999997,26.015500000000003
1931-01-01,0.359,-2.792,-7.377,-2.296,17.229,1.5985,-3.968,-5.824,2.417,34.79,0.8959999999999999,2.531,2.561,1.938,5.244,1.601,0.39649999999999996,5.113384615384616,1.825,6.742,23.698500000000003,22.21
1932-01-01,-3.247,-6.443,-9.103,-5.911,13.686,1.8719999999999999,-6.751,-9.492,-5.499,17.6155,0.6465,1.558,1.772,1.032,4.661,0.591,0.444,5.110153846153846,1.152,3.812,16.663,17.3965
1933-01-01,-4.158,-6.084,-8.7855,-6.149,8.492,1.545,-6.754,-8.292,-7.009,4.412500000000001,0.6585,1.407,1.534,1.082,3.734,0.799,0.444,5.08,1.06,3.203,6.0687500000000005,13.398
1934-01-01,-2.247,-3.701,-7.2935,-4.341,11.058,1.0725,-5.108,-5.936,-4.375,10.269,0.8265,1.779,1.876,1.539,4.299,1.321,0.4355,5.064384615384616,1.332,4.152,7.9535,15.2315
1935-01-01,-0.323,-0.104,-5.6465,-2.353,12.572,1.082,-3.507,-2.023,-0.329,13.3415,1.0635,2.26,2.264,2.287,4.679,2.299,0.4645,5.1049999999999995,1.659,5.656,6.8134999999999994,16.2065
1936-01-01,3.231,3.068,-5.2285,0.357,21.491,1.264,-1.072,0.278,3.397,36.038500000000006,1.2879999999999998,2.952,3.02,2.976,6.52,2.907,0.513,5.192153846153847,2.197,7.034,18.27,23.418
1937-01-01,4.059,4.583,-4.499499999999999,1.964,17.377,1.162,0.462,2.646,4.84,34.3925,1.4745,3.423,3.239,3.358,5.854,3.58,0.5295,5.327692307692308,2.6,7.58,15.654,22.853
1938-01-01,2.028,0.937,-5.182,-0.79,19.943,1.3690000000000002,-2.668,-1.941,4.904,32.5465,1.301,2.785,2.894,2.652,6.484,2.463,0.5775,5.4336153846153845,1.983,7.614,19.827,22.8
