Date,Change in private inventories,Equals: Net domestic fixed investment,Equals: Net domestic investment,Equals: Net equipment,Equals: Net fixed investment,Equals: Net government investment,Equals: Net intellectual property products,Equals: Net nonresidential,Equals: Net private domestic investment,Equals: Net residential,Equals: Net structures,Equipment,Federal,Fixed investment,Gross domestic fixed investment,Gross domestic investment,Gross government investment,Gross private domestic investment,Intellectual property products,Less: Consumption of fixed capital,National defense,Nondefense,Nonresidential,Residential,State and local,Structures
1929-01-01,1539.0,8125.0,9664.0,450.5,6219.0,1906.0,136.0,4054.0,7758.0,2165.0,2393.5,2879.5,-5.75,15630.0,18534.0,20073.0,2903.0,17170.0,319.5,4504.076923076923,-68.25,62.5,11560.0,4071.0,959.0,4033.0
1930-01-01,-223.0,4689.0,4466.0,-162.0,2430.0,2259.0,125.0,1849.0,2208.0,581.0,2091.0,2210.5,41.5,11651.0,14906.0,14683.0,3255.0,11428.0,318.0,4417.2307692307695,-45.0,86.75,9184.0,2467.0,1087.5,3690.5
1931-01-01,-1112.0,1233.0,121.0,-753.5,-889.0,2123.0,97.5,-1078.0,-2001.0,188.0,1179.5,1452.5,88.25,7661.0,10747.0,9635.0,3087.0,6549.0,297.0,4111.153846153846,-29.5,118.0,5762.0,1899.0,973.5,2674.5
1932-01-01,-2351.0,-1907.0,-4257.0,-1137.0,-3296.0,1389.0,79.0,-2791.0,-5646.0,-505.0,357.5,842.0,121.5,4169.0,6431.0,4081.0,2262.0,1819.0,278.5,3607.769230769231,-29.0,150.75,3294.0,875.0,573.0,1657.5
1933-01-01,-1404.0,-2303.0,-3706.0,-979.0,-3362.0,1060.0,75.0,-2739.0,-4766.0,-623.0,64.0,829.0,222.0,3680.0,5710.0,4306.0,2030.0,2276.0,266.5,3445.076923076923,-20.5,242.75,2955.0,724.0,308.0,1397.0
1934-01-01,-580.0,-883.0,-1463.0,-629.0,-2412.0,1529.0,93.0,-1962.0,-2992.0,-451.0,320.0,1208.0,298.0,4876.0,7547.0,6967.0,2671.0,4296.0,296.5,3600.230769230769,-20.0,318.0,3833.0,1043.0,466.5,1748.0
1935-01-01,1141.0,601.0,1742.0,-186.0,-1094.0,1696.0,110.5,-1014.0,46.0,-80.0,416.0,1652.5,455.0,6230.0,9082.0,10222.0,2852.0,7370.0,327.0,3622.153846153846,-26.0,481.0,4829.0,1400.0,392.5,1861.0
1936-01-01,1161.0,3658.0,4819.0,274.5,721.0,2937.0,134.5,448.0,1882.0,273.0,1283.0,2145.0,469.25,8230.0,12459.0,13621.0,4230.0,9391.0,373.5,3743.923076923077,50.75,418.0,6403.0,1826.0,999.5,2798.0
1937-01-01,2626.0,4472.0,7098.0,540.0,1969.0,2503.0,140.0,1534.0,4595.0,435.0,1339.0,2616.0,448.5,10341.0,14240.0,16866.0,3899.0,12967.0,405.5,4160.461538461538,73.25,375.25,8180.0,2161.0,803.0,3017.5
1938-01-01,-575.0,2768.0,2193.0,-197.5,-61.0,2829.0,153.5,-517.0,-636.0,456.0,1199.5,1963.5,425.5,8519.0,12809.0,12234.0,4290.0,7944.0,436.0,4272.615384615385,66.0,359.5,6279.0,2239.0,988.75,2885.5
1939-01-01,208.0,4508.0,4716.0,63.0,1431.0,3077.0,144.5,83.0,1639.0,1348.0,1373.0,2223.0,362.0,10021.0,14611.0,14819.0,4590.0,10229.0,448.5,4291.461538461538,66.5,295.5,6871.0,3151.0,1176.5,3059.0
1940-01-01,2393.0,6044.0,8436.0,587.5,3210.0,2834.0,149.0,1456.0,5603.0,1754.0,1409.0,2868.5,568.5,12186.0,16621.0,19013.0,4435.0,14579.0,478.0,4490.0,299.0,269.75,8543.0,3643.0,848.25,3142.0
1941-01-01,4330.0,13772.0,18102.0,2657.0,5089.0,8683.0,340.0,2968.0,9419.0,2122.0,2829.0,5332.0,3821.5,15039.0,25834.0,30164.0,10796.0,19369.0,727.0,5081.0,3424.75,396.75,10823.0,4216.0,520.25,4750.5
1942-01-01,1906.0,23930.0,25837.0,6649.0,-1390.0,25321.0,357.5,-1484.0,516.0,94.0,4912.0,10213.0,12593.5,9856.0,38841.0,40747.0,28986.0,11762.0,852.0,6144.307692307692,12264.75,328.75,7502.0,2353.0,66.75,7179.0
1943-01-01,-746.0,30012.0,29266.0,13163.5,-3388.0,33400.0,416.5,-2531.0,-4134.0,-857.0,1854.5,17816.5,17007.0,8151.0,48043.0,47296.0,39892.0,7405.0,1037.5,7136.615384615385,16764.0,243.25,6583.0,1568.0,-307.25,4383.5
