Date,Change in private inventories,Equals: Net domestic fixed investment,Equals: Net domestic investment,Equals: Net equipment,Equals: Net fixed investment,Equals: Net government investment,Equals: Net intellectual property products,Equals: Net nonresidential,Equals: Net private domestic investment,Equals: Net residential,Equals: Net structures,Equipment,Federal,Fixed investment,Gross domestic fixed investment,Gross domestic investment,Gross government investment,Gross private domestic investment,Intellectual property products,Less: Consumption of fixed capital,National defense,Nondefense,Nonresidential,Residential,State and local,Structures
1967-01-01,42284.0,387615.0,403592.0,6560.0,241167.0,146448.0,10403.0,97860.0,257144.0,180544.0,189669.0,92239.0,21097.0,553008.0,841798.0,855136.0,322429.0,568985.0,41672.0,235159.0,-14761.0,34916.0,311306.0,301464.0,140340.0,349141.0
1968-01-01,38418.0,397604.0,408746.0,6622.0,262009.0,135595.0,10766.0,99581.0,273151.0,216523.0,189174.0,97866.0,10171.0,591853.0,880918.0,889479.0,319720.0,602995.0,44806.0,247870.8,-23319.0,32797.0,326243.0,342278.0,145945.0,354034.0
1969-01-01,37781.0,391353.0,401127.0,8476.0,277335.0,114017.0,10305.0,107880.0,287110.0,221882.0,202742.0,105958.0,153.0,626805.0,905739.0,913507.0,304159.0,636580.0,47238.0,260975.7,-26839.0,26977.0,348924.0,353019.0,134774.0,373141.0
1970-01-01,6974.0,336651.0,320578.0,1221.0,246504.0,90146.0,7474.0,91809.0,230431.0,198040.0,198137.0,104079.0,-10573.0,613949.0,876376.0,857014.0,284438.0,597876.0,47179.0,272687.5,-33971.0,22923.0,345825.0,334591.0,119955.0,374170.0
1971-01-01,31159.0,337322.0,340702.0,-2723.0,272100.0,65221.0,5466.0,80344.0,275481.0,280627.0,186734.0,104921.0,-18314.0,656108.0,901595.0,903722.0,260969.0,659488.0,47368.0,282901.4,-39900.0,21578.0,345655.0,423690.0,112497.0,368053.0
1972-01-01,32007.0,382873.0,385729.0,4399.0,327277.0,55596.0,6752.0,97342.0,330134.0,345842.0,193069.0,118297.0,-19405.0,730919.0,971991.0,974366.0,251440.0,733776.0,50671.0,294489.5,-40672.0,21043.0,375781.0,497218.0,104537.0,379503.0
1973-01-01,48642.0,421590.0,442070.0,17818.0,363005.0,58585.0,7018.0,127823.0,383485.0,333955.0,211216.0,140187.0,-16208.0,793585.0,1040729.0,1061937.0,255650.0,814065.0,53220.0,311018.8,-36910.0,20389.0,425484.0,494024.0,103167.0,410540.0
1974-01-01,36283.0,358188.0,368892.0,12025.0,295397.0,62791.0,6271.0,114407.0,306101.0,229792.0,196927.0,143101.0,-15908.0,749448.0,1000116.0,1010659.0,261633.0,760152.0,54761.0,325153.7,-34324.0,18018.0,428963.0,397146.0,101640.0,401704.0
1975-01-01,-15947.0,268517.0,229586.0,-8908.0,204514.0,64003.0,4854.0,63470.0,165584.0,176092.0,149847.0,128113.0,-12770.0,675943.0,927072.0,885170.0,265215.0,637013.0,55249.0,335975.8,-31911.0,18635.0,390354.0,349218.0,97881.0,359518.0
1976-01-01,42722.0,321790.0,337981.0,-6412.0,254347.0,67443.0,8855.0,74050.0,270538.0,247092.0,154108.0,135988.0,-7621.0,742390.0,1001506.0,1017695.0,271476.0,758582.0,61242.0,346478.7,-29143.0,20760.0,412409.0,426418.0,93228.0,368228.0
1977-01-01,53772.0,394693.0,418447.0,6920.0,332691.0,62001.0,10368.0,102894.0,356446.0,326523.0,164529.0,157094.0,-4417.0,843050.0,1105017.0,1129853.0,269258.0,866804.0,65278.0,360341.2,-27024.0,21847.0,456815.0,513848.0,81468.0,383364.0
1978-01-01,56820.0,480110.0,506464.0,21090.0,403242.0,76868.0,11976.0,146982.0,429596.0,351336.0,213976.0,180830.0,1453.0,940717.0,1222737.0,1250526.0,287748.0,967071.0,69915.0,377129.0,-25973.0,26473.0,519939.0,548122.0,94027.0,438694.0
1979-01-01,34920.0,514480.0,520543.0,24783.0,426326.0,88154.0,16307.0,176298.0,432389.0,321544.0,262052.0,195634.0,3104.0,994904.0,1292419.0,1298710.0,303384.0,1000966.0,78082.0,396491.1,-22575.0,24739.0,571887.0,527577.0,100349.0,494320.0
1980-01-01,-11697.0,430430.0,394915.0,6721.0,338984.0,91446.0,15784.0,154948.0,303468.0,204639.0,281700.0,186998.0,6924.0,935765.0,1236943.0,1198656.0,312065.0,900250.0,81962.0,414606.0,-17796.0,23942.0,572001.0,417200.0,98670.0,523247.0
1981-01-01,48588.0,421327.0,439918.0,6228.0,339569.0,81759.0,19949.0,170289.0,358160.0,166795.0,312447.0,193950.0,9551.0,960899.0,1260541.0,1279817.0,308466.0,979490.0,90889.0,430955.7,-12337.0,21191.0,607092.0,382878.0,81002.0,565194.0
1982-01-01,-24619.0,329606.0,284550.0,-14413.0,254784.0,74822.0,20476.0,130922.0,209728.0,96021.0,291583.0,181658.0,8785.0,901514.0,1197946.0,1149581.0,308357.0,856458.0,96496.0,447973.4,-4280.0,13050.0,589218.0,313518.0,68954.0,555953.0
1983-01-01,-9758.0,387158.0,354149.0,-11687.0,301447.0,85711.0,22591.0,111112.0,268438.0,224910.0,222435.0,190090.0,16052.0,969400.0,1284909.0,1249256.0,327619.0,936391.0,104118.0,462905.7,5649.0,10828.0,586615.0,445144.0,69192.0,495878.0
1984-01-01,97116.0,539999.0,605610.0,17358.0,430240.0,109759.0,29756.0,187267.0,495851.0,284533.0,283049.0,226963.0,22321.0,1126333.0,1477763.0,1545859.0,362354.0,1191944.0,118345.0,482374.2,11783.0,10957.0,684411.0,510837.0,85980.0,565014.0
1985-01-01,31261.0,596815.0,599676.0,17514.0,453716.0,143099.0,31870.0,202344.0,456578.0,288705.0,313250.0,239429.0,37493.0,1188323.0,1581275.0,1583005.0,408998.0,1191185.0,128996.0,508509.6,25747.0,12547.0,729551.0,522543.0,102092.0,605154.0
1986-01-01,10226.0,600912.0,584146.0,10105.0,439757.0,161155.0,32085.0,163182.0,422991.0,344407.0,238752.0,242174.0,43739.0,1209833.0,1631020.0,1611677.0,442060.0,1193068.0,137985.0,533299.0,30992.0,13603.0,716987.0,587357.0,112136.0,538855.0
1987-01-01,41113.0,582950.0,592616.0,176.0,411087.0,171863.0,28655.0,136943.0,420753.0,346173.0,216957.0,243051.0,51211.0,1217306.0,1659858.0,1668077.0,467943.0,1226972.0,143403.0,558383.1,35255.0,16851.0,717615.0,598914.0,113743.0,523346.0
1988-01-01,26976.0,571044.0,570847.0,6546.0,417776.0,153267.0,30454.0,148070.0,417579.0,331614.0,214207.0,259081.0,28049.0,1257440.0,1698235.0,1696249.0,463090.0,1257243.0,153592.0,581550.7,17514.0,11530.0,753507.0,593619.0,120725.0,526804.0
1989-01-01,37673.0,573437.0,584275.0,10591.0,422433.0,151004.0,37901.0,163769.0,433272.0,304198.0,218621.0,272799.0,17805.0,1297262.0,1748002.0,1757698.0,472767.0,1308100.0,171573.0,605251.5,6055.0,12323.0,796109.0,574410.0,128063.0,537252.0
1990-01-01,20322.0,532259.0,528084.0,-3243.0,370263.0,161996.0,40264.0,145893.0,366088.0,249151.0,220168.0,267141.0,17214.0,1278521.0,1746169.0,1739645.0,494996.0,1274345.0,185993.0,627849.1,1285.0,16244.0,804680.0,525624.0,141076.0,545159.0
1991-01-01,-2224.0,427284.0,404640.0,-20663.0,277505.0,149779.0,40547.0,92763.0,254862.0,197590.0,153858.0,254890.0,6080.0,1212669.0,1674453.0,1648247.0,492058.0,1190025.0,197856.0,646185.2,-13559.0,19438.0,773012.0,478787.0,141497.0,484501.0
1992-01-01,22038.0,459784.0,457884.0,-10406.0,317740.0,142044.0,40504.0,94775.0,315840.0,258470.0,121048.0,270028.0,2522.0,1278637.0,1743105.0,1738991.0,491139.0,1276737.0,209371.0,663058.1,-19987.0,22253.0,795213.0,544791.0,139967.0,455279.0
1993-01-01,27279.0,502560.0,504687.0,14531.0,382533.0,120027.0,37747.0,128209.0,384660.0,296385.0,116809.0,304318.0,-7763.0,1376692.0,1831917.0,1832539.0,473834.0,1378818.0,218159.0,683570.7,-30834.0,22720.0,854760.0,589372.0,132678.0,454047.0
1994-01-01,85414.0,563785.0,616654.0,37237.0,453757.0,110028.0,35306.0,162683.0,506626.0,341699.0,121980.0,341603.0,-16501.0,1489025.0,1943752.0,1998107.0,466673.0,1541894.0,226717.0,708003.3,-34417.0,17646.0,921977.0,642248.0,136140.0,462368.0
1995-01-01,39156.0,607868.0,619573.0,57733.0,493594.0,114274.0,40162.0,210137.0,505299.0,312364.0,147892.0,382902.0,-16696.0,1579659.0,2043967.0,2055344.0,473231.0,1591364.0,242862.0,737799.9,-34224.0,17341.0,1011015.0,620500.0,142898.0,491822.0
