Date,Commercial and health care,Computers and peripheral equipment,"Entertainment, literary, and artistic originals",Equipment,Industrial equipment,Information processing equipment,Intellectual property products,Manufacturing,"Mining exploration, shafts, and wells",Multifamily,Nonresidential,Nonresidential structures,Other,Other equipment,Other structures,Permanent site,Power and communication,Private fixed investment in information processing equipment and software,Private fixed investment in new structures,Private fixed investment in structures,Research and development,Residential,Residential structures,Single family,Software,Structures,Transportation equipment
1947-04-01,,,-0.44,-1.81,-3.71,-1.14,-0.27,,,,-4.01,,-1.14,0.14,,,,-1.14,,-6.08,0.17,-5.96,,,,-3.0399999999999996,1.28
1947-07-01,,,-0.18,-2.605,0.41,0.82,-0.03,,,,-4.68,,0.82,-3.99,,,,0.82,,18.79,0.15,18.23,,,,9.395000000000001,-2.82
1947-10-01,,,-0.63,5.409999999999999,-4.42,-0.24,-0.38,,,,9.91,,-0.24,8.02,,,,-0.24,,26.79,0.25,27.31,,,,13.395000000000001,7.68
1948-01-01,,,0.06,6.585,3.59,0.99,0.15,,,,15.42,,0.99,6.32,,,,0.99,,0.1,0.09,-2.01,,,,0.05499999999999994,2.09
1948-04-01,,,-0.17,-5.575,-2.76,-0.77,-0.3,,,,-8.53,,-0.77,-3.33,,,,-0.77,,10.86,-0.13,7.93,,,,5.425,-4.13
1948-07-01,,,0.01,-1.105,-2.98,-0.36,0.03,,,,0.7,,-0.36,1.74,,,,-0.36,,-1.86,0.02,-4.72,,,,-0.9299999999999999,-0.67
1948-10-01,,,0.27,2.395,2.44,1.39,-0.11,,,,6.1,,1.39,3.17,,,,1.39,,-9.16,-0.38,-10.58,,,,-4.58,-2.46
1949-01-01,,,0.25,-4.885,-3.63,-0.85,-0.29,,,,-11.0,,-0.85,-6.44,,,,-0.85,,-10.29,-0.54,-9.36,,,,-5.145,1.42
1949-04-01,,,0.36,-3.9099999999999997,-6.12,-1.56,-0.02,,,,-9.54,,-1.56,-2.11,,,,-1.56,,-3.76,-0.38,-2.06,,,,-1.885,1.94
1949-07-01,,,0.26,-4.4,-2.53,-0.87,0.17,,,,-11.99,,-0.87,-5.13,,,,-0.87,,7.93,-0.08,11.28,,,,3.96,-0.04
