Date,Commercial and health care,Computers and peripheral equipment,"Entertainment, literary, and artistic originals",Equipment,Industrial equipment,Information processing equipment,Intellectual property products,Manufacturing,"Mining exploration, shafts, and wells",Multifamily,Nonresidential,Nonresidential structures,Other,Other equipment,Other structures,Permanent site,Power and communication,Private fixed investment,Private fixed investment in information processing equipment and software,Private fixed investment in new structures,Private fixed investment in structures,Research and development,Residential,Residential structures,Single family,Software,Structures,Transportation equipment
1947-01-01,,,10.943,53.74250000000001,7.874,628.474,22.342,,,,19.181,,86.431,9.848,,,,14.837,409.239,,6.172,13.275,7.186,,,,6.045,14.487
1947-04-01,,,11.096,54.829499999999996,8.228,650.591,22.569,,,,19.763,,89.472,10.607,,,,15.396,423.641,,6.403,13.363,7.584,,,,6.273,14.694
1947-07-01,,,11.419,55.653,8.39,662.84,23.036,,,,20.284,,91.157,10.998,,,,15.781,431.617,,6.579,13.54,7.751,,,,6.447,14.911
1947-10-01,,,11.726,56.54299999999999,8.639,667.298,23.561,,,,20.652,,91.77,10.74,,,,16.105,434.52,,6.765,13.804,7.943,,,,6.631,15.212
1948-01-01,,,11.446,56.7595,8.559,659.381,23.622,,,,20.762,,90.681,10.644,,,,16.265,429.365,,6.911,14.154,8.085,,,,6.775,15.264
1948-04-01,,,11.644,58.065,8.723,663.381,24.015,,,,21.343,,91.231,11.349,,,,16.62,431.969,,7.03,14.388,8.173,,,,6.896,15.458
1948-07-01,,,11.905,59.674499999999995,9.164,670.144,24.361,,,,22.074,,92.161,11.829,,,,17.124,436.373,,7.201,14.508,8.36,,,,7.063000000000001,16.134
1948-10-01,,,11.791,59.919,9.457,673.278,24.254,,,,22.373,,92.592,11.781,,,,17.309,438.414,,7.254,14.512,8.405,,,,7.1135,16.685
1949-01-01,,,11.989,59.26,9.515,673.35,24.189,,,,22.22,,92.602,11.707,,,,17.278,438.461,,7.242,14.213,8.471,,,,7.0945,16.622
1949-04-01,,,11.986,58.498999999999995,9.486,669.518,24.111,,,,22.186,,92.075,11.948,,,,17.254,435.966,,7.199,14.114,8.461,,,,7.05,16.674
1949-07-01,,,11.949,57.5965,9.397,668.326,24.064,,,,22.101,,91.911,12.009,,,,17.067,435.189,,7.081,14.097,8.264,,,,6.9395,16.562
1949-10-01,,,11.895,56.9915,9.229,673.996,24.055,,,,21.972,,92.691,11.63,,,,17.005,438.881,,7.087,14.152,8.268,,,,6.9485,16.624
1950-01-01,,,11.798,56.967999999999996,9.361,683.718,24.058,,,,21.998,,94.028,11.517,,,,17.002,445.212,,7.073,14.278,8.256,,,,6.936999999999999,16.685
1950-04-01,,,11.879,57.541,9.523,676.692,24.322,,,,22.211,,93.062,11.905,,,,17.276,440.637,,7.188,14.489,8.468,,,,7.029999999999999,16.874
1950-07-01,,,12.161,58.812,9.915,684.816,24.858,,,,22.681,,94.179,12.248,,,,17.76,445.927,,7.424,14.784,8.79,,,,7.249499999999999,16.934
1950-10-01,,,12.413,60.452,10.372,697.838,25.437,,,,23.428,,95.97,12.695,,,,18.093,454.407,,7.514,15.162,8.775,,,,7.369,17.168
1951-01-01,,,12.254,62.5475,11.026,722.554,25.717,,,,24.203,,99.369,12.866,,,,18.691,470.5,,7.78,15.624,9.062,,,,7.634,17.508
1951-04-01,,,12.368,62.9585,11.065,727.207,26.119,,,,24.615,,100.009,13.117,,,,18.973,473.53,,7.91,15.945,9.167,,,,7.7655,17.781
1951-07-01,,,12.417,62.908,10.996,731.74,26.342,,,,24.836,,100.632,13.084,,,,19.121,476.482,,7.991,16.134,9.216,,,,7.846,18.12
1951-10-01,,,12.609,62.91,11.089,725.539,26.561,,,,25.101,,99.779,13.224,,,,19.316,472.444,,8.066,16.189,9.301,,,,7.919499999999999,18.545
1952-01-01,,,12.569,63.1425,10.968,730.641,26.453,,,,25.21,,100.481,13.196,,,,19.404,475.766,,8.117,16.11,9.348,,,,7.9715,18.931
1952-04-01,,,12.6,63.306,11.206,724.009,26.445,,,,25.269,,99.569,13.076,,,,19.491,471.448,,8.149,16.076,9.429,,,,7.999499999999999,19.139
1952-07-01,,,12.727,63.304500000000004,11.118,705.607,26.555,,,,25.209,,97.038,13.168,,,,19.527,459.465,,8.189,16.086,9.519,,,,8.035499999999999,19.155
1952-10-01,,,12.727,63.009,11.164,695.185,26.613,,,,25.224,,95.605,13.247,,,,19.492,452.679,,8.166,16.142,9.461,,,,8.0145,19.03
1953-01-01,,,12.918,62.945,11.246,704.192,26.859,,,,25.261,,96.844,13.205,,,,19.516,458.544,,8.179,16.242,9.467,,,,8.028500000000001,18.798
1953-04-01,,,12.982,63.119,11.431,710.722,26.969,,,,25.465,,97.742,13.383,,,,19.627,462.796,,8.231,16.3,9.478,,,,8.083,18.5
1953-07-01,,,13.062,63.3955,11.526,713.638,27.046,,,,25.656,,98.143,13.506,,,,19.781,464.695,,8.318,16.318,9.56,,,,8.169,18.451
1953-10-01,,,13.094,63.259499999999996,11.514,717.017,27.044,,,,25.618,,98.607,13.62,,,,19.735,466.895,,8.294,16.294,9.522,,,,8.145,18.189
1954-01-01,,,13.406,63.448,11.722,706.143,27.198,,,,25.721,,97.112,13.631,,,,19.75,459.814,,8.219,16.234,9.471,,,,8.071,18.864
1954-04-01,,,13.389,63.6035,11.7,714.538,27.154,,,,25.832,,98.266,13.729,,,,19.823,465.281,,8.199,16.203,9.498,,,,8.049,19.688
1954-07-01,,,13.39,62.931,11.551,715.984,27.162,,,,25.663,,98.465,13.672,,,,19.821,466.222,,8.261,16.21,9.608,,,,8.1055,19.189
1954-10-01,,,13.341,62.305499999999995,11.587,736.847,27.174,,,,25.703,,101.335,13.479,,,,19.837,479.807,,8.266,16.256,9.605,,,,8.1095,19.276
1955-01-01,,,13.859,61.974999999999994,11.773,733.712,27.625,,,,25.657,,100.904,13.562,,,,19.85,477.766,,8.299,16.318,9.648,,,,8.1405,18.385
1955-04-01,,,13.86,62.146,11.876,723.34,27.703,,,,25.799,,99.477,13.579,,,,19.981,471.013,,8.369,16.395,9.729,,,,8.2085,18.56
1955-07-01,,,13.93,62.2285,12.072,722.133,27.878,,,,26.191,,99.311,13.823,,,,20.221,470.226,,8.447,16.512,9.795,,,,8.29,19.046
1955-10-01,,,13.948,62.123000000000005,12.542,727.59,28.067,,,,26.71,,100.061,14.149,,,,20.481,473.78,,8.524,16.676,9.801,,,,8.374,19.15
1956-01-01,,,14.156,62.108000000000004,12.752,748.062,28.454,,,,27.432,,102.876,14.01,,,,20.901,487.11,,8.721,16.893,9.882,,,,8.577,19.95
1956-04-01,,,14.279,62.0695,13.233,719.339,28.755,,,,27.67,,98.926,14.131,,,,21.128,468.407,,8.789,17.085,10.033,,,,8.64,20.43
1956-07-01,,,14.454,62.6145,13.459,765.002,29.049,,,,28.333,,105.207,14.361,,,,21.479,498.141,,8.901,17.242,10.049,,,,8.751999999999999,20.896
1956-10-01,,,14.541,62.528,13.861,756.904,29.244,,,,28.699,,104.095,14.533,,,,21.638,492.868,,8.92,17.363,10.005,,,,8.7705,21.214
